SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
21STCENMGM,19951024,41,41,41,41,100,0
21STCENMGM,19951215,28.95,28.95,28.95,28.95,100,0
21STCENMGM,19951218,28.9,28.9,28.9,28.9,200,0
21STCENMGM,19951229,27,28.9,27,28.9,600,0
21STCENMGM,19960119,26.3,26.3,26.3,26.3,100,0
21STCENMGM,19960206,27,28.9,27,28.9,1700,0
21STCENMGM,19960213,30,31,30,31,300,0
21STCENMGM,19960214,32,34,32,34,500,0
21STCENMGM,19960215,32,32,32,32,1000,0
21STCENMGM,19960216,31,31,30,30,1500,0
21STCENMGM,19960219,32,32,31.25,31.45,1300,0
21STCENMGM,19960220,32,33,32,32,2000,0
21STCENMGM,19960222,33.5,33.5,33.5,33.5,100,0
21STCENMGM,19960223,32.05,32.05,32.05,32.05,100,0
21STCENMGM,19960226,31.75,32,31.5,31.75,500,0
21STCENMGM,19960227,30.55,30.55,30.55,30.55,100,0
21STCENMGM,19960308,27.5,27.5,27.5,27.5,100,0
21STCENMGM,19960311,25,25,25,25,100,0
21STCENMGM,19960312,25,25,24.75,24.75,500,0
21STCENMGM,19960315,23,23,22.75,22.75,200,0
21STCENMGM,19960321,22.05,22.05,22.05,22.05,100,0
21STCENMGM,19960322,22.05,22.05,22.05,22.05,100,0
21STCENMGM,19960325,22,22,22,22,100,0
21STCENMGM,19960327,22,23.5,22,23.5,1100,0
21STCENMGM,19960328,22.1,22.1,22,22,300,0
21STCENMGM,19960329,24,24,24,24,100,0
21STCENMGM,19960402,24,24,24,24,400,0
21STCENMGM,19960403,24,24,24,24,100,0
21STCENMGM,19960408,24,23,23,23,100,0
21STCENMGM,19960409,22.5,22.5,22.25,22.25,200,0
21STCENMGM,19960410,24,24,22.5,22.5,500,0
21STCENMGM,19960411,22.5,22.5,22.5,22.5,1000,0
21STCENMGM,19960412,22.25,22.25,22,22.25,1500,0
21STCENMGM,19960415,22,22,22,22,300,0
21STCENMGM,19960416,22.25,24,21.5,24,3300,0
21STCENMGM,19960417,24,25,25,25,600,0
21STCENMGM,19960423,27,29.5,27,29.5,800,0
21STCENMGM,19960424,31,31,30,30,1000,0
21STCENMGM,19960425,30,29.05,29,29,800,0
21STCENMGM,19960426,27,27,27,27,600,0
21STCENMGM,19960429,27.5,27.5,24.5,24.5,1200,0
21STCENMGM,19960430,24.5,24.5,22,23.5,2700,0
21STCENMGM,19960501,24,24.9,24,24.9,400,0
21STCENMGM,19960502,24.9,24.3,24.3,24.3,100,0
21STCENMGM,19960503,24.05,25.25,24.05,24.75,800,0
21STCENMGM,19960506,25.75,25.75,25.75,25.75,500,0
21STCENMGM,19960507,25.75,25.75,24.5,25.65,1000,0
21STCENMGM,19960508,23.5,25,23.5,25,400,0
21STCENMGM,19960509,24.1,24.1,24,24,900,0
21STCENMGM,19960510,23.95,24,23.5,23.5,1200,0
21STCENMGM,19960513,24,25,24,25,400,0
21STCENMGM,19960514,25,24.75,24,24,3000,0
21STCENMGM,19960516,25,25,25,25,500,0
21STCENMGM,19960606,22.5,22.5,22.5,22.5,500,0
21STCENMGM,19960617,21,21,21,21,500,0
21STCENMGM,19960619,20,20,19,19,1600,0
21STCENMGM,19960620,19.25,19.25,19.25,19.25,1600,0
21STCENMGM,19960624,18,18,17.55,17.55,200,0
21STCENMGM,19960626,16.1,16.1,16.1,16.1,100,0
21STCENMGM,19960627,17,17,17,17,100,0
