SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
63MOONS,20170119,78.3,80.05,78.3,78.9,56993,0
63MOONS,20170120,78.2,82.5,77,80.55,276286,100672
63MOONS,20170123,81.5,82.5,81,81.5,133810,59775
63MOONS,20170124,83,83,81,81.2,74413,0
63MOONS,20170125,81.5,81.9,80.6,81.35,89099,43447
63MOONS,20170127,81.9,84.5,81.45,82.9,294625,159351
63MOONS,20170130,82,84,81.6,82.2,77227,29549
63MOONS,20170131,81.6,82.9,78,80.4,82223,0
63MOONS,20170201,79.75,81.6,79.5,81.2,85029,30705
63MOONS,20170202,81.2,82.6,79.9,81.75,121992,0
63MOONS,20170203,81.3,83.4,81.3,82.75,112111,62569
63MOONS,20170206,82.75,87,82.75,84.3,320048,139840
63MOONS,20170207,84,85.5,82.5,83.15,125661,64575
63MOONS,20170208,83,86.65,83,85.1,219415,0
63MOONS,20170209,85,87,83.6,85.45,187791,0
63MOONS,20170210,85.5,85.9,82.2,82.65,112648,79033
63MOONS,20170213,83.4,83.8,81.5,81.85,70753,0
63MOONS,20170214,82.4,84.75,81.6,81.95,58183,32858
63MOONS,20170215,81.95,84.5,78.5,79.2,87488,53720
63MOONS,20170216,80,80,78,79.15,66003,0
63MOONS,20170217,80.45,80.45,79.05,79.45,65399,0
63MOONS,20170220,79.3,82,79.3,81.45,95486,54451
63MOONS,20170221,81.95,82.9,80.8,81.55,81785,46457
63MOONS,20170222,82,82.5,79.8,80.3,84095,0
63MOONS,20170223,81.3,81.7,80.05,80.6,50498,0
63MOONS,20170227,80,82,79.35,79.7,54854,33662
63MOONS,20170228,79.9,80.7,78.8,79.3,72631,40188
63MOONS,20170301,79,82.45,79,80.55,137177,38582
63MOONS,20170302,81.2,81.2,79,79.3,71675,0
63MOONS,20170303,79,79.95,78.5,78.95,38228,18780
63MOONS,20170306,78.7,79.65,78.55,78.9,33224,12267
63MOONS,20170307,79.35,79.75,78.1,78.7,31294,9859
63MOONS,20170308,79.5,79.5,77.6,77.85,55144,0
63MOONS,20170309,77.5,79.5,77.3,77.65,67318,0
63MOONS,20170310,77.5,79.3,77.5,77.85,45646,0
63MOONS,20170314,79,79,77,77.45,35643,0
63MOONS,20170315,77.9,78.85,77.55,78,36066,0
63MOONS,20170316,78,78.85,77.35,78.1,60288,34641
63MOONS,20170317,78.75,78.75,77.15,77.35,55997,0
63MOONS,20170320,77,77.65,77,77.15,48582,27550
63MOONS,20170321,77,77.65,76,76.6,65024,0
63MOONS,20170322,76,78.85,76,77.3,92246,0
63MOONS,20170323,78,78,76.5,77.15,45892,21233
63MOONS,20170324,76.8,77.75,76.25,76.7,52599,25357
63MOONS,20170327,76.7,76.7,75.05,75.8,104201,67665
63MOONS,20170328,76.5,76.5,74.65,75.05,47196,23568
63MOONS,20170329,75.55,77.1,74,74.9,110867,47169
63MOONS,20170330,75.75,76.9,75.1,75.55,72515,30624
63MOONS,20170331,75.3,75.9,75,75.4,36390,17486
63MOONS,20170403,75.75,77.85,75.1,77.5,106149,51391
63MOONS,20170405,78,84.7,77.6,81.8,532336,227985
63MOONS,20170406,81.45,82.5,80.2,80.85,89578,44231
63MOONS,20170407,80,82.95,80,80.9,167035,69953
63MOONS,20170410,80.95,81.5,79.25,79.7,50919,26129
63MOONS,20170411,80,81.3,79,79.7,54881,27678
63MOONS,20170412,80,80.45,78.15,78.55,50458,26778
63MOONS,20170413,78.55,78.6,77.3,77.6,54665,33134
63MOONS,20170417,77.35,79.65,77.1,77.95,50388,18233
63MOONS,20170418,78,79.9,77.6,77.85,63345,20988
63MOONS,20170419,77.5,77.9,76.3,76.75,43249,25915
63MOONS,20170420,78.3,78.3,76.45,77.4,49986,29977
63MOONS,20170421,77.25,79.6,77.25,77.7,71906,26993
63MOONS,20170424,77.3,79.4,77.3,78.2,76870,36656
63MOONS,20170425,78.6,79.05,77.65,77.95,42435,21559
63MOONS,20170426,77.75,78.9,76.65,77,71154,24486
63MOONS,20170427,77.5,77.5,76.15,76.45,39124,20307
63MOONS,20170428,76.9,77.3,76.05,76.4,41263,21590
63MOONS,20170502,76.25,77.65,76.25,76.75,36479,20693
63MOONS,20170503,76.95,77.5,76.25,76.5,40692,18683
63MOONS,20170504,76.95,77.4,76.05,76.3,29126,17711
63MOONS,20170505,76.2,76.95,75,75.25,48191,26174
63MOONS,20170508,75.25,75.95,75.05,75.35,18775,10645
63MOONS,20170509,75.6,77.15,75.25,75.7,50545,0
63MOONS,20170510,76.5,76.9,75.4,75.6,26008,15592
63MOONS,20170511,75.6,76.7,75.6,75.7,29132,0
63MOONS,20170512,75.7,79.4,75.7,76.95,159633,54210
63MOONS,20170515,77.05,77.45,76.15,76.35,27126,18577
63MOONS,20170516,76.75,77.55,76.1,76.3,27314,14788
