SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AAREYDRUGS,20210806,43.75,44.6,42.75,43.35,239282,0
AAREYDRUGS,20210809,44.1,44.1,41,41.35,92693,0
AAREYDRUGS,20210810,41.1,42.9,38,39.95,133733,0
AAREYDRUGS,20210811,42.3,42.7,36.3,39.55,186461,0
AAREYDRUGS,20210812,40.4,42,39.45,40.95,61802,0
AAREYDRUGS,20210813,41.75,43.2,39.5,41.85,157450,0
AAREYDRUGS,20210816,41.05,42.5,39.1,39.8,63869,0
AAREYDRUGS,20210817,41,41,38.25,38.8,61438,0
AAREYDRUGS,20210818,38.05,38.9,37.45,37.9,57220,0
AAREYDRUGS,20210820,37.9,37.9,36.55,37.15,39614,0
AAREYDRUGS,20210823,37.15,39,31.15,35.8,73751,0
AAREYDRUGS,20210824,35.8,39.7,35.8,38.9,101363,0
AAREYDRUGS,20210825,39,41.1,38.05,39.95,55835,0
AAREYDRUGS,20210826,40.75,40.75,38.25,38.75,21408,0
AAREYDRUGS,20210827,39,39,37.5,37.95,30856,0
AAREYDRUGS,20210830,37.8,38.8,37.05,37.75,26746,0
AAREYDRUGS,20210831,38,38.95,37.25,37.5,28341,0
AAREYDRUGS,20210901,38.25,38.25,36.95,37.2,27923,0
AAREYDRUGS,20210902,37,37.8,36.25,37.2,35337,0
AAREYDRUGS,20210903,37.2,37.9,36.7,37.3,29045,0
AAREYDRUGS,20210906,37.7,38.35,37.1,38,51906,0
AAREYDRUGS,20210907,38.4,38.9,37.55,37.7,26658,0
AAREYDRUGS,20210908,37,37.8,37,37.15,27718,0
AAREYDRUGS,20210909,37,38.05,37,37.3,40448,0
AAREYDRUGS,20210913,37.5,37.75,36.95,37.45,39091,0
AAREYDRUGS,20210914,37.3,41,36.95,37.85,110514,0
AAREYDRUGS,20210915,37.95,38.7,37.5,37.8,37581,0
AAREYDRUGS,20210916,37.55,38.15,37.5,37.65,15694,0
AAREYDRUGS,20210917,38.5,38.5,36.3,37.05,38424,0
AAREYDRUGS,20210920,36.8,37.65,36.1,36.25,37297,0
AAREYDRUGS,20210921,37,37,35.2,35.85,36159,0
AAREYDRUGS,20210922,36.8,36.8,35.3,36.25,26275,0
AAREYDRUGS,20210923,36.5,36.85,35.65,36.05,31534,0
AAREYDRUGS,20210924,36.6,36.6,35.55,36.4,19554,0
AAREYDRUGS,20210927,36.75,36.9,35.85,36.2,29653,0
AAREYDRUGS,20210928,36,36.85,35.5,35.8,41718,0
AAREYDRUGS,20210929,35.2,37.75,35.2,37.2,28582,0
AAREYDRUGS,20210930,37.4,37.5,36,36.2,54174,0
AAREYDRUGS,20211001,36.6,37.35,36.05,36.3,29822,0
AAREYDRUGS,20211004,37,38.5,36.1,37.4,59102,0
AAREYDRUGS,20211005,37.95,38,36.6,37.5,64654,0
AAREYDRUGS,20211006,37.5,37.9,36.5,36.7,37429,0
AAREYDRUGS,20211007,37,37.8,36.9,37,39068,0
AAREYDRUGS,20211008,37.5,37.6,36.5,36.85,40770,0
AAREYDRUGS,20211011,37.45,37.45,36.6,36.85,29961,0
AAREYDRUGS,20211012,37.3,37.3,36.5,36.6,28359,0
AAREYDRUGS,20211013,36.65,38.5,36.3,37.1,133321,0
AAREYDRUGS,20211014,37.1,39.6,37,37.2,86565,0
AAREYDRUGS,20211018,38,38,32.4,35.15,113818,0
AAREYDRUGS,20211019,36.35,36.7,35,35.35,29430,0
AAREYDRUGS,20211020,35.95,35.95,34.65,34.95,33712,0
AAREYDRUGS,20211021,34.2,35.85,32.7,33.85,35770,0
AAREYDRUGS,20211022,35.45,35.45,33.9,34.6,16746,0
AAREYDRUGS,20211025,34.6,34.95,33.35,33.8,26430,0
AAREYDRUGS,20211026,33.8,34.65,33.05,34,48969,0
AAREYDRUGS,20211027,33.4,34.35,33.4,33.85,36978,0
AAREYDRUGS,20211028,33.85,34.2,33.2,33.45,17579,0
AAREYDRUGS,20211029,33.2,33.8,32.65,32.9,30492,0
AAREYDRUGS,20211101,33.85,33.85,33.1,33.55,15930,0
AAREYDRUGS,20211102,32.75,33.8,32.6,32.75,38979,0
AAREYDRUGS,20211103,33.4,33.75,32.2,33.15,21154,0
AAREYDRUGS,20211104,34.9,34.9,32.85,33.45,7965,0
AAREYDRUGS,20211108,33.5,39.45,33.3,38.7,264571,0
AAREYDRUGS,20211109,39.25,39.25,36.35,36.85,75707,0
AAREYDRUGS,20211110,37.8,37.95,36.35,36.95,65236,0
AAREYDRUGS,20211111,37.4,37.4,36.4,36.6,21651,0
AAREYDRUGS,20211112,37.2,37.75,35.1,36.65,56045,0
AAREYDRUGS,20211115,36.65,37.9,36.1,37,67078,0
AAREYDRUGS,20211116,37.25,38.5,35,36.6,77440,0
AAREYDRUGS,20211117,36.05,36.85,35.5,35.75,38058,0
AAREYDRUGS,20211118,35.9,35.95,34.5,34.95,30760,0
AAREYDRUGS,20211122,37,37,31.65,33.65,41608,0
AAREYDRUGS,20211123,34.5,36.7,32.5,35.6,48878,0
AAREYDRUGS,20211124,35.8,36.4,34.15,34.95,41968,0
AAREYDRUGS,20211125,36.85,36.85,35,35.5,49264,0
