SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ACCELYA,20120906,164.95,168.05,157.65,168.05,12237,0
ACCELYA,20120907,176.45,176.45,174.2,176.45,33773,0
ACCELYA,20120908,174,185.25,174,185.25,14543,0
ACCELYA,20120910,184,194.5,180.05,194.5,62303,0
ACCELYA,20120911,192,204.2,190,204.2,36400,0
ACCELYA,20120912,202,214.4,202,212.95,61475,0
ACCELYA,20120913,210,212,202.35,205.35,27991,0
ACCELYA,20120914,205.3,215.45,197.35,199.85,21126,0
ACCELYA,20120917,196,197,190.05,195.8,11130,0
ACCELYA,20120918,187.05,195,187.05,193.05,2484,0
ACCELYA,20120920,187,192.45,184,190,10471,0
ACCELYA,20120921,185.3,199.5,185.3,199.5,12472,0
ACCELYA,20120924,198,209.45,198,209.4,21876,0
ACCELYA,20120925,208,218,202.4,215.2,19855,0
ACCELYA,20120926,210.05,221,207.5,213.2,16899,0
ACCELYA,20120927,208,220,202.55,203.55,15932,0
ACCELYA,20120928,195.05,207.9,195.05,202,10465,0
ACCELYA,20121001,195.2,206.7,195.2,205.1,3099,0
ACCELYA,20121003,197,215.35,197,215.05,13373,0
ACCELYA,20121004,206,214.4,206,212.65,11183,0
ACCELYA,20121005,209.9,213,204.8,207.65,10649,0
ACCELYA,20121008,198,209.9,198,208,3532,0
ACCELYA,20121009,202,214.5,202,208.75,5460,0
ACCELYA,20121010,200.6,215,200.6,210.05,8222,0
ACCELYA,20121011,204,215,204,212.45,7848,0
ACCELYA,20121012,207.1,217.7,207.1,213.15,8083,0
ACCELYA,20121015,205,223.8,205,223.8,9782,0
ACCELYA,20121016,222,234.95,222,234.95,15981,0
ACCELYA,20121017,233,243.7,224.15,235.35,16497,0
ACCELYA,20121018,223.6,240.6,223.6,235.15,16397,0
ACCELYA,20121019,231.05,246.9,231.05,246.9,12665,0
ACCELYA,20121022,244,259.2,241,252.25,32665,0
ACCELYA,20121023,232.5,247,232.5,234.9,15234,0
ACCELYA,20121025,225.5,243.5,225.5,234.45,8731,0
ACCELYA,20121026,224,237,224,227.7,5588,0
ACCELYA,20121029,226,235,225.9,226.25,5665,0
ACCELYA,20121030,224.1,228.25,219,221,3531,0
ACCELYA,20121031,210.5,229.65,210.5,219.75,1896,0
ACCELYA,20121101,210.6,228,210.6,219.5,6130,0
ACCELYA,20121102,218,224.4,218,222,6185,0
