SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ACKRUTI,20090630,532,537,505.25,512.45,91635,24190
ACKRUTI,20090701,519.9,520,500,507.95,49507,15136
ACKRUTI,20090702,515,533.35,505,512.35,113718,25421
ACKRUTI,20090703,509.9,524.65,502,507,39028,18209
ACKRUTI,20090706,515,523.6,481.65,481.65,48052,21814
ACKRUTI,20090707,485,489.25,448.3,466.05,47281,0
ACKRUTI,20090708,455,466,435.3,441.3,38004,15960
ACKRUTI,20090709,436.5,458,428,434.85,41228,8766
ACKRUTI,20090710,440,449.9,415.05,424.25,33262,13044
ACKRUTI,20090713,417.4,417.4,397.1,401.95,31255,12125
ACKRUTI,20090714,410,462.95,408.15,452.85,268572,36315
ACKRUTI,20090715,462,522,460,508.7,461626,67797
ACKRUTI,20090716,515,535,496,500.8,221733,0
ACKRUTI,20090717,511,525,506.35,511.65,146432,33394
ACKRUTI,20090720,519.4,553.9,510.25,542.25,449867,78403
ACKRUTI,20090721,547.4,547.4,522,526.35,116431,30899
ACKRUTI,20090722,528.7,546.6,509.4,513.6,109916,31219
ACKRUTI,20090723,522,529.95,515,523.65,76756,22441
ACKRUTI,20090724,530,554,523,549.05,206463,86339
ACKRUTI,20090727,557,574.9,549.1,562.25,153576,43051
ACKRUTI,20090728,568,592,565.35,585.85,205337,50023
ACKRUTI,20090729,578.25,603,553.7,568,257193,75540
ACKRUTI,20090730,562.1,586,557,566.25,87969,22595
ACKRUTI,20090731,570,577,547.2,552.45,82668,34026
ACKRUTI,20090803,559.8,565,546,561.75,63077,22640
ACKRUTI,20090804,561,568.95,541.2,547.4,53101,19500
ACKRUTI,20090805,554.7,558.5,542,549.5,43492,16432
ACKRUTI,20090806,544.1,555,514.1,532.2,49362,20392
ACKRUTI,20090807,522.5,532,495.1,512.5,62490,29020
ACKRUTI,20090810,524.8,528,494,500.5,36408,14077
ACKRUTI,20090811,493,526.8,481.65,498.25,80468,18636
ACKRUTI,20090812,489.85,509,480,503.8,92566,23574
ACKRUTI,20090813,512,530,508,513.45,135932,50637
ACKRUTI,20090814,519.7,519.75,491.5,496,94969,40161
ACKRUTI,20090817,495,514.45,486.2,492.1,104828,25755
ACKRUTI,20090818,492,504.5,491,497.15,46578,13826
ACKRUTI,20090819,500,504,490,491.6,34489,12745
ACKRUTI,20090820,499.9,500.85,490.2,492,22707,10358
ACKRUTI,20090821,490,498,486.2,490.7,29160,10678
ACKRUTI,20090824,500.05,505,485.25,490.55,72572,37272
ACKRUTI,20090825,493,498,485.1,488.4,62049,29590
ACKRUTI,20090826,493.5,497.4,488.4,490,53718,29304
ACKRUTI,20090827,491,538,490.5,510.8,513418,133724
ACKRUTI,20090828,518.65,540,512.5,526.15,548212,271908
ACKRUTI,20090831,516,572,516,560.7,594681,144390
ACKRUTI,20090901,565,587.9,550,565.4,725751,161100
ACKRUTI,20090902,560,573.8,552.3,569.35,295078,122457
ACKRUTI,20090903,568.5,589.8,568.5,581.15,249522,76365
ACKRUTI,20090904,589,589,575,580.15,234259,110704
ACKRUTI,20090907,584.9,590,562.2,569.6,103766,44762
ACKRUTI,20090908,573,584,573,576.2,89824,45657
ACKRUTI,20090909,574,578,561,563.7,29606,12713
ACKRUTI,20090910,568,583,564.1,569.85,91818,30076
ACKRUTI,20090911,566,574.95,553.25,556.2,44323,17987
ACKRUTI,20090914,558,561,542.15,546.95,26863,10124
ACKRUTI,20090915,550,564.7,550,556.8,54114,15222
ACKRUTI,20090916,560,568,540,543,106860,48662
ACKRUTI,20090917,545,552.8,533.1,536.6,63175,29770
ACKRUTI,20090918,530,569,530,538.95,300815,79596
ACKRUTI,20090922,543.45,545.5,535,537.5,96206,63516
ACKRUTI,20090923,541.5,554,536,538.9,226825,102009
ACKRUTI,20090924,536.8,541.7,534,537.05,126815,84457
ACKRUTI,20090925,538.8,565,535,557.2,520365,208222
ACKRUTI,20090929,560,565,540.25,548.3,196446,112847
ACKRUTI,20090930,548.3,554.5,544.05,546.4,89281,41899
ACKRUTI,20091001,550,562.5,545,553.75,154388,65302
ACKRUTI,20091005,549.5,555,538.2,540.95,74143,38962
ACKRUTI,20091006,544.9,549,531,533.8,62747,34174
ACKRUTI,20091007,540,540,526.05,532.5,81916,39073
ACKRUTI,20091008,538,543.75,531,538.05,163185,28056
ACKRUTI,20091009,542.85,550,530,532.9,160039,43280
ACKRUTI,20091012,535,540,531.15,532.6,111269,14264
ACKRUTI,20091014,535,545,532,534.6,278381,126001
ACKRUTI,20091015,536.15,540,532.05,535.45,153819,38735
ACKRUTI,20091016,535.75,562.4,534,556.45,282134,61574
ACKRUTI,20091017,557,564,550.1,553.2,52840,17549
ACKRUTI,20091020,560,568.8,546.55,550.65,160980,30479
ACKRUTI,20091021,550.6,563,545.15,548.2,157398,51082
ACKRUTI,20091022,545,555,537,540.8,115991,18198
ACKRUTI,20091023,545,551.75,536.1,538.2,116416,13262
ACKRUTI,20091026,544.45,546,532,536.65,92489,16677
ACKRUTI,20091027,535,537.95,495.9,507.45,153313,60146
ACKRUTI,20091028,506,514.05,496,502.25,112642,13882
ACKRUTI,20091029,500,504.7,485,497.6,118851,19497
ACKRUTI,20091030,515,515,495.05,501.05,120445,49824
ACKRUTI,20091103,500,504.9,474,485.55,192396,68212
ACKRUTI,20091104,490.1,499.95,484.05,497.65,131462,29227
ACKRUTI,20091105,499.8,505,493,499.2,123016,17395
ACKRUTI,20091106,501,507,495,498.3,146768,40487
ACKRUTI,20091109,501.15,507,492,495.2,135420,46266
ACKRUTI,20091110,501,503,489,493.3,110669,18664
ACKRUTI,20091111,495,499.9,493.5,498.85,110717,17157
ACKRUTI,20091112,499,518,496.6,510.75,183546,48020
ACKRUTI,20091113,511,555,506,542.15,405922,88513
ACKRUTI,20091116,548.5,555,536.5,544.2,143834,29382
ACKRUTI,20091117,546,546,535.3,538.1,118979,13823
ACKRUTI,20091118,538.1,548,535.35,541.4,118503,18058
ACKRUTI,20091119,540,546,525.15,534.4,116671,15301
ACKRUTI,20091120,534,551.75,525.15,544.8,101529,18318
ACKRUTI,20091123,552.2,552.2,533.15,544.15,89030,9416
ACKRUTI,20091124,555,555,536.25,542.7,108183,54809
ACKRUTI,20091125,549.8,554,537,539.9,115402,20158
ACKRUTI,20091126,540.5,544.7,531.65,536.65,83901,13884
ACKRUTI,20091127,534.7,546,505.1,537.5,105511,24433
ACKRUTI,20091130,545,551.9,533,538.85,73153,26328
ACKRUTI,20091201,540,542.95,535.1,537.25,97886,6928
ACKRUTI,20091202,541.95,549,537,544.75,120636,23184
ACKRUTI,20091203,501.65,549,501.65,539.2,110416,20275
ACKRUTI,20091204,540,540,531,533.25,105396,9296
ACKRUTI,20091207,536,539.9,530,532.5,91617,6189
ACKRUTI,20091208,530.5,538,520,531.2,141526,0
ACKRUTI,20091209,534.9,542.8,524.15,525.5,123916,27091
ACKRUTI,20091210,534.6,534.6,521.7,525.4,139830,0
ACKRUTI,20091211,528,534.05,518,523.55,142813,23552
ACKRUTI,20091214,525,526.5,510.1,515,145330,29852
ACKRUTI,20091215,515.1,521.8,506,509.85,102063,0
ACKRUTI,20091216,510,514,503,504.75,177350,102547
ACKRUTI,20091217,510,522.4,500,505.45,642112,467893
ACKRUTI,20091218,505,514.9,500,505.95,466243,283157
ACKRUTI,20091221,509.05,565.85,506.5,538.8,739589,111285
ACKRUTI,20091222,542,552,532.25,539.2,281730,78448
ACKRUTI,20091223,540,560.8,540,559,254603,72925
ACKRUTI,20091224,564,586,558.95,568.75,473918,0
ACKRUTI,20091229,570.1,573.6,546,550.3,231977,71941
ACKRUTI,20091230,551.05,558,545.05,548.25,125130,14535
ACKRUTI,20091231,549,564.3,549,554.3,154038,47453
ACKRUTI,20100104,559,568.95,546.55,549.85,166848,0
ACKRUTI,20100105,555,556.35,545.1,547.9,138314,0
ACKRUTI,20100106,548.8,572.4,545.3,547.9,246273,41107
ACKRUTI,20100107,553.4,558,541.25,543.35,122300,0
ACKRUTI,20100108,547,559.2,541,545.4,231737,82720
ACKRUTI,20100111,525,555,516,540.9,147862,41927
ACKRUTI,20100112,541,548,535,536.3,131518,20191
ACKRUTI,20100113,532.15,537.8,529.1,534.15,123258,20866
ACKRUTI,20100114,539.15,544.7,531.25,533.3,121111,18065
ACKRUTI,20100115,535,554,533.5,538.7,160669,48862
ACKRUTI,20100118,538.2,546.25,535.15,536.6,98054,0
ACKRUTI,20100119,539,544.95,529.55,530.5,135007,27724
ACKRUTI,20100120,534.95,548.8,525.05,528.2,155549,26342
ACKRUTI,20100121,530,537,515,516.85,100271,17496
ACKRUTI,20100122,510.1,514,497.2,503.35,104470,18339
ACKRUTI,20100125,505,514.35,501,505.2,125268,21264
ACKRUTI,20100127,504.8,512.35,464.8,489.3,119700,31014
ACKRUTI,20100128,496,502.5,485.35,499.85,121161,19133
ACKRUTI,20100129,493.05,511.5,492.15,506.4,207623,115150
ACKRUTI,20100201,515,522,500,503.9,176374,43654
ACKRUTI,20100202,510,511.9,495.15,498.35,136955,39706
ACKRUTI,20100203,505,505,495.5,497.1,152955,83280
ACKRUTI,20100204,500,503,471.65,491.2,126877,13766
ACKRUTI,20100205,480,491.9,470,483.6,83626,21542
ACKRUTI,20100206,485,490.7,483,485.1,4012,1953
ACKRUTI,20100208,490,496,472.15,486.6,116549,11578
ACKRUTI,20100209,492,493.95,486.1,489.15,112524,9970
ACKRUTI,20100210,487.25,494.25,483,486.55,92804,11325
ACKRUTI,20100211,491,492.3,482,484.85,86871,8013
ACKRUTI,20100215,489,489.7,480,481.95,96993,4566
ACKRUTI,20100216,486.9,490.9,480.05,488.25,124568,6394
