SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ADANIEXPO,19950512,535,535,535,535,100,0
ADANIEXPO,19950523,485,490,485,490,200,0
ADANIEXPO,19950524,485,500,485,495,500,0
ADANIEXPO,19950525,490,490,489.75,490,2400,0
ADANIEXPO,19950530,539,592.8,539,592.8,200,0
ADANIEXPO,19950531,586,600,586,599,600,0
ADANIEXPO,19950601,600,600,600,600,200,0
ADANIEXPO,19950602,590,590,585,585,200,0
ADANIEXPO,19950605,592.5,600,592.5,595,1700,0
ADANIEXPO,19950607,580,580,565,565,800,0
ADANIEXPO,19950608,575,580,570,575,1500,0
ADANIEXPO,19950609,575,579,570,577.05,1900,0
ADANIEXPO,19950612,575,575,515,515,6100,0
ADANIEXPO,19950613,518.95,525,508.1,525,1500,0
ADANIEXPO,19950615,525,530,525,527,800,0
ADANIEXPO,19950616,525,545,525,536,1300,0
ADANIEXPO,19950619,552,560,545,560,1300,0
ADANIEXPO,19950620,556,595,556,589.05,2400,0
ADANIEXPO,19950621,632,640,620,638.5,3100,0
ADANIEXPO,19950622,605,629,605,622.1,1100,0
ADANIEXPO,19950623,622,622.5,615,615,800,0
ADANIEXPO,19950626,608,608.5,606,606,300,0
ADANIEXPO,19950627,600,625,595,625,1700,0
ADANIEXPO,19950628,615,615,600,606.5,1300,0
ADANIEXPO,19950629,610,614.95,605,611.25,1200,0
ADANIEXPO,19950630,612,630,610.1,630,1500,0
ADANIEXPO,19950703,630,640,613,613,1300,0
ADANIEXPO,19950704,601,606,596.1,600.55,1100,0
ADANIEXPO,19950705,605.05,605.05,595,595,800,0
ADANIEXPO,19950706,585,595,585,590,900,0
ADANIEXPO,19950707,590,595,590,590,600,0
ADANIEXPO,19950710,600,621.5,600,621,1500,0
ADANIEXPO,19950711,614,625,614,616.1,1700,0
ADANIEXPO,19950712,631,640,626,637.5,1400,0
ADANIEXPO,19950713,650,668,650,662,2000,0
ADANIEXPO,19950714,660,665,657,660,800,0
ADANIEXPO,19950717,685,685,662,665,800,0
ADANIEXPO,19950718,684.9,684.9,610,640,1400,0
ADANIEXPO,19950719,690,693.5,686,691.95,2800,0
