SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ADANIGREEN,20180618,30,31.5,28.5,31.5,7006229,0
ADANIGREEN,20180619,32.7,33.05,31,32.6,2895692,0
ADANIGREEN,20180620,31.5,32.2,31,31,1115553,0
ADANIGREEN,20180621,29.45,30,29.45,29.65,2854524,0
ADANIGREEN,20180622,28.2,29.8,28.2,29.45,1612972,0
ADANIGREEN,20180625,30,30,28.5,28.95,365859,0
ADANIGREEN,20180626,28.8,29.4,27.55,28.8,493868,0
ADANIGREEN,20180627,28.3,28.3,27.4,27.4,133412,0
ADANIGREEN,20180628,26.05,26.05,26.05,26.05,61587,0
ADANIGREEN,20180629,24.75,27.35,24.75,26.8,1158865,0
ADANIGREEN,20180702,27.2,27.25,22.8,25.2,1369795,1032401
ADANIGREEN,20180703,26.95,26.95,24.5,26.35,519628,419282
ADANIGREEN,20180704,26,29.95,25.8,29.6,1033451,592525
ADANIGREEN,20180705,29.8,31.95,28.6,29.8,1546192,942016
ADANIGREEN,20180706,29,30.9,28.85,30.35,523472,308139
ADANIGREEN,20180709,30.45,31.4,29.55,30.95,616718,432788
ADANIGREEN,20180710,30.55,31.85,30.25,31.1,492511,305333
ADANIGREEN,20180711,31.05,33.4,30.6,31.95,1610144,722659
ADANIGREEN,20180712,31.8,32.9,30.95,31.1,524503,277788
ADANIGREEN,20180713,32.5,32.7,31.2,31.45,770830,305997
ADANIGREEN,20180716,32.4,32.4,30.85,31.1,696778,418889
ADANIGREEN,20180717,31.65,31.85,30.95,31.45,557931,345486
ADANIGREEN,20180718,31.5,31.75,29.55,29.75,497514,335363
ADANIGREEN,20180719,29.8,30.4,28.1,29.7,469529,254971
ADANIGREEN,20180720,29.95,35.6,29.5,35.4,5891772,1215336
ADANIGREEN,20180723,37.9,42.45,37.1,42.45,2766587,1028789
ADANIGREEN,20180724,45.85,46.65,45,46.65,1510186,547133
ADANIGREEN,20180725,50.7,51.3,47.1,51.3,868232,623308
ADANIGREEN,20180726,55.8,56.4,48,52.9,6847468,2162773
ADANIGREEN,20180727,54.5,54.8,51.15,52.35,1425686,517449
ADANIGREEN,20180730,52.8,57.55,52.8,57.55,2011508,915495
ADANIGREEN,20180731,60.4,60.4,58.6,60.4,3461295,1608199
ADANIGREEN,20180801,62.7,63.4,62.3,63.4,1023345,472925
ADANIGREEN,20180802,66.55,66.55,66.55,66.55,162902,155334
ADANIGREEN,20180803,69.85,69.85,69.85,69.85,116347,116347
ADANIGREEN,20180806,73.3,73.3,73.3,73.3,66210,66210
ADANIGREEN,20180807,71.3,73,69.65,69.65,1031500,696499
ADANIGREEN,20180808,66.2,66.2,66.2,66.2,71603,71603
ADANIGREEN,20180809,62.9,62.9,62.9,62.9,130477,130266
ADANIGREEN,20180810,61.55,66,60.1,66,3789655,1482827
ADANIGREEN,20180813,62.7,62.7,62.7,62.7,262033,260904
ADANIGREEN,20180814,59.6,59.6,59.6,59.6,117253,116191
ADANIGREEN,20180816,56.65,56.65,56.65,56.65,82087,82080
ADANIGREEN,20180817,53.85,59.45,53.85,54.7,4325129,1119257
ADANIGREEN,20180820,54.7,57.4,54.7,57.4,585571,320968
ADANIGREEN,20180821,59,60.25,56,57.1,2223954,866272
ADANIGREEN,20180823,58.7,59.95,56.55,57.2,946929,440185
ADANIGREEN,20180824,58.5,58.5,54.9,55.55,544872,288727
ADANIGREEN,20180827,55.2,57.4,53.25,55.5,1065753,358148
ADANIGREEN,20180828,56.1,58.25,55.35,58.25,895093,575122
ADANIGREEN,20180829,60,61.15,58,60.9,3048560,837189
ADANIGREEN,20180830,62.6,62.8,58.7,59.05,927625,548350
ADANIGREEN,20180831,59,59.4,56.9,57.4,611779,362603
ADANIGREEN,20180903,57.8,58.6,55.7,55.9,444735,265416
ADANIGREEN,20180904,56.8,56.8,53.25,53.5,528265,322290
ADANIGREEN,20180905,53.5,54.5,51,52.25,476641,273697
ADANIGREEN,20180906,53.25,54.85,52.45,54.85,773528,275200
ADANIGREEN,20180907,56,57.45,55,55.7,470728,267037
ADANIGREEN,20180910,56,56,53.75,54.05,277861,159718
ADANIGREEN,20180911,54.35,55.4,52,52.5,281671,164138
ADANIGREEN,20180912,54,54,51.2,52.65,248721,116400
ADANIGREEN,20180914,54.4,55.25,53.35,55.25,335372,221174
ADANIGREEN,20180917,55.5,56.2,52.9,53.75,383467,209494
ADANIGREEN,20180918,53.4,54.75,53.15,53.3,190458,111558
ADANIGREEN,20180919,54,54.2,51.4,51.8,242903,147812
ADANIGREEN,20180921,52.5,52.8,49.25,49.25,871518,667429
ADANIGREEN,20180924,48.8,48.8,46.8,46.8,298844,174766
ADANIGREEN,20180925,44.55,46.65,44.5,44.55,554878,269686
ADANIGREEN,20180926,46.45,46.75,44.6,45.2,757920,358984
ADANIGREEN,20180927,45.95,45.95,42.95,42.95,370953,247229
ADANIGREEN,20180928,42.95,43.3,40.85,40.85,241990,155533
ADANIGREEN,20181001,38.85,40.75,38.85,39.2,715774,510760
ADANIGREEN,20181003,40,40,37.25,37.25,610429,403077
ADANIGREEN,20181004,35.4,35.4,35.4,35.4,103762,103762
ADANIGREEN,20181005,33.65,33.65,33.65,33.65,80519,80519
ADANIGREEN,20181008,32.75,33.1,32,32,1125121,566415
ADANIGREEN,20181009,30.4,32.1,30.4,30.4,1129990,613668
ADANIGREEN,20181010,29.1,31.9,29.1,31.9,310963,260280
ADANIGREEN,20181011,32.9,33.45,32.05,33.45,351022,290739
ADANIGREEN,20181012,35.1,35.1,35.1,35.1,170930,104319
ADANIGREEN,20181015,35.9,36.85,35.25,36.85,2501987,1145459
ADANIGREEN,20181016,37.6,38.65,37.3,38.65,1241610,552107
ADANIGREEN,20181017,40.55,40.55,39.1,39.35,2436836,854524
ADANIGREEN,20181019,39.5,39.5,37.4,37.4,633110,365210
ADANIGREEN,20181022,37.45,38.85,35.55,35.75,421538,262380
ADANIGREEN,20181023,35.75,35.75,34,35.25,498569,273320
ADANIGREEN,20181024,35.55,37,35.55,37,856135,331462
ADANIGREEN,20181025,36.9,37.95,35.5,36.2,539990,278172
ADANIGREEN,20181026,36.7,37.3,35.5,36.2,276450,142295
ADANIGREEN,20181029,38,38,37.9,38,1008595,639874
ADANIGREEN,20181030,39.9,39.9,38.45,39.3,3882939,1474074
ADANIGREEN,20181031,39.3,40.5,37.35,39.65,2857119,1225930
ADANIGREEN,20181101,38.3,41.4,38,41.05,1500492,667574
ADANIGREEN,20181102,41.95,42.8,41.1,41.3,948252,560687
ADANIGREEN,20181105,41.85,43.35,41.85,43.35,664924,474816
ADANIGREEN,20181106,45,45.5,42.5,43.1,1558886,975694
ADANIGREEN,20181107,44.15,45.25,44,45.05,1009337,502128
ADANIGREEN,20181109,45.9,46.35,43.6,45.25,728245,435038
ADANIGREEN,20181112,45.25,45.9,43,43.1,488369,333678
ADANIGREEN,20181113,42.5,42.7,41.45,42.1,435533,234200
ADANIGREEN,20181114,42.35,43.8,42.3,42.7,412768,205060
ADANIGREEN,20181115,42.9,44.2,41.25,43.35,367324,235716
ADANIGREEN,20181116,44.4,44.4,41.7,42.35,499103,334739
ADANIGREEN,20181119,42.4,42.75,40.7,41.25,294550,190032
ADANIGREEN,20181120,41.25,42.85,41,41.45,364290,190392
ADANIGREEN,20181121,43,43.5,41.2,43.5,595503,339563
ADANIGREEN,20181122,44.5,45.65,43.8,45.65,1334318,641587
ADANIGREEN,20181126,46.6,47.9,46.2,47.9,1426646,730707
ADANIGREEN,20181127,48.9,50.25,48.6,49.45,1095967,625394
ADANIGREEN,20181128,50,50,47,48.4,1512866,636280
ADANIGREEN,20181129,48.6,49.7,46.9,47.45,628832,383969
ADANIGREEN,20181130,48,48.55,46.4,46.75,345988,201292
ADANIGREEN,20181203,47,47.5,45.3,46.05,317022,182200
ADANIGREEN,20181204,46.9,46.9,45,45.1,331553,200155
ADANIGREEN,20181205,44.4,47.35,44.4,46.8,1337441,424816
