SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AGLSL,20170720,140.1,147.1,140,147.1,24186,0
AGLSL,20170721,154.45,154.45,140.5,141.55,58821,0
AGLSL,20170724,138.7,143,134.5,136.15,29839,0
AGLSL,20170725,131.2,137.35,130.7,133.35,13253,0
AGLSL,20170726,132,140,132,140,10483,0
AGLSL,20170727,144.95,147,141,147,54239,0
AGLSL,20170728,150,152,140.05,146.65,14536,0
AGLSL,20170731,145,145,139.5,140.25,5240,0
AGLSL,20170801,139.1,144,139.1,143.25,6279,0
AGLSL,20170802,144.8,148,140.2,141.15,32881,0
AGLSL,20170803,147,150.95,131.55,136.25,124495,80360
AGLSL,20170804,133.55,138.95,126.2,131.15,55217,34023
AGLSL,20170807,125,139,125,132.1,25460,9381
AGLSL,20170808,134.45,134.5,128.7,131.05,10896,5486
AGLSL,20170809,123,134.95,123,127.5,7528,4645
AGLSL,20170810,126.1,129,120.1,124.75,15556,12847
AGLSL,20170811,118.6,124.7,118,121.7,12169,8286
AGLSL,20170814,134,135,121.25,123.05,12758,4662
AGLSL,20170816,122.05,125.95,121.55,124,10546,9137
AGLSL,20170817,125,130.3,125,128.1,29231,19174
AGLSL,20170818,125,130.5,124,129.8,21177,9845
AGLSL,20170821,130,132.65,125.1,125.6,4548,4333
AGLSL,20170822,126,129,119,121,9173,8074
AGLSL,20170823,125.8,129,120.2,121,3487,3020
AGLSL,20170824,122,125.85,120,122.2,10628,7458
AGLSL,20170828,123,123,114,119.35,20559,16831
AGLSL,20170829,119,119,116.1,116.8,6475,5152
AGLSL,20170830,117,120.95,115.55,118.85,10717,9108
AGLSL,20170831,119,119.95,114.8,117.5,7347,4726
AGLSL,20170901,117.45,117.75,114.8,115.5,9325,8326
AGLSL,20170904,116.8,119.5,112.05,115.05,9252,8111
AGLSL,20170905,112.55,121.05,112.5,118.5,14738,11354
AGLSL,20170906,120,137.05,120,133.75,99964,55397
AGLSL,20170907,139.1,143,127.35,130.1,36130,23027
AGLSL,20170908,128,132,123.8,131.45,3371,2387
AGLSL,20170911,128.3,133,107.8,127.95,24534,13461
AGLSL,20170912,126.35,132.8,126.05,129.15,15712,11474
AGLSL,20170913,126.2,131.7,123.75,125.9,4126,2822
AGLSL,20170914,129.35,130,126.6,128.95,2972,2165
AGLSL,20170915,129.95,133.8,128.05,131.25,15893,15035
AGLSL,20170918,131.75,139.95,131,136.75,23857,15465
AGLSL,20170919,139.7,140,136,136,5923,4692
AGLSL,20170920,136,139.85,134.2,136.6,13171,12065
AGLSL,20170921,141.95,142.95,133.6,137.15,24383,18900
AGLSL,20170922,141.8,141.8,130,132.25,11282,8348
AGLSL,20170925,132.5,132.5,125.8,126.15,3333,2098
AGLSL,20170926,129.4,130,122.45,127.15,6423,5343
AGLSL,20170927,130,130,117.1,120.55,6473,5395
AGLSL,20170928,125.4,127.4,121.45,125.3,957,554
AGLSL,20170929,124.65,128,120.5,121.75,2920,1666
AGLSL,20171003,122.5,125.45,121.1,124.45,3400,2445
AGLSL,20171004,125,127.8,120.7,121.85,914,668
AGLSL,20171005,125,125,118,118.6,8482,5125
AGLSL,20171006,118.65,125,118.65,123,8146,5056
AGLSL,20171009,119.9,123.45,119.65,121.95,3487,2900
AGLSL,20171010,118.6,126.95,118.45,122.85,7410,4437
AGLSL,20171011,124,126,115,120.1,12605,7393
AGLSL,20171012,124.5,124.5,118.25,120.1,1955,1399
AGLSL,20171013,122.45,129.4,120.05,126.75,41024,15558
AGLSL,20171016,127,129,122.05,126.15,11192,4728
AGLSL,20171017,124.1,126.5,120.25,121.2,2286,1748
AGLSL,20171018,121,125,119,121.3,3254,2296
AGLSL,20171019,125.8,129.9,121.1,124.3,2601,1882
AGLSL,20171023,128.45,128.45,117,118.45,60008,30668
AGLSL,20171024,122,122.8,115,116,35532,21267
AGLSL,20171025,121,121,115.35,117.85,9620,7306
AGLSL,20171026,116.15,118,114.5,116.6,5509,4023
AGLSL,20171027,114.05,119,114.05,117,7138,5320
AGLSL,20171030,115.5,119,115,115.15,6657,3680
AGLSL,20171031,118,119.5,115,118,11555,6566
AGLSL,20171101,116,119.7,113.5,115.4,28825,16823
AGLSL,20171102,115.5,127,114,123.9,33007,27355
AGLSL,20171103,126.9,127,120,123.5,15912,10668
AGLSL,20171106,127,127,121.55,122.65,4627,3637
AGLSL,20171107,124,127,122.45,125.1,22796,20904
AGLSL,20171108,125.9,128,123,124.85,10084,9355
AGLSL,20171109,127,127.95,122.1,123,13443,10296
AGLSL,20171110,125,127.8,121.5,123.45,13261,8443
AGLSL,20171113,123.05,126.35,120,120.7,23769,22042
AGLSL,20171114,125,125,119.7,121.05,4569,1738
AGLSL,20171115,120.15,122.95,120,121.4,6152,5279
AGLSL,20171116,120.05,126.8,120,124.45,26412,23864
AGLSL,20171117,121.2,127.5,121.2,124.4,13637,11695
AGLSL,20171120,125,134,125,133.6,82440,58179
AGLSL,20171121,135,135,128.15,129.05,17165,12833
AGLSL,20171122,129,129,125.1,127.35,13098,5963
AGLSL,20171123,132,137.8,129,129.35,10505,8343
AGLSL,20171124,126.3,130.95,124,128.25,2362,2161
