SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AGREVOIND,19981202,473.1,473.1,471,471,400,0
AGREVOIND,19981203,489,489,472.3,472.3,200,0
AGREVOIND,19981204,479.9,480,479.9,480,200,0
AGREVOIND,19981207,483,484,483,484,200,0
AGREVOIND,19981208,500,507,500,500,500,0
AGREVOIND,19981209,508.05,519.95,502,503,4100,0
AGREVOIND,19981210,502.9,507,500,504,700,0
AGREVOIND,19981214,509,509,500.05,500.05,500,0
AGREVOIND,19981215,500,500,466,469,1500,0
AGREVOIND,19981216,485,489,480,480,300,0
AGREVOIND,19981217,489.95,490,479,479,600,0
AGREVOIND,19981218,480,480,480,480,200,0
AGREVOIND,19981221,490,494.95,490,490,300,0
AGREVOIND,19981222,487,487,487,487,100,0
AGREVOIND,19981223,510,510,500,500,22900,0
AGREVOIND,19981228,495,495,495,495,100,0
AGREVOIND,19981229,495,495,480,480,200,0
AGREVOIND,19981231,486,488,485,487.5,900,0
AGREVOIND,19990101,495,495,495,495,200,0
AGREVOIND,19990104,494.5,500.05,494.5,500,600,0
AGREVOIND,19990105,504,528,504,528,1300,0
AGREVOIND,19990106,560,569.15,560,569.15,12700,0
AGREVOIND,19990107,573.5,582,571,571,1100,0
AGREVOIND,19990108,573,575,555,574,2400,0
AGREVOIND,19990111,579,582.5,571.05,571.05,1700,0
AGREVOIND,19990112,569.95,569.95,529.5,529.5,11700,0
AGREVOIND,19990113,552,570,552,560,12100,0
AGREVOIND,19990114,551,551,545,545,400,0
AGREVOIND,19990115,555,555,555,555,100,0
AGREVOIND,19990118,559,598,559,598,1400,0
AGREVOIND,19990119,625,644.45,625,634.5,10900,0
AGREVOIND,19990121,675,685,654,680.5,11500,0
AGREVOIND,19990122,720,720,645.05,665,4000,0
AGREVOIND,19990125,680,680,660,660,1100,0
AGREVOIND,19990127,665,665,662,662,400,0
AGREVOIND,19990128,666,666,661,661,800,0
AGREVOIND,19990129,642.05,643,633,633,1100,0
AGREVOIND,19990201,679,679,655,655,200,0
AGREVOIND,19990202,630,630,630,630,10000,0
AGREVOIND,19990203,635.5,640,630,638,12400,0
AGREVOIND,19990204,633,660,633,650,2700,0
AGREVOIND,19990205,640,645,630,635,1000,0
AGREVOIND,19990208,643.75,648,635.8,635.8,900,0
AGREVOIND,19990209,630,642,630,630,5300,0
AGREVOIND,19990210,669.9,680.35,660,680.35,8200,0
AGREVOIND,19990211,687.95,702,680,699,7000,0
AGREVOIND,19990212,700,739,697.5,739,7000,0
AGREVOIND,19990215,779.75,779.75,745,767,9500,0
AGREVOIND,19990216,773.95,795,764,785.9,6300,0
AGREVOIND,19990217,789,810,768,793,6200,0
AGREVOIND,19990218,795,796.55,761,761,2700,0
AGREVOIND,19990219,750,750,741,743.1,2400,0
AGREVOIND,19990222,780,780,714,720,2400,0
AGREVOIND,19990223,710,725,710,720,2200,0
AGREVOIND,19990224,700.25,719.9,700.25,711,1200,0
AGREVOIND,19990225,711,731,700,700,11500,0
AGREVOIND,19990226,700,702.55,692.05,696,2200,0
AGREVOIND,19990227,715,720,710,710,3900,0
AGREVOIND,19990301,700,766,699,766,19300,0
AGREVOIND,19990303,803,827.3,776,827.3,11600,0
AGREVOIND,19990304,836.95,855,800,842.35,6700,0
AGREVOIND,19990305,830.1,908,830.1,871,10300,0
AGREVOIND,19990308,919.95,931,875,877,24200,0
AGREVOIND,19990309,890,920,885,917.5,5600,0
AGREVOIND,19990310,920,930,894.1,922.5,4700,0
AGREVOIND,19990311,925,929,890,890,13800,0
AGREVOIND,19990312,855,910,855,905.6,300,0
AGREVOIND,19990315,900,900,900,900,600,0
AGREVOIND,19990316,890,895,842,869,2800,0
AGREVOIND,19990317,875,875,852.5,852.5,400,0
AGREVOIND,19990319,910,916.95,885,885,300,0
AGREVOIND,19990320,870,870,870,870,300,0
AGREVOIND,19990322,873,900,851.1,874.65,1100,0
AGREVOIND,19990323,888,890.1,875,881,1700,0
AGREVOIND,19990324,899,899,875,875,500,0
AGREVOIND,19990330,831.1,835,825.05,825.05,500,0
AGREVOIND,19990331,850,880,850,880,1600,0
AGREVOIND,19990401,899,900,888,888,300,0
AGREVOIND,19990405,875,875,875,875,1400,0
AGREVOIND,19990406,820,860,820,825,800,0
AGREVOIND,19990407,840,855,831,832,400,0
AGREVOIND,19990408,870,870,808,848,10300,0
AGREVOIND,19990409,802,802,802,802,100,0
AGREVOIND,19990413,775,775,775,775,100,0
AGREVOIND,19990416,740,837,725,800,1900,0
AGREVOIND,19990417,801.05,801.05,740,740,500,0
AGREVOIND,19990419,700,769.9,700,769.9,300,0
AGREVOIND,19990420,750,760,725.35,760,900,0
AGREVOIND,19990421,780,780,752,752,300,0
AGREVOIND,19990422,793.75,793.75,740,740,400,0
AGREVOIND,19990423,715.1,715.1,715.1,715.1,100,0
AGREVOIND,19990426,700,709.95,658,658,400,0
AGREVOIND,19990504,650,650,650,650,100,0
AGREVOIND,19990507,650,650,625,625,1300,0
AGREVOIND,19990510,640,675,640,675,4000,0
AGREVOIND,19990511,688,688,661.05,661.05,26100,0
AGREVOIND,19990512,700,713,680,705,2700,0
AGREVOIND,19990513,705,705,688,700,400,0
AGREVOIND,19990514,685,685,666,675.5,1200,0
AGREVOIND,19990517,660,660,640,640,900,0
AGREVOIND,19990518,649,655,649,650,1000,0
AGREVOIND,19990519,674,674,674,674,100,0
