SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AICHAMP,20070214,75,268.2,75,233.65,2349166,109615
AICHAMP,20070215,235,280.4,235,280.4,666936,117869
AICHAMP,20070219,286,336.5,265,331.95,889037,65803
AICHAMP,20070220,340,398.35,340,386.8,1434992,117597
AICHAMP,20070221,414,425.5,395.5,425.5,715381,66666
AICHAMP,20070222,434,458,411,432.15,1097697,137510
AICHAMP,20070226,350.05,350.05,350.05,350.05,1614,1614
AICHAMP,20070227,315.05,315.05,315.05,315.05,449,449
AICHAMP,20070228,283.55,283.55,283.55,283.55,81,81
AICHAMP,20070301,269.4,269.4,269.4,269.4,479,479
AICHAMP,20070302,255.95,255.95,255.95,255.95,15274,12152
AICHAMP,20070305,243.15,243.15,243.15,243.15,50,50
AICHAMP,20070306,231,231,231,231,220,220
AICHAMP,20070307,219.45,219.45,219.45,219.45,2516,2016
AICHAMP,20070308,208.5,208.5,208.5,208.5,310,310
AICHAMP,20070309,198.1,198.1,198.1,198.1,36,36
AICHAMP,20070312,188.2,188.2,188.2,188.2,216,216
AICHAMP,20070313,178.8,192.8,178.8,186.75,283301,94190
AICHAMP,20070314,177.45,177.45,177.45,177.45,4920,4920
AICHAMP,20070315,168.6,177.5,168.6,168.6,130925,56505
AICHAMP,20070316,160.5,163.5,160.2,160.2,7643,5743
AICHAMP,20070319,152.2,166,152.2,152.55,131213,56740
AICHAMP,20070320,159,160.2,145.35,160.2,105921,21934
AICHAMP,20070321,168.25,168.25,152.2,152.2,113040,51350
AICHAMP,20070322,146.1,153.9,144.6,144.6,26892,10201
AICHAMP,20070323,138.1,151.85,137.4,138.05,52670,16569
AICHAMP,20070326,132.1,138.95,131.15,131.15,39715,21303
AICHAMP,20070328,129,129,124.6,125.15,81327,68219
AICHAMP,20070329,123.15,127.75,118.9,119.15,85505,66082
AICHAMP,20070330,124.9,125.15,115.3,125.15,57794,13074
AICHAMP,20070402,124,131.45,120.5,125.75,23837,8522
AICHAMP,20070404,123,126.55,114.5,126.55,43055,8357
AICHAMP,20070405,132,132.9,132,132.9,3345,3344
AICHAMP,20070409,139.55,139.55,139.55,139.55,384,0
AICHAMP,20070410,146.55,146.55,132.6,132.6,71951,22518
AICHAMP,20070411,126.35,128.9,126,126,6395,0
AICHAMP,20070412,119.8,122.95,119.7,119.7,6481,0
AICHAMP,20070413,117,124.4,113.75,114.1,12279,0
AICHAMP,20070416,109,117.5,109,112.9,4220,2476
AICHAMP,20070417,113,114.9,109,109.85,3748,0
AICHAMP,20070418,109.2,111.35,105.75,107.4,2858,0
AICHAMP,20070419,104.1,108.2,103,103.65,2634,0
AICHAMP,20070420,102.5,103.9,99.5,100.4,2017,0
AICHAMP,20070423,98.65,105.45,98.65,105.45,3206,2041
AICHAMP,20070424,109,110.75,108,110.75,2931,2411
AICHAMP,20070425,116.3,116.3,114.1,116.3,3184,2466
AICHAMP,20070426,122.1,122.15,112,116.1,14775,6468
AICHAMP,20070427,110.5,112,110.3,110.3,1128,1128
AICHAMP,20070430,104.8,104.8,104.8,104.8,1131,1131
AICHAMP,20070503,99.75,106.9,99.6,101.65,6888,3841
AICHAMP,20070504,100.4,103.85,98,100.55,3821,2951
AICHAMP,20070507,101,105.2,95.6,98.55,4879,2862
AICHAMP,20070508,99,103.2,94,96,3270,0
AICHAMP,20070509,94.3,96,92.6,92.8,2247,1096
AICHAMP,20070510,93.85,97.45,91.65,97.15,13718,0
AICHAMP,20070511,98.1,101,93.2,96.75,2229,0
AICHAMP,20070514,98.1,98.1,91.95,92.2,6257,0
AICHAMP,20070515,91.5,94,91.5,92.15,4494,0
AICHAMP,20070516,90.6,92.5,90.6,91.55,2511,1495
AICHAMP,20070517,91.65,93.1,88.3,89.15,1990,1385
AICHAMP,20070518,91.9,91.9,88.85,89.3,1167,0
AICHAMP,20070521,90,91.7,88,88.8,1649,0
AICHAMP,20070522,89.9,90,87.1,88.1,962,0
AICHAMP,20070523,86,87.9,84.35,85.15,3022,0
AICHAMP,20070524,82.5,86.6,82.5,82.9,1273,0
AICHAMP,20070525,79.4,87.05,79.4,87.05,2738,0
AICHAMP,20070528,91.4,91.4,91.4,91.4,480,0
AICHAMP,20070529,95.9,96,88,96,9163,0
AICHAMP,20070530,98.9,100,95.05,96.6,7871,4490
AICHAMP,20070531,97,97.4,93.35,94.75,4733,2911
AICHAMP,20070601,91.2,93.75,90.05,90.05,1848,1603
AICHAMP,20070604,88.1,89.9,85.55,86.1,3594,0
AICHAMP,20070605,83,86.9,83,85.1,1434,895
AICHAMP,20070606,84.2,86.65,83.2,83.75,551,0
AICHAMP,20070607,87,87.65,83,83.8,1419,0
AICHAMP,20070608,83.05,86.4,81,81.65,1693,0
AICHAMP,20070611,83.95,85.75,81.6,83.25,1794,0
AICHAMP,20070612,82.25,82.25,80.4,80.8,435,0
AICHAMP,20070613,80.5,82.35,78.2,79.1,608,0
AICHAMP,20070614,79.1,83,78.1,81.55,988,0
AICHAMP,20070615,80,83,78,79.45,1053,0
AICHAMP,20070618,82.9,82.9,78.5,79.25,307,0
AICHAMP,20070619,79,80.65,76.4,77.5,3000,0
AICHAMP,20070620,78.75,80,78.45,79.8,583,0
AICHAMP,20070621,77.2,81.9,77.2,80.1,738,0
AICHAMP,20070622,80.9,80.9,79.2,80.1,835,0
AICHAMP,20070625,83.75,83.75,79.25,80.95,543,0
AICHAMP,20070626,81.3,82.5,78.9,80.9,576,0
AICHAMP,20070627,80.15,83,80.1,80.3,2275,0
AICHAMP,20070628,80,80,78.85,79.2,370,0
AICHAMP,20070629,82.8,82.8,80,80.1,468,0
AICHAMP,20070702,83.9,84,79,80.6,371,0
