SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AKG,20210216,102.65,102.65,98.2,102.4,38319,0
AKG,20210217,102,106.95,97.3,97.3,27239,0
AKG,20210218,97.3,97.3,92.45,92.45,575,0
AKG,20210219,87.85,87.85,87.85,87.85,471,0
AKG,20210222,83.5,83.5,83.5,83.5,68,0
AKG,20210223,79.35,87.65,79.35,87,10263,0
AKG,20210224,87,91.35,83.05,90.55,4221,0
AKG,20210225,94,94.95,86.05,88.5,2222,0
AKG,20210226,92,92.9,86.55,91.5,8280,0
AKG,20210301,91.55,96.05,91.55,93.5,45510,0
AKG,20210302,93.05,94.7,93.05,94.45,45385,0
AKG,20210303,96.35,96.35,95,96.1,147247,0
AKG,20210304,96.25,97,96,96.85,157065,0
AKG,20210305,97.45,99,96.5,97.05,187915,0
AKG,20210308,97.5,101.9,97.5,98.55,166176,0
AKG,20210309,99,102.25,98.95,100.9,229711,0
AKG,20210310,101.95,102.1,100.55,101.65,146683,0
AKG,20210312,101.7,102.65,98,102.25,293589,0
AKG,20210315,103,107.35,102,107.35,703387,0
AKG,20210316,108,112.7,102,110.8,603544,0
AKG,20210317,110.7,110.8,105.3,105.3,109717,0
AKG,20210318,100.05,100.05,100.05,100.05,3302,0
AKG,20210319,95.05,95.05,95.05,95.05,540,0
AKG,20210322,90.3,90.3,90.3,90.3,641,0
AKG,20210323,85.8,85.8,85.8,85.8,448,0
AKG,20210324,81.55,81.55,81.55,81.55,265,0
AKG,20210325,77.5,77.5,77.5,77.5,292,0
AKG,20210326,73.65,73.65,73.65,73.65,239,0
AKG,20210330,70,70,70,70,209,0
AKG,20210331,66.5,66.5,66.5,66.5,51,0
AKG,20210401,63.2,63.2,63.2,63.2,2122,0
AKG,20210405,60.05,60.05,60.05,60.05,1785,0
AKG,20210406,57.05,57.05,57.05,57.05,725,0
AKG,20210407,54.2,54.2,54.2,54.2,5729,0
AKG,20210408,51.5,51.5,51.5,51.5,10530,0
AKG,20210409,48.95,48.95,48.95,48.95,4843,0
AKG,20210412,46.55,46.55,46.55,46.55,1254,0
AKG,20210413,44.25,44.25,44.25,44.25,1065,0
AKG,20210415,42.05,42.05,42.05,42.05,377,0
AKG,20210416,39.95,39.95,39.95,39.95,4411,0
AKG,20210419,38,38,38,38,177,0
AKG,20210420,36.1,39.9,36.1,36.1,61265,0
AKG,20210422,34.3,34.3,34.3,34.3,17450,0
AKG,20210423,32.6,32.6,32.6,32.6,4718,0
AKG,20210426,31,31,31,31,2017,0
AKG,20210427,29.45,29.45,29.45,29.45,8826,0
AKG,20210428,28,30.45,28,28.05,63977,0
AKG,20210429,26.7,29.45,26.7,29.45,22999,0
AKG,20210430,30.9,30.9,30.9,30.9,7855,0
AKG,20210503,32.4,32.4,32.4,32.4,3641,0
AKG,20210504,34,34,30.8,30.85,41502,0
AKG,20210505,32,32,29.35,30,16393,0
AKG,20210506,31.35,31.35,28.5,28.95,13781,0
AKG,20210507,27.7,30.25,27.7,28.1,9532,0
AKG,20210510,27.7,28.55,26.75,27.1,11869,0
AKG,20210511,27.1,27.55,26.55,26.7,5568,0
AKG,20210512,28,28,25.65,26.5,5887,0
AKG,20210514,25.85,27.8,25.85,27.8,14487,0
AKG,20210517,27.8,28.9,27.05,27.7,6820,0
AKG,20210518,29.05,29.05,26.9,27.35,5552,0
AKG,20210519,28,28,26.55,27.05,5366,0
AKG,20210520,27.8,28.4,27,27.8,5362,0
AKG,20210521,29.15,29.15,27.05,28.05,10972,0
AKG,20210524,26.75,28.05,26.75,27.15,4541,0
AKG,20210525,28.4,28.4,27.05,27.45,6026,0
AKG,20210526,27.25,27.35,27.1,27.1,4799,0
AKG,20210527,27.3,27.3,26,26.45,4473,0
AKG,20210528,26.4,27.5,26.4,27.1,5062,0
AKG,20210531,27.15,28.45,26.5,27.15,4294,0
AKG,20210601,26.65,28.25,26.5,26.95,5904,0
AKG,20210602,26.95,27.4,26.95,27.15,4319,0
AKG,20210603,26,27.8,26,27,2649,0
AKG,20210604,28,28,26.15,26.95,5397,0
AKG,20210607,26.1,28,26.1,27.4,7170,0
AKG,20210608,27.2,28.4,27,28.25,9792,0
AKG,20210609,28.5,29.65,28.5,29.45,14870,0
AKG,20210610,30,30.9,29.9,30.3,22420,0
AKG,20210611,31,31.45,30.05,30.6,6176,0
AKG,20210614,30.6,30.6,29.1,29.6,5786,0
AKG,20210615,29,30.35,29,30.1,2543,0
AKG,20210616,31.1,31.1,29.5,30.35,4716,0
AKG,20210617,30.35,30.35,29.25,29.3,14546,0
AKG,20210618,29.35,29.55,28,28.5,13414,0
AKG,20210621,27.95,29.65,27.5,28.35,5720,0
AKG,20210622,28.5,29.65,27.75,29.45,12574,0
AKG,20210623,29.45,30.1,28.15,28.7,7538,0
AKG,20210624,28.35,29.05,28.2,28.35,2800,0
AKG,20210625,28.8,28.95,28.1,28.6,16994,0
AKG,20210628,28.05,29.35,27.7,28.3,11289,0
AKG,20210629,27.75,29.15,27.75,27.85,19121,0
AKG,20210630,27.3,28.5,27.3,27.7,8872,0
AKG,20210701,26.5,28.4,26.5,26.9,22051,0
AKG,20210702,27,28.2,27,27.55,21288,0
AKG,20210705,27,28.2,27,28,9644,0
AKG,20210706,28.45,28.65,27.05,27.35,21244,0
AKG,20210707,26.65,27.9,26.65,27.5,5424,0
AKG,20210708,28,28.45,26.55,26.6,7179,0
AKG,20210709,27.15,27.15,26.25,26.45,3048,0
AKG,20210712,27,27.75,26.9,27.75,9562,0
AKG,20210713,27.55,28.8,26.7,26.8,6897,0
AKG,20210714,26.6,27.7,26.3,27.1,3228,0
AKG,20210715,27.45,27.55,26.3,26.7,29571,0
AKG,20210716,26.15,27.25,26.1,26.6,29005,0
AKG,20210719,26.05,27.15,25.5,25.65,17748,0
AKG,20210720,26.45,26.45,24.75,24.95,8870,0
AKG,20210722,24.8,25.85,24.6,24.95,6684,0
AKG,20210723,24.5,25.8,24.5,24.95,6816,0
AKG,20210726,24.2,26.15,24.2,26.05,6252,0
AKG,20210727,27.25,27.25,26.2,26.65,9859,0
AKG,20210728,26.75,26.75,25.55,25.9,1512,0
AKG,20210729,26,26.45,25.25,25.25,6919,0
AKG,20210730,26,26.3,25.25,25.8,1585,0
AKG,20210802,26.8,26.8,24.75,25.3,3897,0
AKG,20210803,25.05,25.7,24.3,24.45,8712,0
AKG,20210804,24.35,25.2,24.15,24.4,5524,0
AKG,20210805,24.2,24.95,24.2,24.25,4266,0
AKG,20210806,24.2,24.8,23.25,24.45,8817,0
AKG,20210809,26.25,26.25,23.55,24.9,5336,0
AKG,20210810,25.35,26.8,24.6,24.7,4271,0
AKG,20210811,24.1,24.65,22.25,23.3,17006,0
AKG,20210812,23.8,25.4,23.8,24.25,10281,0
AKG,20210813,24.25,24.8,23.4,23.85,2791,0
AKG,20210816,23.9,24.75,21.75,24.15,12386,0
AKG,20210817,24.75,24.75,23.05,24,4015,0
AKG,20210818,23.3,23.95,22.1,23.05,3585,0
AKG,20210820,23.75,23.95,22.55,23.45,5165,0
AKG,20210823,23.4,23.4,21.5,22.55,1627,0
AKG,20210824,22.3,23.15,21,22.15,2204,0
AKG,20210825,22.9,23.75,21.5,23.1,3458,0
AKG,20210826,24,24,22.75,23.5,2678,0
AKG,20210827,23.35,25.1,23,24.9,6641,0
AKG,20210830,26.9,26.9,23.25,24.9,12764,0
AKG,20210831,24.9,26.95,24.05,25.25,15745,0
AKG,20210901,26.8,26.8,24.5,25.65,14886,0
AKG,20210902,25.95,25.95,24.75,25.65,9140,0
AKG,20210903,26.45,26.45,24.3,24.65,5593,0
AKG,20210906,24.4,25.15,24.4,24.85,2073,0
AKG,20210907,25.4,25.45,24.05,24.5,6769,0
AKG,20210908,25.25,25.25,23.5,24.8,4310,0
AKG,20210909,24.55,24.95,23.15,24.1,2155,0
AKG,20210913,24.1,25,23.55,24.85,1959,0
AKG,20210914,25.25,25.3,23,24.2,52460,0
AKG,20210915,24.7,24.7,23.55,23.85,11654,0
AKG,20210916,24.5,24.5,23.9,24.35,3564,0
AKG,20210917,24,24.8,24,24.25,3936,0
AKG,20210920,24,24.2,23.6,23.85,1927,0
AKG,20210921,23.5,25.4,23,24.3,12673,0
AKG,20210922,25.25,25.25,24.05,24.65,2236,0
AKG,20210923,25.15,25.15,22.35,24.05,7943,0
AKG,20210924,24,24.25,23.7,24,802,0
AKG,20210927,23.95,24.55,23.95,24,611,0
AKG,20210928,23.9,24.2,23.8,24.2,2128,0
AKG,20210929,23.95,25,23.5,23.9,4216,0
AKG,20210930,23.55,26.25,23.55,24.9,23739,0
AKG,20211001,24.9,25.45,24.3,24.55,8131,0
AKG,20211004,24.55,24.9,24.5,24.6,5109,0
AKG,20211005,24.4,25.5,24.4,25.45,9052,0
AKG,20211006,25.45,26.7,24.55,26.4,18001,0
AKG,20211007,28,28,26.4,26.7,30826,0
AKG,20211008,26.5,28.5,26.1,28.15,63875,0
AKG,20211011,28.75,33.75,28.75,33.75,51655,0
AKG,20211012,40.5,40.5,40.5,40.5,467042,0
AKG,20211013,44.55,44.55,44.55,44.55,13520,0
AKG,20211014,48.5,48.5,40.1,43.65,285526,0
AKG,20211018,41.45,46.9,41.45,44.45,87595,0
AKG,20211019,47,47,40.35,42.7,73185,0
AKG,20211020,41.15,44.2,39.35,42,92851,0
AKG,20211021,43.5,45.7,41.3,41.75,111551,0
AKG,20211022,42.5,43.15,41,42.1,19148,0
AKG,20211025,44.95,44.95,41.15,41.5,39581,0
AKG,20211026,41.6,42.4,40.25,41.25,92069,0
AKG,20211027,40.25,43.85,39.75,43.25,67137,0
AKG,20211028,42.05,42.7,39.7,41.15,44160,0
AKG,20211029,40.6,41.8,39.9,40.2,61854,0
AKG,20211101,38.25,42.5,38,40.95,70882,0
AKG,20211102,40.15,41.8,39.5,39.85,15977,0
AKG,20211103,40.8,42,39.6,40.45,15836,0
AKG,20211104,40.45,42.5,39.95,41.25,20949,0
AKG,20211108,42.1,42.7,39.55,41.95,117975,0
AKG,20211109,42.05,42.75,40.35,40.9,6462,0
AKG,20211110,41,42.5,39.3,39.9,54522,0
AKG,20211111,40.1,40.95,39.05,39.7,9857,0
AKG,20211112,39.75,39.95,38.3,39.5,9374,0
AKG,20211115,39,39.95,38.5,38.65,6567,0
AKG,20211116,39.6,41,37.15,38.65,114195,0
AKG,20211117,37.4,39,37.35,37.8,102571,0
AKG,20211118,38.95,38.95,35,35.8,45035,0
AKG,20211122,36.1,37,34.25,35.2,10281,0
AKG,20211123,34.75,38.7,34.55,36.7,11005,0
AKG,20211124,37,40.25,35.6,36.45,28651,0
AKG,20211125,36.4,39.4,35.6,36.05,5087,0
AKG,20211126,36.1,37.6,35.4,35.95,23442,0
AKG,20211129,36.7,36.7,34,34.95,26659,0
AKG,20211130,35.95,38.2,35.15,35.2,39221,0
AKG,20211201,35.55,36.25,34.1,35.05,20935,0
AKG,20211202,34.2,37.2,34.2,36.9,4035,0
AKG,20211203,38.2,38.95,35.2,36.25,11751,0
AKG,20211206,35.3,37.8,35.2,36,7294,0
AKG,20211207,36.5,37.85,34.25,35.2,19241,0
AKG,20211208,35.15,37.05,35.15,35.7,73038,0
AKG,20211209,36.8,37,35.75,36.6,39642,0
AKG,20211210,37.2,37.5,36,36.4,88760,0
AKG,20211213,36.4,41,35.2,38.3,96105,0
AKG,20211214,39.1,42,37.85,39.3,131788,0
AKG,20211215,40.1,41,38.8,40.05,29316,0
AKG,20211216,39.7,40.75,39.05,39.4,35468,0
AKG,20211217,39.4,40.15,31.75,37.4,47925,0
AKG,20211220,37,38.05,36.05,36.5,68919,0
AKG,20211221,37.05,37.45,36.1,36.5,59661,0
AKG,20211222,36.55,40.1,35.35,38.45,79647,0
AKG,20211223,37.8,39.45,37.5,38.1,66313,0
AKG,20211224,38.8,45.7,38.4,45.7,406681,0
AKG,20211227,48.4,51.8,46,47.3,541041,0
AKG,20211228,48.8,48.8,44.3,46.55,166963,0
AKG,20211229,48,48.4,43.5,45.05,88813,0
AKG,20211230,45.3,47.85,45.3,46.7,76911,0
AKG,20211231,48.25,48.25,46,47.2,24457,0
AKG,20220103,48.7,56,47.2,54.65,152803,0
AKG,20220104,58,58,48,52,224998,0
AKG,20220105,54.2,54.8,49.45,52.7,47857,0
AKG,20220106,53.25,53.7,51.05,51.6,39526,0
AKG,20220107,51.7,55.85,51.3,53.6,69002,0
AKG,20220110,55.9,63,52.7,61.3,350960,0
AKG,20220111,62.5,62.5,56.8,58.2,108413,0
AKG,20220112,58.75,60.95,56.5,58.75,106272,0
AKG,20220113,60.1,60.1,55,55.25,320314,0
AKG,20220114,56.7,56.95,55.6,55.85,36143,0
AKG,20220117,55.85,57,52.95,54.15,28669,0
AKG,20220118,55.45,55.45,48.75,49.55,53217,0
AKG,20220119,49.55,50.65,46.55,48.05,38146,0
AKG,20220120,49.05,49.95,48.05,49.35,23703,0
