SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ALTOS,19950510,91,91,90.5,90.5,600,0
ALTOS,19950512,95,95,95,95,100,0
ALTOS,19950515,88,88,88,88,100,0
ALTOS,19950516,88,88,87,87,800,0
ALTOS,19950517,88,90,88,90,200,0
ALTOS,19950518,90,92,90,91.2,400,0
ALTOS,19950519,95,95,91,91.05,400,0
ALTOS,19950522,89,90.5,89,90,800,0
ALTOS,19950523,88,89.5,88,88,700,0
ALTOS,19950524,90,90.5,89,90,500,0
ALTOS,19950525,90.05,90.05,89,89.05,1500,0
ALTOS,19950526,87,88,87,88,200,0
ALTOS,19950529,89,89,87.5,87.5,400,0
ALTOS,19950530,87,89.5,87,87,600,0
ALTOS,19950531,90,90.35,90,90.25,800,0
ALTOS,19950601,89.5,91,89.5,91,400,0
ALTOS,19950602,91,96.25,91,96.25,400,0
ALTOS,19950605,97,100,97,97.1,800,0
ALTOS,19950606,99,100,97.25,97.25,1000,0
ALTOS,19950607,98,98,94,94,600,0
ALTOS,19950608,91,91,89,89.5,400,0
ALTOS,19950609,89,92,89,89,700,0
ALTOS,19950612,93,93,89,89,600,0
ALTOS,19950613,87,90,87,90,500,0
ALTOS,19950614,89,90,86.25,87,700,0
ALTOS,19950615,82.5,88,82.5,87,600,0
ALTOS,19950616,85,85,85,85,400,0
ALTOS,19950619,85,85,85,85,600,0
ALTOS,19950620,86.25,87,82,87,1700,0
ALTOS,19950621,85,87,85,87,400,0
ALTOS,19950622,89,90,86.5,87.85,600,0
ALTOS,19950623,87,87,86,86.05,1200,0
ALTOS,19950626,83.6,83.6,83.5,83.5,400,0
ALTOS,19950627,83.5,84,82.25,82.25,1300,0
ALTOS,19950628,81,81,80,81,500,0
ALTOS,19950629,81,81,80.5,80.5,400,0
ALTOS,19950630,75,75,75,75,100,0
ALTOS,19950703,74,74,71,71.25,1100,0
ALTOS,19950704,72,72.75,72,72.75,300,0
ALTOS,19950705,75,75,73,73,400,0
ALTOS,19950706,72,73,72,72,700,0
ALTOS,19950710,74.5,74.75,72,72.55,900,0
ALTOS,19950711,72.7,72.7,65,69.8,900,0
ALTOS,19950713,73,74,73,73.2,600,0
ALTOS,19950714,73.5,74.5,73.5,73.5,400,0
ALTOS,19950717,74.1,78,74.1,78,700,0
ALTOS,19950718,79,79.5,78.25,78.8,800,0
ALTOS,19950719,77.25,80.5,77.25,80.25,800,0
ALTOS,19950720,81,81,81,81,500,0
ALTOS,19950721,78.25,79,78.25,78.3,500,0
ALTOS,19950724,75.1,75.1,75.1,75.1,100,0
ALTOS,19950725,75,75,75,75,300,0
ALTOS,19950726,78,80,78,78,700,0
ALTOS,19950727,78,78,67,72.35,2300,0
ALTOS,19950728,72,72,70.25,72,400,0
ALTOS,19950731,73,75,73,75,300,0
ALTOS,19950801,72.25,73,72.25,73,300,0
ALTOS,19950802,70,73,70,73,900,0
ALTOS,19950803,72,72,71,71,700,0
ALTOS,19950804,72,73,71,71.5,1100,0
ALTOS,19950807,71.5,71.5,71,71.25,1100,0
ALTOS,19950808,72,72,68,70.5,800,0
ALTOS,19950809,70,70,69.5,69.5,900,0
ALTOS,19950811,69.9,70,69,70,900,0
ALTOS,19950814,69,69.45,69,69.45,300,0
ALTOS,19950816,67.5,67.5,67.5,67.5,300,0
ALTOS,19950817,68.5,70,68.5,70,200,0
ALTOS,19950818,70,70.5,69,70.5,500,0
ALTOS,19950821,67,68.5,67,68,900,0
ALTOS,19950822,67.05,71,67.05,70.5,2500,0
ALTOS,19950823,71,74.95,71,73.5,2100,0
ALTOS,19950824,72.5,76.5,72.5,75.5,2800,0
ALTOS,19950825,77,85,76,84.25,7000,0
ALTOS,19950828,89,93,85,85.15,10400,0
ALTOS,19950830,87.5,87.55,85.25,85.35,3800,0
ALTOS,19950831,86,86.05,83,83,1900,0
ALTOS,19950901,80.5,81.95,77,78.15,2000,0
ALTOS,19950905,71,75,71,73.65,3600,0
ALTOS,19950906,72.05,75,72.05,74.65,3400,0
ALTOS,19950907,74.05,75,71,75,3100,0
ALTOS,19950908,74,74.95,72.35,74,1200,0
ALTOS,19950911,71.25,75.5,71,74.05,4600,0
ALTOS,19950912,74.45,76.25,74,76,2100,0
ALTOS,19950913,75,75.4,73,74.75,2400,0
ALTOS,19950914,72.25,74.5,72.25,74.5,1200,0
ALTOS,19950915,75.5,75.5,73.25,74.9,6800,0
ALTOS,19950918,74,75,74,74.5,10600,0
ALTOS,19950919,73,74.5,73,74,5800,0
ALTOS,19950920,73,74,70.6,73,3600,0
ALTOS,19950921,70,71,68.05,70,2100,0
ALTOS,19950922,70,70,69,69.1,2200,0
ALTOS,19950925,69.75,72.3,68.55,71.5,4000,0
ALTOS,19950926,71.5,71.5,69,69.75,4300,0
ALTOS,19950927,69,71.1,69,69.7,2900,0
ALTOS,19950928,69,70,68.25,68.75,1500,0
ALTOS,19950929,68,69,68,68,1600,0
ALTOS,19951004,69,70,68,68,300,0
ALTOS,19951005,68.1,70,68,69,1400,0
ALTOS,19951006,69,71,68.4,69.7,1200,0
ALTOS,19951009,67,68,67,67,1000,0
ALTOS,19951010,67,68,66.1,66.35,2200,0
ALTOS,19951011,66.5,68,66.5,68,500,0
