SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AMAR,20050916,56,64.7,47,56.2,52121654,4947518
AMAR,20050919,56,60.65,55,59.3,10506239,1426144
AMAR,20050920,59.3,67.4,58.2,64,20194415,1598429
AMAR,20050921,65,65.2,57.6,61.75,8840089,1135699
AMAR,20050922,61,61.3,49.4,49.9,5471220,957612
AMAR,20050923,51,56.2,50.55,54.2,5307148,472438
AMAR,20050926,55.05,59.8,54.5,58.35,5816711,671242
AMAR,20050927,58.7,61.25,57.5,58.2,4638121,509947
AMAR,20050928,58.3,59.5,58.2,58.45,1543958,265208
AMAR,20050929,58.6,66,58.25,60.95,14849337,968134
AMAR,20050930,60.65,61.5,55.25,56.65,4005575,525145
AMAR,20051003,57.4,59.2,56.75,57.4,1932119,275750
AMAR,20051004,58,58.85,57.25,57.5,1228091,197926
AMAR,20051005,57.95,57.95,55.6,56.05,681736,143783
AMAR,20051006,55.4,56.4,54.2,54.55,543434,123219
AMAR,20051007,54.9,55.9,53.3,53.8,761577,292191
AMAR,20051010,54.25,57,53.2,54.05,1026467,114579
AMAR,20051011,54.35,54.9,52.55,52.8,388104,64887
AMAR,20051013,53,54.45,52.1,52.9,610721,87830
AMAR,20051014,53.4,53.5,50.1,50.55,328741,121550
AMAR,20051017,51.8,52,50.4,50.95,571626,168016
AMAR,20051018,51.75,53,49.9,50.55,703484,92419
AMAR,20051019,51,51,45.3,46.65,349248,92449
AMAR,20051020,48,49.2,42.15,43.1,819214,380670
AMAR,20051021,43.25,44.1,40.8,43.4,495791,99223
AMAR,20051024,50.05,50.05,42.7,43.4,316771,66394
AMAR,20051025,43.6,44.8,43.5,44.05,307143,53585
AMAR,20051026,44,51,43.5,47.75,3381364,223379
AMAR,20051027,48.2,48.2,44.7,45.1,590472,157824
AMAR,20051028,44,45.3,43.1,43.65,271556,83129
AMAR,20051031,43.9,44.65,43.25,44.3,178724,43098
AMAR,20051101,44.9,45.95,44.7,45.2,105154,35299
AMAR,20051102,44.3,44.9,43.7,44.1,171917,99099
AMAR,20051107,44.5,50,44.15,49.25,1044824,0
AMAR,20051108,45,52.2,44.2,50.15,867882,112599
AMAR,20051109,49.5,51.8,49.15,49.9,426523,0
AMAR,20051110,50.2,50.35,49.15,49.85,240927,67892
AMAR,20051111,50.2,51,49.85,50.3,199301,63163
AMAR,20051114,51,55.2,50.5,53.9,1598252,0
AMAR,20051116,54,54.65,52.75,54.05,1039683,230651
AMAR,20051117,54.45,55,52.75,53.2,443794,0
AMAR,20051118,53.75,54.2,43.5,52.55,589840,387982
AMAR,20051121,53.2,54,52,52.15,199234,55923
AMAR,20051122,52.5,52.5,51.05,51.3,180210,0
AMAR,20051123,51.8,52.35,51.1,51.45,177892,38660
AMAR,20051124,51.45,53.75,51.2,52.55,354272,131294
AMAR,20051125,53.2,53.35,52.05,52.35,133808,40770
AMAR,20051126,52.25,52.85,51.6,51.8,63247,0
AMAR,20051128,52.35,54.2,51.85,52.75,379271,107352
AMAR,20051129,53.05,53.3,51.5,51.9,173767,0
AMAR,20051130,52.3,54,51.5,52.15,480456,130602
AMAR,20051201,52.55,52.9,51.3,51.6,165877,62877
AMAR,20051202,52.25,52.5,50.8,50.95,107270,41449
AMAR,20051205,51.4,53.7,50.8,52.45,286625,97111
AMAR,20051206,52.6,53.6,51.2,51.45,168398,75686
AMAR,20051207,51.9,52.1,51.1,51.4,79359,29084
AMAR,20051208,51.9,51.95,51,51.15,80163,40918
AMAR,20051209,51.45,52.7,51.45,52.15,141640,77761
AMAR,20051212,52.7,54.9,52.2,53.4,547675,148565
AMAR,20051213,53.85,54.2,52.2,52.6,134263,64369
AMAR,20051214,52.95,52.95,51.1,51.55,122905,58192
AMAR,20051215,51.4,52.4,50.3,50.6,267672,207578
AMAR,20051216,51.4,51.75,50.2,50.55,108593,43993
AMAR,20051219,51.75,51.75,51.05,51.3,91777,37648
AMAR,20051220,51.25,51.5,50.15,50.4,56123,24309
AMAR,20051221,50.9,51.75,50.4,50.8,111713,52220
AMAR,20051222,51.75,57.5,51.55,55.8,7185308,1176453
AMAR,20051223,56.5,59.3,55,55.7,4979607,533029
AMAR,20051226,55.85,55.95,52.75,53.2,705707,161268
AMAR,20051227,52.7,60.3,52.35,59.2,7355951,828443
AMAR,20051228,58.5,61.2,57.5,59.05,5597836,549348
AMAR,20051229,59.05,63.55,58.5,60.85,5360568,533539
AMAR,20051230,61.1,62.7,60,60.5,1628676,245221
AMAR,20060102,60.4,61,58.45,58.8,550344,187827
AMAR,20060103,58.95,61,58.75,58.9,1125397,148557
AMAR,20060104,59.5,59.85,57.55,57.8,323488,127345
AMAR,20060105,58.3,58.3,56.5,57.15,257558,84244
AMAR,20060106,57.5,57.7,55,56,283962,131309
AMAR,20060109,56.65,57.8,56.05,56.4,272072,101316
AMAR,20060110,56.4,56.9,55.15,55.7,276529,105919
AMAR,20060112,58.85,58.85,52,55.7,445329,93961
AMAR,20060113,56,57.85,55.6,55.95,317944,85924
AMAR,20060116,56,56.5,53.15,55.2,209022,0
AMAR,20060117,55.9,57,54.35,54.7,188630,72795
AMAR,20060118,54.55,54.8,53.15,53.5,177369,0
AMAR,20060119,54,58,54,57.2,817993,331927
AMAR,20060120,59,64,59,63.35,3758068,1087854
AMAR,20060123,63,69.4,60.6,66.9,7073357,900189
AMAR,20060124,67.65,70,65.65,66.25,3856525,972007
AMAR,20060125,66.95,67.45,63.6,64.1,777757,290435
AMAR,20060127,62.65,66.7,62.4,65.45,1167376,0
AMAR,20060130,67.1,75.3,67.1,69.95,6324272,1349959
