SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AMDMET,20070319,73,82.65,70,77.9,15927294,1722108
AMDMET,20070320,80.5,89,80.1,81.65,6588989,773153
AMDMET,20070321,82.8,83.3,78.2,79.1,2345510,397941
AMDMET,20070322,81.25,85.25,79.5,80.1,2629984,330642
AMDMET,20070323,81.4,81.85,75.75,76.45,694650,143904
AMDMET,20070326,77.55,78.7,75.05,75.75,586426,126728
AMDMET,20070328,76.9,76.9,69.1,69.8,399480,134590
AMDMET,20070329,70,74.8,68.25,71.1,1031589,146892
AMDMET,20070330,72.9,73.6,70.5,71.35,312945,87197
AMDMET,20070402,68.1,69.95,65.1,65.6,163470,71271
AMDMET,20070404,65,68.25,64.5,65.9,381943,106265
AMDMET,20070405,70,70,65.1,66.7,358600,42141
AMDMET,20070409,67,72.5,67,68.95,407581,0
AMDMET,20070410,70,72.9,69.05,71.3,323299,87369
AMDMET,20070411,72,73,68.55,69.05,109846,0
AMDMET,20070412,68.7,68.7,65.25,65.65,122861,0
AMDMET,20070413,66,66.85,63.55,64.85,86558,0
AMDMET,20070416,68.4,68.95,66,67.3,218238,94495
AMDMET,20070417,68,72.5,66.6,68.5,295440,0
AMDMET,20070418,70,70.9,68.2,68.65,108758,0
AMDMET,20070419,67.5,68.5,65.6,67.55,118735,0
AMDMET,20070420,69.5,70.9,67.8,68.25,113421,0
AMDMET,20070423,69.5,70.9,67,67.25,134488,61910
AMDMET,20070424,67.4,68,66.55,66.9,77851,63901
AMDMET,20070425,67.45,67.9,66.5,66.8,45150,16352
AMDMET,20070426,67.8,68.75,66.3,66.7,58175,28672
AMDMET,20070427,68,68,63.15,63.8,39951,22104
AMDMET,20070430,63.1,66.9,63.1,65.35,36746,22015
AMDMET,20070503,64.55,66.9,64.55,65.6,34196,20693
AMDMET,20070504,67,69.85,64.15,64.5,138927,97992
AMDMET,20070507,65.1,65.7,62.5,62.75,87618,31863
AMDMET,20070508,64,66.25,62,62.75,169954,0
AMDMET,20070509,64,64,60.5,60.85,76816,38523
AMDMET,20070510,63,63,59,59.4,39454,0
AMDMET,20070511,57.55,58.9,56.55,57.3,42059,0
AMDMET,20070514,58.5,58.5,56.7,57.2,38078,0
AMDMET,20070515,57.3,68.65,57.1,68.65,684336,0
AMDMET,20070516,70.05,72.85,65.35,66.75,924286,222185
AMDMET,20070517,67.6,69,65.7,66.25,159765,57377
AMDMET,20070518,65.5,72.1,64.95,67.7,647016,0
AMDMET,20070521,68.85,72.5,68,69.35,328868,0
AMDMET,20070522,69.85,71,68.4,69.1,251716,0
AMDMET,20070523,69.6,70.25,66.55,66.95,136210,0
AMDMET,20070524,67,67.95,65,65.3,77272,0
AMDMET,20070525,64.8,67.5,63.55,65.5,113985,0
AMDMET,20070528,66.8,68,62.6,63.15,163579,0
AMDMET,20070529,63.45,65.5,57,63.25,105428,0
AMDMET,20070530,62.4,65.3,56.75,59.15,3182436,1271944
AMDMET,20070531,61.15,64.7,60.05,60.75,526880,157670
AMDMET,20070601,61.9,63.3,59.5,60.05,392505,172678
AMDMET,20070604,62,62.8,60,60.25,168514,0
AMDMET,20070605,60.35,61.9,59,59.55,125772,29277
AMDMET,20070606,60.25,60.5,56.6,57.2,104381,0
AMDMET,20070607,57.25,58.5,56,57.35,126437,0
AMDMET,20070608,56.5,57,55,55.2,88321,0
AMDMET,20070611,56,57.5,55.4,55.6,181483,0
AMDMET,20070612,56.2,56.25,52.55,53.4,253164,0
AMDMET,20070613,55.45,57.5,52.5,55.5,1013374,0
AMDMET,20070614,56.6,56.75,53.5,53.8,104868,0
AMDMET,20070615,54.6,55.55,53.1,53.55,103575,0
AMDMET,20070618,54.4,56.1,53.85,54.5,110866,0
AMDMET,20070619,53.65,55,53.25,53.55,34867,0
AMDMET,20070620,54,54.9,53.5,53.65,35677,0
AMDMET,20070621,54.25,54.4,53,53.25,20243,0
AMDMET,20070622,52.7,53.9,51.2,51.75,46803,0
AMDMET,20070625,52.2,53.8,51.5,52.4,51046,0
AMDMET,20070626,52.1,53.2,51.85,52.05,18629,0
AMDMET,20070627,52.2,53,50.8,51.15,32049,0
AMDMET,20070628,51.55,52.9,50.1,50.5,42079,0
AMDMET,20070629,50.6,51.8,50.25,50.8,79912,0
AMDMET,20070702,51,51.9,50.75,51.15,43020,0
AMDMET,20070703,51.5,54.4,51.1,52.75,142531,0
AMDMET,20070704,53.5,53.5,51.5,51.75,26993,0
AMDMET,20070705,52.9,53.5,49.5,50.3,51891,0
AMDMET,20070706,51.25,52.5,50.3,50.7,53359,0
AMDMET,20070709,51.75,51.8,50.6,51,41591,0
AMDMET,20070710,50.75,51.55,50,50.45,37746,0
