SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ANGELONE,20211111,1244,1246,1221,1225.25,145950,0
ANGELONE,20211112,1230,1240,1210,1219.7,308246,0
ANGELONE,20211115,1225,1236.9,1204.05,1211.55,338705,0
ANGELONE,20211116,1219,1229,1213,1220.25,170027,0
ANGELONE,20211117,1223,1224.95,1207.8,1217.1,172430,0
ANGELONE,20211118,1217.9,1221.6,1150,1165.75,404737,0
ANGELONE,20211122,1156.5,1167.7,1006.95,1068.75,520417,0
ANGELONE,20211123,1034.4,1119.9,1027.05,1080.9,460454,0
ANGELONE,20211124,1090.1,1217.8,1090.1,1180.3,961976,0
ANGELONE,20211125,1177,1203.8,1150.15,1190.65,339420,0
ANGELONE,20211126,1162.2,1179,1107.3,1115.2,294054,0
ANGELONE,20211129,1100,1115.2,1027.9,1036.65,511271,0
ANGELONE,20211130,1063,1088,990.5,1014.25,1094370,0
ANGELONE,20211201,1022.95,1050,1010,1032.55,315763,0
ANGELONE,20211202,1049,1139,1038,1123.65,1127876,0
ANGELONE,20211203,1135,1176.55,1123,1139.05,739964,0
ANGELONE,20211206,1150,1150.5,1088,1109.05,306769,0
ANGELONE,20211207,1124,1131.4,1097,1110,262359,0
ANGELONE,20211208,1120.8,1159.9,1115,1122.55,419244,0
ANGELONE,20211209,1135,1149,1125,1130.7,224874,0
ANGELONE,20211210,1130,1140,1125,1126.9,121471,0
ANGELONE,20211213,1136,1179,1117.95,1127.8,434248,0
ANGELONE,20211214,1119,1202,1115.65,1166.95,643953,0
ANGELONE,20211215,1164.95,1184,1152,1165.1,267879,0
ANGELONE,20211216,1175,1182.25,1155.55,1174.8,237119,0
ANGELONE,20211217,1175,1177.35,1095,1107.05,371742,0
ANGELONE,20211220,1095,1152,1042.5,1121.25,643755,0
ANGELONE,20211221,1134,1204,1131.25,1178.75,766388,0
ANGELONE,20211222,1184,1203,1168.55,1181.6,610309,0
ANGELONE,20211223,1189.25,1213,1162.05,1169.95,329555,0
ANGELONE,20211224,1174.8,1183.65,1141.05,1160.3,212711,0
ANGELONE,20211227,1153,1159.95,1130.7,1142.15,109751,0
ANGELONE,20211228,1148.3,1190.75,1148.3,1162.6,276726,0
ANGELONE,20211229,1167,1203,1161.15,1193.3,295726,0
ANGELONE,20211230,1203.4,1204,1181.4,1191.45,225079,0
ANGELONE,20211231,1180,1200.65,1177,1182.05,143995,0
ANGELONE,20220103,1190,1244,1185.6,1216.6,385970,0
ANGELONE,20220104,1240,1259.5,1208,1219.35,936612,0
ANGELONE,20220105,1220,1246.65,1208,1242.3,502200,0
ANGELONE,20220106,1233.7,1271.3,1216.25,1266.85,626297,0
ANGELONE,20220107,1279.25,1279.5,1218,1231.6,497718,0
ANGELONE,20220110,1241.9,1282.5,1235,1274.8,723125,0
