SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ANSALINFRA,20060127,445,445,402,438.6,34099,0
ANSALINFRA,20060130,439.9,457.4,429,434.3,39120,16722
ANSALINFRA,20060131,430.05,452,430.05,446,16643,0
ANSALINFRA,20060201,451.95,465,433.65,439.25,60233,0
ANSALINFRA,20060202,449.9,452,435,438.7,8770,0
ANSALINFRA,20060203,450,450,434.2,436.4,10840,7415
ANSALINFRA,20060206,437,456.4,436.05,445.2,30271,19434
ANSALINFRA,20060207,460,460,442,446.05,12377,7412
ANSALINFRA,20060208,441.05,446.5,435,437.2,7577,5195
ANSALINFRA,20060210,442.5,450,437,442.6,22289,11213
ANSALINFRA,20060213,444.5,459,433,439.7,47873,23662
ANSALINFRA,20060214,435.25,449,435.25,442.1,11369,0
ANSALINFRA,20060215,438,449.5,432,442.4,16410,6592
ANSALINFRA,20060216,438.1,448.45,438.1,443.35,5229,3202
ANSALINFRA,20060217,449,449,428.25,430.75,22157,0
ANSALINFRA,20060220,430,441,429.9,438.05,14913,11045
ANSALINFRA,20060221,441,442.95,435,436.15,5956,0
ANSALINFRA,20060222,441.95,479.8,435.05,479.8,150329,0
ANSALINFRA,20060223,493.25,493.25,456,459.3,42133,0
ANSALINFRA,20060224,454,476.9,453.05,472.6,15492,7857
ANSALINFRA,20060227,481,519.9,481,519.9,181917,0
ANSALINFRA,20060228,525.85,571.9,525.85,565.85,210885,68381
ANSALINFRA,20060301,572,585,542.3,560.45,89719,0
ANSALINFRA,20060302,570,588.5,550.15,587.1,73491,0
ANSALINFRA,20060303,600,616.5,592.8,616.5,36650,25151
ANSALINFRA,20060306,639.4,647.35,622,647.35,51704,34531
ANSALINFRA,20060307,679.7,679.75,649.95,665.3,174987,106079
ANSALINFRA,20060308,669.5,674.8,632.5,634.75,77832,0
ANSALINFRA,20060309,630.1,643,603.25,629.6,45896,0
ANSALINFRA,20060310,638.95,661.1,638,661.1,27432,0
ANSALINFRA,20060313,675,693,629,631.6,39582,20609
ANSALINFRA,20060314,641,642,612.65,622.45,22203,0
ANSALINFRA,20060316,626,635,615.2,619.55,16166,0
ANSALINFRA,20060317,613.7,624.7,605,612.2,8260,5499
ANSALINFRA,20060320,616,642.85,610,642.85,43421,0
ANSALINFRA,20060321,652,675,652,659.15,49697,0
ANSALINFRA,20060322,650,692.15,650,690.4,106406,0
ANSALINFRA,20060323,707.8,724.95,703,724.95,20048,0
ANSALINFRA,20060324,761.2,761.2,756.4,761.2,15430,11601
ANSALINFRA,20060327,793.3,799.3,780.1,799.3,33401,22454
ANSALINFRA,20060328,839.3,839.3,791.15,807.75,86260,49174
ANSALINFRA,20060329,818,818,767.4,769.55,43804,26934
ANSALINFRA,20060330,775,803,743,757.1,39565,0
