SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
APARINDS,20040712,51.4,51.4,47.2,47.2,3,0
APARINDS,20040713,44.15,47,44.15,46.5,1512,0
APARINDS,20040714,47,48.8,47,48,9648,0
APARINDS,20040715,46.25,49.75,46.25,49.1,5490,0
APARINDS,20040719,51.4,52,50.75,50.75,1100,0
APARINDS,20040720,51.1,54.7,51.1,53.95,16315,0
APARINDS,20040721,55,56.3,52.85,53.8,13611,0
APARINDS,20040722,55,57.9,53.2,55.75,20981,0
APARINDS,20040723,55.9,58,54.25,55.4,34031,0
APARINDS,20040726,54.5,55.5,54.15,54.3,6052,0
APARINDS,20040727,52.65,54,52.05,52.25,5537,0
APARINDS,20040728,52.1,53.3,52.1,52.4,788,0
APARINDS,20040729,52.35,54.05,51.75,53.4,2760,0
APARINDS,20040730,54.7,56.7,54.7,56.25,13194,0
APARINDS,20040802,57.5,57.5,54.25,55,4924,0
APARINDS,20040803,56,57.4,55,56.1,7676,0
APARINDS,20040804,56.25,57,55.15,55.2,1684,0
APARINDS,20040805,55.2,57,55.2,56.95,12618,0
APARINDS,20040806,56,56.6,55.5,56.4,3300,0
APARINDS,20040809,56,57.5,56,57,11707,0
APARINDS,20040810,57,59.3,56.5,58.2,20331,0
APARINDS,20040811,58.2,61.75,58,58.95,30542,0
APARINDS,20040812,58.2,61.75,58,58.4,21279,0
APARINDS,20040813,58.2,58.6,57.15,57.25,4014,0
APARINDS,20040816,60,60,56.45,58,2410,0
APARINDS,20040817,58.1,59.5,57.5,58.15,2034,0
APARINDS,20040818,57.5,57.85,56,56.4,2834,0
APARINDS,20040819,56.05,58.95,56.05,56.25,3120,0
APARINDS,20040820,56.8,56.8,54.3,54.3,3515,0
APARINDS,20040823,54.3,55.8,54.25,54.35,1171,0
APARINDS,20040824,55,55.15,54.05,54.05,3495,0
APARINDS,20040825,54.5,56,54,54.6,1701,0
APARINDS,20040826,54.75,55.7,54.75,55.35,3738,0
APARINDS,20040827,55,55.6,54.15,54.9,2394,0
APARINDS,20040830,58,58,55.1,57.45,5420,0
APARINDS,20040831,58.25,62,58,60.3,28984,0
APARINDS,20040901,61.9,63.45,61.45,62.15,27793,0
APARINDS,20040902,59.25,62.45,57.2,58.05,20323,0
APARINDS,20040903,56.9,60.5,56,56.55,3550,0
APARINDS,20040906,58.3,60.8,58,58.95,10854,0
APARINDS,20040907,60.55,60.55,57,57.2,9259,0
APARINDS,20040908,57.25,58.9,57.1,57.4,4582,0
APARINDS,20040909,57.5,57.6,56,57.15,3462,2253
APARINDS,20040910,56.5,60.9,55.1,59,14516,10819
APARINDS,20040913,59.95,60.4,58.1,58.2,24953,21489
APARINDS,20040914,59.55,61.8,58.5,58.8,93744,63078
APARINDS,20040915,59.85,59.85,57,57.05,16760,13197
APARINDS,20040916,57.5,58.5,55,56.25,24483,12824
APARINDS,20040917,57.5,57.5,56,56.8,29483,14789
APARINDS,20040920,57,57.5,55.75,56.6,3953,0
APARINDS,20040921,56.1,57.4,56.05,56.5,10877,6387
APARINDS,20040922,56.95,57.2,55.65,56,4422,3991
APARINDS,20040923,60,60,54.65,55.45,2200,0
APARINDS,20040924,59.95,59.95,54.65,54.9,6615,0
APARINDS,20040927,59.45,59.45,55,56.2,12526,0
APARINDS,20040928,56.9,57,55.65,56.1,12300,0
APARINDS,20040929,56.1,56.7,55.25,55.75,5188,4635
APARINDS,20040930,57.35,59,56.25,57.9,16738,13612
APARINDS,20041001,60,60,56.75,58.2,7106,0
APARINDS,20041004,58.9,62,58,60.85,389131,359711
APARINDS,20041005,63.7,63.75,60,61.05,67687,0
APARINDS,20041006,63,67.2,62.15,66.65,226174,0
APARINDS,20041007,68,72,66.55,68,169605,87145
APARINDS,20041008,69.5,69.5,66.25,68.15,61594,0
APARINDS,20041009,67.9,68.05,66,66.45,14736,0
APARINDS,20041011,69.8,69.8,65.5,65.9,36060,29363
APARINDS,20041012,64.1,67.4,61.7,62.1,22045,0
APARINDS,20041014,61,62.95,60.65,62.45,5950,4403
APARINDS,20041015,63,64.85,60.3,61.05,14657,5406
APARINDS,20041018,62,64.95,59.5,59.85,17141,0
APARINDS,20041019,60,62.9,60,61.85,12298,0
APARINDS,20041020,61.1,62,59.85,60.1,13400,10759
APARINDS,20041021,60,60,57.15,58.8,3050,0
APARINDS,20041025,59.5,59.8,56.25,56.45,8561,7910
APARINDS,20041026,58.5,58.9,56.7,58,14520,0
APARINDS,20041027,58.8,62.9,58.8,61.65,19271,8588
APARINDS,20041028,65.9,65.9,60.65,61.1,16159,10339
APARINDS,20041029,62,62.8,59,60.6,16071,0
APARINDS,20041101,59,62,57,61.1,20474,0
APARINDS,20041102,62.5,63.6,61.2,61.8,17607,0
APARINDS,20041103,63,66,61.2,64.2,36991,25222
APARINDS,20041104,65.2,65.2,63.2,64,13780,11036
APARINDS,20041105,64,65.8,63.6,64.05,18399,12369
APARINDS,20041108,66,66.9,65,66.15,22073,17661
APARINDS,20041109,66,66.85,64.55,65.1,14185,10852
APARINDS,20041110,66.8,66.8,65.5,66.45,21040,0
APARINDS,20041111,68.9,71.4,65.5,69.15,69216,36202
APARINDS,20041112,70.65,71.8,69.5,70.35,14420,12686
APARINDS,20041116,71.9,71.9,69.25,70.25,25296,0
APARINDS,20041117,73,73,70.05,71.25,16660,0
APARINDS,20041118,71.75,72.8,70.5,71.05,16293,12519
APARINDS,20041119,72.85,72.85,69.05,69.75,20691,14632
APARINDS,20041122,69.05,73.8,68.55,72.8,31364,21642
APARINDS,20041123,74,74.9,72,72.3,24896,0
APARINDS,20041124,74.9,74.9,71.2,71.6,16157,0
APARINDS,20041125,73,73,69.3,69.95,33689,0
APARINDS,20041129,70,71.7,69.7,71.2,16618,14417
APARINDS,20041130,71.9,73.65,69.65,72.3,37938,28165
APARINDS,20041201,73,73,69.6,71.15,20958,17896
APARINDS,20041202,70.85,72.45,69.65,71.1,16272,0
APARINDS,20041203,70.3,71.5,70.25,70.85,7886,0
APARINDS,20041206,73.5,73.5,69.85,70.4,6894,0
APARINDS,20041207,69.05,72,68.65,70.8,15887,0
APARINDS,20041208,69,77.9,69,76.2,124450,0
APARINDS,20041209,78,83.85,77.45,83.85,105248,0
APARINDS,20041210,87,90.5,84,84.45,112500,0
APARINDS,20041213,81,92.9,81,92.9,128232,0
APARINDS,20041214,95,102.2,91.25,102.2,160502,59253
APARINDS,20041215,106.6,106.6,97.1,97.1,83816,49911
APARINDS,20041216,96,101.4,94,98.4,41408,0
APARINDS,20041217,99.8,102.9,96,96.8,28046,0
APARINDS,20041220,98.95,100.15,97,98.05,19271,0
APARINDS,20041221,97.05,99.95,93.15,93.75,20538,0
APARINDS,20041222,97.5,97.5,90.5,92.25,18339,0
APARINDS,20041223,96,96,88,90.25,17173,12029
APARINDS,20041224,90,91,88.25,89.35,15569,0
APARINDS,20041227,90.8,93.85,90.8,93.85,6347,0
APARINDS,20041228,97.8,98.55,97.15,98.55,5321,4510
APARINDS,20041229,99.15,102.5,95,96.15,20366,13831
APARINDS,20041230,98.9,101,95,95.9,14558,0
APARINDS,20041231,97.6,98.2,95.25,96.05,5510,5036
APARINDS,20050103,98,100.6,97,98.45,19602,16857
APARINDS,20050104,99,100,95.6,97.2,13930,0
APARINDS,20050105,96.5,99,92.35,93.55,23887,18219
APARINDS,20050106,90,93.95,89,90.1,15958,0
APARINDS,20050107,88,92,88,90.6,3490,0
APARINDS,20050110,93,95.15,90.5,94.35,12381,0
APARINDS,20050111,98,98,91.3,92.05,12839,0
APARINDS,20050112,94,94,88,88.35,9688,0
APARINDS,20050113,91.85,91.9,88,90.75,4437,0
APARINDS,20050114,94,94,90.1,90.85,5455,0
APARINDS,20050117,92.1,92.95,87.5,88.4,5573,0
APARINDS,20050118,87.8,91,87.75,90.05,5975,0
APARINDS,20050119,91.4,91.4,88.25,88.8,1118,0
APARINDS,20050120,85.5,88,85.5,85.95,2224,0
APARINDS,20050124,85.95,89.95,85,86,8091,0
APARINDS,20050125,85.1,87,84.9,86.25,2279,0
APARINDS,20050127,86.25,89,85.55,86.7,7951,0
APARINDS,20050128,88.8,91,87.15,90.35,9726,0
APARINDS,20050131,91.9,94.9,89.2,94.7,19597,0
APARINDS,20050201,96.55,97.95,95.75,96.6,16434,0
APARINDS,20050202,97.9,101.45,97.9,101.45,22897,0
APARINDS,20050203,106.5,106.55,104,106.55,7786,0
APARINDS,20050204,111,111.9,110.1,111.9,26130,0
APARINDS,20050207,116,117.5,113.1,117.3,71424,0
APARINDS,20050208,121.8,123.2,115,123.15,64800,0
APARINDS,20050209,127,129.35,125,129.35,35249,0
APARINDS,20050210,134.35,135.85,125,128.25,54865,0
APARINDS,20050211,129.85,129.85,121.85,122.85,35977,0
APARINDS,20050214,124.2,128,121,122.85,15515,0
APARINDS,20050215,121.9,121.9,116.75,117.9,19088,0
APARINDS,20050216,115.05,123.75,114,116.6,15166,8774
APARINDS,20050217,119.9,122.4,116,121.5,15436,12428
APARINDS,20050218,125,125.95,119,119.45,15884,0
APARINDS,20050221,123.5,125.45,119,120.65,37241,0
APARINDS,20050222,123.45,124,120,120.6,8059,0
APARINDS,20050223,121.25,126.6,120,125.9,22636,0
APARINDS,20050224,126.5,130,124,125.5,20385,0
APARINDS,20050225,126.95,126.95,121,121.3,9751,6674
APARINDS,20050228,123.9,124.9,120.25,122.7,6615,0
APARINDS,20050301,124.95,124.95,119,119.65,4569,0
APARINDS,20050302,118.6,125.65,118.6,125.65,14125,10663
APARINDS,20050303,120.2,131.95,120.2,131.95,29590,24419
APARINDS,20050304,137.75,138.55,135,138.55,28400,0
APARINDS,20050307,144.9,145.5,142.5,145.5,47094,0
APARINDS,20050308,151.35,152.35,141.3,145.15,24829,11175
APARINDS,20050309,139.25,144.5,137.9,137.9,10801,0
APARINDS,20050310,134,144.8,132.5,142.45,32568,0
APARINDS,20050311,145.9,146,141.15,142.85,17663,0
APARINDS,20050314,147,147,136,138.1,11368,0
APARINDS,20050315,139.05,140.5,133.5,137.85,8556,5940
APARINDS,20050316,137,141,136.6,137.4,9529,0
APARINDS,20050317,136,140,136,136.4,2442,0
APARINDS,20050318,135,135,129.6,130.55,8135,0
APARINDS,20050321,130.95,132,127.1,130.1,3968,3132
APARINDS,20050322,129.05,129.05,125.5,126.9,3123,0
APARINDS,20050323,123.5,129.9,120.6,121,4224,0
APARINDS,20050324,120.05,120.05,114.95,115,58210,56336
APARINDS,20050328,119.5,120.75,110.1,112.25,9595,6120
