SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ARENTERP,19950823,101,101,101,101,100,0
ARENTERP,19950825,104,104,104,104,300,0
ARENTERP,19950828,106,112.95,106,112.8,2100,0
ARENTERP,19950830,110,110,108,108,300,0
ARENTERP,19950831,106,106,106,106,200,0
ARENTERP,19950905,102,102,102,102,100,0
ARENTERP,19950906,102,102,102,102,100,0
ARENTERP,19950913,101,101,101,101,100,0
ARENTERP,19950915,104.5,104.5,104.5,104.5,300,0
ARENTERP,19950918,106,110,106,110,400,0
ARENTERP,19950919,107,107,107,107,100,0
ARENTERP,19950920,108,108,108,108,500,0
ARENTERP,19950921,105,105,105,105,100,0
ARENTERP,19950922,104,104,104,104,100,0
ARENTERP,19950926,107,116,107,111,1100,0
ARENTERP,19951010,105,105,102,105,1000,0
ARENTERP,19951011,106.1,106.25,101.1,101.1,2300,0
ARENTERP,19951012,101.1,102.5,98,100,2600,0
ARENTERP,19951013,98.45,100,98,98.95,3600,0
ARENTERP,19951016,95,95,91.5,91.6,1500,0
ARENTERP,19951017,91.6,93.95,88.5,88.5,2000,0
ARENTERP,19951018,88.5,98,95,95,2600,0
ARENTERP,19951019,94,94,94,94,100,0
ARENTERP,19951020,93.5,93.5,93.5,93.5,2500,0
ARENTERP,19951023,93.5,96,85.5,93,700,0
ARENTERP,19951026,95.5,96,95,95.35,500,0
ARENTERP,19951027,97,97,97,97,100,0
ARENTERP,19951031,99.75,99.95,98,98,400,0
ARENTERP,19951110,94,94,94,94,2000,0
ARENTERP,19951114,96,96,96,96,100,0
ARENTERP,19951116,99,99,99,99,100,0
ARENTERP,19951117,96,96,96,96,200,0
ARENTERP,19951120,92,92,92,92,100,0
ARENTERP,19951121,96,96,96,96,100,0
ARENTERP,19951127,96.5,96.5,96.5,96.5,100,0
ARENTERP,19951128,96.5,99,90,90,700,0
ARENTERP,19951204,93,93,93,93,100,0
ARENTERP,19951205,93,97.5,97.5,97.5,100,0
ARENTERP,19951206,98.55,98.55,98.5,98.5,300,0
ARENTERP,19951218,92,92,92,92,100,0
ARENTERP,19951226,84,84,84,84,100,0
ARENTERP,19951227,84,80.5,80.5,80.5,1000,0
ARENTERP,19951228,80.5,82.95,82,82.95,500,0
ARENTERP,19951229,82.95,81.5,81.5,81.5,500,0
ARENTERP,19960101,81.5,80.05,80,80,200,0
ARENTERP,19960102,80,79,78,79,400,0
ARENTERP,19960103,79,79,79,79,100,0
ARENTERP,19960109,79,76,76,76,100,0
ARENTERP,19960110,76,76,76,76,100,0
ARENTERP,19960111,77,77,76,76,200,0
ARENTERP,19960201,58,58,58,58,100,0
ARENTERP,19960202,57,57,56.75,56.75,200,0
ARENTERP,19960205,56.75,54,53,54,500,0
ARENTERP,19960206,53,53.5,52.5,52.5,2400,0
ARENTERP,19960207,50,51,50,51,400,0
ARENTERP,19960208,51,55,51,55,3200,0
ARENTERP,19960209,54,54,54,54,1000,0
ARENTERP,19960212,54,54,54,54,300,0
ARENTERP,19960213,54,52.75,52.75,52.75,300,0
ARENTERP,19960214,52.75,53,52,52.25,1000,0
ARENTERP,19960215,52.5,52.5,50,50,1700,0
ARENTERP,19960216,50,50,47.5,48,1500,0
ARENTERP,19960219,48,49.5,49.25,49.5,300,0
ARENTERP,19960220,48,48.5,47.75,48.45,1300,0
ARENTERP,19960222,51,52,50,50.25,1200,0
ARENTERP,19960223,51,51,49,49,1000,0
