SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ARIHANT,20061226,522,535,502,522.95,5227,517
ARIHANT,20061227,529.75,550,514.1,522.05,1430,586
ARIHANT,20061228,515,522.5,500,511.4,838,180
ARIHANT,20061229,530,530,520,524.95,630,380
ARIHANT,20070102,530,530,500,500.85,969,0
ARIHANT,20070103,515,534,506,515.85,3357,0
ARIHANT,20070104,515.5,525,506,510.35,1804,0
ARIHANT,20070105,550,550,508,534.1,4762,0
ARIHANT,20070108,509.15,509.15,505.4,505.4,180,0
ARIHANT,20070109,505,510,496,496,588,0
ARIHANT,20070110,483.05,490.1,471,471.45,508,0
ARIHANT,20070112,485,485,463,463,2,0
ARIHANT,20070115,480,481,475.05,475.05,192,192
ARIHANT,20070116,510.1,510.1,471.3,485,71,70
ARIHANT,20070117,519,532,466.6,471.45,101,97
ARIHANT,20070118,500.9,500.9,472.1,486.1,70,20
ARIHANT,20070119,465.3,465.3,461,462,180,140
ARIHANT,20070122,455.15,455.15,455.15,455.15,1,1
ARIHANT,20070123,456.15,519.5,432.25,461.2,436,0
ARIHANT,20070124,479.25,479.25,446.15,446.15,540,530
ARIHANT,20070125,445,445.1,445,445,1945,0
ARIHANT,20070129,499,520,445.2,452.85,1177,291
ARIHANT,20070131,460,463,455,455,1885,1808
ARIHANT,20070201,435.2,444.95,432.65,443,37,17
ARIHANT,20070202,441,441,435,435.45,6705,0
ARIHANT,20070205,436,436,430,430,40,40
ARIHANT,20070206,419.5,445.95,419.5,423,190,60
ARIHANT,20070207,423.25,432.5,423.25,423.5,52,27
ARIHANT,20070208,475,475,415,420,290,280
ARIHANT,20070209,474,474,406.2,414.45,1080,116
ARIHANT,20070212,417.75,417.75,395,395,105,105
ARIHANT,20070213,405,422,400,421,830,500
ARIHANT,20070214,368.15,410,368.15,385,196,175
ARIHANT,20070215,400,400,399,399,17,17
ARIHANT,20070219,372.7,394.9,372.7,385,258,40
ARIHANT,20070220,399.95,399.95,372.3,381.9,2027,25
ARIHANT,20070221,398.3,399.95,392,392,109,57
ARIHANT,20070222,400,400,375,375.75,309,207
ARIHANT,20070226,367.5,396.85,367,369.3,15221,8154
ARIHANT,20070228,368,379.9,350,359.4,122655,122585
ARIHANT,20070301,335.55,355,335.55,346.95,500,80
ARIHANT,20070302,399.6,399.6,340,382.5,1826,1438
ARIHANT,20070305,345.2,349.9,330,330.3,592,275
ARIHANT,20070306,320.05,345,320.05,345,110,100
ARIHANT,20070307,315,368,315,337,1860,160
ARIHANT,20070308,315,341.95,315,320.65,12188,11319
ARIHANT,20070309,346.95,346.95,325.65,325.65,100,0
ARIHANT,20070312,310.25,362.45,310.25,355.85,9,8
ARIHANT,20070313,330,362,330,337.05,237,175
ARIHANT,20070314,323.05,369.9,323.05,348.8,631,210
ARIHANT,20070315,348,359,331.05,350.2,1804,700
ARIHANT,20070316,340,340,340,340,60,60
ARIHANT,20070319,343,388,342.15,348.65,952,200
ARIHANT,20070320,349,355,349,355,591,590
ARIHANT,20070321,355.1,380,355.1,365,827,224
ARIHANT,20070322,350.1,359.9,350.1,355,300,168
ARIHANT,20070323,321.65,378.6,321.65,356.4,3847,3286
ARIHANT,20070326,350,378,325.45,365.45,30729,30504
ARIHANT,20070328,365,394,333,375.95,83002,82011
ARIHANT,20070329,419,419,333,348.7,473,350
ARIHANT,20070330,389.9,389.9,345,357.5,2000,1778
ARIHANT,20070404,320,331.95,309.35,311.55,160,60
ARIHANT,20070405,303,342.45,303,341.85,73,70
ARIHANT,20070409,321.1,348.8,321.1,348.8,74,0
ARIHANT,20070410,325,398.9,325,334.25,458,124
ARIHANT,20070411,330,340.9,325.1,329.5,1498,0
ARIHANT,20070412,330.1,348,317.25,317.75,48,0
ARIHANT,20070413,315,336,302,332.7,3206,0
ARIHANT,20070416,322,354,322,330,2505,415
ARIHANT,20070417,330.5,351.9,330,330.05,3397,0
ARIHANT,20070418,331,339,331,335,896,0
ARIHANT,20070419,353,353.9,330,331,2230,0
