SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ARSSINFRA,20100303,630,751.8,630,737.45,15759450,1225070
ARSSINFRA,20100304,750,827,717.75,815.15,11574351,340077
ARSSINFRA,20100305,818.4,838.4,768.6,792.05,9008105,300696
ARSSINFRA,20100308,792,815,778.35,804.45,4123565,220750
ARSSINFRA,20100309,794,815,790.8,798.15,1936304,94038
ARSSINFRA,20100310,798.15,804,782,791.5,851763,71586
ARSSINFRA,20100311,785,796.4,761.3,767.45,638371,57782
ARSSINFRA,20100312,768,775.4,742.4,750.4,1292574,80139
ARSSINFRA,20100315,760,763,741.3,745.15,767051,43106
ARSSINFRA,20100316,749.7,792,747,783.2,1622792,117278
ARSSINFRA,20100317,783,939.85,781,926.75,6312737,361201
ARSSINFRA,20100318,960,998.8,878,901.2,9260329,388110
ARSSINFRA,20100319,910.65,933.5,890,919.65,2789208,70317
ARSSINFRA,20100322,902,982.7,893.7,908.9,5156670,224266
ARSSINFRA,20100323,915,949.75,912,931.4,2895788,171140
ARSSINFRA,20100325,915,940.8,911.4,923.2,1285930,62289
ARSSINFRA,20100326,920,967.9,920,936.4,2587908,130152
ARSSINFRA,20100329,935,947.7,916.15,922.8,835081,78138
ARSSINFRA,20100330,922.5,965,918,928.8,1594345,143315
ARSSINFRA,20100331,941,953,926.05,928.1,791000,0
ARSSINFRA,20100401,935,1014.85,931,991.75,3716545,0
ARSSINFRA,20100405,900,1115.95,900,1090,4144915,243817
ARSSINFRA,20100406,1100,1272.5,1095.1,1194.5,8344903,0
ARSSINFRA,20100407,1208.5,1254.5,1178.3,1222.05,4988253,168376
ARSSINFRA,20100408,1221,1238,1203.3,1219.2,1863264,78862
ARSSINFRA,20100409,1222.25,1236,1161.2,1191.15,2377023,0
ARSSINFRA,20100412,1200,1207.35,1167,1189.35,1144008,0
ARSSINFRA,20100413,1175.1,1194.75,1150.25,1174.25,644484,36530
ARSSINFRA,20100415,1231.1,1283.9,1172.2,1247.5,4477218,179203
ARSSINFRA,20100416,1255,1264,1221,1232,1441505,0
ARSSINFRA,20100419,1232,1232,1195.35,1207.75,766509,0
ARSSINFRA,20100420,1210,1302.8,1210,1268.3,3387174,123985
ARSSINFRA,20100421,1278.3,1329.9,1274.9,1318.75,2606644,95592
ARSSINFRA,20100422,1320,1324,1278,1296.7,1797748,106671
ARSSINFRA,20100423,1304.9,1338,1290,1324.9,1177712,85239
ARSSINFRA,20100426,1330,1371,1330,1364.9,1463577,72153
ARSSINFRA,20100427,1365,1394.8,1355.1,1376,1482910,93333
ARSSINFRA,20100428,1349,1354.95,1283.4,1296.75,1471347,104221
ARSSINFRA,20100429,1301,1335,1301,1320.15,785301,62589
ARSSINFRA,20100430,1330,1352.35,1306.5,1318.2,628205,0
ARSSINFRA,20100503,1318.2,1318.2,1280.15,1289.95,409902,33866
ARSSINFRA,20100504,1295,1312.05,1191.65,1202.95,1227299,104317
ARSSINFRA,20100505,1205,1283,1115,1261.15,2314270,120168
ARSSINFRA,20100506,1255,1301,1236.75,1250.05,1332932,87554
ARSSINFRA,20100507,1214,1229.8,1155.2,1173.6,1017668,96915
ARSSINFRA,20100510,1193,1263,1193,1240.45,808565,90548
ARSSINFRA,20100511,1233.8,1248,1191.35,1207.75,590932,0
ARSSINFRA,20100512,1215,1226,1179.1,1191.8,456719,37666
ARSSINFRA,20100513,1200,1218,1180.05,1194.4,413848,0
ARSSINFRA,20100514,1189.9,1196,1151.2,1161.5,427244,57462
ARSSINFRA,20100517,1139.8,1200,1093.8,1179.05,658064,80624
ARSSINFRA,20100518,1175,1188,1137,1145.3,382100,49902
ARSSINFRA,20100519,1125,1164.5,1080,1086.3,556709,57986
ARSSINFRA,20100520,1125,1144,1070,1082.45,427311,30885
ARSSINFRA,20100521,1058.35,1058.35,1026.7,1034.3,267328,37169
ARSSINFRA,20100524,1064,1128.9,1050,1063.9,685164,62028
ARSSINFRA,20100525,1036.1,1051,918,954.3,914091,85578
ARSSINFRA,20100526,990,1023.8,971.7,1004.75,902027,49180
ARSSINFRA,20100527,1005,1062,986,1050.05,954016,58931
ARSSINFRA,20100528,1063.5,1094.4,1057.6,1075.3,808296,57841
ARSSINFRA,20100531,1070,1079.75,1047.5,1061.1,359301,25275
ARSSINFRA,20100601,1050,1104,1030.65,1039.6,918377,58111
ARSSINFRA,20100602,1055,1074,1038.7,1066.5,508317,43915
ARSSINFRA,20100603,1084.15,1113,1070.05,1082.3,580007,71750
ARSSINFRA,20100604,1086,1088.8,1059.5,1075.3,395988,24677
ARSSINFRA,20100607,1034.6,1062,1025,1050.05,308484,22353
ARSSINFRA,20100608,1052,1087.8,1045,1064.45,515591,42957
ARSSINFRA,20100609,1071,1140,1055.05,1117.3,1122281,86044
ARSSINFRA,20100610,1130,1237,1122,1208.4,1577684,127193
ARSSINFRA,20100611,1250,1277.5,1215.05,1252.45,2292020,63777
ARSSINFRA,20100614,1245,1274.55,1235.15,1251.65,782394,58758
ARSSINFRA,20100615,1260,1260,1213,1228.85,529068,43158
ARSSINFRA,20100616,1240,1277,1226.2,1239.2,571430,43044
ARSSINFRA,20100617,1245.05,1263.7,1228.8,1241.8,502015,46001
ARSSINFRA,20100618,1239.95,1266,1208.25,1221.7,490749,48394
ARSSINFRA,20100621,1235.15,1255,1216,1224.7,335156,41898
ARSSINFRA,20100622,1220,1232,1173,1183.7,540046,66043
ARSSINFRA,20100623,1179,1219,1166.05,1210.75,718818,57564
ARSSINFRA,20100624,1214.4,1228,1196.2,1205.85,426152,45793
ARSSINFRA,20100625,1195.1,1211,1170.05,1179.05,327922,26169
ARSSINFRA,20100628,1186,1195.4,1164,1170.7,195946,38562
ARSSINFRA,20100629,1178,1178,1130,1135.45,255811,38990
ARSSINFRA,20100630,1134,1154,1090,1140.3,325126,24873
ARSSINFRA,20100701,1130.25,1155,1120,1136.45,188179,26621
ARSSINFRA,20100702,1140,1168.8,1128.35,1139.45,318096,43309
ARSSINFRA,20100705,1140,1152,1127,1135,121870,10867
ARSSINFRA,20100706,1140,1149.8,1123.5,1132.15,152455,20006
ARSSINFRA,20100707,1125.15,1140,1115,1119.85,143766,19727
ARSSINFRA,20100708,1137.4,1142.35,1115.1,1124.7,119925,17470
ARSSINFRA,20100709,1140,1140,1120.1,1124.2,99012,20451
ARSSINFRA,20100712,1134.45,1175,1117.9,1165.1,350865,45428
ARSSINFRA,20100713,1146,1185,1115,1158.15,388592,35252
ARSSINFRA,20100714,1168,1175,1153,1160.75,204052,48759
ARSSINFRA,20100715,1155,1165,1135,1139.75,115706,32418
ARSSINFRA,20100716,1141,1162.9,1125,1142.6,92606,13764
ARSSINFRA,20100719,1140.65,1151.95,1125.25,1139.55,100437,13568
ARSSINFRA,20100720,1145,1173,1137.05,1145.95,319090,32284
ARSSINFRA,20100721,1146,1227.3,1137,1211.6,1083421,123319
ARSSINFRA,20100722,1225.1,1238,1211.05,1223.3,554230,63652
ARSSINFRA,20100723,1226.95,1230,1169.9,1181.75,247280,50832
ARSSINFRA,20100726,1186.75,1203,1161,1173.15,482227,50438
ARSSINFRA,20100727,1175,1216.95,1167.1,1208.35,454874,51345
ARSSINFRA,20100728,1213.45,1345.7,1202.95,1333.2,2255770,242002
ARSSINFRA,20100729,1340,1418,1314.15,1363.9,2519743,131278
ARSSINFRA,20100730,1362,1389,1288,1320.1,1307346,127278
ARSSINFRA,20100802,1320,1409,1320,1369.3,1258710,124300
ARSSINFRA,20100803,1369.3,1377.45,1337.5,1356,495906,40990
ARSSINFRA,20100804,1340,1379,1340,1364,512244,29599
ARSSINFRA,20100805,1360,1374.9,1331,1340.5,331101,34907
ARSSINFRA,20100806,1347,1349.25,1305,1315.75,259802,45222
ARSSINFRA,20100809,1307,1335,1303.5,1310.35,204537,18601
ARSSINFRA,20100810,1314.7,1347,1292,1330.7,273319,44844
ARSSINFRA,20100811,1329,1349.5,1290,1298.5,307425,50702
ARSSINFRA,20100812,1300,1325,1276.05,1314.5,186600,27013
ARSSINFRA,20100813,1322,1347.65,1301,1312.65,318715,43294
ARSSINFRA,20100816,1320,1332,1305,1319.55,146532,25965
ARSSINFRA,20100817,1325,1327.65,1297.2,1301.45,109701,22704
ARSSINFRA,20100818,1330,1330,1299.95,1307.95,68574,15346
ARSSINFRA,20100819,1315.95,1316.6,1295,1303,74581,13852
ARSSINFRA,20100820,1300,1334.95,1292.4,1303.65,165978,20290
ARSSINFRA,20100823,1315,1349,1304.3,1321.5,303841,42409
ARSSINFRA,20100824,1325,1339.9,1298,1303.9,116769,23009
ARSSINFRA,20100825,1309.95,1314,1281,1286.05,101853,30949
ARSSINFRA,20100826,1294,1306.9,1280.25,1286.9,59842,10082
ARSSINFRA,20100827,1280.05,1294.6,1266,1271.85,60214,20682
ARSSINFRA,20100830,1281.4,1294.7,1250,1262.6,44848,11980
ARSSINFRA,20100831,1268,1272,1244.1,1248.85,69329,14680
ARSSINFRA,20100901,1255,1268,1245,1262.65,54385,16589
ARSSINFRA,20100902,1272,1321,1266.1,1292.4,193945,30752
ARSSINFRA,20100903,1294.9,1295,1271,1285.05,65227,14845
ARSSINFRA,20100906,1290,1311.7,1281.1,1289.2,77224,15595
ARSSINFRA,20100907,1299,1302,1276,1280.65,52002,11446
ARSSINFRA,20100908,1276.8,1278.95,1211,1269.25,58377,16142
ARSSINFRA,20100909,1275,1287,1260,1269.3,40873,10906
ARSSINFRA,20100913,1280,1310,1261.25,1268.65,82794,17217
ARSSINFRA,20100914,1275.55,1284.9,1265,1272.6,58495,14835
ARSSINFRA,20100915,1275,1288,1255.1,1262.95,43401,10706
ARSSINFRA,20100916,1263,1303.7,1255.15,1265.8,197064,27902
ARSSINFRA,20100917,1269,1279.8,1265.1,1270.2,39381,10629
ARSSINFRA,20100920,1270.1,1276.9,1255.6,1260.05,27825,9782
ARSSINFRA,20100921,1265,1271.4,1210,1227.6,50114,12861
ARSSINFRA,20100922,1238.65,1252,1220,1231.5,59816,15096
ARSSINFRA,20100923,1235.45,1236,1215.1,1217.3,29793,8193
ARSSINFRA,20100924,1223,1242,1211,1221.45,42951,6493
ARSSINFRA,20100927,1229,1330,1225,1298.8,682030,95951
ARSSINFRA,20100928,1299,1324,1270,1283.6,320724,34798
ARSSINFRA,20100929,1290,1293.9,1235,1249.75,101718,27098
ARSSINFRA,20100930,1251.5,1262.9,1223.15,1252.5,64724,17057
ARSSINFRA,20101001,1255,1275.8,1248.5,1262.65,63231,11143
ARSSINFRA,20101004,1270,1274.9,1235,1240.95,39725,11575
ARSSINFRA,20101005,1245,1253,1231,1235.5,29758,8699
ARSSINFRA,20101006,1244,1248,1220,1224.3,51514,20407
ARSSINFRA,20101007,1225.05,1260,1212,1223.8,50820,10430
ARSSINFRA,20101008,1229,1242,1181.4,1212.8,100318,62512
ARSSINFRA,20101011,1225,1256.2,1215.35,1226.2,71931,0
ARSSINFRA,20101012,1230,1245,1220,1224.55,38117,0
