SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ASHIANA,20110629,134.8,151,111.55,140.75,151702,0
ASHIANA,20110630,139,141.65,132,139.1,6807,2808
ASHIANA,20110701,135.95,148,135.95,146.85,14085,0
ASHIANA,20110704,142.05,150,138.05,146.4,6531,6021
ASHIANA,20110705,150.8,162.8,145,150.9,54219,11846
ASHIANA,20110706,150,155,147,149.45,3171,2578
ASHIANA,20110707,150,152.9,143,148.55,2089,1859
ASHIANA,20110708,149.5,150,139,148.55,2901,0
ASHIANA,20110711,147,152.9,147,152.9,790,400
ASHIANA,20110712,146,152.75,144,144.5,2059,0
ASHIANA,20110713,149,152,146.15,150.4,1210,723
ASHIANA,20110714,149,149.5,141.15,149.1,1857,0
ASHIANA,20110715,153.9,153.9,139.15,147.85,2115,2023
ASHIANA,20110718,145.1,147.15,143,147,123,0
ASHIANA,20110719,149,149,145,147,282,0
ASHIANA,20110720,147,149,142,148.2,1509,0
ASHIANA,20110721,149.95,153,145,145.15,8103,0
ASHIANA,20110722,153.5,153.5,135.45,148,1415,0
ASHIANA,20110725,146,151.95,146,148.6,1327,1177
ASHIANA,20110726,148.5,156,146,152,3240,0
ASHIANA,20110727,145.05,155,145.05,154.25,5135,1076
ASHIANA,20110728,151.25,153.65,151.25,151.9,2370,2186
ASHIANA,20110729,150.25,153,150.25,152.9,1875,0
ASHIANA,20110801,154.75,156,153.1,155.3,4004,2905
ASHIANA,20110802,155,155,150.1,153.9,885,500
ASHIANA,20110803,149,152.7,143.5,148.65,4643,0
ASHIANA,20110804,150.1,154,148,148,891,891
ASHIANA,20110805,141,151.85,140.3,148.15,1949,0
ASHIANA,20110808,141.5,174.5,141,150,72149,0
ASHIANA,20110809,153.8,153.8,142.5,150,52682,52501
ASHIANA,20110810,150,153.9,148,150,473,0
ASHIANA,20110811,148,151.5,145.5,151.45,63,0
ASHIANA,20110812,154,155,149.05,152,318,0
ASHIANA,20110816,154.5,155,141,143,2291,1740
ASHIANA,20110817,139,150,139,148.4,3719,0
ASHIANA,20110818,141,145.95,141,141.8,307,198
ASHIANA,20110819,133.05,141,133.05,139,573,520
ASHIANA,20110822,140,140,136,139,2704,0
ASHIANA,20110823,140,140,139,139.85,1065,1064
ASHIANA,20110824,140,140,135,139.85,535,525
ASHIANA,20110825,132.05,140,130,133.45,863,0
ASHIANA,20110826,140,140,130,132.1,940,936
ASHIANA,20110829,135,140,132.1,139.35,2260,0
ASHIANA,20110830,127,140,127,139.35,2413,0
ASHIANA,20110902,136.5,145,132.3,140,1106,983
ASHIANA,20110905,133.5,140,130,134,4481,3685
ASHIANA,20110906,136,140,135,139.15,483,442
ASHIANA,20110907,139.5,142,137.5,140.85,1402,1397
ASHIANA,20110908,142.25,150,140,147.8,1210,1060
ASHIANA,20110909,152.3,152.5,143,143.05,451,0
ASHIANA,20110912,143,147,141,147,290,0
ASHIANA,20110913,150,150,140,145.95,1361,0
ASHIANA,20110914,147.5,152,141.3,148.2,1695,0
ASHIANA,20110915,148.9,151.5,143,146.3,205,0
ASHIANA,20110916,150,150.9,144,146.1,2536,2165
ASHIANA,20110919,149.9,150,148,148.55,451,276
ASHIANA,20110920,145.2,152.9,145.2,151.15,2418,2263
ASHIANA,20110921,151,154,150.05,151.45,4276,0
ASHIANA,20110922,150,152.5,146.15,148.95,6340,0
ASHIANA,20110923,148,150,141.95,142.85,4100,0
ASHIANA,20110926,147.5,147.5,135,137.45,3493,2734
ASHIANA,20110927,142.8,142.8,137,140,7060,0
ASHIANA,20110928,138.05,142,138.05,141.7,3140,0
ASHIANA,20110929,140,141.85,140,140.1,1346,1341
ASHIANA,20110930,141,142,138,140,1750,0
ASHIANA,20111003,135,146.95,123,135.5,392,300
ASHIANA,20111004,139.5,140,135,136.05,890,865
ASHIANA,20111005,130,137.9,130,135,481,390
ASHIANA,20111007,135,139,126.7,135.05,2514,1294
ASHIANA,20111010,139,140,135,137.3,1146,1061
ASHIANA,20111011,135,139.5,133,137.85,1437,0
ASHIANA,20111012,133,139.8,130.7,137.7,370,260
ASHIANA,20111013,133.5,140,133.5,139,1759,1566
ASHIANA,20111014,145.3,148,137.5,145,1790,1577
ASHIANA,20111017,145,145,140,144.6,547,0
ASHIANA,20111018,140.1,142,135.95,141.15,2132,0
ASHIANA,20111019,136.45,146.4,136.45,145.4,2283,0
ASHIANA,20111020,140.05,145,140.05,144.35,1628,0
ASHIANA,20111021,148.5,148.5,140,144.4,3372,0
ASHIANA,20111024,144.4,149,140.1,147.55,1777,0
ASHIANA,20111025,138.65,148.95,138.65,147.85,1300,0
ASHIANA,20111026,151,151,151,151,4,4
ASHIANA,20111028,146.5,147.2,141.6,145.9,1724,1525
ASHIANA,20111031,141.65,142,140.5,141.8,94,72
ASHIANA,20111101,141.1,145.5,140,144.35,1665,1630
ASHIANA,20111102,144,159,143.25,154.1,6175,4745
ASHIANA,20111103,154.5,168.4,152,163,7696,6792
ASHIANA,20111104,163,185,156.1,176.45,13174,0
ASHIANA,20111108,170.35,173,163.1,166.15,3648,2193
ASHIANA,20111109,161.4,174,157.05,166.75,3845,2320
ASHIANA,20111111,165,166,160,163.7,2190,1689
ASHIANA,20111114,169.5,178.4,140.1,164.15,7799,3814
ASHIANA,20111115,166.35,167.5,160,163.85,623,605
ASHIANA,20111116,160,160,149.05,155.1,6873,0
ASHIANA,20111117,155,162.8,154,157.7,3085,0
ASHIANA,20111118,153.4,163.3,151.5,160.8,4272,3193
ASHIANA,20111121,152.5,158,152.05,155.9,1797,0
ASHIANA,20111122,160.9,160.9,152.25,156.8,1410,1000
ASHIANA,20111123,154.05,156.9,153,156.9,50621,50361
ASHIANA,20111124,156.75,157,154,154,142,142
ASHIANA,20111125,153,161,151.05,154.8,3387,2077
ASHIANA,20111128,161.95,175.4,152.5,158.9,856,268
ASHIANA,20111129,159.7,159.7,152.3,153.7,1106,0
ASHIANA,20111130,151.25,154.5,148,151.55,993,0
ASHIANA,20111201,155,155,149.5,150,3021,0
ASHIANA,20111202,144.2,150,144.2,149.95,93170,92958
ASHIANA,20111205,150,150,146.95,149.4,201,186
ASHIANA,20111207,149.75,150,145.1,146.25,317,277
ASHIANA,20111208,152.95,152.95,139,144.05,430,315
ASHIANA,20111209,146,150,146,149.85,2645,0
ASHIANA,20111212,147.1,147.1,138.5,144.45,2786,2122
ASHIANA,20111213,142,144.8,141.05,142,1414,981
ASHIANA,20111214,144.9,144.9,138,140,3850,3657
ASHIANA,20111215,138,138,136.1,136.15,1930,1828
ASHIANA,20111216,149.95,149.95,133,135.15,873,861
ASHIANA,20111219,135,139,131.05,132.1,4409,4277
ASHIANA,20111220,133,133,128,129.4,705,705
ASHIANA,20111221,135.45,135.5,128.15,132,284,255
ASHIANA,20111222,130,136.5,130,136.2,2652,2286
ASHIANA,20111223,140,141,135,135.1,1178,1130
ASHIANA,20111226,136,142,136,140.2,623,538
ASHIANA,20111227,140,145,140,143.45,1071,780
ASHIANA,20111228,142.9,142.9,136.5,139.75,831,632
ASHIANA,20111229,135,138,135,135.8,786,580
ASHIANA,20111230,137,138.5,135,136.8,75,75
ASHIANA,20120102,140,144.5,135,135.1,1057,925
ASHIANA,20120103,138,144,138,140.9,259,238
ASHIANA,20120104,140,142.95,140,142.95,112,110
ASHIANA,20120105,140,142.9,140,142.9,98,0
ASHIANA,20120106,136.25,140,136.25,140,140,70
ASHIANA,20120107,143,144,142.9,143.1,66,56
ASHIANA,20120109,143.9,143.9,139.5,143.5,618,508
ASHIANA,20120110,138.1,150.5,138.1,149.85,1932,1629
ASHIANA,20120111,149.45,152,145.75,151.6,9598,496
ASHIANA,20120112,152.95,154,148.65,151.25,743,497
ASHIANA,20120113,150.1,152.9,140.05,146.85,2299,1347
ASHIANA,20120116,172,172,145.65,150,347,0
ASHIANA,20120117,153.95,155,145.7,154.15,1301,955
ASHIANA,20120118,154.95,155,145.5,147.1,1403,1383
ASHIANA,20120119,152,152,146.1,147.85,1095,1034
ASHIANA,20120120,150.95,150.95,146,148.05,1534,0
ASHIANA,20120123,145.5,145.5,140,143.1,2201,1532
ASHIANA,20120124,143,153,143,143.85,1619,1058
ASHIANA,20120125,164.8,164.8,144.2,148.25,2267,2199
ASHIANA,20120127,150,155,150,152.45,5734,0
ASHIANA,20120130,141.1,153.95,140.15,150.1,1109,0
ASHIANA,20120131,152.8,163,151.65,159.25,4451,0
ASHIANA,20120201,160,170,160,163,10639,9006
ASHIANA,20120202,168.5,168.5,160,161.25,749,0
ASHIANA,20120203,161.15,164.95,158.5,161.25,1877,1533
ASHIANA,20120206,164,165.5,158.9,160.5,2702,2352
ASHIANA,20120207,162,165,157,159.9,2134,1463
ASHIANA,20120208,155.4,162.9,155,161.05,2571,0
ASHIANA,20120209,162,169.45,162,167.1,1843,1594
ASHIANA,20120210,165,165.4,161.1,162.5,2477,2060
