SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ASIANCABLE,19950127,56,56,56,56,500,0
ASIANCABLE,19950130,58.75,59.75,58.75,59.75,900,0
ASIANCABLE,19950203,57.5,57.5,57.5,57.5,150,0
ASIANCABLE,19950206,57.5,57.5,57.5,57.5,100,0
ASIANCABLE,19950303,59.5,59.5,59.5,59.5,200,0
ASIANCABLE,19950309,51,51,51,51,150,0
ASIANCABLE,19950412,54,54,54,54,100,0
ASIANCABLE,19950428,49,49,49,49,150,0
ASIANCABLE,19950518,47.5,47.5,47.5,47.5,100,0
ASIANCABLE,19950530,44,44,44,44,50,0
ASIANCABLE,19950601,43,43,43,43,50,0
ASIANCABLE,19950602,42.05,43,42.05,43,150,0
ASIANCABLE,19950612,39,39.05,39,39.05,200,0
ASIANCABLE,19950613,39.25,39.25,39,39,1000,0
ASIANCABLE,19950621,37,37,37,37,100,0
ASIANCABLE,19950627,33.55,33.55,33.55,33.55,50,0
ASIANCABLE,19950629,33.5,33.5,33.5,33.5,100,0
ASIANCABLE,19950630,33,33,33,33,100,0
ASIANCABLE,19950703,33.5,33.5,33.5,33.5,100,0
ASIANCABLE,19950704,33,33,33,33,100,0
ASIANCABLE,19950707,32,32,32,32,50,0
ASIANCABLE,19950717,33,33,33,33,50,0
ASIANCABLE,19950718,33,33,33,33,100,0
ASIANCABLE,19950724,29.75,29.75,29.75,29.75,600,0
ASIANCABLE,19950818,31,31,31,31,50,0
ASIANCABLE,19950821,29.5,29.5,29.5,29.5,100,0
ASIANCABLE,19950825,30.5,30.5,30,30,100,0
ASIANCABLE,19950905,31.5,31.5,31.5,31.5,300,0
ASIANCABLE,19950906,29,29.3,29,29.3,100,0
ASIANCABLE,19950908,30,30,30,30,200,0
ASIANCABLE,19950911,31,31,31,31,500,0
ASIANCABLE,19950912,30.75,30.75,28.5,28.5,150,0
ASIANCABLE,19950913,30,30,30,30,100,0
ASIANCABLE,19950915,29,29,28.5,28.5,150,0
ASIANCABLE,19950919,28.5,28.5,28.5,28.5,50,0
ASIANCABLE,19950921,25.5,25.5,25.5,25.5,100,0
ASIANCABLE,19950929,27,27,27,27,50,0
ASIANCABLE,19951004,27,27,26,26.05,700,0
ASIANCABLE,19951005,27,27,27,27,50,0
ASIANCABLE,19951010,28,28,28,28,100,0
ASIANCABLE,19951012,28,28,28,28,50,0
ASIANCABLE,19951018,28,28,27.5,27.5,150,0
ASIANCABLE,19951019,27.5,27.4,26.5,27.4,150,0
ASIANCABLE,19951023,27.4,28,28,28,200,0
ASIANCABLE,19951027,27,27,27,27,250,0
ASIANCABLE,19951031,24.3,24.3,24.3,24.3,50,0
ASIANCABLE,19951103,24.5,24.5,24.05,24.05,500,0
ASIANCABLE,19951107,24.25,24.25,24.25,24.25,200,0
ASIANCABLE,19951108,25,25,25,25,100,0
ASIANCABLE,19951109,24.1,24.1,24.05,24.05,450,0
ASIANCABLE,19951113,23.5,24,23,23.65,350,0
ASIANCABLE,19951114,24,24,24,24,100,0
ASIANCABLE,19951115,23,23,23,23,100,0
ASIANCABLE,19951117,23.5,24,23.5,24,200,0
ASIANCABLE,19951120,24,25,23.5,23.5,1300,0
ASIANCABLE,19951121,24,24,24,24,100,0
ASIANCABLE,19951124,23.5,23.5,23,23,150,0
ASIANCABLE,19951201,23,23,21,21,150,0
ASIANCABLE,19951204,21.1,23,21.1,23,300,0
ASIANCABLE,19951205,23,23.95,23,23.95,300,0
ASIANCABLE,19951206,24,24,24,24,200,0
ASIANCABLE,19951207,24,24,24,24,100,0
ASIANCABLE,19951208,24,24,24,24,300,0
ASIANCABLE,19951211,24,24,24,24,100,0
ASIANCABLE,19951212,22,22,21.65,22,1100,0
ASIANCABLE,19951213,22.8,22.8,21.65,21.65,2000,0
ASIANCABLE,19951214,22,22,21,21,100,0
ASIANCABLE,19951215,21.05,21.45,20.9,21.45,1750,0
ASIANCABLE,19951218,23.5,23.5,22.45,23,2100,0
ASIANCABLE,19951219,22.85,23,21.9,22,2000,0
