SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ASIANELEC,19950614,515,515,500,500,100,0
ASIANELEC,19950615,480,490,475,490,600,0
ASIANELEC,19950619,495,507.5,495,501,850,0
ASIANELEC,19950620,482,489.9,475,482.45,200,0
ASIANELEC,19950621,491,491,490,491,800,0
ASIANELEC,19950622,490,490,475,475,350,0
ASIANELEC,19950623,487,487,487,487,100,0
ASIANELEC,19950706,460,460,460,460,100,0
ASIANELEC,19950712,480,480,480,480,200,0
ASIANELEC,19950713,490,495,482,485,900,0
ASIANELEC,19950719,500,514,500,514,150,0
ASIANELEC,19950721,525,525,525,525,50,0
ASIANELEC,19950724,518.75,518.75,518,518,200,0
ASIANELEC,19950725,520,525,518,518,250,0
ASIANELEC,19950726,550,550,550,550,600,0
ASIANELEC,19950727,545,550,545,550,1150,0
ASIANELEC,19950728,535,535,533,533,500,0
ASIANELEC,19950731,530,540,530,540,1450,0
ASIANELEC,19950801,535,537,525,525,1000,0
ASIANELEC,19950803,535,535,530,530,1100,0
ASIANELEC,19950804,538,538,530,530,850,0
ASIANELEC,19950808,518,524,512,513.5,450,0
ASIANELEC,19950814,500,500,500,500,100,0
ASIANELEC,19950816,515,515,515,515,150,0
ASIANELEC,19950823,510,510,510,510,100,0
ASIANELEC,19950830,460,503,460,503,300,0
ASIANELEC,19950901,520,520,520,520,50,0
ASIANELEC,19950905,520,520,520,520,50,0
ASIANELEC,19950906,521,530,520,523,450,0
ASIANELEC,19950908,520,525,520,522.5,250,0
ASIANELEC,19950912,510,510,505,505,150,0
ASIANELEC,19950914,520,520,520,520,50,0
ASIANELEC,19950915,520,520,520,520,50,0
ASIANELEC,19950919,516,516,515,515,100,0
ASIANELEC,19950920,505,505,505,505,50,0
ASIANELEC,19950922,485,490,485,490,200,0
ASIANELEC,19950926,490,490,490,490,100,0
ASIANELEC,19951005,490,500,500,500,50,0
ASIANELEC,19951012,500,500,500,500,200,0
ASIANELEC,19951013,505,505,505,505,200,0
ASIANELEC,19951017,510,515,510,512.5,200,0
ASIANELEC,19951018,522,522,515,515,100,0
ASIANELEC,19951019,512,512,510,510,200,0
ASIANELEC,19951020,514,514,510,510,250,0
ASIANELEC,19951023,510,505,505,505,50,0
ASIANELEC,19951024,500,500,500,500,200,0
ASIANELEC,19951026,503,510,500,510,1200,0
ASIANELEC,19951027,510,510,510,510,250,0
ASIANELEC,19951030,550,550,550,550,100,0
ASIANELEC,19951031,550,558,550,558,250,0
ASIANELEC,19951101,558,558,555,555,150,0
ASIANELEC,19951102,541,541,535,535,250,0
ASIANELEC,19951114,495,495,495,495,100,0
ASIANELEC,19951116,495,495,495,495,100,0
ASIANELEC,19951117,475,475,474.95,475,200,0
ASIANELEC,19951120,455,455,452,452,100,0
ASIANELEC,19951121,440,440,419,422.1,450,0
ASIANELEC,19951122,422.1,428,424,424,100,0
ASIANELEC,19951123,424,425,415,415,250,0
ASIANELEC,19951124,415,452,425,452,500,0
ASIANELEC,19951127,470,485,470,475.05,400,0
ASIANELEC,19951128,485,485,460,460,400,0
ASIANELEC,19951129,460,460,460,460,50,0
ASIANELEC,19951130,460,460,460,460,50,0
ASIANELEC,19951201,477,477,477,477,100,0
ASIANELEC,19951204,460.25,485,460.25,484,300,0
ASIANELEC,19951205,474,484,470,480.6,1250,0
ASIANELEC,19951207,480.6,500,480.05,500,300,0
ASIANELEC,19951208,485.05,485.05,485.05,485.05,100,0
ASIANELEC,19951211,485.05,500.85,490,500.6,450,0
ASIANELEC,19951212,500,505,500,505,300,0
ASIANELEC,19951213,505,500,495,500,250,0
ASIANELEC,19951214,495,495,495,495,100,0
ASIANELEC,19951215,495,505,495,505,750,0
ASIANELEC,19951218,500,500,495,500,950,0
ASIANELEC,19951219,500,500,490,490,250,0
ASIANELEC,19951220,494,500,494,500,200,0
ASIANELEC,19951221,500,500,500,500,100,0
ASIANELEC,19951222,500,502,500,502,200,0
ASIANELEC,19951226,500,502,495,496.4,1300,0
ASIANELEC,19951227,480,480,480,480,50,0
ASIANELEC,19960104,480,480,480,480,50,0
ASIANELEC,19960108,489,490,489,489.35,150,0
ASIANELEC,19960109,485,487.5,485,485.5,700,0
ASIANELEC,19960110,490,497,490,493.6,850,0
ASIANELEC,19960111,493,495,493,494,200,0
ASIANELEC,19960112,494,490,490,490,200,0
ASIANELEC,19960115,490,490,490,490,150,0
ASIANELEC,19960116,466,495,466,493,250,0
ASIANELEC,19960124,485,485,485,485,50,0
ASIANELEC,19960129,470,470,470,470,50,0
ASIANELEC,19960130,470,470,470,470,100,0
ASIANELEC,19960201,500,500,500,500,500,0
ASIANELEC,19960205,501,501,500,500,200,0
ASIANELEC,19960206,500,497,491,497,150,0
ASIANELEC,19960212,505,505,500,500,250,0
ASIANELEC,19960213,500,515,508,515,300,0
ASIANELEC,19960214,515,530,530,530,50,0
ASIANELEC,19960215,530,531,529.95,530,450,0
ASIANELEC,19960216,530,545,530,530,350,0
ASIANELEC,19960219,530,580,535,580,600,0
ASIANELEC,19960220,565,565,555.5,561.4,200,0
ASIANELEC,19960223,561.4,595,555.5,592.5,150,0
ASIANELEC,19960226,592.5,565,565,565,100,0
ASIANELEC,19960227,565,560,560,560,100,0
ASIANELEC,19960228,560,550,550,550,50,0
ASIANELEC,19960229,550,515,505,515,300,0
ASIANELEC,19960301,500,500,500,500,300,0
ASIANELEC,19960304,500,505,500,505,150,0
ASIANELEC,19960307,505,539.95,520,523.05,650,0
ASIANELEC,19960311,513,513,513,513,50,0
ASIANELEC,19960312,513,500,500,500,50,0
ASIANELEC,19960313,510,510,510,510,100,0
ASIANELEC,19960314,510,510,510,510,50,0
ASIANELEC,19960315,510,510,510,510,50,0
ASIANELEC,19960318,501,501,501,501,100,0
ASIANELEC,19960319,498,500,493,494.5,350,0
ASIANELEC,19960325,494.5,500,500,500,100,0
ASIANELEC,19960326,495,495,495,495,100,0
ASIANELEC,19960327,455,455,455,455,50,0
ASIANELEC,19960329,490,490,481.05,488.95,250,0
ASIANELEC,19960402,488.95,490,490,490,150,0
ASIANELEC,19960404,490,500,500,500,50,0
ASIANELEC,19960408,490,490,485,485,550,0
ASIANELEC,19960409,485,485,480.05,482.55,100,0
ASIANELEC,19960410,485,485,485,485,50,0
ASIANELEC,19960411,485,487,483,487,250,0
ASIANELEC,19960412,511,511,511,511,100,0
ASIANELEC,19960415,525,530,525,530,400,0
ASIANELEC,19960416,530,532.5,510.05,531.25,550,0
ASIANELEC,19960417,540,540,540,540,100,0
ASIANELEC,19960418,539.9,564.95,539.9,558.35,600,0
ASIANELEC,19960419,558.35,560,551,551,100,0
ASIANELEC,19960423,593.75,610,591.2,592.55,2200,0
ASIANELEC,19960424,592.55,650,635,649.65,3450,0
ASIANELEC,19960425,649.65,650,630,633.65,950,0
ASIANELEC,19960426,633.65,615,590,605,1600,0
ASIANELEC,19960429,605,614.75,609,610,950,0
ASIANELEC,19960430,610,649.75,615,619.85,3450,0
ASIANELEC,19960501,619.85,649,635,635,1100,0
ASIANELEC,19960502,635,649,625,627.05,1350,0
ASIANELEC,19960503,627.05,634.95,620,621.95,3050,0
ASIANELEC,19960506,621.95,610,590,608.35,2200,0
ASIANELEC,19960507,608.35,639,606.25,613.65,5800,0
ASIANELEC,19960508,613.65,624,610,619.75,1700,0
ASIANELEC,19960509,619.75,612,600,600,1650,0
ASIANELEC,19960510,600,585.5,570,580,950,0
ASIANELEC,19960513,565,580.1,565,575,1100,0
ASIANELEC,19960514,575,577,565,568,1100,0
