SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ASPINWALL,20160614,175,175,166.25,168,2646,0
ASPINWALL,20160615,168.2,176.4,167,176.4,122812,0
ASPINWALL,20160616,185.2,185.2,185.2,185.2,1902,0
ASPINWALL,20160617,194.45,194.45,194.45,194.45,1936,0
ASPINWALL,20160620,204.15,204.15,204.15,204.15,35575,0
ASPINWALL,20160621,214,214.35,211.2,214.25,98796,0
ASPINWALL,20160622,217.8,219.95,203.55,204.2,25808,0
ASPINWALL,20160623,203,207,197.6,205.35,10653,0
ASPINWALL,20160624,200,205,195.1,204.65,7714,0
ASPINWALL,20160627,200,214.85,200,210.25,20381,0
ASPINWALL,20160628,220.75,220.75,209,216.65,20411,0
ASPINWALL,20160629,223,227.45,220,227.45,36089,0
ASPINWALL,20160630,234,238.8,234,238.8,9912,0
ASPINWALL,20160701,247.65,250.7,242.2,250.7,24030,0
ASPINWALL,20160704,263,263.2,260,263.2,23459,0
ASPINWALL,20160705,273.8,276.35,270,276.35,13471,0
ASPINWALL,20160707,283,290.15,280,290.15,6562,0
ASPINWALL,20160708,304.65,304.65,304.65,304.65,2813,0
ASPINWALL,20160711,319.85,319.85,319.85,319.85,2068,0
ASPINWALL,20160712,335.8,335.8,335.8,335.8,1769,0
ASPINWALL,20160713,352.55,352.55,319.05,319.05,39994,0
ASPINWALL,20160714,303.1,303.1,303.1,303.1,4434,0
ASPINWALL,20160715,287.95,287.95,287.95,287.95,873,0
ASPINWALL,20160718,273.6,302.3,273.6,299.35,58168,0
ASPINWALL,20160719,304,304,284.4,284.4,9525,0
ASPINWALL,20160720,271.5,295,270.2,290.75,28593,0
ASPINWALL,20160721,298.8,304.9,280.2,287.65,12683,0
ASPINWALL,20160722,281.3,287,274,275.1,9634,0
ASPINWALL,20160725,275,286,265,280.1,9176,0
ASPINWALL,20160726,276,284,267.05,278.15,5871,0
ASPINWALL,20160727,276,283,275,279.7,3800,0
ASPINWALL,20160728,280,280,265.75,266.35,14425,0
ASPINWALL,20160729,255.25,275,255.25,269.45,2467,0
ASPINWALL,20160801,282.5,282.5,256,267.9,5613,0
ASPINWALL,20160802,267,269,258,260.1,6299,0
ASPINWALL,20160804,258.95,259,238.05,239.05,5956,0
ASPINWALL,20160805,230,240,227.6,233.2,2187,0
ASPINWALL,20160808,227,235,226,229.6,3638,0
ASPINWALL,20160809,230,234,226,230,4527,0
ASPINWALL,20160810,230,234,226,229.25,1782,0
ASPINWALL,20160811,230,233.95,222.2,228.35,2647,0
ASPINWALL,20160816,229,229,222,222,1450,0
ASPINWALL,20160817,227.5,229.5,220,227.75,1673,0
ASPINWALL,20160818,230,235,228,231.25,2607,0
ASPINWALL,20160819,232,237.5,226,228.5,3780,0
ASPINWALL,20160822,236.8,236.9,225,233.05,5365,0
ASPINWALL,20160823,238,244.7,237,244.7,6143,0
ASPINWALL,20160824,256.9,256.9,245,250.05,7005,0
ASPINWALL,20160825,238.55,255.9,238.55,242.05,3910,0
ASPINWALL,20160826,242,249.9,234.1,241.45,752,0
ASPINWALL,20160829,240,240,235,237.75,1875,0
ASPINWALL,20160830,230.15,238.85,230.1,237.5,1149,0
ASPINWALL,20160831,228.1,233.95,225.65,226.85,3948,0
ASPINWALL,20160901,227,230,217,220.15,2490,0
ASPINWALL,20160902,227.95,228,220,222,711,0
ASPINWALL,20160906,229.95,229.95,221.25,225,816,0
ASPINWALL,20160907,219,234,219,231.9,1283,0
ASPINWALL,20160908,231.1,234.25,225.15,226.45,1572,0
ASPINWALL,20160909,234.25,234.25,224,225.55,518,0
ASPINWALL,20160912,225.25,228.95,225,228,2330,0
ASPINWALL,20160914,222.4,225.1,222.4,225,1747,0
ASPINWALL,20160915,226,229.95,226,229.95,1573,0
ASPINWALL,20160916,222.5,229,222.5,225.2,1270,0
ASPINWALL,20160919,234.7,234.7,225.2,225.2,730,0
ASPINWALL,20160920,229.95,236.45,229.95,236.45,18794,0
ASPINWALL,20160921,239,241,227.2,229.6,2628,0
ASPINWALL,20160922,236.9,236.9,225.6,227.75,5591,0
ASPINWALL,20160923,230,233,225,229,5391,0
ASPINWALL,20160926,232.95,232.95,221,222,3131,0
ASPINWALL,20160927,223.5,223.5,214,215.05,6865,0
ASPINWALL,20160928,217.6,222.9,207.5,209.95,4872,0
