SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ASTEC,20091125,83,90.7,83,84,13242907,1724727
ASTEC,20091126,84,87.2,82.5,83.05,3703145,794859
ASTEC,20091127,82.5,84,82,82.55,896638,255259
ASTEC,20091130,83,86.1,83,84,1174907,575691
ASTEC,20091201,84.5,85.35,83.05,83.45,663636,295323
ASTEC,20091202,84.25,93.8,83.25,89.65,4680247,1221293
ASTEC,20091203,90.9,95.5,90.05,90.75,3690873,961839
ASTEC,20091204,90.4,92.1,86.25,86.9,1074270,367613
ASTEC,20091207,87.8,92.25,87,87.85,1172633,281875
ASTEC,20091208,88.45,93.5,88.45,91.85,2156263,0
ASTEC,20091209,91.45,96.25,91.2,93.5,2346418,633039
ASTEC,20091210,94.35,95.4,92.1,92.6,1063530,0
ASTEC,20091211,94.1,94.4,90.65,91.1,866238,269238
ASTEC,20091214,91.15,91.95,87.1,87.7,543563,247843
ASTEC,20091215,89.35,91,85.7,86.15,815861,0
ASTEC,20091216,85.6,86.9,84.5,85.95,478618,175714
ASTEC,20091217,86.5,86.7,83.5,84.55,238415,93505
ASTEC,20091218,83.2,86.25,82,82.25,390097,148224
ASTEC,20091221,83,84.1,82,82.2,361884,108647
ASTEC,20091222,83.35,83.35,82.1,82.6,192501,64573
ASTEC,20091223,83.35,83.9,82.1,82.55,212052,65651
ASTEC,20091224,83.2,83.2,82,82.05,221397,0
ASTEC,20091229,82.1,83.95,82,82.2,249666,83439
ASTEC,20091230,82.9,86.45,82.8,84.2,467406,130178
ASTEC,20091231,84.9,88,83.5,84,555510,166581
ASTEC,20100104,84.75,87,83.6,84.1,193481,0
ASTEC,20100105,85,90.5,84.2,87.4,1291883,0
ASTEC,20100106,89.8,95,86.15,87.1,784017,289204
ASTEC,20100107,88,100,85.9,86.4,487810,0
ASTEC,20100108,87,87.35,84.6,85.2,313755,142813
ASTEC,20100111,86.8,87.85,84.3,85.45,254418,104543
ASTEC,20100112,86.55,86.6,83.35,83.95,251181,96574
ASTEC,20100113,83.5,85.3,83,83.7,116693,49157
ASTEC,20100114,83.75,88.3,83.75,86.55,942387,465731
ASTEC,20100115,87.7,88.25,85.05,85.65,192809,108852
ASTEC,20100118,83.5,86.2,83.5,84.15,109712,0
ASTEC,20100119,84.25,85.5,82.5,83,143555,82076
ASTEC,20100120,84,85.3,82.2,82.7,137617,63849
ASTEC,20100121,82.1,83.7,82,82.1,176261,118102
ASTEC,20100122,81,81.55,76.05,77.65,139787,70806
ASTEC,20100125,78.5,81.5,75,78,222889,60039
ASTEC,20100127,79.5,79.5,72,73.2,207557,160636
ASTEC,20100128,74,76,68.5,69.85,138080,70166
ASTEC,20100129,71,71.75,67.25,68.8,199543,66913
ASTEC,20100201,65.5,71.5,65.5,69.7,194171,59073
ASTEC,20100202,70.45,83.65,70.45,83.65,2289303,516898
ASTEC,20100203,86.1,86.95,66.95,67.4,8149478,2494174
ASTEC,20100204,68,72.3,65,67.65,4076616,646384
ASTEC,20100205,65,66,61.15,63.6,826823,221310
ASTEC,20100206,64.5,64.9,63.9,64.15,147992,64948
ASTEC,20100208,64.45,65.7,62.25,62.65,482964,129011
ASTEC,20100209,62.5,65.8,62.2,62.95,731004,172741
ASTEC,20100210,63.75,65,61,61.15,475728,186022
ASTEC,20100211,62.15,62.15,59.5,59.75,549499,195709
ASTEC,20100215,60.25,61.2,57.4,57.85,436867,158132
ASTEC,20100216,58,58.5,54.35,54.95,489409,181905
ASTEC,20100217,55,59.7,54.5,56.8,965962,223709
ASTEC,20100218,57.45,58.5,55.2,55.7,343332,121280
ASTEC,20100219,54.75,55.75,53.25,53.5,336342,133849
ASTEC,20100222,55.4,55.4,51.35,51.9,293062,107145
ASTEC,20100223,50,51.75,48.1,49.25,409137,117333
ASTEC,20100224,48.35,49.5,47.4,47.75,405908,106657
