SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ATNINTER,20060901,2.6,2.6,2.6,2.6,40500,0
ATNINTER,20060904,2.75,2.75,2.75,2.75,5111,0
ATNINTER,20060905,2.9,2.9,2.9,2.9,2920,2920
ATNINTER,20060906,3.05,3.05,3.05,3.05,35951,35951
ATNINTER,20060907,3.2,3.2,2.95,3.05,140466,0
ATNINTER,20060908,3.2,3.2,2.9,2.9,134605,0
ATNINTER,20060911,2.9,2.95,2.75,2.75,24164,0
ATNINTER,20060912,2.65,2.7,2.65,2.65,10600,10350
ATNINTER,20060913,2.7,2.75,2.6,2.65,35702,32380
ATNINTER,20060914,2.65,2.65,2.55,2.55,55496,36497
ATNINTER,20060915,2.45,2.7,2.45,2.65,125828,90477
ATNINTER,20060918,2.8,2.8,2.55,2.55,46586,37620
ATNINTER,20060919,2.6,2.6,2.35,2.4,56555,54802
ATNINTER,20060920,2.4,2.55,2.4,2.4,37918,26269
ATNINTER,20060921,2.4,2.5,2.3,2.3,83784,62077
ATNINTER,20060922,2.25,2.3,2.1,2.25,60932,35594
ATNINTER,20060925,2.15,2.45,2.05,2.05,87954,47920
ATNINTER,20060926,2,2.1,1.95,2,77278,0
ATNINTER,20060927,2.1,2.1,2,2,24601,20500
ATNINTER,20060928,2.1,2.1,2,2.05,61828,0
ATNINTER,20060929,2.1,2.1,1.95,2,42669,0
ATNINTER,20061003,2,2.2,2,2.2,35374,0
ATNINTER,20061004,2.25,2.35,2.15,2.25,24016,18999
ATNINTER,20061005,2.35,2.5,2.2,2.5,67191,0
ATNINTER,20061006,2.55,2.55,2.4,2.55,42717,0
ATNINTER,20061009,2.7,2.7,2.5,2.5,33529,0
ATNINTER,20061010,2.4,2.6,2.4,2.5,10693,0
ATNINTER,20061011,2.55,2.55,2.4,2.4,32182,0
ATNINTER,20061012,2.4,2.4,2.3,2.3,31526,16301
ATNINTER,20061013,2.4,2.45,2.25,2.35,24505,0
ATNINTER,20061016,2.4,2.4,2.25,2.25,24103,21700
ATNINTER,20061017,2.4,2.4,2.15,2.25,27037,19701
ATNINTER,20061018,2.35,2.35,2.15,2.15,22990,15280
ATNINTER,20061019,2.1,2.3,2.1,2.15,24592,17801
ATNINTER,20061020,2.1,2.25,2.1,2.25,14697,0
ATNINTER,20061021,2.15,2.25,2.15,2.2,5704,0
ATNINTER,20061023,2.15,2.2,2.1,2.2,66191,0
ATNINTER,20061026,2.15,2.25,2.15,2.2,25258,0
ATNINTER,20061027,2.3,2.3,2.1,2.1,20383,0
ATNINTER,20061030,2,2.25,2,2.05,48933,0
ATNINTER,20061031,2,2.1,2,2.1,26992,0
ATNINTER,20061101,2.05,2.15,2.05,2.15,26211,0
ATNINTER,20061102,2.15,2.2,2.05,2.15,24862,0
ATNINTER,20061103,2.1,2.3,2.1,2.3,94993,0
ATNINTER,20061106,2.3,2.35,2.2,2.2,67065,0
ATNINTER,20061107,2.15,2.35,2.15,2.25,40419,0
ATNINTER,20061108,2.2,2.25,2.15,2.15,14968,0
ATNINTER,20061109,2.25,2.3,2.15,2.3,67826,0
ATNINTER,20061110,2.2,2.35,2.2,2.2,41229,31122
ATNINTER,20061113,2.15,2.3,2.15,2.25,51957,34423
ATNINTER,20061114,2.15,2.25,2.15,2.2,28025,12400
ATNINTER,20061115,2.1,2.2,2.1,2.15,62813,58557
ATNINTER,20061116,2.15,2.15,2.1,2.15,18142,17942
ATNINTER,20061117,2.1,2.15,2.05,2.05,32806,32052
ATNINTER,20061120,2.05,2.1,2,2.05,19549,19548
ATNINTER,20061121,2.05,2.15,2.05,2.15,83894,80390
ATNINTER,20061122,2.2,2.25,2.05,2.05,54305,50487
ATNINTER,20061123,2.05,2.1,2,2.05,19169,18233
ATNINTER,20061124,2.1,2.15,2.05,2.15,52961,0
ATNINTER,20061127,2.1,2.15,2.1,2.1,25255,0
ATNINTER,20061128,2.1,2.15,2.05,2.1,20252,0
ATNINTER,20061129,2.1,2.15,2.05,2.15,7903,0
ATNINTER,20061130,2.1,2.1,2.05,2.05,7623,0
ATNINTER,20061201,2.05,2.15,2.05,2.05,13654,0
ATNINTER,20061204,2.05,2.1,2,2,40979,0
ATNINTER,20061205,2.05,2.1,2.05,2.1,9995,0
ATNINTER,20061206,2.2,2.2,2.05,2.1,28083,0
ATNINTER,20061207,2.1,2.1,2.05,2.05,16125,0
ATNINTER,20061208,2.1,2.15,2.05,2.1,33652,0
ATNINTER,20061211,2,2.1,2,2.05,17657,0
ATNINTER,20061212,2.3,2.3,1.95,2.05,50319,0
ATNINTER,20061213,1.95,2.05,1.9,2.05,15038,0
ATNINTER,20061214,2.05,2.1,1.95,2,21155,13301
ATNINTER,20061215,2,2.1,1.95,2,16179,16150
ATNINTER,20061218,2.1,2.1,1.95,2.05,14001,13998
ATNINTER,20061219,1.95,2.05,1.95,1.95,23556,22354
ATNINTER,20061220,2.1,2.1,1.9,1.95,34304,29194
ATNINTER,20061221,1.9,2.05,1.9,2,44110,36943
ATNINTER,20061222,2.1,2.1,1.9,2,47404,42099
ATNINTER,20061226,2.1,2.1,1.95,2,17945,17944
ATNINTER,20061227,2,2.05,2,2,49663,32528
ATNINTER,20061228,2.1,2.2,1.95,2.05,32412,23090
ATNINTER,20061229,2,2.1,2,2,65904,42404
ATNINTER,20070102,2.2,2.2,2,2,44456,0
ATNINTER,20070103,2.1,2.2,2,2.2,81268,0
ATNINTER,20070104,2.35,2.45,2.1,2.4,223222,0
ATNINTER,20070105,2.5,2.55,2.3,2.55,103635,0
ATNINTER,20070108,2.5,2.7,2.5,2.7,169696,0
ATNINTER,20070109,2.85,2.85,2.7,2.75,200337,0
ATNINTER,20070110,2.9,2.9,2.65,2.65,85283,0
ATNINTER,20070111,2.65,2.75,2.55,2.55,45698,36558
ATNINTER,20070112,2.5,2.55,2.45,2.5,30704,0
ATNINTER,20070115,2.5,2.65,2.5,2.6,30421,0
ATNINTER,20070116,2.65,2.75,2.6,2.7,61156,0
ATNINTER,20070117,2.75,2.8,2.6,2.7,48248,0
ATNINTER,20070118,2.65,2.8,2.65,2.75,39651,0
ATNINTER,20070119,2.8,2.85,2.65,2.75,22300,0
ATNINTER,20070122,2.7,2.8,2.65,2.8,22204,0
