SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AUTOLEC,19950515,110,115,110,115,300,0
AUTOLEC,19950516,119.95,120,119.95,120,500,0
AUTOLEC,19950517,122,122,122,122,300,0
AUTOLEC,19950518,122.5,125,122.5,125,200,0
AUTOLEC,19950519,123,123,123,123,100,0
AUTOLEC,19950530,112,112,112,112,100,0
AUTOLEC,19950601,114,114,114,114,100,0
AUTOLEC,19950602,113,113,113,113,100,0
AUTOLEC,19950619,124,125,124,125,800,0
AUTOLEC,19950620,124,124,124,124,100,0
AUTOLEC,19950704,115,120,115,120,200,0
AUTOLEC,19950705,120,125,120,120,600,0
AUTOLEC,19950706,118,119.4,118,119.4,200,0
AUTOLEC,19950707,118.5,119,118.5,119,200,0
AUTOLEC,19950711,112,113,110,110,400,0
AUTOLEC,19950712,107.5,107.5,107.5,107.5,100,0
AUTOLEC,19950714,115,115,110,110,400,0
AUTOLEC,19950718,110,110,110,110,300,0
AUTOLEC,19950719,115,115,115,115,100,0
AUTOLEC,19950725,105,105,105,105,100,0
AUTOLEC,19950728,111,111,111,111,100,0
AUTOLEC,19950731,115,115,115,115,300,0
AUTOLEC,19950801,113,113,113,113,100,0
AUTOLEC,19950802,115,115,114.95,114.95,2800,0
AUTOLEC,19950803,115,115,115,115,100,0
AUTOLEC,19950807,110,110,106.5,106.9,1900,0
AUTOLEC,19950808,105,105,105,105,100,0
AUTOLEC,19950824,104,104,104,104,200,0
AUTOLEC,19950828,95.2,95.2,94.95,94.95,300,0
AUTOLEC,19950905,95,95,95,95,2100,0
AUTOLEC,19950912,95,95,95,95,200,0
AUTOLEC,19950914,96,96,95,95,300,0
AUTOLEC,19950915,97.95,98,97.95,98,500,0
AUTOLEC,19950918,96,97,96,97,500,0
AUTOLEC,19950920,97,97,97,97,500,0
AUTOLEC,19950921,97,97,97,97,100,0
AUTOLEC,19950922,106,106,106,106,400,0
AUTOLEC,19950925,98.5,100,98.5,100,300,0
AUTOLEC,19950926,106,108,104.05,105,800,0
AUTOLEC,19950927,107,108,105.5,108,3400,0
AUTOLEC,19950929,103,103,103,103,200,0
AUTOLEC,19951004,101,101,101,101,100,0
AUTOLEC,19951005,98,103,98,103,300,0
AUTOLEC,19951006,106,106,105,105,200,0
AUTOLEC,19951009,105,105,105,105,200,0
AUTOLEC,19951010,105,109.95,105,109.8,800,0
AUTOLEC,19951011,107,107.75,107,107,1400,0
AUTOLEC,19951012,107,107,105,107,300,0
AUTOLEC,19951013,106,106,105,106,300,0
AUTOLEC,19951016,105.55,106.05,105.55,106.05,300,0
AUTOLEC,19951017,107.05,107.05,107.05,107.05,200,0
AUTOLEC,19951018,107.5,107.5,107.25,107.25,700,0
AUTOLEC,19951019,108,108.05,108,108.05,300,0
AUTOLEC,19951020,107.75,108,107.75,107.8,300,0
AUTOLEC,19951025,107,107,107,107,100,0
AUTOLEC,19951026,108,109,108,109,600,0
AUTOLEC,19951027,107,109,107,109,400,0
AUTOLEC,19951030,108,110,108,109.75,1300,0
AUTOLEC,19951031,107,110,107,110,500,0
AUTOLEC,19951101,109.5,112,107.5,112,1300,0
AUTOLEC,19951102,110,110,109,110,2600,0
AUTOLEC,19951103,106,110,105,109.5,7400,0
AUTOLEC,19951106,108,110.5,108,108.2,3100,0
AUTOLEC,19951107,108,110,108,110,3800,0
AUTOLEC,19951108,109.75,109.75,108,108,600,0
AUTOLEC,19951109,109.15,110.05,109.15,110.05,4900,0
AUTOLEC,19951110,109.5,110.9,109.05,110.2,2100,0
AUTOLEC,19951113,109.25,109.25,109,109.1,1600,0
AUTOLEC,19951114,109,109,109,109,800,0
AUTOLEC,19951116,105,105,105,105,100,0
AUTOLEC,19951117,104.5,106.5,104.5,106.5,35000,0
AUTOLEC,19951120,100,100,100,100,100,0
AUTOLEC,19951122,100,99.95,95,98,1400,0
AUTOLEC,19951123,97.5,98,97.5,97.5,1200,0
AUTOLEC,19951124,96,96,96,96,200,0
AUTOLEC,19951128,98,98,98,98,100,0
AUTOLEC,19951129,98,98,98,98,100,0
AUTOLEC,19951130,98,99,98,98.75,10100,0
AUTOLEC,19951201,98,102,98,98.25,400,0
AUTOLEC,19951204,101,101,100,100,300,0
AUTOLEC,19951205,99.95,101,99.95,101,600,0
AUTOLEC,19951206,99,99,99,99,100,0
AUTOLEC,19951207,100,100,100,100,200,0
AUTOLEC,19951208,100,100,100,100,100,0
AUTOLEC,19951211,100,101,100,101,900,0
AUTOLEC,19951212,105,105,103,103.95,400,0
AUTOLEC,19951213,102,103,100,103,5400,0
AUTOLEC,19951214,102,102,102,102,100,0
AUTOLEC,19951218,100,102,100,102,400,0
AUTOLEC,19951219,100,104,97.5,102.5,20600,0
AUTOLEC,19951220,103.05,103.05,103.05,103.05,100,0
AUTOLEC,19951221,103.05,103.05,103,103,300,0
AUTOLEC,19951222,101,103,101,103,6300,0
AUTOLEC,19951226,100.05,102,100.05,102,500,0
AUTOLEC,19951227,100.5,102,100.5,102,700,0
AUTOLEC,19951229,100.55,100.55,100.55,100.55,100,0
AUTOLEC,19960101,100.55,100,100,100,100,0
AUTOLEC,19960102,101.5,102,101,102,1600,0
AUTOLEC,19960103,102,103,100,102.05,900,0
AUTOLEC,19960104,100,103,100,103,600,0
AUTOLEC,19960105,101.3,101.3,101.3,101.3,100,0
AUTOLEC,19960108,100,100.05,100,100.05,400,0
AUTOLEC,19960109,97,102,95,102,1800,0
AUTOLEC,19960118,92,92,92,92,100,0
AUTOLEC,19960119,95,95,93.5,93.5,200,0
AUTOLEC,19960123,88.5,89.95,88.5,88.5,800,0
AUTOLEC,19960125,88,88.5,88,88.5,300,0
AUTOLEC,19960129,88.5,88.5,88.5,88.5,100,0
AUTOLEC,19960130,88.5,88.5,87,87,300,0
AUTOLEC,19960131,85.05,90,85.05,88,500,0
AUTOLEC,19960201,89,90,89,90,200,0
AUTOLEC,19960202,97,98,97,97.7,400,0
AUTOLEC,19960205,90.05,95,90.05,95,200,0
AUTOLEC,19960206,95,100,95.1,95.35,2500,0
AUTOLEC,19960207,97,97,97,97,800,0
AUTOLEC,19960208,96,100,96,100,300,0
AUTOLEC,19960209,104,104,98.05,98.05,200,0
AUTOLEC,19960212,98.25,105,98.25,102,800,0
AUTOLEC,19960213,102.5,103,100,102.5,900,0
AUTOLEC,19960214,105,106,104.5,106,600,0
AUTOLEC,19960215,106,108.5,105,108.5,1000,0
AUTOLEC,19960216,105,105,102,102,600,0
AUTOLEC,19960219,102,100.5,100.45,100.5,200,0
AUTOLEC,19960220,100.5,100,98.5,100,1300,0
AUTOLEC,19960222,100,104.85,101,102.75,1000,0
AUTOLEC,19960223,102.75,107,103,105,700,0
AUTOLEC,19960226,105,105,102.1,103,700,0
AUTOLEC,19960227,103,105,102.5,103.55,1800,0
AUTOLEC,19960228,104.5,105,104,105,900,0
AUTOLEC,19960229,105,109,102.05,102.05,1200,0
AUTOLEC,19960301,102.05,103,101,101,500,0
AUTOLEC,19960304,101,103,99.75,101,1000,0
AUTOLEC,19960306,100,100.25,100,100.25,500,0
AUTOLEC,19960307,100.25,106,100.4,106,1300,0
AUTOLEC,19960308,102,105.9,102,105.9,2500,0
AUTOLEC,19960311,102.05,105,102.05,104,900,0
AUTOLEC,19960312,105,106,104.25,104.8,8600,0
AUTOLEC,19960313,104.8,105.95,101.05,105,1000,0
AUTOLEC,19960314,105,106.5,105,106,1200,0
AUTOLEC,19960315,106,106,104,105,2300,0
AUTOLEC,19960318,105,105,104.95,105,700,0
AUTOLEC,19960319,105,110,104,104.5,7700,0
AUTOLEC,19960321,104.5,105,104.5,105,200,0
AUTOLEC,19960322,105,104,98.55,98.55,1200,0
AUTOLEC,19960325,98.55,98.5,98.5,98.5,100,0
AUTOLEC,19960326,98.5,99.5,97.5,97.5,600,0
AUTOLEC,19960327,98,98,98,98,200,0
AUTOLEC,19960328,98,100,99,100,300,0
AUTOLEC,19960329,98.95,98.95,98,98.5,200,0
AUTOLEC,19960401,99,99,99,99,100,0
AUTOLEC,19960402,95,97,95,97,300,0
AUTOLEC,19960403,97,101,97,101,200,0
AUTOLEC,19960404,101,97.5,95.5,97.25,600,0
AUTOLEC,19960408,97.25,94.25,94,94,200,0
AUTOLEC,19960409,94,94,92.5,93.5,1000,0
AUTOLEC,19960410,93.5,100,94.2,99.25,1700,0
AUTOLEC,19960411,99.25,100,94,98.9,2100,0
AUTOLEC,19960412,98,100,96,99.9,3400,0
AUTOLEC,19960415,99.9,106,101.95,105.5,2400,0
AUTOLEC,19960416,105.5,106,100.75,104.9,9200,0
