SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AUTOLITIND,19950510,230,230,230,230,100,0
AUTOLITIND,19950515,225,225,225,225,100,0
AUTOLITIND,19950517,220,221,217.5,221,22200,0
AUTOLITIND,19950518,222,222,220,220,400,0
AUTOLITIND,19950519,217,217,217,217,100,0
AUTOLITIND,19950523,205,205,205,205,100,0
AUTOLITIND,19950524,208,212,208,212,300,0
AUTOLITIND,19950525,203,217.5,203,215,900,0
AUTOLITIND,19950526,215,215,213.5,213.5,3000,0
AUTOLITIND,19950530,215,215,214.75,214.75,200,0
AUTOLITIND,19950531,216,216,215,215,400,0
AUTOLITIND,19950601,221,221,218,218,500,0
AUTOLITIND,19950602,218,221,216.05,216.05,3000,0
AUTOLITIND,19950605,223,223,219,220,2800,0
AUTOLITIND,19950606,218,223,218,221,3600,0
AUTOLITIND,19950607,221.1,223,220,220,1700,0
AUTOLITIND,19950608,221,223,220,220,1400,0
AUTOLITIND,19950609,215,215,215,215,300,0
AUTOLITIND,19950612,215.05,216,214.5,215,600,0
AUTOLITIND,19950613,215,215,210,210,300,0
AUTOLITIND,19950614,210,210.25,210,210.25,600,0
AUTOLITIND,19950615,215,215,214,214,300,0
AUTOLITIND,19950616,214.95,215,214.95,215,300,0
AUTOLITIND,19950620,214.05,214.95,214,214,1600,0
AUTOLITIND,19950621,217,217,214,214,500,0
AUTOLITIND,19950622,214,214,210,210,200,0
AUTOLITIND,19950623,210,210,210,210,100,0
AUTOLITIND,19950626,200,200,200,200,100,0
AUTOLITIND,19950628,200,201,200,201,300,0
AUTOLITIND,19950629,195,195,190,194,1400,0
AUTOLITIND,19950630,190,191,190,190,500,0
AUTOLITIND,19950703,184,186,180,180,1100,0
AUTOLITIND,19950704,172,177.9,172,176.45,500,0
AUTOLITIND,19950705,175.05,175.05,175.05,175.05,100,0
AUTOLITIND,19950706,177.5,177.5,175.05,175.25,700,0
AUTOLITIND,19950707,170,173,170,172,500,0
AUTOLITIND,19950710,174,174,174,174,400,0
AUTOLITIND,19950711,174,174,174,174,200,0
AUTOLITIND,19950712,180,185,180,185,200,0
AUTOLITIND,19950713,197.5,197.5,197.5,197.5,200,0
AUTOLITIND,19950714,198,198,198,198,800,0
AUTOLITIND,19950717,200,200,200,200,100,0
AUTOLITIND,19950718,203,203,200,200,300,0
AUTOLITIND,19950719,198,200,198,200,600,0
AUTOLITIND,19950720,200,200,200,200,300,0
AUTOLITIND,19950721,200,204,200,200,800,0
AUTOLITIND,19950724,204,205,203,203,1700,0
AUTOLITIND,19950725,204,204,204,204,200,0
AUTOLITIND,19950726,205,205,203,203,200,0
AUTOLITIND,19950727,203,203,202,202.95,700,0
AUTOLITIND,19950728,201,201,201,201,100,0
AUTOLITIND,19950731,195,195,195,195,100,0
AUTOLITIND,19950803,190,190,190,190,200,0
AUTOLITIND,19950804,188,190,188,190,300,0
AUTOLITIND,19950807,187,187,186.75,186.85,1200,0
AUTOLITIND,19950808,187,200,185,200,800,0
AUTOLITIND,19950809,195,195,195,195,400,0
AUTOLITIND,19950811,202,210,202,210,600,0
AUTOLITIND,19950814,215,218,215,215,1900,0
AUTOLITIND,19950816,218,220,215,215,3000,0
AUTOLITIND,19950817,219,230,219,225,2500,0
AUTOLITIND,19950818,224,229,224,229,300,0
AUTOLITIND,19950821,223,224,221,221,600,0
AUTOLITIND,19950822,222,222,218,219,600,0
AUTOLITIND,19950823,215,215,212,212,300,0
AUTOLITIND,19950824,215,215,215,215,200,0
AUTOLITIND,19950825,213,213,210,210,200,0
AUTOLITIND,19950828,210,212,210,210,400,0
AUTOLITIND,19950831,200,200,200,200,100,0
AUTOLITIND,19950905,198,198,198,198,100,0
AUTOLITIND,19950906,199,201.95,199,201,300,0
AUTOLITIND,19950907,200,205,200,205,500,0
AUTOLITIND,19950908,205,205,205,205,200,0
AUTOLITIND,19950912,205,205,200,200,200,0
AUTOLITIND,19950913,200,202,200,202,300,0
AUTOLITIND,19950914,200,206,200,205,800,0
AUTOLITIND,19950915,203,203,203,203,200,0
AUTOLITIND,19950918,183,200,183,200,300,0
AUTOLITIND,19950919,200,200,198,200,900,0
AUTOLITIND,19950920,200,200.05,200,200.05,400,0
AUTOLITIND,19950921,200,200,200,200,200,0
AUTOLITIND,19950922,199,200,199,199.75,500,0
AUTOLITIND,19950925,204,204,204,204,100,0
AUTOLITIND,19950926,205,205,200,202.5,200,0
AUTOLITIND,19950927,202,202,200,200,400,0
AUTOLITIND,19950928,200,200,197,197,300,0
AUTOLITIND,19950929,195,200,195,200,600,0
AUTOLITIND,19951004,200,200,200,200,100,0
AUTOLITIND,19951005,202,202,199.95,199.95,400,0
AUTOLITIND,19951006,200,202,200,202,600,0
AUTOLITIND,19951009,202,201,198,201,200,0
AUTOLITIND,19951010,198.5,200,198.5,199.2,600,0
AUTOLITIND,19951011,200,205,200,205,1300,0
AUTOLITIND,19951012,202,206.5,202,205,700,0
AUTOLITIND,19951013,204,206,204,204,2600,0
AUTOLITIND,19951016,204,205.25,202,202,800,0
AUTOLITIND,19951017,202,205,201,205,1800,0
AUTOLITIND,19951018,204,204,200,200,700,0
AUTOLITIND,19951019,203,203,203,203,200,0
AUTOLITIND,19951020,203,204,200,200,700,0
AUTOLITIND,19951023,200,202,201,201.5,200,0
AUTOLITIND,19951026,200,201.5,200,201.5,500,0
AUTOLITIND,19951027,200.9,200.9,200.9,200.9,100,0
AUTOLITIND,19951030,200,202,200,200,1600,0
AUTOLITIND,19951102,200,200,200,200,100,0
AUTOLITIND,19951103,202,202,195,199.55,1300,0
AUTOLITIND,19951106,199.55,203,200,200,800,0
AUTOLITIND,19951107,199,200,199,200,200,0
AUTOLITIND,19951110,190,190,190,190,300,0
AUTOLITIND,19951113,189.5,190,185,185,500,0
AUTOLITIND,19951114,185,185,182,183,300,0
AUTOLITIND,19951115,180,181.5,180,181.5,200,0
AUTOLITIND,19951116,179,179,178.5,178.5,200,0
AUTOLITIND,19951117,180,180,179,179,400,0
AUTOLITIND,19951120,184,185,180,180,400,0
AUTOLITIND,19951121,175,175,170,170,200,0
AUTOLITIND,19951122,170.05,170.05,170.05,170.05,100,0
AUTOLITIND,19951123,153.1,155,153.1,155,200,0
AUTOLITIND,19951124,160,165,160,165,400,0
AUTOLITIND,19951127,165,173,165,173,300,0
AUTOLITIND,19951128,173,173,171,171,300,0
AUTOLITIND,19951129,171,163,163,163,200,0
AUTOLITIND,19951130,170,170.5,170,170,300,0
