SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
AXISBNKETF,20201109,270.5,274.31,265.61,272.13,104071,0
AXISBNKETF,20201110,274,285,274,282.24,30330,0
AXISBNKETF,20201111,299.7,327.7,279.93,285.06,7037,0
AXISBNKETF,20201112,284.58,284.58,279.45,281.16,878,0
AXISBNKETF,20201113,299.7,299.7,274.55,284.33,2935,0
AXISBNKETF,20201114,286.43,286.43,281.58,283.86,827,0
AXISBNKETF,20201117,283.86,289,283.86,287.94,4313,0
AXISBNKETF,20201118,289.32,295.9,289.32,294.82,9891,0
AXISBNKETF,20201119,241.11,294.95,241.11,286.68,10001,0
AXISBNKETF,20201120,285,293.65,283.38,292.54,178816,0
AXISBNKETF,20201123,294.12,294.12,286.81,290.25,6052,0
AXISBNKETF,20201124,294.07,297.81,292.75,297.35,252023,0
AXISBNKETF,20201125,300,301.96,289.95,290.65,4269,0
AXISBNKETF,20201126,292.54,295.96,289.05,294.14,516,0
AXISBNKETF,20201127,295,296,292.97,294.69,721,0
AXISBNKETF,20201201,287.6,298.29,287.6,298.29,1673,0
AXISBNKETF,20201202,297.6,297.97,291.28,293.42,5355,0
AXISBNKETF,20201203,293.9,297.6,293.9,293.97,2403,0
AXISBNKETF,20201204,293.17,300.15,293.17,299.97,1643,0
AXISBNKETF,20201207,306,306,298.85,302.01,897,0
AXISBNKETF,20201208,302.52,303.01,298.56,299.25,1679,0
AXISBNKETF,20201209,301.21,307.02,300.87,305,1132,0
AXISBNKETF,20201210,315,315,298.5,300.95,2256,0
AXISBNKETF,20201211,302.68,306.57,302,304.02,2727,0
AXISBNKETF,20201214,305.09,306.7,304.41,306.1,735,0
AXISBNKETF,20201215,305.24,306.33,300.22,306.11,1216,0
AXISBNKETF,20201216,315,315,305.67,306.15,375,0
AXISBNKETF,20201217,315,315,305.71,307.59,175,0
AXISBNKETF,20201218,306.38,306.38,302.65,305.95,439,0
AXISBNKETF,20201221,302,303.63,291.63,292.22,3315,0
AXISBNKETF,20201222,295.1,296.71,288.72,296.04,7777,0
AXISBNKETF,20201223,295.08,299.22,293.95,298.97,1270,0
AXISBNKETF,20201224,300,304,300,302.9,1064,0
AXISBNKETF,20201228,304,307.51,304,307.49,1174,0
AXISBNKETF,20201229,310.14,312.8,309.53,311.31,1623,0
AXISBNKETF,20201230,310.54,313.1,309.11,312.26,1645,0
AXISBNKETF,20201231,305.6,312.31,305.6,310.73,651,0
AXISBNKETF,20210101,312.01,313.46,312,312.86,3006,0
AXISBNKETF,20210104,314.83,315.39,308.86,312,2682,0
AXISBNKETF,20210105,304.6,318.23,304.6,316.85,1797,0
AXISBNKETF,20210106,314,319.45,314,317.22,4537,0
AXISBNKETF,20210107,319.5,321.06,318,318.85,3330,0
AXISBNKETF,20210108,320.25,321.12,318.88,319.46,396,0
AXISBNKETF,20210111,320.42,320.82,317.3,318.52,1615,0
AXISBNKETF,20210112,316.91,323.45,315.71,322.19,978,0
AXISBNKETF,20210113,338,338,320,323.8,659,0
