SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BAFNAPHARM,20121112,47.75,48.45,47.05,47.05,19587,0
BAFNAPHARM,20121113,47.5,47.9,47.5,47.5,5602,602
BAFNAPHARM,20121115,47.5,47.8,46.8,47.15,51773,41131
BAFNAPHARM,20121116,47,48.05,46.5,46.7,9611,4353
BAFNAPHARM,20121119,47.45,47.85,46,46.55,17594,0
BAFNAPHARM,20121120,46.5,47,46.2,46.65,4644,0
BAFNAPHARM,20121121,46.95,47,46.55,46.75,6684,6609
BAFNAPHARM,20121122,45.5,46.5,44.05,46.25,2773,1483
BAFNAPHARM,20121123,46.9,46.9,46,46.25,1936,0
BAFNAPHARM,20121126,46.5,47,46.15,46.85,1546,1390
BAFNAPHARM,20121127,46.95,47.35,46.5,47,7854,7606
BAFNAPHARM,20121129,46.5,48.75,46.5,46.9,8094,7349
BAFNAPHARM,20121130,46.6,53,46.6,49.65,92651,71902
BAFNAPHARM,20121203,50,50.5,49,49.8,83799,0
BAFNAPHARM,20121204,49.5,49.8,48.9,48.95,20456,0
BAFNAPHARM,20121205,49.35,49.9,48.85,49,6741,3958
BAFNAPHARM,20121206,49.45,49.45,48.25,48.3,1478,1365
BAFNAPHARM,20121207,52.5,52.5,48.1,48.5,1280,833
BAFNAPHARM,20121210,48.3,49.5,47.55,48.15,1920,0
BAFNAPHARM,20121211,51.95,51.95,46.1,47.7,2930,0
BAFNAPHARM,20121212,49,49,46.5,46.6,4998,0
BAFNAPHARM,20121213,47,48.75,46.5,47,70909,57194
BAFNAPHARM,20121214,48,49.95,46.75,46.85,67247,54629
BAFNAPHARM,20121217,48.75,49.3,46.7,47,7843,2822
BAFNAPHARM,20121218,47.5,51.05,47,49.05,15220,0
BAFNAPHARM,20121219,48.9,51.4,47.75,50.6,87527,0
BAFNAPHARM,20121220,50.8,51.25,49,49.45,4802,2654
BAFNAPHARM,20121221,48.5,49,47.05,47.5,83474,78340
BAFNAPHARM,20121224,47.35,48.45,46.75,46.8,2383,2303
BAFNAPHARM,20121226,47.05,47.05,47,47,4200,0
BAFNAPHARM,20121227,47,49,46.2,46.8,19526,12783
BAFNAPHARM,20121228,51.3,51.3,44.65,46.15,83380,48885
BAFNAPHARM,20121231,46,47.5,45.6,47.05,16022,0
BAFNAPHARM,20130101,48.7,48.7,46.55,47.3,12926,0
BAFNAPHARM,20130102,48.15,48.2,46.8,47,4413,0
BAFNAPHARM,20130103,47,48.25,46.75,47.75,23032,0
BAFNAPHARM,20130104,48,48.5,46.9,47.6,11145,0
BAFNAPHARM,20130107,47.2,52.45,46.55,48.7,28008,0
BAFNAPHARM,20130108,49.65,49.65,47.65,47.9,833,0
BAFNAPHARM,20130109,50,50,47,47.05,4039,0
BAFNAPHARM,20130110,47,49.4,47,48.05,577,0
BAFNAPHARM,20130111,47.05,47.05,46.9,46.9,650,0
BAFNAPHARM,20130114,47.5,47.95,46.3,46.55,1988,0
BAFNAPHARM,20130115,47,47.1,46.75,46.75,1960,0
BAFNAPHARM,20130116,46.7,46.95,45.05,46.5,27392,0
BAFNAPHARM,20130117,49.95,49.95,46.2,46.6,590,0
BAFNAPHARM,20130118,48.45,48.45,45.5,46,13743,0
BAFNAPHARM,20130121,46.7,46.7,45.55,45.7,4802,0
BAFNAPHARM,20130122,46,46,44,44.2,7043,0
BAFNAPHARM,20130123,45,45.4,44.3,44.9,13280,0
BAFNAPHARM,20130124,46.65,49.9,40,44.95,17073,0
BAFNAPHARM,20130125,45,46.3,43.5,45.5,10464,0
BAFNAPHARM,20130128,46.3,47.5,45.5,46.15,18694,0
BAFNAPHARM,20130129,46.75,46.85,45.05,45.25,16731,0
BAFNAPHARM,20130130,46.45,46.45,45.2,45.8,8187,0
BAFNAPHARM,20130131,46.5,46.5,43.05,44.75,12608,0
BAFNAPHARM,20130201,44.4,45.4,44,44.8,13707,0
BAFNAPHARM,20130204,44.7,45.25,43.55,44.75,17466,0
BAFNAPHARM,20130205,45.45,45.45,43,44.2,22788,0
BAFNAPHARM,20130206,44.45,44.8,43.9,44.1,8187,0
BAFNAPHARM,20130207,44.9,49.9,42.55,43.75,9430,0
BAFNAPHARM,20130208,45.6,45.6,43.5,43.95,30743,0
BAFNAPHARM,20130211,44.75,45,43.5,43.5,9593,0
BAFNAPHARM,20130212,44.4,44.45,42.75,43.2,11468,0
BAFNAPHARM,20130213,40.9,44.6,40.9,42.4,32951,0
BAFNAPHARM,20130214,43,44.25,42.55,43.7,51105,0
BAFNAPHARM,20130215,43.55,44.75,42.9,44.3,43145,0
BAFNAPHARM,20130218,44.55,44.75,43.75,44.25,5503,0
BAFNAPHARM,20130219,44.35,44.95,43.05,44,5496,0
BAFNAPHARM,20130220,44.5,44.75,42.25,43.65,5955,0
BAFNAPHARM,20130221,43.75,43.85,42.9,43.4,18839,0
BAFNAPHARM,20130222,43.5,46,43,43.65,18870,0
BAFNAPHARM,20130225,43.9,47.65,41,42.7,20839,0
BAFNAPHARM,20130226,42.95,43,40.25,41.1,2462,0
BAFNAPHARM,20130227,42.85,42.9,40.5,41.05,32640,0
BAFNAPHARM,20130228,41.5,41.5,37.5,38.15,7494,0
BAFNAPHARM,20130301,37.3,41.7,35,40.85,29008,0
BAFNAPHARM,20130304,39.55,39.6,38.1,38.35,1850,0
BAFNAPHARM,20130305,38.95,39.85,38,38.45,23882,0
BAFNAPHARM,20130306,40.95,42.65,38,38.6,8593,0
BAFNAPHARM,20130307,39.25,39.55,38.3,38.35,26882,0
BAFNAPHARM,20130308,40.4,40.4,38.5,39.85,43931,0
BAFNAPHARM,20130311,40,40,39.1,39.3,26558,0
BAFNAPHARM,20130312,39.75,40.8,39.2,39.3,18346,0
BAFNAPHARM,20130313,39.5,39.9,38.5,38.65,10384,0
BAFNAPHARM,20130314,39,39.5,37.85,38.8,12996,0
BAFNAPHARM,20130315,38.5,39.75,35,35.85,24631,0
BAFNAPHARM,20130318,36.1,37.4,33.8,36.6,16832,0
BAFNAPHARM,20130319,39,39,34,36.25,19074,0
BAFNAPHARM,20130320,36.1,36.75,34.8,36.1,8450,0
BAFNAPHARM,20130321,35.55,38,35.1,37.05,26940,0
BAFNAPHARM,20130322,36,38.8,36,37.45,25712,0
BAFNAPHARM,20130325,37,38.7,36.25,36.5,12817,0
BAFNAPHARM,20130326,36,37.45,35,36.75,12511,0
BAFNAPHARM,20130328,37.45,39,36,37.55,16623,0
BAFNAPHARM,20130401,40,40.05,38.15,38.5,19950,7560
BAFNAPHARM,20130402,38.5,39.9,38.2,39.6,16629,0
BAFNAPHARM,20130403,39.9,39.9,38.5,39.1,14755,0
BAFNAPHARM,20130404,38.5,38.85,36.85,37.4,15770,0
BAFNAPHARM,20130405,38,38,36.55,37.05,11432,0
BAFNAPHARM,20130408,38,38.25,36.55,36.85,12126,0
BAFNAPHARM,20130409,37,37.2,36.05,36.9,11168,0
BAFNAPHARM,20130410,36.95,37.75,36.85,37.65,35081,0
BAFNAPHARM,20130411,37,37.85,36.55,37,7948,0
BAFNAPHARM,20130412,36.65,36.7,35.6,35.75,2827,1201
BAFNAPHARM,20130415,36.25,37.5,35.35,35.4,7299,0
BAFNAPHARM,20130416,36,37,34.9,35.5,9117,0
BAFNAPHARM,20130417,35.3,36.7,35.25,36.15,4274,0
BAFNAPHARM,20130418,35.85,39.5,35.15,37.05,10441,0
BAFNAPHARM,20130422,37.5,38.5,36.6,37.9,9598,0
BAFNAPHARM,20130423,38.1,38.95,37.35,38.6,6433,0
BAFNAPHARM,20130425,38.55,39,37.2,37.9,7973,0
BAFNAPHARM,20130426,38,40.95,36.75,37.15,10263,0
BAFNAPHARM,20130429,40.8,40.8,37.3,37.6,7279,0
BAFNAPHARM,20130430,38,38.45,37.05,37.95,9273,0
BAFNAPHARM,20130502,38.1,38.8,37,37.9,6929,0
BAFNAPHARM,20130503,38.1,39.75,37.25,37.8,28653,0
BAFNAPHARM,20130506,38.35,38.9,37.45,37.55,3519,0
BAFNAPHARM,20130507,37.5,37.65,36.35,37.5,4016,0
BAFNAPHARM,20130508,37.8,38,37.2,37.6,3179,0
BAFNAPHARM,20130509,38.5,38.5,35.15,37.8,9677,0
BAFNAPHARM,20130510,37.8,38.3,37.5,37.9,3025,1208
BAFNAPHARM,20130511,37.55,38.5,37.2,37.5,7026,0
BAFNAPHARM,20130513,38.4,38.85,37.6,38.2,5601,0
BAFNAPHARM,20130514,37.65,39.45,37.3,38,9734,0
BAFNAPHARM,20130515,38.45,38.45,38,38.1,8506,0
BAFNAPHARM,20130516,37.65,38.8,37.65,38.2,6596,0
BAFNAPHARM,20130517,38.35,39.2,37.8,38.2,7485,0
BAFNAPHARM,20130520,38.35,40.9,38,38.2,29723,0
BAFNAPHARM,20130521,38.5,38.55,36.8,37.45,7984,3419
BAFNAPHARM,20130522,37.7,38.3,35.5,35.85,13553,0
BAFNAPHARM,20130523,34,38,34,36.15,2720,0
