SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BALPHARMA,20060508,63.95,63.95,58.1,60.35,458476,130434
BALPHARMA,20060509,66,66,60.1,61.75,65850,30548
BALPHARMA,20060510,62.1,64.5,61,62.75,59782,0
BALPHARMA,20060511,61.5,62.8,59.1,60.1,16459,10211
BALPHARMA,20060512,58.95,59.95,58,58.15,9587,6155
BALPHARMA,20060515,59.95,64,59,62.75,60501,29116
BALPHARMA,20060516,63,64,56.6,59.3,20629,0
BALPHARMA,20060517,63,63,60.55,61.25,14565,9342
BALPHARMA,20060518,56,60.45,55.15,55.45,13745,8814
BALPHARMA,20060519,56.5,58.2,51.15,51.8,5843,3481
BALPHARMA,20060522,52.95,52.95,46.65,46.9,6120,4955
BALPHARMA,20060523,49,49.2,45.5,48.85,6467,4040
BALPHARMA,20060524,46.8,51.3,46.8,51,6166,3931
BALPHARMA,20060525,49,51.85,49,50.7,3148,2838
BALPHARMA,20060526,51.75,52,50.65,50.8,1554,1422
BALPHARMA,20060529,51.95,52.8,50.65,52.45,3176,3025
BALPHARMA,20060530,53,53,49.9,51.4,1622,1321
BALPHARMA,20060531,49.1,50,48.85,48.85,1840,1690
BALPHARMA,20060601,47.35,47.75,47,47,720,655
BALPHARMA,20060602,45,46.4,44.65,44.7,960,850
BALPHARMA,20060605,45,46.3,42.5,42.75,2736,1945
BALPHARMA,20060606,42.7,43.2,41.2,42.95,2800,2730
BALPHARMA,20060607,42.1,42.1,40.8,40.8,1340,1340
BALPHARMA,20060608,38.95,38.95,38.95,38.95,100,100
BALPHARMA,20060609,37,38,37,37.05,8155,8055
BALPHARMA,20060612,38,38,34.15,36.1,3868,3278
BALPHARMA,20060613,33,34.85,32.6,32.9,1644,1592
BALPHARMA,20060614,31.3,34.2,31.3,32.1,1900,725
BALPHARMA,20060615,33,33,30.6,31.35,255,155
BALPHARMA,20060616,32.25,32.95,32.25,32.95,5801,5801
BALPHARMA,20060619,32.95,32.95,32.95,32.95,220,220
BALPHARMA,20060620,34.6,34.6,34.6,34.6,50,50
BALPHARMA,20060621,36.35,36.35,35.05,36.35,1322,1139
BALPHARMA,20060622,38.15,38.2,38.1,38.2,4301,3800
BALPHARMA,20060623,40.1,40.15,38.25,40.15,5834,0
BALPHARMA,20060625,40.25,42.15,40.25,42.15,575,275
BALPHARMA,20060626,44.05,44.15,40.05,40.1,5313,0
BALPHARMA,20060627,38.1,42,38.1,39.05,3492,0
BALPHARMA,20060628,39.5,39.5,37.1,37.1,4526,0
BALPHARMA,20060629,35.95,38.5,35.35,36,13979,0
BALPHARMA,20060630,37.7,37.8,35.3,35.55,14527,0
BALPHARMA,20060703,36.45,36.45,35.5,36.15,19054,0
BALPHARMA,20060704,37.95,38,37.3,38,7657,0
BALPHARMA,20060705,39.85,39.9,39.4,39.75,6618,0
BALPHARMA,20060706,39,39.75,38.3,38.75,14232,0
BALPHARMA,20060707,40.05,40.7,37,37.2,29418,0
BALPHARMA,20060710,37.1,38.65,36.3,37.8,24809,867
BALPHARMA,20060711,37.5,38,36.3,36.7,22650,0
BALPHARMA,20060712,38.3,38.3,35.8,36.35,28486,0
BALPHARMA,20060713,37.5,37.8,36,36.25,32775,0
BALPHARMA,20060714,36,37.7,35.3,36.05,24444,0
BALPHARMA,20060717,37.25,37.25,35,35.05,20336,0
BALPHARMA,20060718,36.8,36.8,33.5,33.5,24429,1330
BALPHARMA,20060719,34,35,32.55,32.8,18880,0
BALPHARMA,20060720,34.4,34.4,32.5,32.75,23225,0
BALPHARMA,20060721,32.8,34.15,31.3,31.6,37421,0
BALPHARMA,20060724,32.5,32.75,30.05,31.45,26010,3204
BALPHARMA,20060725,32.3,32.45,30.85,31.55,25452,1450
BALPHARMA,20060726,32.3,32.5,31.4,32.15,19988,0
BALPHARMA,20060727,33.6,33.6,31.5,32,25458,1697
BALPHARMA,20060728,33.1,33.1,32,32.2,14872,0
BALPHARMA,20060731,33.5,33.8,31.8,33.8,27480,2710
BALPHARMA,20060801,34.5,34.5,32.15,33.35,18448,0
BALPHARMA,20060802,32.5,33.95,32.5,33,27235,0
BALPHARMA,20060803,33.8,34.5,33.3,33.8,20555,0
BALPHARMA,20060804,34.3,34.8,32.7,33.15,29959,0
BALPHARMA,20060807,32.8,34.2,32.8,33.25,30456,0
BALPHARMA,20060808,33.2,34,32.5,33.1,24800,0
BALPHARMA,20060809,33.45,33.7,32.6,33.3,24817,4625
BALPHARMA,20060810,36.4,36.4,33.3,34.1,24671,5067
BALPHARMA,20060811,34.5,37.55,34.5,37.55,31944,10579
BALPHARMA,20060814,39.75,41.35,38.5,41.25,47015,19788
BALPHARMA,20060816,42.9,42.9,39.25,40.1,32531,0
BALPHARMA,20060817,40.1,40.45,38.3,38.85,8834,0
BALPHARMA,20060818,39.7,39.9,37.8,37.9,25807,0
BALPHARMA,20060821,38,39.25,36.9,37.85,28700,2589
BALPHARMA,20060822,38.1,39.25,38.1,39,18962,1398
BALPHARMA,20060823,39.85,40.95,39.1,39.85,19378,6630
BALPHARMA,20060824,41.25,41.4,38.5,38.7,22214,2246
BALPHARMA,20060825,38.9,40.15,38.55,38.6,18853,2748
BALPHARMA,20060828,38.5,40.2,38.4,38.5,17135,0
BALPHARMA,20060829,38.8,39.6,37.6,38.7,19282,0
BALPHARMA,20060830,39.15,39.5,37.5,38,21906,2578
BALPHARMA,20060831,39.1,39.35,37.2,38.2,21880,0
BALPHARMA,20060901,38.15,40.15,38.15,40.1,36344,0
BALPHARMA,20060904,41.95,41.95,39.6,39.7,25691,0
BALPHARMA,20060905,40,40.7,38.45,38.5,19420,1575
BALPHARMA,20060906,39.5,39.5,38.55,39.25,29961,3985
BALPHARMA,20060907,38.5,39.3,38.05,38.7,30788,0
BALPHARMA,20060908,39,40.3,38.7,39.05,34824,0
BALPHARMA,20060911,40.75,40.75,38.05,38.05,25249,0
BALPHARMA,20060912,38.55,39.95,37.2,37.85,23084,1943
BALPHARMA,20060913,38.55,38.85,37.7,38.65,28055,2285
BALPHARMA,20060914,38.05,38.95,37.5,37.7,21888,2458
BALPHARMA,20060915,38,38.4,36.6,37.15,26844,1122
BALPHARMA,20060918,38.2,38.4,37.2,37.75,29511,1031
BALPHARMA,20060919,38.1,39.3,37.8,38.25,22635,2090
BALPHARMA,20060920,39.4,39.4,37.5,37.9,26159,4204
BALPHARMA,20060921,38.1,39.25,38,38.65,30412,4733
BALPHARMA,20060922,39,39.75,37.15,37.75,33645,3120
BALPHARMA,20060925,38.05,38.7,37.5,37.85,24338,2529
BALPHARMA,20060926,38.1,38.25,36.6,37,26646,0
