SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BALRAMCHIN,19950315,300,300,300,300,100,0
BALRAMCHIN,19950519,235,235,235,235,200,0
BALRAMCHIN,19950522,235,235,235,235,550,0
BALRAMCHIN,19950602,215,215,215,215,100,0
BALRAMCHIN,19950605,210,210,200,200,650,0
BALRAMCHIN,19950607,193,193,193,193,300,0
BALRAMCHIN,19950608,173.7,173.7,136,169,750,0
BALRAMCHIN,19950609,165.05,175,165.05,175,250,0
BALRAMCHIN,19950612,180,180,180,180,50,0
BALRAMCHIN,19950613,175,177,175,177,250,0
BALRAMCHIN,19950619,175,175,175,175,50,0
BALRAMCHIN,19950621,182.5,182.5,182.5,182.5,25000,0
BALRAMCHIN,19950622,190,192,190,192,200,0
BALRAMCHIN,19950623,195,195,188,188,200,0
BALRAMCHIN,19950626,188,188,185,185,200,0
BALRAMCHIN,19950627,190,190,181,183.95,20600,0
BALRAMCHIN,19950628,183,185,183,185,800,0
BALRAMCHIN,19950629,183.5,185.5,183.5,185.5,300,0
BALRAMCHIN,19950630,184,200,184,191.3,10600,0
BALRAMCHIN,19950704,185,185,180,180.25,1300,0
BALRAMCHIN,19950705,190,190,183,183.5,1050,0
BALRAMCHIN,19950706,180,185,180,185,200,0
BALRAMCHIN,19950710,185,185,185,185,100,0
BALRAMCHIN,19950711,185,190,185,186.65,600,0
BALRAMCHIN,19950712,185,187,180,180,1450,0
BALRAMCHIN,19950713,183,183,181,181,400,0
BALRAMCHIN,19950714,181,182,180,181,800,0
BALRAMCHIN,19950719,188,188,188,188,200,0
BALRAMCHIN,19950720,185,185,185,185,600,0
BALRAMCHIN,19950721,185,185,185,185,100,0
BALRAMCHIN,19950726,195,202,195,201.5,2900,0
BALRAMCHIN,19950727,208.05,215,208,212.75,1900,0
BALRAMCHIN,19950728,210,230,210,225,1200,0
BALRAMCHIN,19950731,216,216,215,215,150,0
BALRAMCHIN,19950801,207,211,207,207,400,0
BALRAMCHIN,19950807,203,203,200,200,600,0
BALRAMCHIN,19950808,200,200,199,199,500,0
BALRAMCHIN,19950811,205,205,205,205,50,0
BALRAMCHIN,19950814,195,195,195,195,100,0
BALRAMCHIN,19950905,185,185,180,180,200,0
BALRAMCHIN,19950907,172,172,172,172,100,0
BALRAMCHIN,19950908,185,185,180,180,200,0
BALRAMCHIN,19950912,179,179,179,179,200,0
BALRAMCHIN,19950913,170,170,170,170,150,0
BALRAMCHIN,19950915,173,173,173,173,300,0
BALRAMCHIN,19950918,177,177,177,177,200,0
BALRAMCHIN,19950919,181.25,181.25,181.25,181.25,200,0
BALRAMCHIN,19950920,181,183.25,180,183.25,400,0
BALRAMCHIN,19950921,176,176,176,176,400,0
BALRAMCHIN,19950927,165,165,165,165,200,0
BALRAMCHIN,19950928,175,180,175,180,200,0
BALRAMCHIN,19950929,180,180,180,180,100,0
BALRAMCHIN,19951005,180,180,180,180,100,0
BALRAMCHIN,19951010,180,190,185,185,200,0
BALRAMCHIN,19951011,185,209.5,205,205,200,0
BALRAMCHIN,19951012,205,199,190,199,550,0
BALRAMCHIN,19951013,199,199,195,195,250,0
BALRAMCHIN,19951016,195,198.05,190,193,900,0
BALRAMCHIN,19951017,190,195,190,190,1750,0
BALRAMCHIN,19951019,180,180,180,180,100,0
BALRAMCHIN,19951020,180,180,180,180,500,0
BALRAMCHIN,19951023,180,179.5,179.4,179.5,250,0
BALRAMCHIN,19951024,181,181,180,180,200,0
BALRAMCHIN,19951026,180,180,180,180,100,0
BALRAMCHIN,19951027,180,180,180,180,100,0
BALRAMCHIN,19951030,180,180,180,180,50,0
BALRAMCHIN,19951031,162.5,170,162,162,400,0
BALRAMCHIN,19951101,158,158,158,158,100,0
BALRAMCHIN,19951102,165,165,165,165,100,0
BALRAMCHIN,19951103,165,165,165,165,100,0
BALRAMCHIN,19951106,165,165.5,165,165,300,0
BALRAMCHIN,19951107,165,165,165,165,50,0
BALRAMCHIN,19951108,170,170,170,170,100,0
BALRAMCHIN,19951109,170,170,168,170,700,0
BALRAMCHIN,19951110,168,168,165,165,150,0
BALRAMCHIN,19951113,164,164,161,161,250,0
BALRAMCHIN,19951114,161,161,149,153,350,0
BALRAMCHIN,19951115,150,158,150,155,650,0
BALRAMCHIN,19951116,155,156,152,152,350,0
BALRAMCHIN,19951117,151.95,152,148,149,400,0
BALRAMCHIN,19951120,152,152,149,149,650,0
BALRAMCHIN,19951121,149,145,140,140,850,0
BALRAMCHIN,19951122,140.5,140.5,140,140,200,0
BALRAMCHIN,19951123,140,140,136,136,200,0
BALRAMCHIN,19951124,147,147,145,146,300,0
BALRAMCHIN,19951127,160,160.1,155,155,500,0
BALRAMCHIN,19951128,146,146,140,142.6,700,0
BALRAMCHIN,19951129,144.95,144.95,142.5,144,350,0
BALRAMCHIN,19951201,148,148,148,148,100,0
BALRAMCHIN,19951205,141,149,141,149,350,0
BALRAMCHIN,19951206,148,155,148,155,150,0
BALRAMCHIN,19951207,159.95,159.95,157,157,150,0
BALRAMCHIN,19951208,150,158.9,145.5,158.9,200,0
BALRAMCHIN,19951211,150,150,145,145,200,0
BALRAMCHIN,19951212,145,150,145,150,450,0
BALRAMCHIN,19951213,150.1,150.1,150,150,250,0
BALRAMCHIN,19951214,151,151,151,151,200,0
BALRAMCHIN,19951215,156,158.95,150.1,150.1,450,0
BALRAMCHIN,19951218,160.05,160.05,160.05,160.05,50,0
BALRAMCHIN,19951219,158.9,160.95,158,160.85,900,0
BALRAMCHIN,19951220,158,175,158,162.2,900,0
BALRAMCHIN,19951221,158,165,158,162,500,0
BALRAMCHIN,19951222,162,169.95,162,169.95,400,0
BALRAMCHIN,19951226,161,161,161,161,100,0
BALRAMCHIN,19951227,164.95,177,164.9,169.1,1750,0
BALRAMCHIN,19951228,165,186,165,186,1750,0
BALRAMCHIN,19951229,181.95,181.95,170,173,1850,0
BALRAMCHIN,19960101,168,168,165.15,167.05,150,0
BALRAMCHIN,19960102,161,165,161,164,600,0
BALRAMCHIN,19960103,165,165,165,165,100,0
BALRAMCHIN,19960104,161,161,160,161,950,0
BALRAMCHIN,19960105,161,160,158,158,4250,0
BALRAMCHIN,19960108,158.5,158.5,155,155,1100,0
BALRAMCHIN,19960109,155,155.05,150,150,1500,0
BALRAMCHIN,19960111,150,155,150,155,350,0
BALRAMCHIN,19960112,151.5,151.5,150,150,600,0
BALRAMCHIN,19960115,151,151,148,148,200,0
BALRAMCHIN,19960116,148,150,146,150,450,0
BALRAMCHIN,19960117,148,148,148,148,100,0
BALRAMCHIN,19960118,145,145,145,145,100,0
BALRAMCHIN,19960119,149.95,158,149.95,158,1250,0
BALRAMCHIN,19960122,148,148,145.05,145.05,300,0
BALRAMCHIN,19960124,143,143,141,142.5,350,0
BALRAMCHIN,19960125,143,144,143,144,350,0
BALRAMCHIN,19960129,144,141,140.25,140.3,350,0
BALRAMCHIN,19960130,142,145,136,145,650,0
BALRAMCHIN,19960131,155,155,145,145,200,0
BALRAMCHIN,19960201,149.5,149.5,149.5,149.5,100,0
BALRAMCHIN,19960202,149.95,150,149.95,150,550,0
