SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BARATBIJLE,19941114,1850,1850,1850,1850,10,0
BARATBIJLE,19950123,1830,1830,1830,1830,5,0
BARATBIJLE,19950209,2000,2000,2000,2000,15,0
BARATBIJLE,19950306,1760,1760,1760,1760,5,0
BARATBIJLE,19950307,1800,1800,1800,1800,30,0
BARATBIJLE,19950308,1800,1800,1800,1800,10,0
BARATBIJLE,19950309,1750,1750,1750,1750,35,0
BARATBIJLE,19950310,1750,1750,1750,1750,15,0
BARATBIJLE,19950314,1800,1800,1800,1800,5,0
BARATBIJLE,19950315,1750,1800,1750,1800,35,0
BARATBIJLE,19950321,1625,1625,1625,1625,10,0
BARATBIJLE,19950322,1650,1650,1650,1650,30,0
BARATBIJLE,19950323,1650,1650,1625,1625,35,0
BARATBIJLE,19950324,1750,1750,1725,1725,20,0
BARATBIJLE,19950328,1600,1600,1600,1600,10,0
BARATBIJLE,19950420,1850,1850,1850,1850,5,0
BARATBIJLE,19950421,1950,1950,1950,1950,10,0
BARATBIJLE,19950424,1820,1820,1800,1800,10,0
BARATBIJLE,19950426,1775,1775,1775,1775,5,0
BARATBIJLE,19950515,1640,1640,1640,1640,10,0
BARATBIJLE,19950531,1750,1750,1750,1750,20,0
BARATBIJLE,19950601,1849.95,1849.95,1849.95,1849.95,5,0
BARATBIJLE,19950602,1910,1910,1900,1900,10,0
BARATBIJLE,19950616,1850,1850,1850,1850,5,0
BARATBIJLE,19950620,1800,1800,1800,1800,5,0
BARATBIJLE,19950622,1800,1800,1800,1800,5,0
BARATBIJLE,19950627,1750,1750,1750,1750,5,0
BARATBIJLE,19950704,1850,1850,1850,1850,5,0
BARATBIJLE,19950718,1800,1825,1800,1825,15,0
BARATBIJLE,19950719,1850,1850,1850,1850,35,0
BARATBIJLE,19950720,1875,1875,1850,1860,35,0
BARATBIJLE,19950721,1890,1900,1890,1900,30,0
BARATBIJLE,19950724,1950,1950,1850,1875,45,0
BARATBIJLE,19950725,1900,1925,1900,1925,25,0
BARATBIJLE,19950726,1900,1925,1900,1900,45,0
BARATBIJLE,19950814,1949,2050,1949,1987.5,45,0
BARATBIJLE,19950816,2250,2550,2250,2370,140,0
BARATBIJLE,19950817,2400,2400,2350,2370,35,0
BARATBIJLE,19950818,2325,2325,2325,2325,10,0
BARATBIJLE,19950821,2315,2330,2310,2310,40,0
BARATBIJLE,19950822,2315,2315,2200,2225.25,50,0
BARATBIJLE,19950823,2250,2250,2250,2250,25,0
BARATBIJLE,19950824,2275,2275,2260,2260,25,0
BARATBIJLE,19950825,2250,2250,2250,2250,5,0
BARATBIJLE,19950828,2250,2250,2131,2237.5,245,0
BARATBIJLE,19950830,2250,2250,2190,2190,40,0
BARATBIJLE,19950831,2350,2350,2200,2220,45,0
BARATBIJLE,19950901,2150,2150,2150,2150,20,0
BARATBIJLE,19950905,2230,2299,2230,2250,55,0
BARATBIJLE,19950906,2300,2300,2250,2290,25,0
BARATBIJLE,19950907,2280,2280,2280,2280,10,0
BARATBIJLE,19950908,2320,2325,2320,2325,10,0
BARATBIJLE,19950911,2350,2375,2340,2350,85,0
BARATBIJLE,19950912,2380,2400,2350,2399.5,40,0
BARATBIJLE,19950913,2375,2375,2375,2375,5,0
BARATBIJLE,19950914,2250,2375,2250,2375,20,0
BARATBIJLE,19950915,2340,2340,2340,2340,5,0
BARATBIJLE,19950918,2350,2370,2326,2326,15,0
BARATBIJLE,19950919,2260,2350,2260,2333.35,75,0
BARATBIJLE,19950922,2400,2420,2390,2420,25,0
BARATBIJLE,19950925,2425,2550,2425,2550,20,0
BARATBIJLE,19950926,2575,2610,2575,2610,25,0
BARATBIJLE,19950927,2660,2660,2620,2650,65,0
BARATBIJLE,19950928,2650,2675,2650,2670,20,0
BARATBIJLE,19950929,2660,2660,2600,2600,30,0
BARATBIJLE,19951009,2650,2650,2650,2650,5,0
BARATBIJLE,19951012,2525,2525,2500,2500,15,0
BARATBIJLE,19951013,2450,2450,2450,2450,10,0
BARATBIJLE,19951016,2550,2575,2550,2550,15,0
BARATBIJLE,19951017,2500,2500,2500,2500,10,0
BARATBIJLE,19951018,2400,2400,2400,2400,10,0
BARATBIJLE,19951019,2500,2500,2500,2500,10,0
BARATBIJLE,19951020,2450,2450,2450,2450,5,0
BARATBIJLE,19951108,2400,2400,2400,2400,5,0
BARATBIJLE,19951110,2325,2325,2325,2325,5,0
BARATBIJLE,19951113,2300,2300,2300,2300,5,0
BARATBIJLE,19951114,2245,2250,2245,2250,35,0
BARATBIJLE,19951121,2025,2025,2025,2025,5,0
BARATBIJLE,19951127,2000,2000,2000,2000,5,0
BARATBIJLE,19951128,1875,2050,1875,2050,30,0
BARATBIJLE,19951129,2120,2150,2120,2150,15,0
BARATBIJLE,19951130,2150,2351,2225,2351,15,0
BARATBIJLE,19951201,2400,2400.25,2400,2400.25,15,0
BARATBIJLE,19951204,2420,2420,2350,2350,40,0
BARATBIJLE,19951205,2225,2225,2121,2145.8,55,0
BARATBIJLE,19951206,1100,1100,1100,1100,5,0
BARATBIJLE,19951207,1120,1120,1120,1120,5,0
BARATBIJLE,19951208,1200,1200,1165,1165,15,0
BARATBIJLE,19951211,1250,1250,1250,1250,5,0
BARATBIJLE,19951212,1275,1275,1275,1275,15,0
BARATBIJLE,19951213,1300,1300,1280,1280,15,0
BARATBIJLE,19951214,1293,1300,1260,1300,25,0
BARATBIJLE,19951218,1280,1280,1280,1280,50,0
BARATBIJLE,19951219,1275,1310,1275,1303.35,20,0
BARATBIJLE,19951220,1324.95,1375,1307,1365,90,0
BARATBIJLE,19951221,1365,1350,1311.05,1313.5,75,0
BARATBIJLE,19951222,1350,1375,1325,1375,60,0
BARATBIJLE,19951226,1430,1435,1376,1405.35,50,0
BARATBIJLE,19951227,1405.35,1420,1400,1400,10,0
BARATBIJLE,19951228,1400,1425,1400,1425,35,0
BARATBIJLE,19951229,1425,1450,1425.05,1450,55,0
BARATBIJLE,19960101,1475,1480,1475,1480,20,0
BARATBIJLE,19960102,1480,1435,1435,1435,5,0
BARATBIJLE,19960104,1425,1435,1425,1432.4,25,0
BARATBIJLE,19960108,1400,1400,1400,1400,5,0
BARATBIJLE,19960109,1400,1350,1295,1350,45,0
BARATBIJLE,19960111,1350,1300,1210,1213.35,65,0
BARATBIJLE,19960115,1213.35,1220.05,1220,1220,15,0
BARATBIJLE,19960116,1200,1200.05,1200,1200,45,0
BARATBIJLE,19960118,1205,1205,1205,1205,5,0
BARATBIJLE,19960122,1205.1,1205.1,1205,1205,15,0
BARATBIJLE,19960123,1229,1229,1200,1200,10,0
BARATBIJLE,19960130,1220,1220,1211,1213,20,0
BARATBIJLE,19960131,1250,1250,1250,1250,20,0
BARATBIJLE,19960201,1280,1280,1280,1280,10,0
BARATBIJLE,19960202,1400,1400,1375,1400,15,0
BARATBIJLE,19960205,1450,1450,1450,1450,5,0
BARATBIJLE,19960206,1445,1445,1445,1445,5,0
BARATBIJLE,19960207,1390,1390,1390,1390,5,0
BARATBIJLE,19960208,1425,1425,1425,1425,5,0
BARATBIJLE,19960209,1470,1470,1470,1470,5,0
BARATBIJLE,19960212,1495,1500,1495,1495,35,0
BARATBIJLE,19960213,1495,1495,1495,1495,10,0
BARATBIJLE,19960214,1495,1495,1450,1472,55,0
BARATBIJLE,19960215,1500,1500,1495,1495,85,0
BARATBIJLE,19960216,1500,1525,1490,1490,40,0
BARATBIJLE,19960219,1450,1495,1450,1456,145,0
BARATBIJLE,19960220,1520,1520,1455,1455,35,0
BARATBIJLE,19960222,1455,1530,1460,1500,130,0
BARATBIJLE,19960223,1490,1500,1490,1500,40,0
