SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BAUSCHLOMB,19941228,62,62,62,62,2000,0
BAUSCHLOMB,19941229,60,60,59,59,1800,0
BAUSCHLOMB,19941230,60,60,60,60,100,0
BAUSCHLOMB,19950102,61.5,61.5,61.5,61.5,100,0
BAUSCHLOMB,19950103,59.5,59.5,58,58,900,0
BAUSCHLOMB,19950104,58,59,58,59,600,0
BAUSCHLOMB,19950105,60,60,60,60,200,0
BAUSCHLOMB,19950106,58,59.75,58,59.75,400,0
BAUSCHLOMB,19950109,52,52,50,50,900,0
BAUSCHLOMB,19950110,50,50,49,50,23300,0
BAUSCHLOMB,19950111,50,51.25,49,51.15,8600,0
BAUSCHLOMB,19950112,50,51.75,50,51.5,5100,0
BAUSCHLOMB,19950113,51.5,53,51.5,53,3700,0
BAUSCHLOMB,19950116,51.3,51.3,51.25,51.3,1200,0
BAUSCHLOMB,19950117,50,52,50,52,5800,0
BAUSCHLOMB,19950118,51.25,53,51.25,53,5000,0
BAUSCHLOMB,19950119,53,54,53,54,500,0
BAUSCHLOMB,19950123,52,52,52,52,100,0
BAUSCHLOMB,19950124,50,53,50,53,200,0
BAUSCHLOMB,19950125,51.5,51.5,51.5,51.5,300,0
BAUSCHLOMB,19950131,55,55,55,55,100,0
BAUSCHLOMB,19950201,53,53,53,53,500,0
BAUSCHLOMB,19950203,55,55,55,55,100,0
BAUSCHLOMB,19950206,55,55,55,55,100,0
BAUSCHLOMB,19950207,54.25,55,54.25,55,500,0
BAUSCHLOMB,19950208,55,55,55,55,100,0
BAUSCHLOMB,19950213,53.95,53.95,53.95,53.95,100,0
BAUSCHLOMB,19950214,52,52,51,51,1000,0
BAUSCHLOMB,19950215,52,52,51,51,400,0
BAUSCHLOMB,19950216,50,50,50,50,500,0
BAUSCHLOMB,19950217,50,50,50,50,200,0
BAUSCHLOMB,19950220,50,52,50,51,500,0
BAUSCHLOMB,19950228,55,55,55,55,100,0
BAUSCHLOMB,19950301,53,55,53,54.75,1800,0
BAUSCHLOMB,19950302,55,55.1,55,55,600,0
BAUSCHLOMB,19950303,52,52,52,52,100,0
BAUSCHLOMB,19950306,52.5,52.5,52.5,52.5,100,0
BAUSCHLOMB,19950307,55.5,56.35,55.5,56.35,600,0
BAUSCHLOMB,19950308,56,56,54,54,200,0
BAUSCHLOMB,19950310,56,56,56,56,200,0
BAUSCHLOMB,19950314,55,55,55,55,100,0
BAUSCHLOMB,19950320,53.25,53.25,53.25,53.25,100,0
BAUSCHLOMB,19950321,53,53,53,53,100,0
BAUSCHLOMB,19950322,53,53,53,53,100,0
BAUSCHLOMB,19950323,53.25,53.25,53.25,53.25,100,0
