SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BERGEPAINT,19950515,88.5,88.5,88.5,88.5,100,0
BERGEPAINT,19950526,95.25,95.25,95.25,95.25,100,0
BERGEPAINT,19950529,97,97,97,97,100,0
BERGEPAINT,19950530,96,96,96,96,100,0
BERGEPAINT,19950601,90,90,90,90,100,0
BERGEPAINT,19950605,90,94,90,94,700,0
BERGEPAINT,19950606,100,108,100,108,1200,0
BERGEPAINT,19950607,108,112,105,108.1,1800,0
BERGEPAINT,19950608,108,108,107,107,200,0
BERGEPAINT,19950609,109,109,107,107,600,0
BERGEPAINT,19950612,110.95,110.95,101.05,101.05,400,0
BERGEPAINT,19950616,95,95,95,95,100,0
BERGEPAINT,19950621,100,100,100,100,100,0
BERGEPAINT,19950622,97.5,100,97.5,100,300,0
BERGEPAINT,19950623,102,102,102,102,200,0
BERGEPAINT,19950626,100,100,100,100,300,0
BERGEPAINT,19950627,98.1,100,98.1,100,300,0
BERGEPAINT,19950706,92,92,92,92,300,0
BERGEPAINT,19950707,85.05,85.05,85.05,85.05,100,0
BERGEPAINT,19950710,92.45,92.5,92.45,92.5,200,0
BERGEPAINT,19950711,91,91.95,91,91.95,200,0
BERGEPAINT,19950712,92,92,92,92,100,0
BERGEPAINT,19950713,92,92,92,92,900,0
BERGEPAINT,19950802,100.05,100.05,100,100,200,0
BERGEPAINT,19950803,100,100,100,100,200,0
BERGEPAINT,19950804,102,102,102,102,200,0
BERGEPAINT,19950807,95,95,95,95,100,0
BERGEPAINT,19950808,96.05,96.05,94,94,500,0
BERGEPAINT,19950814,100,100,100,100,100,0
BERGEPAINT,19950816,100,100,100,100,100,0
BERGEPAINT,19950821,90,90,90,90,100,0
BERGEPAINT,19950824,99,99,99,99,100,0
BERGEPAINT,19950825,99,100,99,100,500,0
BERGEPAINT,19950828,99,100,99,100,200,0
BERGEPAINT,19950830,100,100,100,100,100,0
BERGEPAINT,19950831,100,100,99,100,1300,0
BERGEPAINT,19950901,99,105,99,105,1200,0
BERGEPAINT,19950905,105,105,104,104.25,300,0
BERGEPAINT,19950906,94.25,99.5,94.25,99.5,200,0
BERGEPAINT,19950907,103,103,103,103,100,0
BERGEPAINT,19950914,100,100.5,100,100,600,0
BERGEPAINT,19950915,100,101,100,101,700,0
BERGEPAINT,19950918,100,104,100,104,700,0
BERGEPAINT,19950919,100.5,101.95,100,100,600,0
BERGEPAINT,19950920,94.1,94.1,94,94,300,0
BERGEPAINT,19950922,90,90,88,88,300,0
BERGEPAINT,19950925,86,86,86,86,100,0
BERGEPAINT,19951004,98.5,98.5,98.5,98.5,600,0
BERGEPAINT,19951005,98.5,102,101,101.5,500,0
BERGEPAINT,19951006,101.5,103,100.05,103,600,0
BERGEPAINT,19951010,103,107,107,107,100,0
BERGEPAINT,19951011,107,107,105,106.95,1600,0
BERGEPAINT,19951012,106.95,107,104,107,200,0
BERGEPAINT,19951013,107,110.45,105,110.45,700,0
BERGEPAINT,19951016,110.45,107,106.1,107,200,0
BERGEPAINT,19951017,107,106,105,105.5,1000,0
BERGEPAINT,19951019,105.5,106.95,105,106.95,600,0
BERGEPAINT,19951025,103,103,103,103,100,0
BERGEPAINT,19951026,103,103,98.35,103,1300,0
BERGEPAINT,19951027,103,100,99,100,700,0
BERGEPAINT,19951030,102,102,101,101,200,0
BERGEPAINT,19951031,97,98,97,98,200,0
BERGEPAINT,19951101,98,98,98,98,500,0
BERGEPAINT,19951103,99.95,101,99.95,101,300,0
BERGEPAINT,19951106,101,102,98,98,300,0
BERGEPAINT,19951107,100,100,100,100,100,0
BERGEPAINT,19951108,100,101,96,96,1900,0
BERGEPAINT,19951109,96,96,96,96,100,0
BERGEPAINT,19951113,96,92,89,89.25,300,0
BERGEPAINT,19951114,89.25,88.5,86,88.5,700,0
BERGEPAINT,19951115,84,84,79.7,79.7,1400,0
BERGEPAINT,19951116,79.7,81,81,81,300,0
BERGEPAINT,19951117,81,81,80,80,400,0
BERGEPAINT,19951120,80,80.95,80.5,80.95,400,0
BERGEPAINT,19951121,81.5,82.25,80,80,500,0
BERGEPAINT,19951123,72,72.5,72,72.05,400,0
BERGEPAINT,19951124,70,71.75,70,71.7,700,0
BERGEPAINT,19951128,71.1,74.95,71.1,74.95,200,0
BERGEPAINT,19951129,68.05,70,68,70,700,0
BERGEPAINT,19951130,70,70,69.95,70,300,0
BERGEPAINT,19951201,75,75,75,75,500,0
BERGEPAINT,19951204,75,77,77,77,100,0
BERGEPAINT,19951205,84.5,84.7,84.45,84.45,500,0
BERGEPAINT,19951206,85.95,86,85,85.05,400,0
BERGEPAINT,19951207,86.05,87.5,86.05,87.5,200,0
