SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BFINVEST,20110114,294.55,294.55,95,123.55,218237,0
BFINVEST,20110117,121.05,121.05,117.4,117.4,2925,0
BFINVEST,20110118,111.55,111.55,111.55,111.55,1785,0
BFINVEST,20110119,106,106,106,106,1465,0
BFINVEST,20110120,100.7,100.7,100.7,100.7,626,0
BFINVEST,20110121,95.7,95.7,95.7,95.7,4831,0
BFINVEST,20110124,90.95,90.95,90.95,90.95,7179,0
BFINVEST,20110125,86.4,95.5,86.4,95.5,44798,0
BFINVEST,20110127,100.3,100.3,90.75,93.25,41074,0
BFINVEST,20110128,89,93.8,88.6,88.6,15535,0
BFINVEST,20110131,81,91,81,85.45,15375,8040
BFINVEST,20110201,92.8,92.8,68.45,77.6,16413,7530
BFINVEST,20110202,82.4,83.45,76,78.1,18931,11407
BFINVEST,20110203,77,93.75,77,93.75,107304,29091
BFINVEST,20110204,97.15,112.5,97.15,109.1,1634983,71782
BFINVEST,20110207,110,129.7,105,126.85,3078498,76982
BFINVEST,20110208,129,133.9,118.9,126.1,3235691,108132
BFINVEST,20110209,126,127.9,113.5,113.5,705620,76400
BFINVEST,20110210,112,112,102.15,102.15,147793,44192
BFINVEST,20110211,95,109.2,92.35,100.25,602568,49780
BFINVEST,20110214,101.45,105.3,101.45,105.3,76157,0
BFINVEST,20110215,110.6,110.6,106.1,109.9,299051,49500
BFINVEST,20110216,110.5,112.8,104.4,104.4,90267,0
BFINVEST,20110217,100.2,106.8,99.2,101.75,204969,0
BFINVEST,20110218,103.75,104.75,97.1,97.8,57878,0
BFINVEST,20110221,99.95,101.15,93.2,95.6,64127,10522
BFINVEST,20110222,93,94.4,90.85,90.85,88358,45122
BFINVEST,20110223,87.25,89.4,86.35,86.35,42453,15285
BFINVEST,20110224,86.35,86.35,82.05,82.05,16996,11719
BFINVEST,20110225,84.4,84.4,78.2,80.8,37972,0
BFINVEST,20110228,81.6,84.75,80.2,81.25,30122,0
BFINVEST,20110301,81.5,84.5,81.5,83.8,21738,0
BFINVEST,20110303,82.8,85.8,81.1,84.1,22583,0
BFINVEST,20110304,83,87.45,82,86.2,150963,0
BFINVEST,20110307,84.35,84.35,81.9,83.25,15862,0
BFINVEST,20110308,83.5,85.5,83.5,84.15,35848,0
BFINVEST,20110309,83.75,84.5,81.5,82.55,28083,12488
BFINVEST,20110310,82,85.3,82,83.2,33652,0
BFINVEST,20110311,83.9,84.5,80,81.1,23040,0
BFINVEST,20110314,80,81.9,78.35,79.45,13193,10213
BFINVEST,20110315,78.1,79.75,77.1,78.05,19376,10081
BFINVEST,20110316,76.1,81.95,76.1,81.95,8365,0
BFINVEST,20110317,83,86.05,82.3,84.2,62680,0
BFINVEST,20110318,88,88,80.35,81.65,22303,0
BFINVEST,20110321,82.95,83.2,79.1,79.75,9864,0
BFINVEST,20110322,80,81.8,76.7,79.9,17041,0
BFINVEST,20110323,81.4,82.3,80.1,81.75,78228,72089
BFINVEST,20110324,82.75,83.5,80.1,81.4,20383,0
BFINVEST,20110325,81,83,79,82.6,29904,0
BFINVEST,20110328,81.05,83.5,80.25,82.35,23024,0
BFINVEST,20110329,81.25,85.9,80.1,80.95,122075,44337
BFINVEST,20110330,82.45,85,81.5,82.55,64439,29037
BFINVEST,20110331,83.5,84.5,81.5,81.85,35548,16302
BFINVEST,20110401,82.05,82.8,81.95,82.35,4611,3349
BFINVEST,20110404,84.6,84.75,82.6,83.85,6061,3115
BFINVEST,20110405,85.75,86.2,83.4,85.5,30007,19152
BFINVEST,20110406,85,89.8,84.1,89.75,232910,60617
BFINVEST,20110407,91.5,91.5,86.25,86.65,61593,34099
BFINVEST,20110408,86,88.4,84.5,85.65,20714,12344
BFINVEST,20110411,84.55,85.2,83.05,83.45,12171,6684
BFINVEST,20110413,81.5,85.5,81.5,84,8149,3471
BFINVEST,20110415,83,84.7,81,81.5,40742,24819
BFINVEST,20110418,81.6,83.5,81.1,81.4,10661,9612
BFINVEST,20110419,82.45,82.5,79,80.55,8453,6560
BFINVEST,20110420,82.7,84.6,81,84.6,124264,24937
BFINVEST,20110421,87.55,87.55,81.15,81.45,86340,45628
BFINVEST,20110425,82.9,82.9,80.65,81.35,45680,31215
BFINVEST,20110426,81.2,81.95,79.35,80,21739,19071
BFINVEST,20110427,79.25,83.5,79,82.5,22321,13902
BFINVEST,20110428,82.35,83.5,80.1,81,5537,3018
BFINVEST,20110429,80,83.5,80,81.35,28075,17463
BFINVEST,20110502,80.1,82.45,80.1,80.7,10041,6074
