SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BHAGCHEM,20211018,849.95,943,761.3,828.55,28674,0
BHAGCHEM,20211019,845.15,939,781,806.6,18308,0
BHAGCHEM,20211020,830,831.8,790,804.7,7294,0
BHAGCHEM,20211021,808.6,808.6,719.15,767.35,5291,0
BHAGCHEM,20211022,757.95,811,756.95,787.75,6197,0
BHAGCHEM,20211025,804.95,845,730.25,814.1,8527,0
BHAGCHEM,20211026,775,855,774.6,820.65,3415,0
BHAGCHEM,20211027,826,850,761.1,782.75,4284,0
BHAGCHEM,20211028,801.4,803,767.05,775.65,1390,0
BHAGCHEM,20211029,772.5,830,750.35,809.5,2832,0
BHAGCHEM,20211101,849,850,800.45,823.85,9828,0
BHAGCHEM,20211102,850,856,780,788.25,2351,0
BHAGCHEM,20211103,819.95,843,747.65,818.9,7008,0
BHAGCHEM,20211104,850,851,780,830.4,2604,0
BHAGCHEM,20211108,849.95,904.9,805,821,3577,0
BHAGCHEM,20211109,848.95,848.95,775.3,807.35,1865,0
BHAGCHEM,20211110,829.9,846,790.9,809.05,5802,0
BHAGCHEM,20211111,810.05,810.05,779.05,798.05,1558,0
BHAGCHEM,20211112,800,832,785.85,810.4,1663,0
BHAGCHEM,20211115,828.9,828.9,771.55,784.35,3359,0
BHAGCHEM,20211116,788.4,902,788.4,858.25,23942,0
BHAGCHEM,20211117,850,883.95,846.45,866.9,11181,0
BHAGCHEM,20211118,865,879.8,815.25,825.1,1700,0
BHAGCHEM,20211122,808.6,864.55,796,812.1,2130,0
BHAGCHEM,20211123,790.5,817.45,790.5,804.85,872,0
BHAGCHEM,20211124,828,828,788,800.25,4155,0
BHAGCHEM,20211125,800.3,822.1,800.05,817,2115,0
BHAGCHEM,20211126,813,817.4,782,795.7,2343,0
BHAGCHEM,20211129,790,817,765.45,805.55,3126,0
BHAGCHEM,20211130,805.55,844,800,826.75,11590,0
BHAGCHEM,20211201,843.95,843.95,809.4,814.15,2699,0
BHAGCHEM,20211202,809.4,844,790,807.55,9293,0
BHAGCHEM,20211203,835,835,811,813.95,371,0
BHAGCHEM,20211206,813.95,827.35,800.05,809.1,952,0
BHAGCHEM,20211207,818,818,795,797.5,158,0
BHAGCHEM,20211208,815,843.95,799.7,810.8,3416,0
BHAGCHEM,20211209,834.6,921.9,819.05,906.2,36213,0
BHAGCHEM,20211210,910,957,836.55,940.95,27772,0
BHAGCHEM,20211213,964.95,1023.8,944.2,983.05,69315,0
BHAGCHEM,20211214,978,1019,976,1009.25,14001,0
BHAGCHEM,20211215,1025,1060.95,975,1012.45,18729,0
BHAGCHEM,20211216,1030,1030,968.6,988.55,3752,0
BHAGCHEM,20211217,962,997.8,911.55,930.8,9654,0
BHAGCHEM,20211220,949.45,965.15,884.1,961.85,10496,0
BHAGCHEM,20211221,1004.55,1005,965.6,991.45,2856,0
BHAGCHEM,20211222,996.35,999.1,974,989.15,1774,0
BHAGCHEM,20211223,1019,1019,975.5,993.55,789,0
BHAGCHEM,20211224,974,992.8,972.05,976.6,1341,0
BHAGCHEM,20211227,992.55,992.55,972.45,974.15,484,0
BHAGCHEM,20211228,988.7,999,975.5,994.75,1429,0
BHAGCHEM,20211229,995,997,975.25,986.1,264,0
BHAGCHEM,20211230,997,997,980.1,988.1,1404,0
BHAGCHEM,20211231,976,985,955.05,981.1,1758,0
BHAGCHEM,20220103,996,996,961.5,982.85,1889,0
BHAGCHEM,20220104,975.45,997,971.2,986.75,1879,0
BHAGCHEM,20220105,972.85,988.55,950,962.65,4119,0
BHAGCHEM,20220106,950.45,980,936,951,2302,0
BHAGCHEM,20220107,978,985,952.05,955.95,2523,0
BHAGCHEM,20220110,980,987,942,967.5,4098,0
BHAGCHEM,20220111,974,1056.95,950.05,990.35,5143,0
BHAGCHEM,20220112,1000,1030,981,990.65,4640,0
BHAGCHEM,20220113,980.45,1018,951,989.65,4684,0
BHAGCHEM,20220114,999,1015,975,984.05,2671,0
BHAGCHEM,20220117,1002.95,1023.8,983.3,999.95,8401,0
BHAGCHEM,20220118,1018.9,1048.7,1000,1020.65,6193,0
BHAGCHEM,20220119,1005,1033.85,992.25,1013.95,6571,0
BHAGCHEM,20220120,1035,1035,1004.75,1009.4,3026,0
BHAGCHEM,20220121,993,1032,993,1017.95,6573,0
BHAGCHEM,20220124,1017,1051,950,1010.95,23084,0
BHAGCHEM,20220125,980,1030,971.3,1010.85,3958,0
BHAGCHEM,20220127,1006.9,1020.25,994.4,1007.6,6066,0
