SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BHARATWIRE,20160401,47.25,47.25,44.9,45.55,4470641,0
BHARATWIRE,20160404,45.5,45.5,43.35,43.95,558140,0
BHARATWIRE,20160405,43.3,44,41.8,41.8,31748,0
BHARATWIRE,20160406,41,41,39.75,40.2,64852,0
BHARATWIRE,20160407,41.4,42.2,38.5,42,246683,0
BHARATWIRE,20160408,40.3,44.1,40.3,44.1,1391646,0
BHARATWIRE,20160411,45.9,45.9,44.05,44.55,24383,0
BHARATWIRE,20160412,44,45,42.6,44.2,1283321,0
BHARATWIRE,20160413,44,44.95,44,44.8,47186,0
BHARATWIRE,20160418,44.55,45,42.8,44.85,29324,0
BHARATWIRE,20160420,45.9,45.9,44,45.1,114959,0
BHARATWIRE,20160421,45.8,45.8,43.85,44.25,58009,46747
BHARATWIRE,20160422,44.25,44.3,43.05,43.2,14051,9667
BHARATWIRE,20160425,44.3,44.3,42,42.15,11632,0
BHARATWIRE,20160426,42.25,43.3,41.1,41.6,14497,0
BHARATWIRE,20160427,42.8,43,41.05,41.5,18802,0
BHARATWIRE,20160428,41.1,42.1,39.7,40.5,74586,0
BHARATWIRE,20160429,41.5,41.8,40,40.65,32275,0
BHARATWIRE,20160502,41.5,42.1,39.9,41.15,57925,0
BHARATWIRE,20160503,41,42,40.2,40.55,11123,0
BHARATWIRE,20160504,40.55,41.3,39.75,40.5,9723,0
BHARATWIRE,20160505,42,42,40,40.6,5200,0
BHARATWIRE,20160506,39.5,41.7,39.5,40.7,6271,0
BHARATWIRE,20160509,41.4,41.5,40.1,40.35,5933,0
BHARATWIRE,20160510,40.1,46.8,40.1,45.4,218751,0
BHARATWIRE,20160511,44.45,47,43.05,45.7,394923,0
BHARATWIRE,20160512,45.9,46,43.5,44.4,12549,0
BHARATWIRE,20160513,44.8,44.8,43.55,43.95,12900,0
BHARATWIRE,20160516,44,44.75,42.3,43.7,7056,0
BHARATWIRE,20160517,43.5,43.95,43,43.2,5958,0
BHARATWIRE,20160518,43.2,43.2,42.6,42.8,2762,0
BHARATWIRE,20160519,42.4,43.5,41.8,42.05,8545,0
BHARATWIRE,20160520,42,42.45,39.75,40.3,30607,0
BHARATWIRE,20160523,42.3,42.3,40.15,40.6,5229,0
BHARATWIRE,20160524,40.25,41.35,40.05,40.75,3964,0
BHARATWIRE,20160525,40,41.8,40,41,3024,0
BHARATWIRE,20160526,41.5,42.25,40,40.55,4805,0
BHARATWIRE,20160527,42,43.2,41.5,42.4,23255,0
BHARATWIRE,20160530,43,43.55,40.2,40.7,18934,0
BHARATWIRE,20160531,41,41,38.25,40.4,25050,0
BHARATWIRE,20160601,41,41,40,40.25,5031,0
BHARATWIRE,20160602,40.1,42.9,40,41.9,124102,0
BHARATWIRE,20160603,42.15,42.3,40.25,41.4,45603,0
BHARATWIRE,20160606,41.95,44,40.5,42,59001,0
BHARATWIRE,20160607,42,43,41.1,42.3,36359,0
BHARATWIRE,20160608,42.9,45.7,42.9,44,826180,0
BHARATWIRE,20160609,45.45,45.95,44,44.85,719534,0
BHARATWIRE,20160610,45.5,45.5,44.1,44.75,50912,0
BHARATWIRE,20160613,44.75,44.75,43.35,43.6,108929,0
BHARATWIRE,20160614,44.85,45,43.1,43.5,8061,0
BHARATWIRE,20160615,44,44.6,43.5,43.75,13514,0
BHARATWIRE,20160616,43.85,44.85,43.55,43.75,9655,0
BHARATWIRE,20160617,44,44.7,43.45,43.45,5616,0
BHARATWIRE,20160620,44.4,44.4,42.5,42.75,12080,0
BHARATWIRE,20160621,42.5,43.25,42.1,42.6,29555,0
BHARATWIRE,20160622,42,43.5,41,41.4,48996,0
BHARATWIRE,20160623,41.8,43.1,41.5,41.85,38063,0
BHARATWIRE,20160624,40,41.8,40,41.2,13713,0
BHARATWIRE,20160627,42.6,43,41.4,42.5,36191,0
BHARATWIRE,20160628,42.5,43.75,42.2,42.95,35746,0
BHARATWIRE,20160629,43.2,43.85,42.35,43.05,10870,0
BHARATWIRE,20160630,43.75,45.1,43.6,44.95,75483,0
BHARATWIRE,20160701,46,46,43.05,44.1,16371,0
BHARATWIRE,20160704,45,45,44,44.15,16635,0
BHARATWIRE,20160705,45.65,45.65,43.5,43.95,10283,0
BHARATWIRE,20160707,43.6,45,43.5,43.9,9736,0
BHARATWIRE,20160708,43.9,44.3,43.55,44.2,3353,0
BHARATWIRE,20160711,44.95,45,43.5,43.85,8644,0
BHARATWIRE,20160712,44.95,44.95,43.4,43.75,3344,0
BHARATWIRE,20160713,43.4,45,43.1,44.95,10940,0
BHARATWIRE,20160714,44.25,44.95,43,44.45,16331,0
BHARATWIRE,20160715,43.2,45,43.1,43.25,11302,0
BHARATWIRE,20160718,44.45,44.45,43,43.35,1957,0
BHARATWIRE,20160719,43.95,43.95,42.5,42.85,5498,0
BHARATWIRE,20160720,42.85,43.7,42.85,43,1935,0
BHARATWIRE,20160721,43.9,43.9,42,43,2706,0
BHARATWIRE,20160722,42.4,43.35,42.4,42.55,1400,0
BHARATWIRE,20160725,43.8,44.5,42.6,43.75,52191,0
BHARATWIRE,20160726,43.6,44,43.35,43.45,1411,0
BHARATWIRE,20160727,44,44,43,43.05,5361,0
BHARATWIRE,20160728,43.05,46,43.05,44,51483,0
BHARATWIRE,20160729,43.15,44.7,43.15,44,13105,0
BHARATWIRE,20160801,44.9,44.9,43.15,43.7,21817,0
BHARATWIRE,20160802,43.15,44.65,43,43.65,11006,0
BHARATWIRE,20160804,43.5,44.45,42.5,43.25,6498,0
BHARATWIRE,20160805,43.95,43.95,42.75,43.1,5289,0
BHARATWIRE,20160808,44,44,42.7,43.1,4866,0
BHARATWIRE,20160809,43.9,43.9,43.1,43.85,3375,0
BHARATWIRE,20160810,43.15,43.8,43.1,43.1,1891,0
BHARATWIRE,20160811,42.45,43.1,41.05,42.35,9866,0
BHARATWIRE,20160816,42.1,43,41.6,42,10196,0
BHARATWIRE,20160817,42.05,42.05,42.05,42.05,80,80
BHARATWIRE,20160818,43,43.4,42.15,43.4,1401,0
BHARATWIRE,20160819,43.3,43.3,42,42.1,11877,6374
BHARATWIRE,20160822,41.5,43,41.2,42.05,16988,12458
BHARATWIRE,20160823,41.4,42.7,41.4,42.5,823,0
BHARATWIRE,20160824,42.5,42.6,42,42.45,2681,0
BHARATWIRE,20160825,42,42.5,41.6,41.65,2280,1650
BHARATWIRE,20160826,41.75,42,41,41.9,7200,0
BHARATWIRE,20160829,41.9,41.95,41.35,41.95,1280,1270
BHARATWIRE,20160830,41.55,42.5,41.2,41.35,3647,0
BHARATWIRE,20160831,41.9,42.95,40.5,41.35,6134,2255
BHARATWIRE,20160901,42.95,43.8,40.4,40.85,184940,0
BHARATWIRE,20160902,41.75,42,41.25,41.7,2425,0
BHARATWIRE,20160906,42.6,42.6,41,41.95,6829,5041
BHARATWIRE,20160907,42,42,41.15,41.25,4212,4212
