SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BHARTIARTL,20060619,358,370,355.15,362.15,352849,69929
BHARTIARTL,20060620,355,357.9,345.05,352.2,669171,301481
BHARTIARTL,20060621,348,370.95,341,368.75,758384,119367
BHARTIARTL,20060622,379.1,384,360,364.7,1021510,473644
BHARTIARTL,20060623,355,374,347,370.4,1676407,0
BHARTIARTL,20060625,375,375,363.5,366.15,63021,25507
BHARTIARTL,20060626,365,372,357.05,360.85,551789,0
BHARTIARTL,20060627,363,370,350.5,361,1230438,0
BHARTIARTL,20060628,361,367,351,362.25,1017346,0
BHARTIARTL,20060629,353.5,379,353.5,359.5,2084109,0
BHARTIARTL,20060630,373.3,375,366.25,370,856081,0
BHARTIARTL,20060703,370.05,371.9,361.25,369.9,711185,0
BHARTIARTL,20060704,365.2,373,361,364.4,493438,0
BHARTIARTL,20060705,368,372,360,370,731840,0
BHARTIARTL,20060706,367,371.5,364.4,367.05,520374,0
BHARTIARTL,20060707,371.9,378.25,361,371,1140389,0
BHARTIARTL,20060710,372.5,391.5,370,389.65,1786853,713574
BHARTIARTL,20060711,386,389,380,382.25,686932,0
BHARTIARTL,20060712,374,391,374,382.85,602982,0
BHARTIARTL,20060713,383.4,384,366,371.3,1100805,0
BHARTIARTL,20060714,363.65,370,358,362,1086315,0
BHARTIARTL,20060717,362,362,351,355.45,712533,0
BHARTIARTL,20060718,359,364.9,351,360.4,584199,138193
BHARTIARTL,20060719,364.95,365.85,345.4,353.9,591005,0
BHARTIARTL,20060720,359.9,370,358.5,364.45,1125335,0
BHARTIARTL,20060721,364,364,354.25,357.85,339763,0
BHARTIARTL,20060724,357,369,348.1,365.25,690793,243212
BHARTIARTL,20060725,367,374.8,365.05,369.45,693189,381904
BHARTIARTL,20060726,372,384,367,382.6,2176566,0
BHARTIARTL,20060727,384,400,384,395.65,1890509,965882
BHARTIARTL,20060728,395.25,398,381.25,385.65,680134,0
BHARTIARTL,20060731,404.8,404.8,380,383.05,646112,362047
BHARTIARTL,20060801,383,392.9,377.1,391.2,606302,0
BHARTIARTL,20060802,392,396.8,390,393.05,781676,0
BHARTIARTL,20060803,396,405,390.05,399.15,1111889,0
BHARTIARTL,20060804,399,408,398.5,400.7,1195775,0
BHARTIARTL,20060807,402,403,390,392.3,398610,0
BHARTIARTL,20060808,392.5,405.7,386,404.65,966320,0
BHARTIARTL,20060809,408.1,410.5,401.1,404,1135679,546444
BHARTIARTL,20060810,395.65,410,395.65,409.05,975158,577684
BHARTIARTL,20060811,408.5,415,400.1,405.05,532394,208785
BHARTIARTL,20060814,407,414.5,403.5,413,670593,428296
BHARTIARTL,20060816,417,420,410.1,413.7,762469,0
BHARTIARTL,20060817,413.7,417.8,408.05,414.6,1014970,0
BHARTIARTL,20060818,406.55,414.45,406.55,409.65,333816,0
BHARTIARTL,20060821,415.5,415.5,400,409.9,632811,333355
BHARTIARTL,20060822,411,419.9,405.55,409.4,819453,347966
BHARTIARTL,20060823,409.4,414.9,404.2,406,552389,245121
BHARTIARTL,20060824,401,416,400.2,415.3,1299481,723606
BHARTIARTL,20060825,419.9,419.9,414.1,417.55,500180,243527
BHARTIARTL,20060828,417,418,411.05,416.7,435417,0
BHARTIARTL,20060829,419,419.5,412.15,415.25,641297,0
BHARTIARTL,20060830,415,418.9,408.2,413.8,457754,172881
BHARTIARTL,20060831,414,417.9,408.5,411.05,732827,0
BHARTIARTL,20060901,414,414.9,410,413.2,194366,0
BHARTIARTL,20060904,414,419.85,412.5,418.6,590625,0
BHARTIARTL,20060905,419,420.8,414.85,417.95,783219,620380
BHARTIARTL,20060906,418.5,429,415.5,427.25,1361955,618829
BHARTIARTL,20060907,427,432.7,422,423.9,736520,0
BHARTIARTL,20060908,427.9,431.9,424.6,430.45,884834,0
BHARTIARTL,20060911,432,433.9,414.35,421.35,1106426,0
BHARTIARTL,20060912,424,427,414,423,620259,296919
BHARTIARTL,20060913,425,445.8,425,443.1,1539128,603150
BHARTIARTL,20060914,446,449.8,437.5,439.1,1166071,475991
BHARTIARTL,20060915,440,447.55,431,446,947897,423766
BHARTIARTL,20060918,442,451,442,443.9,372150,111889
BHARTIARTL,20060919,440.1,448,433.5,439.5,552581,308452
BHARTIARTL,20060920,436.55,471,431,462.4,1176501,519630
BHARTIARTL,20060921,472.45,472.45,460,465.55,1168405,299537
BHARTIARTL,20060922,465.7,475.8,461,469.2,1287489,402052
BHARTIARTL,20060925,473,477.4,466.35,473.65,1087574,650407
BHARTIARTL,20060926,484,484,466.1,479.55,936469,0
BHARTIARTL,20060927,485,485.7,473.55,476.25,848301,435195
BHARTIARTL,20060928,477,480,467,472.4,931274,0
BHARTIARTL,20060929,475.9,476.4,467.2,469.25,395469,0
BHARTIARTL,20061003,485,485,465,467.45,290726,0
BHARTIARTL,20061004,468.55,469.9,458,461.55,399648,204719
BHARTIARTL,20061005,457.2,467.9,448,459.95,546595,0
BHARTIARTL,20061006,465,465,457.2,460.35,674849,0
