SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BLUESTARCO,20000615,71.7,71.7,71.7,71.7,15,0
BLUESTARCO,20000616,66,66,66,66,500,0
BLUESTARCO,20000619,62,62,60.75,60.75,208,0
BLUESTARCO,20000620,60.75,60.75,55.9,55.9,1225,0
BLUESTARCO,20000621,55.9,55.9,51.5,51.5,1840,0
BLUESTARCO,20000622,47.4,49.95,47.4,48.45,5500,0
BLUESTARCO,20000623,45.5,47,44.75,47,2025,0
BLUESTARCO,20000626,45.5,45.5,43.5,43.5,4850,0
BLUESTARCO,20000627,45.9,45.9,42.1,44.85,8080,0
BLUESTARCO,20000628,43,45,42,42.1,2985,0
BLUESTARCO,20000629,45,45,42,42.6,8086,0
BLUESTARCO,20000630,44.9,44.9,41.5,41.5,4045,0
BLUESTARCO,20000703,44.65,44.8,44.65,44.8,788,0
BLUESTARCO,20000704,44.5,44.5,42,43.45,3125,0
BLUESTARCO,20000705,44.9,45,43.4,44.35,955,0
BLUESTARCO,20000706,42,42.25,41.6,42,829,0
BLUESTARCO,20000707,41.5,42.9,40.5,42.9,1751,0
BLUESTARCO,20000710,41.5,42.8,40.1,40.8,1323,0
BLUESTARCO,20000711,40.55,41.75,38.1,38.1,4005,0
BLUESTARCO,20000712,39,40,39,40,600,0
BLUESTARCO,20000713,42,42.8,42,42.8,490,0
BLUESTARCO,20000714,41.1,41.1,39.9,40.3,1314,0
BLUESTARCO,20000717,40.5,42,38.55,41.3,2000,0
BLUESTARCO,20000718,40.05,42,38.05,39.55,4682,0
BLUESTARCO,20000719,39.6,41,39,39,2165,0
BLUESTARCO,20000720,38.05,38.75,36.05,36.55,6185,0
BLUESTARCO,20000721,39,39,37.1,38,1657,0
BLUESTARCO,20000724,40,40,36.25,36.45,1222,0
BLUESTARCO,20000725,35,38.9,35,36.15,1285,0
BLUESTARCO,20000726,37,39,36.5,38.05,1287,0
BLUESTARCO,20000727,36.65,39,36.65,37.7,1100,0
BLUESTARCO,20000728,39.45,39.45,36.65,38.75,515,0
BLUESTARCO,20000731,38,41.8,38,41.45,8605,0
BLUESTARCO,20000801,41.1,41.1,38.4,40.8,2828,0
BLUESTARCO,20000802,38.5,41.2,38.5,41.1,1665,0
BLUESTARCO,20000803,41.75,42,39.35,40.35,1467,0
BLUESTARCO,20000804,41.5,41.5,38.75,39.05,2770,0
BLUESTARCO,20000807,38,40,36,36.3,5838,0
BLUESTARCO,20000808,37.5,38,36.5,38,875,0
BLUESTARCO,20000809,39.75,40.8,39.15,39.6,2165,0
BLUESTARCO,20000810,40,42,38.3,41.4,871,0
BLUESTARCO,20000811,39.8,44.3,39,39.5,2908,0
BLUESTARCO,20000814,36.55,40,36.4,40,2125,0
BLUESTARCO,20000816,39,40,38.6,38.85,1150,0
BLUESTARCO,20000817,39.9,40,37.3,37.3,1350,0
BLUESTARCO,20000818,37.5,39.5,37.5,37.9,1698,0
BLUESTARCO,20000821,38,39.25,36.5,37.1,1288,0
BLUESTARCO,20000822,38.7,39.45,35.3,36.55,4137,0
BLUESTARCO,20000823,36.5,36.5,34,35.1,2952,0
BLUESTARCO,20000824,35.5,37.5,35,37.5,3627,0
BLUESTARCO,20000825,38,38,36.55,36.6,4166,0
BLUESTARCO,20000828,37,37,34.25,35.1,4647,0
BLUESTARCO,20000829,34,36.9,34,35.45,1653,0
BLUESTARCO,20000830,37,38.95,36,37.05,7243,0
BLUESTARCO,20000831,36.55,38.5,36.5,38,2175,0
BLUESTARCO,20000904,38,38.7,37.05,38,1724,0
BLUESTARCO,20000905,37.05,38.8,37.05,38.8,2292,0
BLUESTARCO,20000906,37.35,39,37.35,38.7,2444,0
BLUESTARCO,20000907,37.75,39.45,37.75,39.25,2306,0
BLUESTARCO,20000908,38,40.15,38,38.75,6469,0
BLUESTARCO,20000911,41.35,41.35,38.5,38.7,4505,0
BLUESTARCO,20000912,38.5,40,38,38.5,5437,0
BLUESTARCO,20000913,38.25,38.25,37.5,37.95,1345,0
BLUESTARCO,20000914,37.1,37.9,36,37,2003,0
BLUESTARCO,20000915,36.5,36.95,35.05,36.95,4845,0
BLUESTARCO,20000918,35.5,36.65,35.1,35.1,1185,0
BLUESTARCO,20000919,35.1,35.5,34,34,1342,0
BLUESTARCO,20000920,35,36.7,35,35.4,1710,0
BLUESTARCO,20000921,35.05,36.1,35.05,35.35,1012,0
BLUESTARCO,20000922,34.05,34.9,33,34.25,3813,0
BLUESTARCO,20000925,34.5,34.5,33.1,33.15,1575,0
BLUESTARCO,20000926,33.5,35.4,33,33,1800,0
BLUESTARCO,20000927,31.6,34.4,31.6,34.4,2869,0
BLUESTARCO,20000928,33.05,34,33,34,422,0
BLUESTARCO,20000929,31.75,34.25,31.6,32.85,1926,0
BLUESTARCO,20001003,34.85,34.85,33.25,33.25,2219,0
BLUESTARCO,20001004,34.5,34.5,33.5,34.35,965,0
BLUESTARCO,20001005,33,34.9,31.6,31.75,7141,0
BLUESTARCO,20001006,31,33.8,30,31.55,2900,0
BLUESTARCO,20001009,31.6,32.5,31,31.05,1895,0
BLUESTARCO,20001010,30.2,31.9,30.1,30.2,1349,0
BLUESTARCO,20001011,30.5,31.9,28.6,29.5,2049,0
BLUESTARCO,20001012,28,31.75,27.95,31,1536,0
BLUESTARCO,20001013,31,32,30.1,30.1,2314,0
BLUESTARCO,20001016,32.5,32.5,28.05,32.3,2077,0
BLUESTARCO,20001017,31.5,32,29.8,30.1,6011,0
BLUESTARCO,20001018,30.05,31,29.15,30.05,1926,0
BLUESTARCO,20001019,30,31.85,29,31.85,1271,0
BLUESTARCO,20001020,30.05,32,30.05,32,1575,0
BLUESTARCO,20001023,30.5,32.75,30.5,32.75,900,0
BLUESTARCO,20001024,30.5,32.9,30.15,30.65,1207,0
BLUESTARCO,20001025,31.9,31.9,31.9,31.9,13,0
BLUESTARCO,20001026,32,32,31.3,31.55,300,0
BLUESTARCO,20001027,31.85,31.9,31,31,638,0
BLUESTARCO,20001030,31.05,33.35,30.85,32.25,950,0
BLUESTARCO,20001031,32.25,32.25,30.65,31.25,1395,0
BLUESTARCO,20001101,30.9,31.35,30.5,30.6,1531,0
BLUESTARCO,20001102,31.8,33.15,31.8,33.1,3832,0
BLUESTARCO,20001103,35.6,35.6,33.55,34.8,2525,0
BLUESTARCO,20001106,34,35.6,34,34.05,1877,0
BLUESTARCO,20001107,34,34,33.1,33.5,824,0
BLUESTARCO,20001108,33.5,33.5,31.6,33.25,2100,0
BLUESTARCO,20001109,33.25,33.25,32.95,33,675,0
BLUESTARCO,20001110,30.55,35.4,30.55,32.25,428,0
BLUESTARCO,20001113,33.45,33.45,30.5,30.5,1813,0
BLUESTARCO,20001114,31.9,34.5,31.1,33.5,3172,0
BLUESTARCO,20001115,34,35.65,34,35.05,7780,0
BLUESTARCO,20001116,36,36,34.75,35.2,2963,0
BLUESTARCO,20001117,36.25,37,35.25,36,1975,0
BLUESTARCO,20001120,36.5,37.75,35.5,35.95,1300,0
BLUESTARCO,20001121,35,36.5,33.5,33.95,9048,0
BLUESTARCO,20001122,36.5,36.5,34.6,36,575,0
BLUESTARCO,20001123,34.85,36.25,34.85,36,1384,0
BLUESTARCO,20001124,35.05,36,35.05,35.65,657,0
BLUESTARCO,20001127,37,37,34.75,35,2425,0
BLUESTARCO,20001128,36,36.25,34.45,36.25,2173,0
BLUESTARCO,20001129,35.25,37.35,35,35.55,1798,0
BLUESTARCO,20001130,35.15,36,35,35,817,0
BLUESTARCO,20001201,35,36.8,35,36.4,2250,0
BLUESTARCO,20001204,37.7,37.7,36.2,36.9,1400,0
BLUESTARCO,20001205,37,37,35,36.5,787,0
BLUESTARCO,20001206,36.3,39,36.3,37,2865,0
BLUESTARCO,20001207,37.5,37.9,37,37.7,1897,0
BLUESTARCO,20001208,37.4,41.75,37.4,40.15,7423,0
BLUESTARCO,20001211,42,43.35,41.1,42.3,5479,0
BLUESTARCO,20001212,44,44.1,42.05,43.3,5609,0
BLUESTARCO,20001213,43.7,43.7,40,41.5,3570,0
BLUESTARCO,20001214,43.7,43.7,40,40.15,3225,0
BLUESTARCO,20001215,39.4,40.75,37.4,39.3,3050,0
BLUESTARCO,20001218,37.25,38.95,37.15,37.4,1222,0
BLUESTARCO,20001219,38,38.85,37.05,37.55,2116,0
BLUESTARCO,20001220,39,39.5,38,39.5,1275,0
BLUESTARCO,20001221,37,38.9,37,37.5,2026,0
BLUESTARCO,20001222,38,40,37.05,39,2312,0
BLUESTARCO,20001226,37.5,37.5,36,36.95,6351,0
