SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BODHTREE,20100809,24.5,24.5,24.5,24.5,5,5
BODHTREE,20100810,29.4,29.4,29.4,29.4,101,101
BODHTREE,20100811,35.3,35.3,35.3,35.3,1,0
BODHTREE,20100812,38.85,38.85,38.85,38.85,205,105
BODHTREE,20100813,42.75,42.75,42.75,42.75,6,5
BODHTREE,20100816,47.05,47.05,47.05,47.05,2,1
BODHTREE,20100817,49.4,49.4,45.6,47.45,4702,4471
BODHTREE,20100818,48.95,49.85,45.1,47.65,5146,3311
BODHTREE,20100819,49,49,45.3,45.3,2848,2733
BODHTREE,20100820,45,45,45,45,1000,1000
BODHTREE,20100823,42.85,42.85,42.75,42.75,31,31
BODHTREE,20100824,44.9,44.9,40.65,40.65,130,130
BODHTREE,20100825,38.65,38.65,38.65,38.65,200,200
BODHTREE,20100826,38.65,38.65,36.75,36.75,112,112
BODHTREE,20100827,34.95,35.05,34.95,34.95,599,599
BODHTREE,20100830,36.45,36.45,36.4,36.4,800,800
BODHTREE,20100831,37,37,34.6,34.6,59,59
BODHTREE,20100902,35,36.35,33,34.65,254,159
BODHTREE,20100903,33.5,36.4,33.4,36.35,353,348
BODHTREE,20100906,38.2,38.2,35,37.65,3592,368
BODHTREE,20100907,36.05,36.55,36.05,36.55,3,3
BODHTREE,20100908,36.9,36.9,35.65,36.2,42,42
BODHTREE,20100909,36.05,36.05,36.05,36.05,10,10
BODHTREE,20100913,37,37.3,34.3,37,302,172
BODHTREE,20100914,37.05,37.8,35.2,36.85,404,300
BODHTREE,20100915,37,38,35.05,35.05,405,405
BODHTREE,20100916,34,34.15,33.65,33.65,300,300
BODHTREE,20100921,30.9,33.85,30.85,33.6,622,620
BODHTREE,20100922,35.25,35.25,33.2,35,224,224
BODHTREE,20100923,35,36.5,34.25,34.25,385,325
BODHTREE,20100924,35.9,35.9,35.9,35.9,200,200
BODHTREE,20101001,37.7,37.7,35.5,35.5,401,300
BODHTREE,20101004,37.3,37.3,34.5,35,600,500
BODHTREE,20101005,34.8,34.8,34,34,150,150
BODHTREE,20101006,35,35,32.3,34.9,231,231
BODHTREE,20101007,33.15,33.15,33.15,33.15,10,10
BODHTREE,20101011,34,34,34,34,1,0
BODHTREE,20101012,32.5,35.7,32.3,34.3,210,0
BODHTREE,20101013,36.05,36.05,35.5,36.05,425,0
BODHTREE,20101014,37.85,37.85,37.85,37.85,2,0
BODHTREE,20101015,39.75,39.75,39,39.7,300,0
BODHTREE,20101018,37.75,37.75,37.75,37.75,50,0
BODHTREE,20101020,39.65,39.65,39.65,39.65,1,0
BODHTREE,20101021,39.65,39.65,37.7,39.5,123,0
BODHTREE,20101022,41.5,41.5,41.5,41.5,1,0
BODHTREE,20101025,43.6,43.6,40,42.95,254,152
