SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BPLSANTECH,19950301,36.5,36.5,36.5,36.5,100,0
BPLSANTECH,19950403,35,35,35,35,300,0
BPLSANTECH,19950424,31.95,31.95,31.95,31.95,100,0
BPLSANTECH,19950516,42,45,42,45,200,0
BPLSANTECH,19950517,44,44,44,44,200,0
BPLSANTECH,19950518,40,40,40,40,100,0
BPLSANTECH,19950519,43.25,43.25,40,40,300,0
BPLSANTECH,19950523,39,39,39,39,100,0
BPLSANTECH,19950524,39,39,39,39,400,0
BPLSANTECH,19950530,38.95,39,38.95,39,600,0
BPLSANTECH,19950601,37.5,37.5,37.5,37.5,100,0
BPLSANTECH,19950606,38.25,38.5,38.25,38.5,300,0
BPLSANTECH,19950607,39,39,39,39,100,0
BPLSANTECH,19950612,37,37,37,37,100,0
BPLSANTECH,19950613,39,39,39,39,100,0
BPLSANTECH,19950614,37.9,37.9,37.9,37.9,100,0
BPLSANTECH,19950626,37,37,37,37,100,0
BPLSANTECH,19950628,38,38,38,38,100,0
BPLSANTECH,19950718,34.5,34.5,34.5,34.5,100,0
BPLSANTECH,19950720,34,34,34,34,200,0
BPLSANTECH,19950721,34,34,34,34,200,0
BPLSANTECH,19950724,34,34,34,34,300,0
BPLSANTECH,19950725,34,34,34,34,200,0
BPLSANTECH,19950726,34,34,33,33,300,0
BPLSANTECH,19950731,33,33,33,33,100,0
BPLSANTECH,19950801,32,32,32,32,100,0
BPLSANTECH,19950824,28,28,28,28,100,0
BPLSANTECH,19950825,28,28,28,28,300,0
BPLSANTECH,19950828,28,28,28,28,100,0
BPLSANTECH,19950908,27,27,27,27,200,0
BPLSANTECH,19950911,26,26,26,26,100,0
BPLSANTECH,19950912,27,28,27,27.5,200,0
BPLSANTECH,19950920,26,26,26,26,100,0
BPLSANTECH,19950921,27,27,27,27,100,0
BPLSANTECH,19950922,26.5,26.5,26.5,26.5,100,0
BPLSANTECH,19950926,27,27,27,27,100,0
BPLSANTECH,19950927,26.5,26.6,26.5,26.5,400,0
BPLSANTECH,19950928,26.6,27,26.6,27,200,0
BPLSANTECH,19950929,26.5,26.5,26.5,26.5,400,0
BPLSANTECH,19951004,26,26,26,26,100,0
BPLSANTECH,19951009,26,26,26,26,300,0
BPLSANTECH,19951013,25,25,25,25,100,0
BPLSANTECH,19951019,25,25,25,25,100,0
BPLSANTECH,19951020,25,24,23,24,300,0
BPLSANTECH,19951023,24,24.5,24,24.2,500,0
BPLSANTECH,19951024,24.2,24,24,24,300,0
BPLSANTECH,19951025,24,24,24,24,100,0
BPLSANTECH,19951026,24,24.3,24.3,24.3,100,0
BPLSANTECH,19951027,24.3,24.5,24,24.5,200,0
BPLSANTECH,19951030,24.55,24.55,24.55,24.55,100,0
BPLSANTECH,19951031,24.5,24.5,24,24,200,0
BPLSANTECH,19951101,24,24.25,24.25,24.25,100,0
BPLSANTECH,19951102,24.25,24.25,24,24,300,0
BPLSANTECH,19951103,24,23.6,23,23.4,400,0
BPLSANTECH,19951106,23.4,24,23,23,200,0
BPLSANTECH,19951107,23,23,22.5,22.5,200,0
BPLSANTECH,19951108,22.5,22.5,20.5,22.35,1000,0
BPLSANTECH,19951109,22.35,22.5,20.15,22,300,0
BPLSANTECH,19951110,22,22,20.1,22,900,0
BPLSANTECH,19951113,22,22.5,22,22.5,400,0
BPLSANTECH,19951114,22,22.5,22,22.5,300,0
BPLSANTECH,19951115,22.5,22.5,22.25,22.5,500,0
BPLSANTECH,19951116,22.5,22,22,22,100,0
BPLSANTECH,19951120,21,22,21,22,200,0
BPLSANTECH,19951121,22,23,21.75,23,300,0
BPLSANTECH,19951122,23,23.5,22,22.1,1600,0
BPLSANTECH,19951123,22.1,22.5,21.25,22,3300,0
BPLSANTECH,19951124,22,22,22,22,300,0
BPLSANTECH,19951128,22,22,22,22,700,0
BPLSANTECH,19951130,22,20.75,20.75,20.75,100,0
BPLSANTECH,19951201,20.75,22.5,22.5,22.5,1000,0
BPLSANTECH,19951204,20.5,21.95,20.5,21.95,1000,0
BPLSANTECH,19951205,22,22,21,21,300,0
BPLSANTECH,19951208,22,22,22,22,100,0
BPLSANTECH,19951211,22,22,22,22,200,0
BPLSANTECH,19951212,21,21,20.5,21,300,0
BPLSANTECH,19951213,19,19.05,19,19,300,0
BPLSANTECH,19951214,19,19,19,19,400,0
BPLSANTECH,19951215,19.55,19.55,19.5,19.5,200,0
BPLSANTECH,19951218,19.25,19.25,19.25,19.25,100,0
BPLSANTECH,19951219,19.25,19.2,18.5,19,900,0
BPLSANTECH,19951220,19,19.3,18,18,900,0
BPLSANTECH,19951221,18,16.75,16.75,16.75,100,0
BPLSANTECH,19951222,16.75,18,16.75,18,500,0
BPLSANTECH,19951226,18,18,18,18,100,0
BPLSANTECH,19951227,18,18,18,18,100,0
BPLSANTECH,19951229,18,17.5,17.5,17.5,300,0
BPLSANTECH,19960102,17.5,18,18,18,100,0
BPLSANTECH,19960103,18,18.25,18.25,18.25,100,0
BPLSANTECH,19960104,18.25,18,16.5,18,300,0
BPLSANTECH,19960105,18,17.75,16.55,17.75,300,0
BPLSANTECH,19960108,17.75,19,17.75,17.75,700,0
BPLSANTECH,19960109,17.75,18.75,18,18.75,200,0
BPLSANTECH,19960110,18.75,18,17.8,18,400,0
BPLSANTECH,19960111,18,17.9,17.9,17.9,300,0
BPLSANTECH,19960112,17.9,17.75,17,17.7,300,0
BPLSANTECH,19960115,17.7,17.45,16,17.45,400,0
BPLSANTECH,19960116,17.45,19,17.25,17.5,700,0
BPLSANTECH,19960117,17.5,16.5,15.75,16.25,400,0
BPLSANTECH,19960119,16.25,15.5,15.1,15.1,200,0
BPLSANTECH,19960122,15.1,15.25,15.25,15.25,200,0
BPLSANTECH,19960123,15.25,15.5,15,15,1900,0
BPLSANTECH,19960124,15,15.5,13.5,15.5,700,0
BPLSANTECH,19960125,15.5,15.5,14.25,15.5,400,0
BPLSANTECH,19960129,15.5,15,14.25,14.25,2400,0
BPLSANTECH,19960130,14.25,15,14,14,4800,0
BPLSANTECH,19960131,14,15.1,14.75,15,3100,0
BPLSANTECH,19960201,15,15.5,15,15,1000,0
BPLSANTECH,19960202,15,15.45,15.45,15.45,800,0
BPLSANTECH,19960205,15.45,16.45,15.5,15.8,900,0
BPLSANTECH,19960206,15.8,16.75,15.95,16.5,1700,0
BPLSANTECH,19960207,16.25,16.25,15.8,15.8,400,0
BPLSANTECH,19960208,16,16.5,16,16.5,600,0
BPLSANTECH,19960209,16.5,17.2,16,17.2,800,0
BPLSANTECH,19960212,16.75,17,16,17,500,0
BPLSANTECH,19960213,17,17.45,16.25,16.35,400,0
BPLSANTECH,19960214,16.35,16.6,16.5,16.5,1600,0
BPLSANTECH,19960215,16.5,17.5,16.5,17,2800,0
BPLSANTECH,19960216,17,17.75,16.55,17,5100,0
