SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BRANDHOUSE,20090327,106,106,18.75,19.9,11290474,2624081
BRANDHOUSE,20090330,18.5,18.9,15.95,15.95,2569914,1327617
BRANDHOUSE,20090331,14.15,18.4,13,15.05,5153755,1020724
BRANDHOUSE,20090401,15.05,17.3,15.05,16.35,1425814,293359
BRANDHOUSE,20090402,16.85,17.7,16.35,16.65,1304886,442605
BRANDHOUSE,20090406,17.5,17.5,15.9,16.05,568141,264329
BRANDHOUSE,20090408,15.5,15.9,15.15,15.55,636497,332040
BRANDHOUSE,20090409,15.65,16.35,15.05,15.6,492913,231042
BRANDHOUSE,20090413,16,16.5,15.2,15.8,577836,215177
BRANDHOUSE,20090415,15.2,16.5,15.2,16.25,556707,375843
BRANDHOUSE,20090416,16.5,16.7,15.05,15.4,383710,244836
BRANDHOUSE,20090417,15.25,16.8,15.25,15.6,442726,192147
BRANDHOUSE,20090420,15.7,16.4,15.3,15.9,431526,201434
BRANDHOUSE,20090421,15.8,16.75,15.65,16.25,587614,364286
BRANDHOUSE,20090422,16.3,18.25,16.3,17.35,1002249,337223
BRANDHOUSE,20090424,17.05,17.65,16.5,16.7,473116,201117
BRANDHOUSE,20090427,19.8,19.8,16.25,16.4,251869,0
BRANDHOUSE,20090428,16.4,16.7,15.4,15.55,188387,121536
BRANDHOUSE,20090429,15.75,15.8,15.1,15.4,154323,90425
BRANDHOUSE,20090504,15.85,15.95,15.35,15.5,174351,91905
BRANDHOUSE,20090505,15.5,15.85,15.4,15.55,96349,51848
BRANDHOUSE,20090506,15.55,16.15,15.25,15.35,222133,90452
BRANDHOUSE,20090507,15.7,15.7,15.3,15.5,90843,54841
BRANDHOUSE,20090508,15.45,15.8,15.15,15.3,148245,88107
BRANDHOUSE,20090511,15.2,15.5,14.5,14.6,149435,77407
BRANDHOUSE,20090512,14.6,14.7,14,14.4,121369,61100
BRANDHOUSE,20090513,14.7,14.8,14.3,14.45,85970,45827
BRANDHOUSE,20090514,15.5,15.5,14,14.55,70265,44872
BRANDHOUSE,20090515,14.85,14.85,14,14.15,113210,77257
BRANDHOUSE,20090518,16.8,16.8,16.8,16.8,1500,1500
BRANDHOUSE,20090519,17,17,14.1,15.3,349405,184807
BRANDHOUSE,20090520,14.8,17.35,14.8,16.95,786877,503091
BRANDHOUSE,20090521,17.5,20.35,17.5,19.9,2032720,937781
BRANDHOUSE,20090522,21.05,23.9,21.05,23.9,1561421,749477
BRANDHOUSE,20090525,25.4,26.2,23.6,23.9,1098098,510315
BRANDHOUSE,20090526,24,24.8,21.55,21.85,615020,375268
BRANDHOUSE,20090527,22.8,24.05,22.2,24.05,455654,295467
BRANDHOUSE,20090528,24.7,25.95,23.65,24.65,921961,471493
BRANDHOUSE,20090529,25.1,26,24.05,24.4,537740,284894
BRANDHOUSE,20090601,25,25.45,24.3,24.6,339555,211638
BRANDHOUSE,20090602,24.5,25.5,23.55,24,269835,143812
BRANDHOUSE,20090603,24.8,25.5,23.7,25.15,609098,270665
BRANDHOUSE,20090604,25,27.7,25,27.7,1276561,595278
BRANDHOUSE,20090605,29.9,30.5,28.6,29.3,1222303,489738
BRANDHOUSE,20090608,30.4,30.4,26.4,26.4,574514,329563
BRANDHOUSE,20090609,24.8,26.55,23.8,25.75,640258,227399
BRANDHOUSE,20090610,26.05,27.55,24.65,25.15,394903,190388
BRANDHOUSE,20090611,24.6,26.5,24.35,25.75,379597,158450
BRANDHOUSE,20090612,26.1,26.85,24.6,25.05,310583,128172
BRANDHOUSE,20090615,24.3,25.4,23,23.35,228632,128789
BRANDHOUSE,20090616,23.15,24.5,22.7,24.15,267039,120498
BRANDHOUSE,20090617,24.1,25.7,23.95,24.25,334927,156539
