SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BRITANNIA,19941107,330,330,330,330,100,0
BRITANNIA,19941201,321,321,321,321,100,0
BRITANNIA,19941219,320,320,320,320,100,0
BRITANNIA,19941220,325,325,325,325,500,0
BRITANNIA,19941221,315,315,315,315,100,0
BRITANNIA,19950102,320,320,320,320,100,0
BRITANNIA,19950104,320,320,320,320,200,0
BRITANNIA,19950109,314,314,314,314,200,0
BRITANNIA,19950110,294.5,294.5,294.5,294.5,200,0
BRITANNIA,19950117,305,305,305,305,100,0
BRITANNIA,19950118,300,300,300,300,100,0
BRITANNIA,19950130,303.5,303.5,303.5,303.5,1400,0
BRITANNIA,19950224,290,290,285,288,400,0
BRITANNIA,19950301,295,299,295,299,200,0
BRITANNIA,19950302,300,300,294,294.5,400,0
BRITANNIA,19950310,300,319,300,319,200,0
BRITANNIA,19950327,275,275,275,275,200,0
BRITANNIA,19950328,282.5,282.5,282.5,282.5,100,0
BRITANNIA,19950404,254,254,254,254,200,0
BRITANNIA,19950407,290,290,290,290,100,0
BRITANNIA,19950410,289.9,289.9,289.9,289.9,100,0
BRITANNIA,19950412,265,265,265,265,200,0
BRITANNIA,19950417,279,280,279,280,200,0
BRITANNIA,19950419,270,270,270,270,100,0
BRITANNIA,19950502,275,275,275,275,100,0
BRITANNIA,19950503,250,250,250,250,100,0
BRITANNIA,19950505,240,250,240,246.8,600,0
BRITANNIA,19950509,248,251,248,251,800,0
BRITANNIA,19950510,250,250,250,250,200,0
BRITANNIA,19950512,245,250,245,250,300,0
BRITANNIA,19950515,242.5,250,242.5,250,500,0
BRITANNIA,19950517,245,245,245,245,500,0
BRITANNIA,19950518,240,240,240,240,200,0
BRITANNIA,19950519,245,245,245,245,100,0
BRITANNIA,19950525,235,235,225,225,200,0
BRITANNIA,19950529,225,225,220,225,300,0
BRITANNIA,19950530,225,225,225,225,200,0
BRITANNIA,19950531,225,225,225,225,200,0
BRITANNIA,19950602,225,225,225,225,300,0
BRITANNIA,19950605,230,235,230,230,400,0
BRITANNIA,19950606,225,235,225,235,200,0
BRITANNIA,19950607,237,240,237,240,200,0
BRITANNIA,19950608,240,240,240,240,100,0
BRITANNIA,19950609,250,250,250,250,300,0
BRITANNIA,19950613,235,235,235,235,500,0
BRITANNIA,19950615,226.15,226.15,226.15,226.15,100000,0
BRITANNIA,19950616,225,225,220,220,300,0
BRITANNIA,19950619,220.1,225,220,220,500,0
BRITANNIA,19950622,226,226,226,226,100,0
BRITANNIA,19950623,220,220,214,214,900,0
BRITANNIA,19950626,218,219,214,214,1000,0
BRITANNIA,19950628,212,212,212,212,100,0
BRITANNIA,19950629,202,202,200.5,200.5,300,0
BRITANNIA,19950630,204.75,204.75,193,195,400,0
BRITANNIA,19950703,196,196,196,196,100,0
BRITANNIA,19950704,194.05,194.05,190,190,600,0
BRITANNIA,19950705,191,193,191,193,200,0
BRITANNIA,19950710,198,198,198,198,100,0
BRITANNIA,19950711,195.1,195.1,195,195,400,0
BRITANNIA,19950712,195,195,195,195,100,0
BRITANNIA,19950714,204,204,204,204,100,0
BRITANNIA,19950717,210,210,207.5,207.5,200,0
BRITANNIA,19950721,205,205,205,205,100,0
BRITANNIA,19950724,215,215,215,215,100,0
BRITANNIA,19950725,215,215,205.2,205.6,700,0
BRITANNIA,19950727,215,215,215,215,100,0
BRITANNIA,19950807,194.5,194.5,194.5,194.5,100,0
BRITANNIA,19950808,199,200,199,200,400,0
BRITANNIA,19950814,202,202,202,202,100,0
BRITANNIA,19950823,190,190,190,190,200,0
BRITANNIA,19950828,180,180,180,180,100,0
BRITANNIA,19950901,180,183,180,183,600,0
BRITANNIA,19950905,183,183,175,175,500,0
BRITANNIA,19950912,175,175,175,175,200,0
BRITANNIA,19950913,184.75,185,184.75,184.9,600,0
BRITANNIA,19950915,190,190,185,185,400,0
BRITANNIA,19950918,190,190,190,190,100,0
BRITANNIA,19950920,185,185,185,185,1000,0
BRITANNIA,19950921,188,188,188,188,500,0
BRITANNIA,19950925,190,200,190,200,200,0
BRITANNIA,19950926,194,200,194,199,400,0
BRITANNIA,19950927,200,206,200,206,500,0
BRITANNIA,19950928,206,206,204.25,205.25,1600,0
BRITANNIA,19950929,207,208,207,208,600,0
BRITANNIA,19951004,206,206,206,206,200,0
BRITANNIA,19951005,206,210,210,210,100,0
BRITANNIA,19951006,210,220,208,220,200,0
BRITANNIA,19951009,220,215,215,215,300,0
BRITANNIA,19951010,215,222,220,220,300,0
BRITANNIA,19951011,220,220,218,220,900,0
BRITANNIA,19951012,220,220,220,220,300,0
BRITANNIA,19951013,220,220,220,220,300,0
BRITANNIA,19951016,220,221,220,221,1000,0
BRITANNIA,19951017,221,224,220,222,900,0
BRITANNIA,19951018,222,221,220.5,220.9,400,0
BRITANNIA,19951019,219.5,219.5,219.5,219.5,100,0
BRITANNIA,19951020,219.5,222,217,222,600,0
BRITANNIA,19951023,222,222,222,222,500,0
BRITANNIA,19951026,220,222,220,220,1100,0
BRITANNIA,19951027,220,222,222,222,100,0
BRITANNIA,19951030,222,224,222.5,224,800,0
BRITANNIA,19951031,224,219.25,219.25,219.25,100,0
BRITANNIA,19951101,219.25,221.25,221,221.15,200,0
BRITANNIA,19951102,221.15,222,219.5,222,400,0
BRITANNIA,19951103,222,222,220,222,500,0
BRITANNIA,19951106,222,220,215,215,300,0
BRITANNIA,19951109,214,214,214,214,200,0
BRITANNIA,19951110,210,210,210,210,100,0
BRITANNIA,19951113,201,201,201,201,100,0
BRITANNIA,19951114,201,194,194,194,100,0
BRITANNIA,19951116,196,196,195,195,300,0
BRITANNIA,19951117,195,194.5,192,192,300,0
BRITANNIA,19951120,192,185,185,185,200,0
BRITANNIA,19951121,185,187,184,184,500,0
BRITANNIA,19951124,173,173,165.6,165.6,200,0
BRITANNIA,19951127,168,168,168,168,200,0
BRITANNIA,19951128,163,165.5,163,165.5,200,0
BRITANNIA,19951129,160,163,160,161,600,0
BRITANNIA,19951130,159.7,159.7,159.7,159.7,100,0
BRITANNIA,19951201,157.5,158,157.5,158,200,0
BRITANNIA,19951204,159.95,159.95,159.95,159.95,100,0
BRITANNIA,19951205,161,161,160.05,160.05,200,0
BRITANNIA,19951206,159,159,159,159,100,0
BRITANNIA,19951207,157,157,157,157,100,0
BRITANNIA,19951208,159,162,158,158,600,0
BRITANNIA,19951211,158,158,156,156,300,0
BRITANNIA,19951212,159,159,159,159,300,0
BRITANNIA,19951215,163,163,161,161,400,0
BRITANNIA,19951219,160,165,160,165,200,0
BRITANNIA,19951220,160,160,160,160,100,0
BRITANNIA,19951222,162,162,160,160,200,0
BRITANNIA,19951226,160,160,160,160,100,0
BRITANNIA,19951227,160,160,160,160,100,0
BRITANNIA,19951228,160,161,160,161,200,0
BRITANNIA,19951229,160,160,160,160,200,0
BRITANNIA,19960102,159,159,159,159,100,0
BRITANNIA,19960103,160,160,157,157,200,0
BRITANNIA,19960105,160,160,157,157.1,400,0
BRITANNIA,19960108,155,158,155,158,200,0
BRITANNIA,19960110,151,151,151,151,100,0
BRITANNIA,19960116,151,151,145,145,200,0
BRITANNIA,19960118,145,145,142,142,200,0
BRITANNIA,19960119,148,148,148,148,100,0
BRITANNIA,19960123,147.5,148.25,144,148,1000,0
BRITANNIA,19960124,148,148,148,148,400,0
BRITANNIA,19960125,150,150,150,150,100,0
BRITANNIA,19960129,145,145,145,145,100,0
BRITANNIA,19960130,148,148.5,145,145,800,0
BRITANNIA,19960131,147.5,147.5,147.5,147.5,100,0
BRITANNIA,19960201,152,157,152,157,400,0
BRITANNIA,19960202,172,172,172,172,100,0
BRITANNIA,19960205,172,177,172,175.75,700,0
BRITANNIA,19960206,175.75,185,175.05,177,1300,0
BRITANNIA,19960207,173,173,173,173,100,0
BRITANNIA,19960208,173,175,173,173.9,1600,0
BRITANNIA,19960209,180,191,180,190,1300,0
BRITANNIA,19960212,200,200,195,195,400,0
BRITANNIA,19960213,195,195,190,190,700,0
BRITANNIA,19960214,205,205,196.5,196.5,1400,0
