SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BROADCAST,20070307,140,140,67,70.4,11041392,1186849
BROADCAST,20070308,68.55,72.75,60.7,67.3,7195985,600201
BROADCAST,20070309,66,74.5,64.05,69.1,4494235,391973
BROADCAST,20070312,68.4,73.4,68.3,69.9,2239985,193862
BROADCAST,20070313,69.7,76.4,69.7,72.1,2659999,237025
BROADCAST,20070314,71.9,72.5,67.5,70.1,1267032,159702
BROADCAST,20070315,70.7,77.6,70.7,72.25,3563893,267010
BROADCAST,20070316,72.75,74.2,68.5,69.1,1104220,151157
BROADCAST,20070319,71,73.65,69.95,70.4,700500,102268
BROADCAST,20070320,70.9,72.25,68.15,68.65,422296,67446
BROADCAST,20070321,69.4,69.4,65.2,66.1,344578,76878
BROADCAST,20070322,67.05,68,64.9,65.4,241112,75677
BROADCAST,20070323,66.35,67.5,62,64.45,528389,72633
BROADCAST,20070326,65,66.5,62.6,63.05,342685,85287
BROADCAST,20070328,63.6,63.6,58.6,59.3,265136,140947
BROADCAST,20070329,59.75,60.8,58.55,59,311556,145022
BROADCAST,20070330,60.15,62.3,59.5,60.6,355164,105138
BROADCAST,20070402,58,60.15,56.2,56.85,192532,64929
BROADCAST,20070404,56.6,57.75,55.5,55.75,127553,39740
BROADCAST,20070405,56.1,58.45,55,56.3,231050,75763
BROADCAST,20070409,56.65,58.9,56.65,57.8,171951,0
BROADCAST,20070410,58.15,62.35,57.35,61.6,499734,105922
BROADCAST,20070411,62.75,64.85,61.5,62.05,521280,0
BROADCAST,20070412,61.5,62,59.6,59.8,109604,0
BROADCAST,20070413,59,61.85,59,59.6,146535,0
BROADCAST,20070416,60.5,71.55,60.1,71.55,1615929,369191
BROADCAST,20070417,73,76.3,70.1,70.75,2440345,0
BROADCAST,20070418,70,72.7,68.1,68.6,725767,0
BROADCAST,20070419,67,70,66.25,67.3,424120,0
BROADCAST,20070420,68.05,69.4,66.6,66.95,207382,0
BROADCAST,20070423,68,76.4,66.4,73.75,1786546,256726
BROADCAST,20070424,73.4,76.85,71.05,71.8,1067005,147181
BROADCAST,20070425,72,74.25,70.65,71.05,332605,66562
BROADCAST,20070426,72,74.2,70.05,70.35,404208,67924
BROADCAST,20070427,71,71.25,67.1,67.9,160768,53155
BROADCAST,20070430,67.9,71.4,67.05,68.65,335589,57250
BROADCAST,20070503,70,73.25,69.5,70.25,524232,82875
BROADCAST,20070504,73,74,69.65,70.25,422324,77975
BROADCAST,20070507,70.9,72.4,68.5,68.85,195078,47468
BROADCAST,20070508,69.7,70.8,68.3,68.65,130788,0
BROADCAST,20070509,69.5,79.6,68.6,76.9,5941137,552351
BROADCAST,20070510,77.55,78.4,72.2,73,2085439,0
BROADCAST,20070511,71.7,76.45,70.3,74.05,1177381,0
BROADCAST,20070514,76.15,76.15,73,73.35,401670,0
BROADCAST,20070515,73.7,82.8,72.5,77.95,3646044,0
BROADCAST,20070516,79,81.4,75.7,76.55,1223095,267773
BROADCAST,20070517,77.5,79.5,75.8,76.25,544783,110765
BROADCAST,20070518,76.25,76.9,73.6,74,332780,0
BROADCAST,20070521,74.5,77.45,74.1,75.1,351741,0
BROADCAST,20070522,76,81.6,75,77.35,1709285,0
BROADCAST,20070523,77,79.8,74.75,75.25,558054,0
BROADCAST,20070524,75.6,78.5,75,75.35,421151,0
BROADCAST,20070525,74.8,75.9,74,74.35,264102,0
BROADCAST,20070528,77.4,80.4,75.2,78.35,1013094,0
BROADCAST,20070529,78.95,86.1,78.7,84.1,3095365,0
BROADCAST,20070530,80.4,84,78.55,78.9,801564,211903
BROADCAST,20070531,80.15,80.45,77.5,78.25,293026,82477
BROADCAST,20070601,79.05,82.5,78.6,79.2,669557,117636
BROADCAST,20070604,80.3,82.2,79.1,79.4,438872,0
BROADCAST,20070605,80,84.4,78.7,81.75,1513707,198261
BROADCAST,20070606,80.5,82.85,76.3,77.5,569913,0
BROADCAST,20070607,78.1,78.75,76.25,76.9,289206,0
BROADCAST,20070608,76.5,77.7,75.15,75.6,241554,0
BROADCAST,20070611,77.1,79.1,75.25,75.5,206448,0
BROADCAST,20070612,76.4,76.45,72.55,73.8,192637,0
BROADCAST,20070613,74.5,74.5,71.15,72.2,137898,0
BROADCAST,20070614,73.15,79.25,73.15,78.5,728206,0
BROADCAST,20070615,79.5,83.25,79.2,79.95,978341,0
BROADCAST,20070618,80.5,82.05,79,79.6,489278,0
BROADCAST,20070619,80.2,81,79,79.55,164424,0
BROADCAST,20070620,78,82.65,78,79.75,513090,0
BROADCAST,20070621,80.2,81.5,78.2,79.05,209826,0
