SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BSOFT,20190226,107,108,103.6,107.7,727762,274898
BSOFT,20190227,108.25,108.95,106.5,107.4,764963,419879
BSOFT,20190228,107.95,109.75,107,108.7,1215243,692617
BSOFT,20190301,108.9,108.9,107.15,107.45,489876,185926
BSOFT,20190305,107.9,108,106.5,107.6,541524,264399
BSOFT,20190306,107.95,117.8,107.35,115.5,2928895,832084
BSOFT,20190307,116,117.45,107.75,108.25,1891246,767839
BSOFT,20190308,108.5,108.95,102.6,103.9,1655156,539852
BSOFT,20190311,104.5,106.75,104,105.3,704994,228772
BSOFT,20190312,106.05,107.3,104.15,104.75,1407053,420561
BSOFT,20190313,105,106,101.8,102.35,925991,459339
BSOFT,20190314,102.35,103.8,99,100.7,1472566,378058
BSOFT,20190315,101.45,104.65,100.1,100.95,1473906,405715
BSOFT,20190318,101.7,104,101,102.1,858658,265557
BSOFT,20190319,102.75,102.75,99.5,99.95,1171923,623711
BSOFT,20190320,100.25,101.5,96.3,98.4,2213323,799106
BSOFT,20190322,98.95,99.4,94.55,96.2,1751981,0
BSOFT,20190325,96.5,96.9,93.8,94.55,1015572,0
BSOFT,20190326,95.35,97.9,94.25,96.45,859301,0
BSOFT,20190327,97,98,95.6,97.05,894936,0
BSOFT,20190328,97.15,99.9,96.65,98.35,1078195,0
BSOFT,20190329,98.9,99.45,96.1,98.65,1394549,0
BSOFT,20190401,99.05,104.45,98.55,102.85,1510359,0
BSOFT,20190402,103.95,104.3,100.1,101.75,825213,0
BSOFT,20190403,102,102.45,100.1,100.65,487430,0
BSOFT,20190404,100.1,100.9,99.1,100.15,501702,0
BSOFT,20190405,101,104.25,99.8,103.4,869852,0
BSOFT,20190408,105,105.35,101.15,101.45,705044,0
BSOFT,20190409,101.5,102.3,100.4,100.95,448207,0
BSOFT,20190410,100.25,101.5,98.3,99.15,646769,0
BSOFT,20190411,99.4,99.55,97.05,99.25,752210,0
BSOFT,20190412,98.5,100.15,98.5,99.4,402943,0
BSOFT,20190415,100.25,103.65,99.6,101.7,1388152,0
BSOFT,20190416,102.1,103.45,100.75,102.05,1102271,0
BSOFT,20190418,101.5,102.95,98.85,100.3,1285176,0
BSOFT,20190422,100.05,101.45,98.7,100.7,1097476,0
BSOFT,20190423,100,100.8,98.85,99.3,613395,0
BSOFT,20190424,99.75,101,97,97.5,933858,0
BSOFT,20190425,97.05,97.9,96.25,96.6,820106,0
BSOFT,20190426,96.5,96.95,95.35,95.95,577804,0
BSOFT,20190430,95.7,96.1,92.9,93.6,717167,0
BSOFT,20190502,93.6,95.3,92,93.95,631948,0
BSOFT,20190503,94.85,95.9,92,92.2,780850,0
BSOFT,20190506,91.55,92.2,88,88.55,843422,0
