SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BURNPUR,20080103,15,50.5,15,48.05,152748815,8336994
BURNPUR,20080104,55.05,57.65,49,54.15,49868652,6166381
BURNPUR,20080107,53.5,54.95,48.4,50.25,15807574,2417046
BURNPUR,20080108,50.25,51.5,42.55,43.65,9773688,2153038
BURNPUR,20080109,43,43.65,37.1,40.15,7855718,1104770
BURNPUR,20080110,41.8,42.7,37.4,37.9,4663813,920915
BURNPUR,20080111,39.5,39.8,33.15,36,4313440,771181
BURNPUR,20080114,36,43.2,33.1,42,15250357,1468329
BURNPUR,20080115,43.95,46.45,41.5,42.15,11133307,1929021
BURNPUR,20080116,42.25,42.25,38.05,39.8,5308754,875776
BURNPUR,20080117,40.85,43.5,39.3,41.3,6526869,0
BURNPUR,20080118,40,41.4,35.2,37.75,2737560,0
BURNPUR,20080121,38.7,38.7,30.2,31.3,2655782,0
BURNPUR,20080122,29,29.5,25.05,27.1,776312,0
BURNPUR,20080123,30.2,32.55,29,31.95,1388420,0
BURNPUR,20080124,34,35,30.1,31.15,1318793,415335
BURNPUR,20080125,32.75,33.55,30.5,31.8,1043057,271356
BURNPUR,20080128,31,31,25.45,30.4,818114,201506
BURNPUR,20080129,32.5,32.8,30.3,31,753650,211183
BURNPUR,20080130,30.7,31,29.15,29.6,633192,0
BURNPUR,20080131,29,29.8,28,28.95,850165,325114
BURNPUR,20080201,29.2,29.5,28,28.2,489162,192041
BURNPUR,20080204,29.4,32.5,29.2,29.85,921720,333959
BURNPUR,20080205,28.4,31.2,28.4,29.95,1124596,240945
BURNPUR,20080206,30,30,27.5,29.3,644916,219353
BURNPUR,20080207,31,35.2,29.95,33.25,5942271,1015476
BURNPUR,20080208,33.9,35.75,31.95,32.4,4068429,646479
BURNPUR,20080211,33,33,29,29.25,1068719,316385
BURNPUR,20080212,30.5,30.9,27.5,27.7,771407,219054
BURNPUR,20080213,27.1,28.85,27.1,27.3,591887,185128
BURNPUR,20080214,27.5,29.45,27.5,29.1,751358,256115
BURNPUR,20080215,28.8,31.4,27.8,30.25,1794541,345392
BURNPUR,20080218,30.9,31.45,30.05,30.4,799817,238054
BURNPUR,20080219,31,31.25,29.9,30.1,723146,221158
BURNPUR,20080220,30,30,28.85,29.15,398901,174008
BURNPUR,20080221,29.25,30.65,29.25,29.65,673337,156965
BURNPUR,20080222,30,30,28.7,28.85,348910,167935
BURNPUR,20080225,29,29.8,28.15,28.65,371648,142531
BURNPUR,20080226,29.25,30.85,29,29.95,1333555,311267
BURNPUR,20080227,30.95,31,29.75,30,756131,291038
BURNPUR,20080228,29.2,30.25,29.15,29.35,421206,117366
BURNPUR,20080229,29.4,29.9,28.25,28.7,567364,196840
BURNPUR,20080303,27.5,28.65,24.2,27.65,554582,163882
BURNPUR,20080304,28.05,28.35,25.2,26.55,564167,167854
