SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BURRWELCOM,19941216,280,300,280,300,150,0
BURRWELCOM,19941221,270,270,270,270,50,0
BURRWELCOM,19941226,285,285,285,285,100,0
BURRWELCOM,19941227,285,285,285,285,250,0
BURRWELCOM,19941228,286,286,285,285,300,0
BURRWELCOM,19950104,277.5,277.5,277.5,277.5,50,0
BURRWELCOM,19950106,260,260,260,260,200,0
BURRWELCOM,19950109,260,265,260,264,500,0
BURRWELCOM,19950110,260,260,260,260,50,0
BURRWELCOM,19950111,260,260,250,250,150,0
BURRWELCOM,19950116,259,259,259,259,100,0
BURRWELCOM,19950117,260,260,260,260,100,0
BURRWELCOM,19950120,262.5,262.5,262.5,262.5,50,0
BURRWELCOM,19950123,250,250,250,250,100,0
BURRWELCOM,19950124,252.5,252.5,252.5,252.5,100,0
BURRWELCOM,19950127,248,260,248,260,100,0
BURRWELCOM,19950130,245,245,240,240,100,0
BURRWELCOM,19950131,245,246,245,245,200,0
BURRWELCOM,19950202,269.5,269.5,269.5,269.5,50,0
BURRWELCOM,19950206,250,250,250,250,100,0
BURRWELCOM,19950207,255.25,260,240,241,350,0
BURRWELCOM,19950209,250,250,250,250,50,0
BURRWELCOM,19950210,250,250,240,244.95,150,0
BURRWELCOM,19950213,250,255,250,255,150,0
BURRWELCOM,19950214,255,255,255,255,50,0
BURRWELCOM,19950216,245,245,245,245,150,0
BURRWELCOM,19950217,242.25,242.25,230,230,150,0
BURRWELCOM,19950220,220,220,205,205,650,0
BURRWELCOM,19950221,210,210,205,205,1250,0
BURRWELCOM,19950222,210,217,210,211,450,0
BURRWELCOM,19950223,216,221.9,216,220.95,900,0
BURRWELCOM,19950224,206,206,206,206,100,0
BURRWELCOM,19950228,225,225,225,225,100,0
BURRWELCOM,19950301,239.9,245,239.9,245,150,0
BURRWELCOM,19950302,240,240,240,240,100,0
BURRWELCOM,19950303,255,255,255,255,50,0
BURRWELCOM,19950306,250,250,245,245,150,0
BURRWELCOM,19950307,250,250,245,245,250,0
BURRWELCOM,19950308,245,248,240.05,240.05,450,0
BURRWELCOM,19950309,242.5,246,241,241.85,350,0
BURRWELCOM,19950310,247.5,247.5,247.5,247.5,100,0
BURRWELCOM,19950313,240,240,240,240,100,0
BURRWELCOM,19950314,245,245,242,242,100,0
BURRWELCOM,19950315,240,249,237.5,237.5,1050,0
BURRWELCOM,19950316,249,249,249,249,100,0
BURRWELCOM,19950320,245,245,235,235,450,0
BURRWELCOM,19950321,235.05,235.05,225.05,225.05,150,0
BURRWELCOM,19950322,241,241,241,241,100,0
BURRWELCOM,19950323,240,240,236,236,250,0
BURRWELCOM,19950324,240,240.05,240,240,150,0
BURRWELCOM,19950327,235,240,235,240,550,0
BURRWELCOM,19950328,242.55,242.55,235,237.35,1050,0
BURRWELCOM,19950329,238,238,237,237,250,0
BURRWELCOM,19950330,238,238,238,238,450,0
BURRWELCOM,19950331,240,240,230,230,400,0
BURRWELCOM,19950403,240,240,240,240,50,0
BURRWELCOM,19950404,237,237,225,228,350,0
BURRWELCOM,19950407,240,245,240,245,650,0
BURRWELCOM,19950410,242,242,241,241,100,0
BURRWELCOM,19950411,240.75,240.75,240.75,240.75,50,0
BURRWELCOM,19950412,239,239,239,239,50,0
BURRWELCOM,19950417,240,240,240,240,100,0
BURRWELCOM,19950418,240,243,240,243,100,0
BURRWELCOM,19950419,245,245,240,243,400,0
BURRWELCOM,19950420,240,244,239.95,240,350,0
BURRWELCOM,19950421,240,241,240,241,200,0
BURRWELCOM,19950424,230,230,230,230,100,0
BURRWELCOM,19950425,229,229,227,229,600,0
BURRWELCOM,19950426,228,228,225,225,200,0
BURRWELCOM,19950427,205,205,205,205,50,0
BURRWELCOM,19950428,205,220,205,210,350,0
BURRWELCOM,19950502,210,210,210,210,100,0
BURRWELCOM,19950503,205,205,205,205,100,0
BURRWELCOM,19950504,205.5,205.5,205,205,300,0
BURRWELCOM,19950509,215,215,210,210,300,0
BURRWELCOM,19950510,215,215,210,215,150,0
BURRWELCOM,19950512,215,215,213,213,100,0
BURRWELCOM,19950515,205,207.5,205,207.5,100,0
BURRWELCOM,19950516,209,209,206,206,300,0
BURRWELCOM,19950517,210,216,210,215.5,200,0
BURRWELCOM,19950518,220,225,220,225,200,0
BURRWELCOM,19950519,224,224,221.9,221.9,150,0
BURRWELCOM,19950522,220,220,215,215,150,0
BURRWELCOM,19950523,220,221,217,220,450,0
BURRWELCOM,19950525,210,219,210,219,200,0
BURRWELCOM,19950526,217,222,217,220.65,350,0
BURRWELCOM,19950529,215,215,215,215,50,0
BURRWELCOM,19950530,208,208,205,205,200,0
BURRWELCOM,19950531,207.25,215,207,210,400,0
BURRWELCOM,19950601,216,217.25,215,216,600,0
BURRWELCOM,19950602,217,225,217,225,400,0
BURRWELCOM,19950605,225,225,216,216,900,0
BURRWELCOM,19950606,216,216,215,215,600,0
BURRWELCOM,19950607,215,215,212,212,750,0
BURRWELCOM,19950608,210,215,210,210.2,500,0
BURRWELCOM,19950609,208,208,206,208,600,0
BURRWELCOM,19950612,207.95,208,207.95,208,300,0
BURRWELCOM,19950613,201,201,200,200,500,0
BURRWELCOM,19950614,202.5,202.5,202.5,202.5,100,0
BURRWELCOM,19950615,200.1,200.1,200,200,100,0
BURRWELCOM,19950616,200,205,200,204,200,0
BURRWELCOM,19950619,200,202.5,200,201.25,150,0
BURRWELCOM,19950620,196.95,196.95,195,195,100,0
BURRWELCOM,19950621,190,190,190,190,100,0
BURRWELCOM,19950622,199,200,199,200,150,0
BURRWELCOM,19950626,195.5,195.5,195,195,100,0
BURRWELCOM,19950627,195,195,195,195,50,0
BURRWELCOM,19950703,180,180,180,180,50,0
BURRWELCOM,19950704,175,180,175,180,300,0
BURRWELCOM,19950705,177,177,176,176,100,0
BURRWELCOM,19950706,165.1,165.1,165.1,165.1,200,0
BURRWELCOM,19950707,169,169,168.5,168.5,150,0
BURRWELCOM,19950710,170,170,170,170,150,0
BURRWELCOM,19950711,177,177,172,172,2350,0
BURRWELCOM,19950712,180,180,177.1,180,600,0
BURRWELCOM,19950713,180,188,180,187.5,350,0
BURRWELCOM,19950714,192,192,192,192,100,0
BURRWELCOM,19950717,200,210,197.5,206,5450,0
BURRWELCOM,19950718,210,210,208,210,550,0
BURRWELCOM,19950719,216.95,230,216.95,229,700,0
BURRWELCOM,19950720,230,230,220,220,550,0
BURRWELCOM,19950721,225,225,206,211.4,2800,0
BURRWELCOM,19950724,217,217.25,214,214,700,0
BURRWELCOM,19950725,214,214.95,210,210,1350,0
BURRWELCOM,19950726,200,210,200,210,250,0
BURRWELCOM,19950727,206,206,199.9,199.9,450,0
BURRWELCOM,19950731,190,195,188,195,950,0
BURRWELCOM,19950801,195,195,185,185.65,900,0
BURRWELCOM,19950802,192,192,192,192,50,0
BURRWELCOM,19950803,195,195,195,195,100,0
BURRWELCOM,19950804,192,197.5,192,197.5,1450,0
BURRWELCOM,19950807,192.5,192.5,190,190,750,0
BURRWELCOM,19950808,182.05,185,182.05,182.05,450,0
BURRWELCOM,19950811,190,192,190,192,150,0
BURRWELCOM,19950814,190,190,190,190,200,0
BURRWELCOM,19950817,189.5,189.5,189.5,189.5,100,0
BURRWELCOM,19950818,188,188,188,188,50,0
BURRWELCOM,19950821,185,190,185,189,900,0
BURRWELCOM,19950822,186,186,185,185,300,0
BURRWELCOM,19950823,186,186,186,186,100,0
BURRWELCOM,19950828,182.5,182.5,182.5,182.5,200,0
BURRWELCOM,19950830,180,180,180,180,200,0
BURRWELCOM,19950831,178,178,172,172,200,0
BURRWELCOM,19950901,172,172,172,172,50,0
BURRWELCOM,19950905,172,172,170,170,250,0
BURRWELCOM,19950907,170.05,170.05,170,170,250,0
BURRWELCOM,19950908,170,170,165,165,100,0
BURRWELCOM,19950911,172,172.5,172,172.15,1100,0
BURRWELCOM,19950912,170,171,168,169.5,250,0
BURRWELCOM,19950915,173.95,173.95,169,169,100,0
BURRWELCOM,19950918,165,165,165,165,100,0
BURRWELCOM,19950919,164.9,165,164.75,165,300,0
BURRWELCOM,19950920,163,163,160,160,300,0
BURRWELCOM,19950921,158,158,158,158,300,0
BURRWELCOM,19950922,155,157.5,155,157.5,300,0
BURRWELCOM,19950925,157,162,157,162,250,0
BURRWELCOM,19950926,169,169,166,167.55,300,0
BURRWELCOM,19950927,175,175,170,170,850,0
BURRWELCOM,19950928,170,171.5,170,171.5,200,0
BURRWELCOM,19950929,171,172,171,171,400,0
BURRWELCOM,19951004,172,172,172,172,50,0
BURRWELCOM,19951006,173,173,173,173,100,0
BURRWELCOM,19951010,174.75,174.75,170,170,200,0
BURRWELCOM,19951011,173,174.75,172.75,173.75,150,0
BURRWELCOM,19951012,175,180,175,180,250,0
BURRWELCOM,19951013,175,178,175,177.5,250,0
BURRWELCOM,19951016,175,175,173.05,174,300,0
BURRWELCOM,19951017,172,172,170,170.25,250,0
BURRWELCOM,19951018,170,170,170,170,100,0
BURRWELCOM,19951019,170,170,165,165,150,0
BURRWELCOM,19951020,169,170,165,165,800,0
BURRWELCOM,19951023,165,161.25,161,161.15,100,0
BURRWELCOM,19951024,162.25,162.25,162,162,100,0
BURRWELCOM,19951027,160,160,157,157,150,0
BURRWELCOM,19951030,152,154,152,154,150,0
BURRWELCOM,19951031,153.95,154,153,153,150,0
BURRWELCOM,19951101,145,154,145,154,100,0
BURRWELCOM,19951102,154,157,151,154,200,0
BURRWELCOM,19951103,155,159,155,159,150,0
BURRWELCOM,19951106,157,157,157,157,50,0
BURRWELCOM,19951107,156,156,151.05,152,300,0
BURRWELCOM,19951108,152,152.5,152.3,152.3,150,0
BURRWELCOM,19951109,151.25,151.95,148,149.2,650,0
BURRWELCOM,19951110,152,152,140.05,151,800,0
BURRWELCOM,19951113,149,149,149,149,50,0
BURRWELCOM,19951114,147.5,147.5,140,140,150,0
BURRWELCOM,19951115,140,145,138,142.15,650,0
BURRWELCOM,19951116,142.15,143,143,143,100,0
BURRWELCOM,19951117,144,144,142,142.65,250,0
BURRWELCOM,19951120,142.65,141.05,141.05,141.05,50,0
BURRWELCOM,19951121,141.05,141,140,140,250,0
BURRWELCOM,19951122,132,135,132,135,600,0
BURRWELCOM,19951123,125.5,129.5,125,129.5,350,0
BURRWELCOM,19951124,129.95,132,126.5,127,750,0
BURRWELCOM,19951127,130,130.25,130,130.25,200,0
BURRWELCOM,19951128,130.25,127,116.5,122,800,0
BURRWELCOM,19951129,122,108.6,108.6,108.6,1300,0
BURRWELCOM,19951130,108.6,106,99.05,105.4,2850,0
BURRWELCOM,19951201,104,115,104,115,1450,0
BURRWELCOM,19951204,115,118,107,108.3,2150,0
BURRWELCOM,19951205,108.3,114.95,106,113.35,3150,0
BURRWELCOM,19951206,107,110,105,108,1950,0
BURRWELCOM,19951207,108,112,110,110,700,0
BURRWELCOM,19951208,115,116.5,113.5,116.5,800,0
BURRWELCOM,19951211,116.5,114.95,113,114.95,350,0
BURRWELCOM,19951212,114.95,112.75,110,112.5,1050,0
BURRWELCOM,19951213,112.5,113,110,113,250,0
BURRWELCOM,19951214,113,115,114,115,300,0
BURRWELCOM,19951215,115.5,115.5,114,114,250,0
BURRWELCOM,19951218,114,113,112.75,113,150,0
BURRWELCOM,19951219,111,113,111,111.5,650,0
BURRWELCOM,19951220,111.5,112,110,110,150,0
BURRWELCOM,19951221,110,111,110,110.5,100,0
BURRWELCOM,19951222,110.25,119.95,110.25,119.65,850,0
BURRWELCOM,19951226,119.65,130.5,120,130.5,1050,0
BURRWELCOM,19951227,130.5,133,130,131,400,0
