SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
BVCL,20071123,62.6,67,52,55.3,11385373,2342530
BVCL,20071126,58,58,52.2,53.25,812619,236921
BVCL,20071127,52,53,48.35,49,476815,181528
BVCL,20071128,49.8,50,46.1,46.7,367810,162168
BVCL,20071129,47.85,48.4,46.25,46.55,150107,70802
BVCL,20071130,46.75,48.4,45.05,46.35,169589,65490
BVCL,20071203,47.4,47.9,45.25,46.6,131176,62871
BVCL,20071204,47.1,50,46.65,49.35,353393,149078
BVCL,20071205,49.5,53.5,48.55,51.15,375782,104953
BVCL,20071206,52.4,53.35,50.5,51,160638,82247
BVCL,20071207,52,53.5,51.2,51.75,197521,78708
BVCL,20071210,52.5,52.5,50.5,51,68063,45610
BVCL,20071211,51.7,52.7,50.5,51.4,104427,47874
BVCL,20071212,50.2,55.9,50.1,54.9,333308,147368
BVCL,20071213,55.5,56.45,54,54.3,154025,89884
BVCL,20071214,54,56.1,54,54.45,315583,180724
BVCL,20071217,54.45,58,53.1,54.25,347719,175753
BVCL,20071218,54.1,54.6,52,52.75,69611,40106
BVCL,20071219,53.9,54,52.55,52.8,65056,37532
BVCL,20071220,53.1,53.15,51.5,52.15,53886,36436
BVCL,20071224,53.75,53.75,51,51.9,33637,26292
BVCL,20071226,51.3,52.4,51.3,51.9,49619,0
BVCL,20071227,52.1,52.65,51.65,52.25,39690,0
BVCL,20071228,51.55,54,51.5,52.4,71167,0
BVCL,20071231,53.8,62.9,52.55,62.9,518166,241472
BVCL,20080101,60.1,67.8,58.1,62.25,720460,343618
BVCL,20080102,63,63.95,60.5,63.05,346828,159299
BVCL,20080103,65,65,61.6,61.85,226888,101556
BVCL,20080104,63,63.9,60.75,61.5,241036,114552
BVCL,20080107,60.5,62.5,60.2,60.6,216907,132261
BVCL,20080108,61.6,61.6,60.55,60.7,191278,120586
BVCL,20080109,60.1,60.1,57.9,59,139189,82552
BVCL,20080110,59.5,60.6,56.55,57.1,77286,43716
BVCL,20080111,56,61,55,59.45,111510,99097
BVCL,20080114,60.5,63.75,59.1,61.55,166076,86023
BVCL,20080115,62.9,64,61.1,61.45,139381,76512
BVCL,20080116,60,61.5,59.5,60.8,68262,47124
BVCL,20080117,61.5,61.85,60.3,60.65,37345,0
BVCL,20080118,59,60.9,55.75,57.3,82888,0
BVCL,20080121,50.2,59,47,50.05,76205,0
BVCL,20080122,47.55,49.8,40.5,43.8,11359,0
BVCL,20080123,49.9,49.9,44.05,49.1,24909,0
BVCL,20080124,53.95,55,44,45.05,34831,17275
BVCL,20080125,45.1,49,44.3,48.7,20005,14480
BVCL,20080128,46.1,53.8,46.1,52.25,14447,12060
BVCL,20080129,53,54,50.85,51.95,24172,21790
BVCL,20080130,50.15,52,49.1,50.25,15569,0
BVCL,20080131,50,50.9,47.5,49.5,12680,7807
BVCL,20080201,47.55,50,47.5,48.9,5803,4105
BVCL,20080204,48.6,52.9,48.6,52.35,29803,22312
BVCL,20080205,52.7,53.9,50.1,51.75,7916,4957
BVCL,20080206,49.5,51.8,49.5,50.5,5495,3330
BVCL,20080207,50,54,49.6,50.55,35324,22441
BVCL,20080208,51.4,51.4,47.1,48.15,10937,7691
BVCL,20080211,49.9,49.9,45,45.85,11859,7871
BVCL,20080212,45.1,48.75,41.2,42.65,12659,9534
BVCL,20080213,37.2,45.4,37.2,42.9,6654,4855
BVCL,20080214,44.9,44.9,43,44,5618,3363
BVCL,20080215,43.25,45.4,42.8,44.65,6589,4876
BVCL,20080218,43.2,45.5,43.2,45,6186,3283
BVCL,20080219,45.9,46,44.1,44.7,8016,5152
BVCL,20080220,43.5,45.3,43.15,43.75,3345,2269
BVCL,20080221,44.4,44.8,42.1,43.75,7417,3597
BVCL,20080222,42.1,43.8,42.1,43.25,4982,3543
BVCL,20080225,43.2,43.2,42.2,43,11956,7925
BVCL,20080226,44.5,44.8,43.7,44.2,6466,3609
BVCL,20080227,44,45.8,44,44.35,6080,3887
BVCL,20080228,43.25,44.05,43.25,43.6,4561,3711
BVCL,20080229,44.5,44.9,43.05,43.55,3000,2663
BVCL,20080303,42,42.9,41.5,41.75,20545,17988
BVCL,20080304,39.7,42.5,38.6,39.05,20046,17644
BVCL,20080305,39.1,40,38,39,5887,4487
BVCL,20080307,37.1,38.75,35,35.25,10744,9705
BVCL,20080310,35,35.4,33.1,34.85,6802,4977
BVCL,20080311,35,40,34.15,39.65,18954,13826
BVCL,20080312,40.85,41.9,38,38.45,6730,5145
BVCL,20080313,38.2,38.5,36.55,37,9065,7113
BVCL,20080314,37.2,37.95,37.1,37.1,3304,2811
BVCL,20080317,36,37.5,31,33.3,9020,7745
BVCL,20080318,31.65,35,29,30.5,9394,7743
BVCL,20080319,32.9,34.9,29.6,31.65,13251,7702
BVCL,20080324,30,31.5,27,27.6,7694,4959
BVCL,20080325,29,29,28.05,28.7,5359,4642
BVCL,20080326,29.9,30.5,28.75,29.65,20119,18798
BVCL,20080327,29,30.4,28.35,29.8,20439,17961
BVCL,20080328,31.4,34.8,30.25,33.05,12036,10960
BVCL,20080331,32.5,34.5,31.3,32.85,11979,8204
BVCL,20080401,32.3,33.9,31.6,32.7,6013,3245
BVCL,20080402,32.65,35.5,32.6,33.9,6172,2900
BVCL,20080403,34.85,34.85,31.6,32.2,9060,8111
BVCL,20080404,31.6,32.4,30.5,31.1,2351,1462
BVCL,20080407,30.45,36.5,30.45,32.35,4642,3853
BVCL,20080408,31.1,33,31.1,31.55,4228,2602
BVCL,20080409,32.8,32.85,31.55,32.4,3173,1837
BVCL,20080410,31.45,33.9,31.4,32.95,11061,6001
BVCL,20080411,33.7,33.75,32.65,32.65,1309,1049
BVCL,20080415,32.65,38.5,32.45,34.05,11407,5395
BVCL,20080416,34.55,35.8,33.25,34.25,13420,7370
BVCL,20080417,34.9,35.8,34,34.9,9817,8361
BVCL,20080421,35.9,36.3,35.05,35.7,10100,8096
BVCL,20080422,35.85,35.85,34.2,35.35,2180,1887
BVCL,20080423,34.65,37,34.65,36.4,15100,13424
BVCL,20080424,37.9,37.9,36,36.95,8018,5246
BVCL,20080425,37,37,34.5,34.9,12691,11225
BVCL,20080428,36.9,38,35.75,36.75,22376,14448
BVCL,20080429,37,37,35.5,35.75,6821,5474
BVCL,20080430,36.35,37.5,36,36.2,18154,17316
BVCL,20080502,36.5,37,35.55,36,9089,5715
BVCL,20080505,36.8,36.8,36,36.15,8068,6151
BVCL,20080506,36.05,36.4,35.6,35.8,5197,4200
BVCL,20080507,35.6,36.9,35,35.35,5175,4009
BVCL,20080508,35,37.75,33.65,36.95,29249,13744
BVCL,20080509,37.5,42.5,37.4,39.25,98420,24594
BVCL,20080512,39.9,41,37.5,38.3,24521,14117
BVCL,20080513,39.9,39.9,38.1,38.35,9039,4850
BVCL,20080514,38,38.05,37.4,37.8,6126,5076
BVCL,20080515,36.25,37.6,36.25,37.2,3566,2638
BVCL,20080516,36.5,37.9,36.4,36.8,5483,2956
BVCL,20080520,36.3,38.25,36.25,37.05,5943,2888
BVCL,20080521,36.35,37.7,36.35,37.15,2596,1567
BVCL,20080522,36.55,38,36.55,37.75,8497,6080
BVCL,20080523,37.15,38.45,37.15,37.75,2527,2267
BVCL,20080526,38.25,38.4,36.6,37.15,4894,4071
BVCL,20080527,37.1,37.45,36.9,37.2,3772,2485
BVCL,20080528,37.35,37.35,36.4,37,5218,3858
BVCL,20080529,36.05,37.6,36.05,37.25,4902,4151
BVCL,20080530,36.8,37.1,36.55,36.6,2691,2545
BVCL,20080602,36.35,36.6,36.05,36.4,2194,1465
BVCL,20080603,35.5,35.8,35,35.25,5420,3934
BVCL,20080604,36,36.9,34.5,34.65,7906,4370
BVCL,20080605,34.1,35.4,34.05,35.1,2327,1630
BVCL,20080606,34.05,35.45,33.8,34.5,4925,4114
BVCL,20080609,33,34.4,32,32.95,3251,2540
BVCL,20080610,33,33,31,32.5,14776,10370
BVCL,20080611,33.9,33.9,32,33.1,6151,3235
BVCL,20080612,31.7,32.95,31.7,32.7,1177,700
BVCL,20080613,33.4,33.4,32.8,33.1,1991,1239
BVCL,20080616,32.55,33.9,32.2,33.5,3936,2837
BVCL,20080617,33.25,33.7,33.25,33.5,1022,850
BVCL,20080618,34,34.85,33.15,33.35,4916,2756
