SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CANBK,20021223,42,49.75,41.85,48.65,17189102,0
CANBK,20021224,49.4,52,49,49.6,15267153,2926239
CANBK,20021226,50,50.75,48.8,49.05,4068056,0
CANBK,20021227,50.45,51.6,49,50.35,5734723,0
CANBK,20021230,50,50,48.7,49.05,2078946,720629
CANBK,20021231,48.95,50.45,48.8,49.65,2629342,0
CANBK,20030101,50,50.3,49.1,49.55,1926344,0
CANBK,20030102,49.75,50.2,48.75,49,1626683,648703
CANBK,20030103,49.5,50,49.05,49.5,2426288,0
CANBK,20030106,49.65,49.7,46.2,46.4,2038412,0
CANBK,20030107,46.45,47.65,45.1,47.15,3025043,729712
CANBK,20030108,47.2,48.1,47.15,47.45,1461358,0
CANBK,20030109,47.5,51.95,47.4,51.3,7319484,2595678
CANBK,20030110,51.95,54.55,50.5,52.4,8681353,0
CANBK,20030113,52.9,54.4,52.2,53.65,3482132,1129724
CANBK,20030114,54.15,54.9,53,54.2,3621221,0
CANBK,20030115,54.7,55.75,54.1,55.25,4026281,1110296
CANBK,20030116,55.1,56.4,55.1,55.75,3640011,1121439
CANBK,20030117,56,56.4,54.85,55.6,2468855,810612
CANBK,20030120,55.75,59.3,55.75,58.75,8025796,2121048
CANBK,20030121,60.5,68.7,59.2,67.85,17884178,3641911
CANBK,20030122,69,72.65,65.95,67.6,17788366,2697139
CANBK,20030123,67.5,72.05,66.1,69.75,15688470,0
CANBK,20030124,69.75,70.7,64.4,65.3,7941877,0
CANBK,20030127,66.5,66.5,60.25,61.45,6117103,0
CANBK,20030128,62,65.3,61.15,64.6,6654527,1169463
CANBK,20030129,65.5,67.75,64.6,65.4,7201844,1246445
CANBK,20030130,65.95,66.5,63.65,64.05,3502818,0
CANBK,20030131,64,64.2,61.5,62.25,4687368,0
CANBK,20030203,63,65.3,62.65,64.95,3985975,833358
CANBK,20030204,65.8,70.65,65.8,67.75,15789158,0
CANBK,20030205,68,69.2,66.4,67.15,6702353,0
CANBK,20030206,67,69.2,65.3,68.75,9594146,1461989
CANBK,20030207,69.35,69.35,66.5,66.85,5427913,0
CANBK,20030210,67,67,63.35,63.8,4150409,0
CANBK,20030211,64,64.85,61.9,62.2,5179914,0
CANBK,20030212,62,63.8,60.4,62.3,5457936,0
CANBK,20030214,62.75,62.75,58.5,58.85,6104258,0
CANBK,20030217,60.7,64.7,60,63.95,6905542,0
CANBK,20030218,66,66.6,64.85,65.4,7512749,0
CANBK,20030219,65.8,67.95,65.6,67.2,8059084,0
CANBK,20030220,67.4,69.9,66.15,67.55,13380395,0
CANBK,20030221,69,69,66.6,67.25,6114667,0
CANBK,20030224,68,70.75,67.6,69.7,11871589,0
CANBK,20030225,70,70,65.65,66,5668082,0
CANBK,20030226,66.4,66.9,63.1,63.4,8435788,0
CANBK,20030227,63.4,66.25,62.3,65.35,7620982,0
CANBK,20030228,67,67.25,61.85,62.45,11685248,0
CANBK,20030303,64.3,67.4,64.3,65.6,7593509,0
CANBK,20030304,65.9,65.9,63.55,64.2,3711368,0
CANBK,20030305,63.8,65.2,61.9,64.6,4887561,0
CANBK,20030306,65,66,63.3,64.2,8318802,0
CANBK,20030307,62.9,63.2,61.65,62.2,3424845,0
CANBK,20030310,62.25,63.4,59.55,60.1,3068708,0
CANBK,20030311,58.15,61.5,58.15,61.15,5167839,0
CANBK,20030312,61.4,63.5,61.05,61.7,6006745,0
CANBK,20030313,61.9,63.5,61.55,62.65,5515423,0
CANBK,20030317,61.15,62.8,60.45,61.2,2565828,0
CANBK,20030319,62.6,64.15,62.6,63.3,4334301,0
CANBK,20030320,63.4,67.45,62.6,66.9,8608938,0
CANBK,20030321,68.45,68.45,66.7,67.5,4244166,0
CANBK,20030322,67.95,68.9,67.95,68.45,1819826,0
CANBK,20030324,68.5,68.75,65.1,65.75,3396668,0
CANBK,20030325,64.5,68.05,63.55,67.5,4625296,0
CANBK,20030326,68.05,69.8,67.05,67.5,3450146,0
CANBK,20030327,67.4,68.85,67.1,67.8,2620175,0
CANBK,20030328,67.95,76.1,67.25,73.25,21937860,0
