SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CANBONUS,19950510,9.75,9.75,9.7,9.7,2000,0
CANBONUS,19950512,9.4,9.75,9.25,9.25,5500,0
CANBONUS,19950515,9.25,9.3,9.25,9.25,1800,0
CANBONUS,19950516,9,9.5,9,9.5,2600,0
CANBONUS,19950517,9.5,9.5,9.4,9.5,1100,0
CANBONUS,19950518,9.6,9.6,9.5,9.5,4600,0
CANBONUS,19950519,9.5,9.6,9.5,9.6,6200,0
CANBONUS,19950522,9.3,9.5,9.3,9.5,5600,0
CANBONUS,19950523,9.35,9.5,9.35,9.5,5900,0
CANBONUS,19950524,9.5,9.6,9.4,9.6,6700,0
CANBONUS,19950525,9.45,9.55,9.4,9.5,11200,0
CANBONUS,19950526,9.4,9.5,9.4,9.5,4000,0
CANBONUS,19950529,9.5,9.8,9.5,9.5,2600,0
CANBONUS,19950530,9.4,9.8,9.4,9.75,8700,0
CANBONUS,19950531,9.5,9.5,9.4,9.4,5100,0
CANBONUS,19950601,9.5,9.75,9.5,9.65,6500,0
CANBONUS,19950602,9.6,9.7,9.6,9.6,4300,0
CANBONUS,19950605,9.35,9.6,9.35,9.55,6400,0
CANBONUS,19950606,9.35,9.5,9.35,9.5,4100,0
CANBONUS,19950607,9.5,9.5,9.5,9.5,200,0
CANBONUS,19950608,9.45,9.45,9.4,9.4,700,0
CANBONUS,19950609,9.4,9.5,9.25,9.4,2900,0
CANBONUS,19950612,9.5,9.5,9.4,9.4,3700,0
CANBONUS,19950614,9.5,9.5,9.45,9.45,1300,0
CANBONUS,19950615,9.3,9.3,9.3,9.3,2900,0
CANBONUS,19950616,9.3,9.3,9.3,9.3,2300,0
CANBONUS,19950619,9.3,9.3,8.95,9,8700,0
CANBONUS,19950620,9.25,9.25,9.2,9.25,1300,0
CANBONUS,19950621,9.1,9.1,9.1,9.1,600,0
CANBONUS,19950622,9.1,9.15,9.1,9.1,2800,0
CANBONUS,19950623,9,9.25,9,9,6700,0
CANBONUS,19950626,9.4,9.4,9,9,1400,0
CANBONUS,19950627,8.95,9.2,8.95,8.95,4100,0
CANBONUS,19950628,8.85,9,8.85,9,3300,0
CANBONUS,19950629,9,9,9,9,1700,0
CANBONUS,19950630,9,9,9,9,500,0
CANBONUS,19950703,8.95,9,8.95,9,4500,0
CANBONUS,19950704,8.8,8.8,8.8,8.8,500,0
CANBONUS,19950705,8.7,8.7,8.55,8.7,2000,0
CANBONUS,19950706,8.7,8.7,8.7,8.7,200,0
CANBONUS,19950707,8.4,8.5,8.4,8.5,500,0
CANBONUS,19950710,8.5,8.5,8.4,8.4,1000,0
CANBONUS,19950711,8.4,8.5,8.25,8.5,4100,0
CANBONUS,19950713,8.5,8.75,8.5,8.5,1300,0
CANBONUS,19950714,8.5,8.5,8.5,8.5,900,0
CANBONUS,19950717,8.25,8.5,8.25,8.5,2000,0
CANBONUS,19950718,8.35,8.8,8.35,8.65,6000,0
CANBONUS,19950719,8.6,8.6,8.35,8.35,4000,0
CANBONUS,19950720,8.55,8.7,8.55,8.7,500,0
CANBONUS,19950721,8.4,8.85,8.4,8.7,4000,0
CANBONUS,19950724,8.7,9,8.3,8.3,5400,0
CANBONUS,19950725,8.55,8.7,8.55,8.6,1700,0
CANBONUS,19950726,8.6,8.6,8.55,8.6,2400,0
CANBONUS,19950727,8.65,8.65,8.65,8.65,700,0
CANBONUS,19950728,8.5,8.6,8.4,8.5,8800,0
CANBONUS,19950731,8.4,8.5,8.4,8.5,800,0
CANBONUS,19950801,8.5,8.75,8.5,8.7,3600,0
CANBONUS,19950802,8.5,8.6,8.5,8.55,1600,0
CANBONUS,19950803,8.75,8.75,8.5,8.5,1200,0
CANBONUS,19950804,7.55,8,7.55,8,2100,0
CANBONUS,19950807,8.25,8.5,8.1,8.5,2400,0
CANBONUS,19950808,8.75,8.75,8.75,8.75,1600,0
CANBONUS,19950809,8.75,9,8.7,8.95,3900,0
CANBONUS,19950811,8.9,9,8.75,8.9,3400,0
CANBONUS,19950814,8.8,8.9,8.8,8.9,500,0
CANBONUS,19950816,8.85,9.05,8.85,9,3600,0
CANBONUS,19950817,9,9.05,8.85,9.05,5000,0
CANBONUS,19950818,9.2,9.2,9.05,9.05,1300,0
CANBONUS,19950821,9,9.25,9,9.1,2400,0
CANBONUS,19950822,9,9.25,9,9.25,2500,0
CANBONUS,19950824,8.75,9,8.6,8.65,3400,0
CANBONUS,19950825,8.7,9,8.7,9,3100,0
CANBONUS,19950828,8.6,9,8.6,9,700,0
CANBONUS,19950830,8.75,8.9,8.75,8.9,1200,0
CANBONUS,19950831,8.95,8.95,8.8,8.9,2200,0
CANBONUS,19950901,8.5,9,8.5,9,3300,0
CANBONUS,19950905,8.7,8.8,8.7,8.8,1300,0
