SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CENTBOP,20051206,22.5,23,21.1,21.4,1421093,796625
CENTBOP,20051207,21.6,21.65,21.4,21.5,1369967,923893
CENTBOP,20051208,21.35,21.55,21.3,21.4,1166900,609623
CENTBOP,20051209,21.5,21.6,21.4,21.45,1556861,950389
CENTBOP,20051212,21.6,21.6,21.1,21.55,2981009,1767054
CENTBOP,20051213,21.55,21.65,21.1,21.5,1545575,891149
CENTBOP,20051214,21.05,21.65,20,21.4,2644584,1444934
CENTBOP,20051215,21.6,21.95,21.5,21.5,2401601,1229449
CENTBOP,20051216,21.5,21.6,21.15,21.45,1694225,959324
CENTBOP,20051219,21.25,21.45,21.2,21.35,882595,493864
CENTBOP,20051220,21.35,21.65,21.3,21.6,2411538,1715192
CENTBOP,20051221,21.65,22.2,21.35,21.5,1686705,1335041
CENTBOP,20051222,22,22,21.4,21.95,2227778,1545899
CENTBOP,20051223,21.5,22,21.5,21.5,1761105,831571
CENTBOP,20051226,22.1,22.1,21.05,21.3,1374156,709129
CENTBOP,20051227,21.65,21.8,21.15,21.6,1010391,646999
CENTBOP,20051228,21.5,21.85,21.3,21.35,707659,431482
CENTBOP,20051229,21.35,22,21.3,21.9,1793332,1109858
CENTBOP,20051230,21.9,21.9,21.55,21.6,1009608,565202
CENTBOP,20060102,21.6,21.85,21.45,21.5,682146,456737
CENTBOP,20060103,21,21.75,20.55,21.65,997688,647221
CENTBOP,20060104,21.85,21.85,21.5,21.6,1421748,697020
CENTBOP,20060105,21.6,21.9,21.5,21.6,1531857,635569
CENTBOP,20060106,21.8,22.45,21.6,22.25,3670547,1927748
CENTBOP,20060109,22.3,22.55,22.15,22.3,1434480,795441
CENTBOP,20060110,22.5,22.55,22.1,22.15,1070623,697960
CENTBOP,20060112,22.25,22.4,21.8,22.25,1813081,1114990
CENTBOP,20060113,22.9,23.9,22.4,23.65,8967145,2935256
CENTBOP,20060116,23.5,24,23.5,23.8,2936011,0
CENTBOP,20060117,23.9,24.05,23.55,23.7,2090935,1045894
CENTBOP,20060118,23.3,23.65,23,23.5,1904858,0
CENTBOP,20060119,23.85,23.85,23.45,23.55,1328121,917148
CENTBOP,20060120,23.7,24.85,23.55,24.6,3462942,2248398
CENTBOP,20060123,25.8,25.8,23.85,24.05,2776083,1387599
CENTBOP,20060124,24.4,24.65,24.2,24.45,1584883,798283
CENTBOP,20060125,24.9,24.9,23.75,24.2,1544793,928240
CENTBOP,20060127,24.8,25,24.05,24.65,2638540,0
CENTBOP,20060130,24.9,24.95,24,24.2,995511,552628
CENTBOP,20060131,24.35,24.6,23.65,24,1146119,0
CENTBOP,20060201,23.95,24,23.55,23.65,1307773,0
CENTBOP,20060202,23.75,24,23.2,23.25,1094287,0
CENTBOP,20060203,23.5,25.4,22.9,24.55,4019555,3060925
CENTBOP,20060206,24.3,26.5,23.5,26.25,6192915,4109525
CENTBOP,20060207,26.3,27,21.5,26.85,5271926,2950286
CENTBOP,20060208,26.1,27.2,25,27,3858601,2468340
