SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CESCVENT,20190125,545,548,517.75,517.75,937399,0
CESCVENT,20190128,491.9,491.9,491.9,491.9,14281,0
CESCVENT,20190129,467.35,467.35,467.35,467.35,27484,0
CESCVENT,20190130,444,444,444,444,2487,0
CESCVENT,20190131,421.8,444,421.8,427.55,749474,0
CESCVENT,20190201,421.25,448.9,406.2,406.2,781468,0
CESCVENT,20190204,385.9,426.5,385.9,426.3,286140,0
CESCVENT,20190205,424,447.6,424,447.6,111441,0
CESCVENT,20190206,469.95,469.95,455,469.95,238114,0
CESCVENT,20190207,460.1,493.4,460,475.35,190195,0
CESCVENT,20190208,470,547.8,440,498.75,472395,229867
CESCVENT,20190211,485,516,412,441.15,418890,197889
CESCVENT,20190212,436,448.9,411.1,421.15,207442,147317
CESCVENT,20190213,425,425,405,411.45,74995,55189
CESCVENT,20190214,415,415,388,403.15,45221,31312
CESCVENT,20190215,403,409.85,397.35,402.6,36070,27890
CESCVENT,20190218,405.9,405.9,382.1,386.9,31873,21649
CESCVENT,20190219,386,433.9,386,407.15,55225,25532
CESCVENT,20190220,415,421.05,403,411.95,27037,20637
CESCVENT,20190221,423.9,444.95,412.1,428.65,57345,34501
CESCVENT,20190222,431.5,453.7,420.55,435,91953,61182
CESCVENT,20190225,430.5,463,429,455.7,276781,243583
CESCVENT,20190226,452.4,464.4,435,459.9,254458,237343
CESCVENT,20190227,478,478.8,436,470.8,83592,55447
CESCVENT,20190228,468.05,504.8,468.05,498.35,846964,707453
CESCVENT,20190301,500,527.95,495,523.2,252605,194735
CESCVENT,20190305,520.8,526.5,486.4,496.15,561043,489022
CESCVENT,20190306,492.95,517.2,492.7,500.7,169334,90615
CESCVENT,20190307,502,515,493.4,505.8,77562,55416
CESCVENT,20190308,502.05,512,496.45,503.4,101068,86909
CESCVENT,20190311,498,521.3,498,514.95,179514,161891
CESCVENT,20190312,511.5,534.8,511.5,530.4,163933,136055
CESCVENT,20190313,525.35,594,519.8,583.85,228195,91335
CESCVENT,20190314,578,648.9,571,622.5,459949,184896
CESCVENT,20190315,621,630,595,614.1,101256,56544
CESCVENT,20190318,625,625,590,622.75,73821,49471
CESCVENT,20190319,625,628,600.35,603.05,52154,39453
CESCVENT,20190320,603.05,618,595,598.65,208075,188505
CESCVENT,20190322,598,600,576.2,580.45,43393,0
CESCVENT,20190325,570.3,590.95,557.1,582.05,64296,0
CESCVENT,20190326,589,597.7,579,584.9,25619,0
CESCVENT,20190327,581.5,592.1,568.4,584.6,37528,0
CESCVENT,20190328,579,616,578.05,602.9,114483,0
CESCVENT,20190329,605,624.8,602.95,621.95,128683,0
CESCVENT,20190401,618,659,618,632.95,67319,0
CESCVENT,20190402,641.9,641.9,599,610.75,109778,0
CESCVENT,20190403,619.85,622.9,609.2,614.7,27173,0
CESCVENT,20190404,612,622,604,611,19097,0
CESCVENT,20190405,617.95,621.95,605,616.1,21305,0
CESCVENT,20190408,620.2,620.2,596.65,601.05,18829,0
CESCVENT,20190409,602,609.9,600,602.7,13881,0
CESCVENT,20190410,605.05,611.7,602.7,604.9,12439,0
CESCVENT,20190411,604.8,609.05,599,604,13593,0
CESCVENT,20190412,600.55,603.9,576.6,583.1,54639,0
CESCVENT,20190415,590,590,573.15,580.45,32627,0
CESCVENT,20190416,579,584.55,556,560.15,31968,0
CESCVENT,20190418,568.6,568.6,538.5,548,34343,0
CESCVENT,20190422,555,556.2,525,528.75,22700,0
CESCVENT,20190423,525.1,547,522,532.1,32298,0
CESCVENT,20190424,568,568,529,530.95,37238,0
CESCVENT,20190425,531.2,531.25,505,509.8,66132,0
CESCVENT,20190426,520,520,485.95,496.7,44026,0
CESCVENT,20190430,496,510.05,475,492.1,254415,0
CESCVENT,20190502,498,508.25,493.5,498.85,40559,0
CESCVENT,20190503,495.6,507.5,495.6,498.45,12824,0
CESCVENT,20190506,500,500,478.1,481.15,17849,0
CESCVENT,20190507,480,493.95,475.05,487,34863,0
CESCVENT,20190508,485.05,486,476,477.15,39928,0
CESCVENT,20190509,483.4,483.65,448.75,470.55,34542,0
CESCVENT,20190510,476,478.9,454,466.45,34813,0
CESCVENT,20190513,473.4,478,460,463.5,8911,0
CESCVENT,20190514,460,493,446.3,485.8,274942,0
CESCVENT,20190515,482.05,505,480.1,497.85,19453,0
CESCVENT,20190516,500,500,480.2,491.95,31087,0
CESCVENT,20190517,494.5,499.3,476,485.5,203584,0
CESCVENT,20190520,496.15,504.4,480,483.3,105213,0
CESCVENT,20190521,498,498,481,485.05,44954,0
CESCVENT,20190522,477,496,470.25,481.95,47812,0
CESCVENT,20190523,497.95,497.95,476.5,479.4,31610,0
CESCVENT,20190524,475.6,487.5,470,481.8,26426,0
CESCVENT,20190527,477.4,496.6,477.1,491.05,33976,0
CESCVENT,20190528,491.1,491.95,456.6,462.85,152206,0
CESCVENT,20190529,465.25,475.5,460,470.45,54320,0
CESCVENT,20190530,476,481,468.25,475,13864,0
CESCVENT,20190531,471.35,477.25,458.05,462.95,41839,0
CESCVENT,20190603,467,467,451.25,457.3,19225,0
CESCVENT,20190604,455.65,468.5,453.15,460.55,35077,0
CESCVENT,20190606,460.05,462,454.5,457.1,17911,0
CESCVENT,20190607,457.15,460.5,452.1,455.75,15700,0
CESCVENT,20190610,455.75,458.25,441,442.05,16206,0
CESCVENT,20190611,447.45,452,434,442.2,24904,0
CESCVENT,20190612,444.2,457,440.75,447.15,32327,0
CESCVENT,20190613,445,448.05,434.5,436.75,31438,0
CESCVENT,20190614,442,442,416,423.35,36054,0
CESCVENT,20190617,420,430,410.05,420.95,112487,0
CESCVENT,20190618,421,435,421,426.35,18141,0
CESCVENT,20190619,427.95,433,407.05,412.15,10761,0
CESCVENT,20190620,419.5,424.8,400,414.1,9623,0
CESCVENT,20190621,414.6,437,407.05,414.9,13289,0
CESCVENT,20190624,413,433.3,402.55,427.9,9229,0
CESCVENT,20190625,421,433.8,421,429.3,15425,0
CESCVENT,20190626,430.05,454,428,450.85,26104,0
CESCVENT,20190627,446.65,478,446.65,464.7,19083,0
CESCVENT,20190628,465.05,490,465.05,487.35,29858,0
CESCVENT,20190701,490,511,471.05,497.4,90319,0
CESCVENT,20190702,501.05,503.9,480,484.2,17285,0
CESCVENT,20190703,487.5,492,473.2,489.45,16588,0
CESCVENT,20190704,494.9,494.9,464.35,466.65,23250,0
CESCVENT,20190705,468.95,471.85,438,446.2,26284,0
CESCVENT,20190708,440,450,424,443.6,9591,0
CESCVENT,20190709,440,456,432.35,451.55,5069,0
CESCVENT,20190710,448.3,450,435.05,441.85,2043,0
CESCVENT,20190711,448.1,448.1,435,437.05,2657,0
CESCVENT,20190712,448.6,448.6,426,427.2,38201,0
CESCVENT,20190715,427.2,433,416.1,418.35,5327,0
CESCVENT,20190716,415.15,419.95,405.1,407.7,20459,0
CESCVENT,20190717,410,425.8,403,420.3,23518,0
CESCVENT,20190718,420.3,425.3,412.05,414.45,18931,0
CESCVENT,20190719,417.2,418.25,400.1,410.15,34212,0
CESCVENT,20190722,416,416,400.25,408,17717,0
CESCVENT,20190723,405.55,416.8,405.1,414.05,6639,0
CESCVENT,20190724,412.65,414.95,395,400.5,19423,0
CESCVENT,20190725,401.8,408.2,389,394.85,9616,0
CESCVENT,20190726,392.05,411.5,386,404.4,13136,0
CESCVENT,20190729,402.45,409.1,386,400.65,11243,0
CESCVENT,20190730,394.15,406.6,390,399.7,15385,0
CESCVENT,20190731,399.7,410.45,392,403.8,37608,0
CESCVENT,20190801,399.25,407,387.5,393.65,13663,0
CESCVENT,20190802,392.1,407.4,388.1,403.35,16271,0
CESCVENT,20190805,400,404.9,372.1,397.4,37642,0
CESCVENT,20190806,393.05,410.5,392.55,407.1,21575,0
CESCVENT,20190807,409.7,409.7,399.55,402.05,2386,0
CESCVENT,20190808,400.6,405,397.6,402.4,2582,0
CESCVENT,20190809,395.2,422,395.2,412.85,7763,0
CESCVENT,20190813,400.1,407.15,375.7,398.6,9870,0
CESCVENT,20190814,393.3,413,390.25,398.5,101564,0
CESCVENT,20190816,389,399.95,389,398.15,46732,0
CESCVENT,20190819,397,402,395,399.7,8925,0
CESCVENT,20190820,395.3,403.95,380.5,386.75,5793,0
CESCVENT,20190821,386,390,367.45,375.25,10747,0
CESCVENT,20190822,370,372,355,359.25,9880,0
CESCVENT,20190823,355,356.4,343,348.95,48020,0
CESCVENT,20190826,354.95,364.7,350,361.3,9161,0
CESCVENT,20190827,355,373.9,354.05,364.25,9690,0
CESCVENT,20190828,359.35,367.9,359.05,362.75,3987,0
CESCVENT,20190829,362.15,364.9,343,348.85,9038,0
CESCVENT,20190830,345,353,331,334.95,15132,0
CESCVENT,20190903,332.2,334,311,319.55,25657,0
CESCVENT,20190904,313.15,324.6,300.5,317.35,84183,0
CESCVENT,20190905,317,320,309,311.25,24307,0
CESCVENT,20190906,312,336.95,310.2,329.75,18322,0
CESCVENT,20190909,324,355.3,316,339.15,22937,0
CESCVENT,20190911,334.15,365,334.15,363.1,19605,0
CESCVENT,20190912,363.9,371.55,351,360.4,5680,0
CESCVENT,20190913,357.5,374.9,345.55,368.2,23256,0
CESCVENT,20190916,365,404,360,391.5,51225,0
CESCVENT,20190917,391.5,410.9,384.4,388.55,43019,0
CESCVENT,20190918,395,395,372.25,379.1,23559,0
CESCVENT,20190919,379.25,383.15,370,372.75,2912,0
CESCVENT,20190920,369,390,359.25,373.95,90164,0
CESCVENT,20190923,376.1,405.1,372.5,401.75,64435,0
CESCVENT,20190924,405.55,405.55,380,382,15782,0
CESCVENT,20190925,376.35,400,376.25,395.8,22106,0
CESCVENT,20190926,384,395.5,383.5,394.05,89429,0
CESCVENT,20190927,391.1,394.3,376.1,379.9,8129,0
CESCVENT,20190930,375,382.65,354.4,378.15,35081,0
CESCVENT,20191001,374,376.9,356,359,6534,0
CESCVENT,20191003,355,370.2,344.4,348.8,8471,0
CESCVENT,20191004,352.45,362.45,339.3,341.85,5583,0
CESCVENT,20191007,331,354.1,331,342.85,26799,0
CESCVENT,20191009,342.05,352.8,325.1,343.6,25430,0
CESCVENT,20191010,334.95,364.5,334.95,354.25,26351,0
CESCVENT,20191011,357.45,363,345,358.2,7269,0
CESCVENT,20191014,351.2,358.05,340.35,350.25,14877,0
CESCVENT,20191015,352.05,352.05,334,339.3,9915,0
CESCVENT,20191016,332.15,345.9,332.15,343.7,3213,0
CESCVENT,20191017,342,374.15,327,341,40477,0
CESCVENT,20191018,351,362.5,349,359.7,16256,0
CESCVENT,20191022,361.25,366.1,353.4,357.7,13266,0
CESCVENT,20191023,354,364.9,349.1,356.45,13119,0
CESCVENT,20191024,355.05,361,347.1,358.6,9805,0
CESCVENT,20191025,354.2,359.4,335,339.15,17541,0
CESCVENT,20191027,339,349.9,339,346.95,1272,0
CESCVENT,20191029,347,347,335.15,337.8,14286,0
CESCVENT,20191030,338.05,339.25,327.15,328.6,8635,0
CESCVENT,20191031,329.2,349,314,344.75,27430,0
CESCVENT,20191101,344,352,341.6,347.85,17381,0
CESCVENT,20191104,347.85,355.7,341.55,344.6,9459,0
CESCVENT,20191105,341.2,350.05,334.55,346.9,35727,0
CESCVENT,20191106,344.05,352.95,332.05,338.3,22465,0
CESCVENT,20191107,338.65,352.7,330.6,342.75,8765,0
CESCVENT,20191108,340.15,343.9,333.15,338.2,11247,0
CESCVENT,20191111,340.05,349,340,341.7,15055,0
CESCVENT,20191113,338.55,339,331,333.1,5059,0
CESCVENT,20191114,335,335.55,302.1,306.7,76696,0
CESCVENT,20191115,304.75,313.75,300.6,307.2,16950,0
CESCVENT,20191118,310,324,295,311.3,21477,0
CESCVENT,20191119,306.8,308,302,304.1,11989,0
CESCVENT,20191120,302,317,296,313.75,18721,0
CESCVENT,20191121,312.6,312.6,298.4,306.35,13771,0
CESCVENT,20191122,303,309.85,301.25,305.25,6204,0
CESCVENT,20191125,305.25,309.8,300.25,306.4,13072,0
CESCVENT,20191126,305,308.6,301.1,303.45,13649,0
CESCVENT,20191127,305.05,311.55,300.45,303.35,15924,0
CESCVENT,20191128,309,309,301.1,303.95,7826,0
CESCVENT,20191129,302.15,315.2,300.2,309.2,22093,0
CESCVENT,20191202,310.9,315.45,301,304.5,11675,0
CESCVENT,20191203,304,305.75,297.15,302.25,13942,0
CESCVENT,20191204,302,302,296,298.4,7323,0
CESCVENT,20191205,298.95,299.9,285.5,291.95,14650,0
CESCVENT,20191206,291,299.8,275,293.3,27206,0
CESCVENT,20191209,283.2,290.9,279,287.25,23841,0
CESCVENT,20191210,281.7,289,281.1,285.55,9579,0
CESCVENT,20191211,281.5,284.9,274.2,279.95,17456,0
CESCVENT,20191212,273.1,299.8,273.1,289.75,25540,0
CESCVENT,20191213,287,313.8,287,305.9,12578,0
CESCVENT,20191216,293.65,307.3,293.65,302.4,6654,0
CESCVENT,20191217,297.5,305.65,296.7,301.3,5103,0
CESCVENT,20191218,296.2,302.8,291,293.6,7872,0
CESCVENT,20191219,291.5,299,290,296.8,5236,0
CESCVENT,20191220,297,298.75,291.35,294.7,3538,0
CESCVENT,20191223,290,300.85,290,298.75,8520,0
CESCVENT,20191224,295.05,300.85,293,297.85,7031,0
CESCVENT,20191226,299.95,312.8,294,301.4,40560,0
CESCVENT,20191227,306,312.05,296.05,310.05,12358,0
CESCVENT,20191230,309,311.8,304,307.65,6579,0
CESCVENT,20191231,303.3,324.9,303.3,317.5,16188,0
CESCVENT,20200101,317.5,328.5,315,327.75,6660,0
CESCVENT,20200102,316.05,332,316.05,328.65,8678,0
CESCVENT,20200103,329.85,331.75,318,329.75,8505,0
CESCVENT,20200106,320,320,313,316.15,6172,0
CESCVENT,20200107,317.95,324.5,316.35,322.7,9811,0
CESCVENT,20200108,322,331.5,316.6,329.35,5010,0
CESCVENT,20200109,327,349,326.9,339.15,14929,0
CESCVENT,20200110,332,349.5,319.4,323.1,34489,0
CESCVENT,20200113,323.1,350,321,329,25117,0
CESCVENT,20200114,332.35,389.95,322.5,343.9,238014,0
CESCVENT,20200115,350,364.4,338,346.1,50541,0
CESCVENT,20200116,346.2,351,337,340.45,13088,0
CESCVENT,20200117,338,349.5,336.05,340.6,41092,0
CESCVENT,20200120,346.8,359.5,337.9,348.05,14868,0
CESCVENT,20200121,352.9,376,344.95,360.15,98432,0
CESCVENT,20200122,361.9,378.9,355.65,359.5,53566,0
CESCVENT,20200123,360.5,366,358.5,361.6,8622,0
CESCVENT,20200124,356.5,365,351,352.65,11053,0
CESCVENT,20200127,351,357,346.05,349.65,10659,0
CESCVENT,20200128,346.2,353.7,326.1,331.7,13747,0
CESCVENT,20200129,336.9,340.1,331.05,334.45,10396,0
CESCVENT,20200130,332.55,347.85,324.65,339.5,13396,0
CESCVENT,20200131,338.05,347.5,328.65,341.1,13109,0
CESCVENT,20200201,348,348,312.5,320.45,14546,0
CESCVENT,20200203,313.2,320.1,311,313.95,8305,0
CESCVENT,20200204,314.6,326.95,313.95,322,10491,0
CESCVENT,20200205,328.9,328.9,316.95,319.15,6785,0
CESCVENT,20200206,321,325.75,315.45,322.05,12876,0
CESCVENT,20200207,334.95,338,326,332.65,15517,0
CESCVENT,20200210,333,385.5,332.1,338.25,381349,0
CESCVENT,20200211,340,344.85,326.15,335.1,76997,0
CESCVENT,20200212,336.7,336.7,321.5,322.8,28730,0
CESCVENT,20200213,322.8,323,303.5,304.85,85194,0
CESCVENT,20200214,304.8,309.05,301,306.1,43733,0
CESCVENT,20200217,305,306.1,301,301.3,7661,0
CESCVENT,20200218,300,301,287,296.55,19675,0
CESCVENT,20200219,305,305,287.7,293.85,63677,0
CESCVENT,20200220,297.65,298.3,280.5,294.85,65750,0
CESCVENT,20200224,294.85,295.05,285,293.2,22727,0
CESCVENT,20200225,290.55,295.5,286,289,11739,0
CESCVENT,20200226,294,298,283.2,292.95,38812,0
CESCVENT,20200227,295,295,280,285.55,19414,0
CESCVENT,20200228,280,280,272,274.6,25215,0
CESCVENT,20200302,288,288,270,275.4,42090,0
CESCVENT,20200303,271.5,289.95,257.1,275.95,70278,0
CESCVENT,20200304,274.25,281,251.2,268.75,23208,0
CESCVENT,20200305,268,274,257,259.6,15036,0
CESCVENT,20200306,250,254.75,220,244.9,67547,0
CESCVENT,20200309,230.2,239,208,212.65,57908,0
CESCVENT,20200311,212.9,215.8,195.1,201.55,24166,0
CESCVENT,20200312,195,195,161.25,166.4,99305,0
CESCVENT,20200313,149.8,183,149.8,180.45,35329,0
CESCVENT,20200316,195,195,163.15,170.25,36437,0
CESCVENT,20200317,170,180,169.3,173.8,33761,0
CESCVENT,20200318,171.05,191.15,158.5,162.8,31220,0
CESCVENT,20200319,162.8,166.55,146.55,155.6,32316,0
CESCVENT,20200320,147.05,162,142.15,144.9,27270,0
CESCVENT,20200323,130.45,138.9,130.45,130.45,4212,0
CESCVENT,20200324,121.05,129,117.45,117.45,10348,0
CESCVENT,20200325,111.6,123.3,111.6,115.3,31150,0
CESCVENT,20200326,121.05,121.05,118,121.05,15605,0
CESCVENT,20200327,127,127.1,115.1,117.7,19612,0
CESCVENT,20200330,116,118.25,111.85,112.4,27771,0
CESCVENT,20200331,117.7,118,109,117.95,11788,0
CESCVENT,20200401,122.95,123.7,115,118.4,15565,0
CESCVENT,20200403,123,123,116.4,119.05,9393,0
CESCVENT,20200407,125,125,119.1,125,21982,0
CESCVENT,20200408,130.4,131.25,127.5,128.25,16577,0
CESCVENT,20200409,128.8,134.55,128.5,133.2,21279,0
CESCVENT,20200413,130.5,139.85,130.5,139.3,37622,0
CESCVENT,20200415,139.15,146.25,136,145.45,17199,0
CESCVENT,20200416,150,151.95,140.2,141.6,30641,0
CESCVENT,20200417,146,148.65,141.6,148.65,30728,0
CESCVENT,20200420,150.95,156.05,150.1,155.15,62441,0
CESCVENT,20200421,149.15,156,147.4,147.4,7963,0
CESCVENT,20200422,148,148,140.05,142.5,25455,0
CESCVENT,20200423,146,147.5,135.4,138.1,26609,0
CESCVENT,20200424,140,140,133.1,133.8,10067,0
CESCVENT,20200427,130.35,139.4,130.35,136.4,29307,0
CESCVENT,20200428,136.35,138.95,135.4,137.2,10774,0
CESCVENT,20200429,137.35,140.9,132.7,134.25,18711,0
CESCVENT,20200430,137.6,139.9,132.15,135.45,20636,0
CESCVENT,20200504,133,133,129.05,130.4,13158,0
CESCVENT,20200505,136.9,136.9,130.1,134.55,4757,0
CESCVENT,20200506,132.2,138.15,129.35,130.65,12933,0
CESCVENT,20200507,134.25,134.25,128.2,130.25,14068,0
CESCVENT,20200508,126,134.7,126,128.05,7252,0
CESCVENT,20200511,129.8,131,121.75,123.8,19345,0
CESCVENT,20200512,124.65,124.65,117.65,120.95,15982,0
CESCVENT,20200513,126.95,126.95,121,122.95,13726,0
CESCVENT,20200514,120.55,123.95,118.05,119.15,10199,0
CESCVENT,20200515,117,122.45,117,120.45,25575,0
CESCVENT,20200518,120.2,122.65,115.1,116.25,16756,0
CESCVENT,20200519,118.9,122.05,117,122.05,17494,0
CESCVENT,20200520,125,127,118.5,119.9,16933,0
CESCVENT,20200521,122.6,124.35,116.45,118.85,22829,0
CESCVENT,20200522,119.1,124.05,119.1,123.15,35289,0
CESCVENT,20200526,127,127,119,121.3,16871,0
CESCVENT,20200527,122.75,123.65,120.2,121.9,40255,0
CESCVENT,20200528,122.9,126.35,122.9,124.9,24724,0
CESCVENT,20200529,124,130.85,119.15,129.6,38137,0
CESCVENT,20200601,129.6,136.05,129.6,136.05,19547,0
CESCVENT,20200602,142.85,142.85,139.9,142.85,59061,0
CESCVENT,20200603,149.95,149.95,149.95,149.95,10525,0
CESCVENT,20200604,156,157.4,147.85,156.2,130886,0
CESCVENT,20200605,162,171.8,152.55,171.8,36871,0
CESCVENT,20200608,188.95,188.95,188.9,188.95,30558,0
CESCVENT,20200609,207,207.8,188,191.35,80339,0
CESCVENT,20200610,197,198.8,177.6,184,89931,0
CESCVENT,20200611,179,195,170.05,174.8,31671,0
CESCVENT,20200612,160.3,172.05,160.3,168.5,51309,0
CESCVENT,20200615,168.5,175,167,169.1,15884,0
CESCVENT,20200616,172.35,175.85,162.2,165.6,18948,0
CESCVENT,20200617,164.95,170,162.1,164.95,19575,0
CESCVENT,20200618,167.5,173.8,163.7,166.85,28776,0
CESCVENT,20200619,173.95,174.95,164.45,165.8,33651,0
CESCVENT,20200622,167.6,171.7,163.65,166.25,112696,0
CESCVENT,20200623,167.5,170,166.1,167.85,54650,0
CESCVENT,20200624,171.75,172.05,167,168.25,57881,0
CESCVENT,20200625,168,170.35,165.6,168.9,30577,0
CESCVENT,20200626,170,182.9,168.35,171.85,332009,0
CESCVENT,20200629,176,189,176,189,668465,0
CESCVENT,20200630,197,197.4,176,178.6,202731,0
CESCVENT,20200701,181.5,183,174.15,179.4,69305,0
CESCVENT,20200702,182.75,182.75,174.55,175.9,43240,0
CESCVENT,20200703,175,178.95,171.15,173.2,45230,0
CESCVENT,20200706,173.9,176.75,171.1,172.45,44364,0
CESCVENT,20200707,173.25,173.95,168.95,170.75,40777,0
CESCVENT,20200708,171.8,182.7,169.1,175.5,71801,0
CESCVENT,20200709,176.9,177.55,169.15,170.55,45421,0
CESCVENT,20200710,174.75,177.8,169.5,169.95,145005,0
CESCVENT,20200714,169.9,169.9,165.1,166.5,18852,0
CESCVENT,20200715,165.05,171.75,165.05,168.5,126475,0
CESCVENT,20200716,169,169.55,165.5,166.65,25373,0
CESCVENT,20200717,166.95,183.3,166,182.85,330156,0
CESCVENT,20200720,183.5,189,180,182.25,104165,0
CESCVENT,20200721,181.95,186.45,172.5,174.35,82925,0
CESCVENT,20200722,175.4,180,171.05,174.55,59253,0
CESCVENT,20200723,173.75,184,173.15,181.4,92535,0
CESCVENT,20200724,181.4,185,175.1,176.7,55733,0
CESCVENT,20200727,179.6,179.6,170.35,171.55,43249,0
CESCVENT,20200728,172.4,174.1,167.9,170.1,33439,0
CESCVENT,20200729,171.95,175.4,171.95,173.55,21123,0
CESCVENT,20200730,175,175.55,166.55,168.75,35020,0
CESCVENT,20200731,170.45,172.95,165.95,167.5,63590,0
CESCVENT,20200803,167.5,178.35,167.5,176.4,50660,0
CESCVENT,20200804,179.8,186,177.05,180.35,145946,0
CESCVENT,20200805,182.45,186.8,180.05,181.85,81249,0
CESCVENT,20200806,182,186.5,180.8,185,129457,0
CESCVENT,20200807,188.5,212.4,185.55,199.95,515926,0
CESCVENT,20200810,204.9,214,203,207.55,180924,0
CESCVENT,20200811,211.2,224.4,209.1,219.05,320993,0
CESCVENT,20200812,218,223.9,213.1,215.4,135383,0
CESCVENT,20200813,218.05,221.25,211.35,213.5,71120,0
CESCVENT,20200814,215.1,232.9,215,219.9,642630,0
CESCVENT,20200817,221,239.85,220.5,231.85,613249,0
CESCVENT,20200818,232.5,238.1,231.15,233.65,110358,0
CESCVENT,20200819,234.9,242,230.45,232.3,134959,0
CESCVENT,20200820,230.85,236.9,228,230.45,72510,0
CESCVENT,20200821,232.65,249,230.5,245.9,257750,0
CESCVENT,20200824,248.95,259,242.9,255.6,293833,0
CESCVENT,20200825,275,294.9,274,283.25,1291001,0
CESCVENT,20200826,286,286.7,272.5,278.65,212297,0
CESCVENT,20200827,281.5,285.8,276,276.85,108388,0
CESCVENT,20200828,280,283.95,262,265.3,163589,0
CESCVENT,20200831,266.3,271.35,234.65,242.45,247814,0
CESCVENT,20200901,249.85,249.85,232.5,238.5,69833,0
CESCVENT,20200902,242.5,252.95,242.5,248.6,56473,0
CESCVENT,20200903,248.6,260.45,245,251.7,73835,0
CESCVENT,20200904,235.15,246.55,235.15,243.4,61120,0
CESCVENT,20200907,242.25,247.6,237.1,239.05,44339,0
CESCVENT,20200908,238.95,246.8,235,236.9,71567,0
CESCVENT,20200909,236,249,232,235.95,216681,0
CESCVENT,20200910,243,243,232.55,234.85,85756,0
CESCVENT,20200911,232,236.6,230,233.95,42065,0
CESCVENT,20200914,235,252.9,235,247,150341,0
CESCVENT,20200915,248.2,251.05,242.45,248.8,59032,0
CESCVENT,20200916,249.05,260,246.05,258.1,85558,0
CESCVENT,20200917,256.6,269.35,254.1,261.35,103170,0
CESCVENT,20200918,265.4,267,251,253.95,63473,0
CESCVENT,20200921,253.95,259.3,236.3,240.5,63073,0
CESCVENT,20200922,236.5,243.95,228.05,233.6,53961,0
CESCVENT,20200923,235,243.5,228.1,230.05,76261,0
CESCVENT,20200924,225,227.7,218.2,221.8,49161,0
