SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CHAMBLFERT,19941107,39,39,38.25,39,300,0
CHAMBLFERT,19941108,39.5,39.5,39,39,10200,0
CHAMBLFERT,19941109,39,39,38.5,38.5,13400,0
CHAMBLFERT,19941110,38.75,39,38,38,11200,0
CHAMBLFERT,19941111,37.5,37.5,36.5,37.25,12800,0
CHAMBLFERT,19941114,39,39,36.5,36.5,200,0
CHAMBLFERT,19941115,36,36,35,36,1400,0
CHAMBLFERT,19941116,36,37.5,35.75,36,34100,0
CHAMBLFERT,19941117,37.75,37.75,36,36.5,1800,0
CHAMBLFERT,19941121,38.5,39.25,38,38.5,19500,0
CHAMBLFERT,19941122,39,39,38.5,39,17600,0
CHAMBLFERT,19941123,38.75,39,38.75,38.75,1500,0
CHAMBLFERT,19941124,39,39,38.5,38.5,18500,0
CHAMBLFERT,19941125,39,39,38.5,38.75,18200,0
CHAMBLFERT,19941128,38,38,38,38,1000,0
CHAMBLFERT,19941129,38,38.5,38,38.25,29800,0
CHAMBLFERT,19941130,38.75,38.75,38,38.25,16200,0
CHAMBLFERT,19941201,38.5,38.5,38,38.5,1300,0
CHAMBLFERT,19941202,38.25,38.5,37.5,38,1800,0
CHAMBLFERT,19941205,36,38,36,37,4000,0
CHAMBLFERT,19941206,36,36.5,36,36.5,2000,0
CHAMBLFERT,19941207,36.5,36.5,36,36,6200,0
CHAMBLFERT,19941208,35,35,35,35,300,0
CHAMBLFERT,19941209,36.5,36.5,36,36,300,0
CHAMBLFERT,19941212,36.5,36.5,35,35,200,0
CHAMBLFERT,19941213,35.5,35.5,33.5,33.75,12500,0
CHAMBLFERT,19941214,34.25,35,34.25,35,1500,0
CHAMBLFERT,19941215,35,35,35,35,1200,0
CHAMBLFERT,19941216,35,36,34.5,35,3800,0
CHAMBLFERT,19941219,36,36.75,35.75,36.5,14200,0
CHAMBLFERT,19941220,36,36.35,35.5,35.5,12200,0
CHAMBLFERT,19941221,35.05,36.35,35,35,4300,0
CHAMBLFERT,19941222,35.25,35.7,35.25,35.25,2000,0
CHAMBLFERT,19941223,35.5,35.5,35,35.25,18500,0
CHAMBLFERT,19941226,36,36,36,36,200,0
CHAMBLFERT,19941227,36,36,35,35.75,1200,0
CHAMBLFERT,19941228,35.5,36.5,35.5,36,1700,0
CHAMBLFERT,19941229,35.7,35.8,34.5,35.2,14000,0
CHAMBLFERT,19941230,35.9,35.9,35.25,35.25,300,0
CHAMBLFERT,19950102,36,36.95,36,36.2,800,0
CHAMBLFERT,19950103,35,35.65,35,35.2,2100,0
CHAMBLFERT,19950104,35.75,35.75,35.5,35.5,600,0
CHAMBLFERT,19950105,35,35.25,34,34,3600,0
CHAMBLFERT,19950106,35,35,33.5,33.5,4300,0
CHAMBLFERT,19950109,33.25,34,33.25,34,700,0
CHAMBLFERT,19950110,35,36,30.5,30.5,2200,0
CHAMBLFERT,19950111,31,32,31,31.75,5100,0
CHAMBLFERT,19950112,32,32,31,32,1600,0
CHAMBLFERT,19950113,32,32.4,32,32.25,1300,0
CHAMBLFERT,19950116,32.25,32.4,32.25,32.4,800,0
CHAMBLFERT,19950117,32.5,34,32.5,33,26800,0
CHAMBLFERT,19950118,33,33.5,33,33.5,1600,0
CHAMBLFERT,19950119,35,35,34.35,34.55,6100,0
CHAMBLFERT,19950120,35,35,33.8,33.85,4800,0
CHAMBLFERT,19950123,33.25,34,33,33,8100,0
CHAMBLFERT,19950124,32.25,32.25,31.5,31.7,7700,0
CHAMBLFERT,19950125,32,32.5,31.75,32.3,4800,0
CHAMBLFERT,19950127,32.1,33.25,32.1,32.5,2800,0
CHAMBLFERT,19950130,32.5,33,32.25,32.9,3500,0
