SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CHEMNODRUG,19941220,510,510,510,510,50,0
CHEMNODRUG,19941223,515,515,515,515,50,0
CHEMNODRUG,19950103,540,540,540,540,100,0
CHEMNODRUG,19950105,525,525,525,525,150,0
CHEMNODRUG,19950112,485,485,485,485,100,0
CHEMNODRUG,19950116,500,500,500,500,100,0
CHEMNODRUG,19950117,506,506,506,506,100,0
CHEMNODRUG,19950118,515,515,515,515,200,0
CHEMNODRUG,19950119,525.5,527,525.5,527,250,0
CHEMNODRUG,19950120,540,540,530,532.5,200,0
CHEMNODRUG,19950123,530,530,530,530,100,0
CHEMNODRUG,19950124,519,519,519,519,50,0
CHEMNODRUG,19950125,520,520,520,520,200,0
CHEMNODRUG,19950127,515,515,515,515,100,0
CHEMNODRUG,19950130,520,520,515,515,150,0
CHEMNODRUG,19950131,515,515,513,513,250,0
CHEMNODRUG,19950201,515,525,515,525,100,0
CHEMNODRUG,19950202,520,520,515,520,300,0
CHEMNODRUG,19950203,515,520,510.05,516.5,350,0
CHEMNODRUG,19950206,515.25,515.25,515,515,200,0
CHEMNODRUG,19950207,510,510,510,510,100,0
CHEMNODRUG,19950208,510,510,505,505,150,0
CHEMNODRUG,19950210,510,516,500,516,550,0
CHEMNODRUG,19950213,490,490,490,490,50,0
CHEMNODRUG,19950214,475,475,475,475,50,0
CHEMNODRUG,19950215,490,490,490,490,100,0
CHEMNODRUG,19950216,490,490,490,490,100,0
CHEMNODRUG,19950222,470,470,470,470,50,0
CHEMNODRUG,19950302,470,470,470,470,50,0
CHEMNODRUG,19950307,485,485,485,485,100,0
CHEMNODRUG,19950308,480,480,480,480,50,0
CHEMNODRUG,19950309,485,485,485,485,50,0
CHEMNODRUG,19950310,480,485,480,482,1700,0
CHEMNODRUG,19950313,475,475,475,475,150,0
CHEMNODRUG,19950314,475,475,475,475,150,0
CHEMNODRUG,19950315,485,485,475,475,150,0
CHEMNODRUG,19950316,470,475,470,475,200,0
CHEMNODRUG,19950320,480,480,470,475,350,0
CHEMNODRUG,19950321,480,480,425,425,250,0
CHEMNODRUG,19950322,467,467,467,467,50,0
CHEMNODRUG,19950323,475,475,470,470,200,0
CHEMNODRUG,19950324,465,465,464,464.25,350,0
CHEMNODRUG,19950330,465,465,465,465,100,0
CHEMNODRUG,19950331,450,450,450,450,150,0
CHEMNODRUG,19950403,470,470,460,460,100,0
CHEMNODRUG,19950404,465,465,465,465,100,0
CHEMNODRUG,19950407,470,470,465,467.5,200,0
CHEMNODRUG,19950410,440,440,440,440,100,0
CHEMNODRUG,19950411,410,410,410,410,100,0
CHEMNODRUG,19950412,430,430,430,430,50,0
CHEMNODRUG,19950417,465,465,460,460,150,0
CHEMNODRUG,19950418,463,475,463,475,200,0
CHEMNODRUG,19950419,455,455,440,440,100,0
CHEMNODRUG,19950420,445,445,445,445,50,0
CHEMNODRUG,19950421,440,445,440,445,250,0
CHEMNODRUG,19950424,440,440,440,440,50,0
CHEMNODRUG,19950425,440,450,440,450,150,0
CHEMNODRUG,19950426,440.5,450,440.5,450,150,0
CHEMNODRUG,19950427,450,450,440,447.5,400,0
CHEMNODRUG,19950428,435,449,435,445,550,0
CHEMNODRUG,19950502,435,440,435,440,500,0
CHEMNODRUG,19950503,420,424,400,400,200,0
CHEMNODRUG,19950504,411,425,411,425,250,0
CHEMNODRUG,19950505,421,421,421,421,100,0
CHEMNODRUG,19950508,420.5,423,419,420,400,0
CHEMNODRUG,19950509,421,421,415,415,650,0
CHEMNODRUG,19950510,410,415,410,415,250,0
CHEMNODRUG,19950512,400,405,390,400,650,0
CHEMNODRUG,19950515,397,397,395,397,250,0
CHEMNODRUG,19950516,380,380,372,373,200,0
CHEMNODRUG,19950517,390,390,390,390,100,0
CHEMNODRUG,19950518,390,390,380,380,500,0
CHEMNODRUG,19950519,389.95,389.95,387.5,387.5,300,0
CHEMNODRUG,19950522,390,390,382.5,382.5,200,0
CHEMNODRUG,19950523,390,390,390,390,100,0
CHEMNODRUG,19950524,405,405,390,390,300,0
CHEMNODRUG,19950525,390,395,385,395,200,0
CHEMNODRUG,19950526,394,400,394,400,200,0
CHEMNODRUG,19950529,395,400,395,400,150,0
CHEMNODRUG,19950530,397,397,390,390,150,0
CHEMNODRUG,19950531,395,395,395,395,150,0
CHEMNODRUG,19950601,390,390,389.95,390,350,0
CHEMNODRUG,19950602,391.5,395,390,395,450,0
CHEMNODRUG,19950605,380,380,380,380,100,0
CHEMNODRUG,19950606,390.5,390.5,382.5,382.5,500,0
CHEMNODRUG,19950607,383.5,383.5,380,382.5,1450,0
CHEMNODRUG,19950608,380,382.5,380,380,450,0
CHEMNODRUG,19950613,370,380,370,380,750,0
CHEMNODRUG,19950614,380,380,374,374,750,0
CHEMNODRUG,19950615,370,377,370,375,600,0
CHEMNODRUG,19950619,376,376,375,375.5,250,0
CHEMNODRUG,19950620,370,370,370,370,100,0
CHEMNODRUG,19950621,372,377,372,376.35,450,0
CHEMNODRUG,19950622,370,375,370,370,250,0
CHEMNODRUG,19950626,365,365,365,365,50,0
CHEMNODRUG,19950627,364,364,364,364,100,0
CHEMNODRUG,19950706,328,328,322.5,323.85,200,0
CHEMNODRUG,19950707,325,325,325,325,100,0
CHEMNODRUG,19950710,330,330,330,330,300,0
CHEMNODRUG,19950718,335,335,335,335,100,0
CHEMNODRUG,19950719,335,335,331,331,100,0
CHEMNODRUG,19950720,335.5,336,335.5,336,100,0
CHEMNODRUG,19950724,344,345,344,345,150,0
CHEMNODRUG,19950725,344,344.5,344,344,200,0
CHEMNODRUG,19950726,350,350,350,350,50,0
CHEMNODRUG,19950727,349,349,348,348,150,0
CHEMNODRUG,19950728,344.75,349,344.75,349,200,0
CHEMNODRUG,19950731,341,343,341,343,150,0
CHEMNODRUG,19950801,330,330,330,330,50,0
CHEMNODRUG,19950807,330,330,330,330,150,0
CHEMNODRUG,19950808,330,330,330,330,200,0
CHEMNODRUG,19950809,335,335,335,335,100,0
CHEMNODRUG,19950811,330,334,330,334,100,0
CHEMNODRUG,19950814,330,330,330,330,50,0
CHEMNODRUG,19950817,327,327,327,327,50,0
CHEMNODRUG,19950821,330,330,330,330,50,0
CHEMNODRUG,19950822,300,300,300,300,50,0
CHEMNODRUG,19950824,305,305,300,302.5,100,0
CHEMNODRUG,19950825,310,310,310,310,150,0
CHEMNODRUG,19950830,310,310,310,310,150,0
CHEMNODRUG,19950831,305,305,305,305,100,0
CHEMNODRUG,19950901,305,305,305,305,150,0
CHEMNODRUG,19950905,290,290,285,285,150,0
CHEMNODRUG,19950906,290,290,285,285,300,0
CHEMNODRUG,19950907,287,287,287,287,100,0
CHEMNODRUG,19950908,285,287,285,287,250,0
CHEMNODRUG,19950911,285,285,285,285,50,0
CHEMNODRUG,19950912,285,290,285,285,300,0
CHEMNODRUG,19950913,257,285,257,285,200,0
CHEMNODRUG,19950914,279,280,279,280,150,0
CHEMNODRUG,19950915,280,280,280,280,50,0
CHEMNODRUG,19950918,255,271,253.5,271,300,0
CHEMNODRUG,19950919,270,275,270,275,200,0
CHEMNODRUG,19950920,195,200,195,200,800,0
CHEMNODRUG,19950921,205.85,206,205,206,350,0
CHEMNODRUG,19950925,188.5,200,188.5,200,200,0
CHEMNODRUG,19950926,200,204.95,200,200,450,0
CHEMNODRUG,19950927,200,200,200,200,50,0
CHEMNODRUG,19950928,200,200,200,200,50,0
CHEMNODRUG,19950929,197.5,201,197.5,201,450,0
CHEMNODRUG,19951004,197.05,197.05,197,197,150,0
CHEMNODRUG,19951005,197,202.9,199.95,201,1300,0
CHEMNODRUG,19951006,202,202,202,202,150,0
CHEMNODRUG,19951009,200.05,200.05,200.05,200.05,100,0
CHEMNODRUG,19951010,199.5,205,195,205,400,0
CHEMNODRUG,19951011,205,205,200,201.7,1000,0
CHEMNODRUG,19951012,202,202.05,201,202.05,450,0
CHEMNODRUG,19951016,213,213,213,213,100,0
CHEMNODRUG,19951017,213,213,212,212,300,0
CHEMNODRUG,19951018,212,212,200,210,300,0
CHEMNODRUG,19951019,214,214,214,214,150,0
CHEMNODRUG,19951020,213.95,214,213.95,214,150,0
CHEMNODRUG,19951024,239,239,239,239,50,0
CHEMNODRUG,19951027,215,215,215,215,50,0
CHEMNODRUG,19951031,220,220,220,220,50,0
CHEMNODRUG,19951101,224,224,224,224,100,0
CHEMNODRUG,19951102,220,220,220,220,100,0
CHEMNODRUG,19951106,210,213,210,213,150,0
CHEMNODRUG,19951107,205,207.9,205,206.95,200,0
CHEMNODRUG,19951108,204,205,204,205,450,0
CHEMNODRUG,19951109,205,205,202,202,400,0
CHEMNODRUG,19951113,191,198,190,198,150,0
CHEMNODRUG,19951114,185,185,185,185,50,0
CHEMNODRUG,19951115,183,185,183,185,100,0
CHEMNODRUG,19951117,170,182.95,169.95,170,1000,0
CHEMNODRUG,19951120,170,170,170,170,100,0
CHEMNODRUG,19951121,166,166,165,165,150,0
CHEMNODRUG,19951122,165,154,153,153,150,0
CHEMNODRUG,19951123,153,143,140.15,140.15,150,0
CHEMNODRUG,19951124,140,140,132.05,132.05,200,0
CHEMNODRUG,19951127,137,145,137,145,250,0
CHEMNODRUG,19951128,140,140,138,139.95,600,0
CHEMNODRUG,19951129,140,141,138,139.5,300,0
CHEMNODRUG,19951130,140,140,136.5,136.5,250,0
CHEMNODRUG,19951201,138.5,140,138.5,140,300,0
CHEMNODRUG,19951204,137,137,135,135,200,0
CHEMNODRUG,19951205,136,141,135,141,450,0
CHEMNODRUG,19951206,137,137,136,136,200,0
CHEMNODRUG,19951207,137,140,137,139.4,550,0
CHEMNODRUG,19951208,141,141,141,141,100,0
CHEMNODRUG,19951211,139,139,135,139,200,0
CHEMNODRUG,19951212,139,140,136,138,600,0
CHEMNODRUG,19951213,138.5,138.5,138,138,250,0
CHEMNODRUG,19951214,138,138,137,137.8,450,0
CHEMNODRUG,19951215,137,138,136,137,500,0
CHEMNODRUG,19951219,135,138,131,131,450,0
CHEMNODRUG,19951220,130.5,137,130.5,137,350,0
CHEMNODRUG,19951221,134.1,137.4,133,133,850,0
CHEMNODRUG,19951222,136,136,130,130,150,0
CHEMNODRUG,19951226,135,135,132,132,700,0
CHEMNODRUG,19951227,132,135,132,135,5200,0
CHEMNODRUG,19951228,131,135,131,135,900,0
CHEMNODRUG,19951229,135,135,134.25,134.25,1200,0
CHEMNODRUG,19960101,135,135,135,135,50,0
CHEMNODRUG,19960102,135,134,132,132,400,0
CHEMNODRUG,19960103,130,132,129,132,250,0
CHEMNODRUG,19960104,131,132,131,131,750,0
CHEMNODRUG,19960105,131,130,127,127,200,0
CHEMNODRUG,19960108,128,128,126,126,300,0
CHEMNODRUG,19960109,126,126,125,125,250,0
CHEMNODRUG,19960110,122,123,122,122.5,650,0
CHEMNODRUG,19960111,122,126,122,124.5,550,0
CHEMNODRUG,19960112,125,132,125,128,400,0
CHEMNODRUG,19960115,126,126.5,125.2,126.5,150,0
CHEMNODRUG,19960116,122,122,121,121,600,0
CHEMNODRUG,19960117,124,124,118,118,900,0
CHEMNODRUG,19960118,118,114,112,112,350,0
CHEMNODRUG,19960119,110.5,111.5,109,110.25,350,0
CHEMNODRUG,19960122,109.95,109.95,109.95,109.95,50,0
CHEMNODRUG,19960123,105,105,100,100.25,500,0
CHEMNODRUG,19960124,100.25,99,90,95,650,0
CHEMNODRUG,19960125,93,96,92.05,96,1150,0
CHEMNODRUG,19960129,93,97.5,93,95,1050,0
CHEMNODRUG,19960130,95,100,97,100,250,0
CHEMNODRUG,19960131,100,100,100,100,500,0
CHEMNODRUG,19960201,100,106,100,106,800,0
CHEMNODRUG,19960202,108.5,108.5,100,108,800,0
CHEMNODRUG,19960205,113,113,110,112,900,0
CHEMNODRUG,19960206,112,112,103.25,103.25,2150,0
CHEMNODRUG,19960207,104.9,105,104.05,104.05,850,0
CHEMNODRUG,19960208,106,106,103,103.85,900,0
CHEMNODRUG,19960209,107,113,107,110,750,0
CHEMNODRUG,19960212,112.25,121,111.5,121,5300,0
CHEMNODRUG,19960213,116,118,111,113.95,6500,0
CHEMNODRUG,19960214,113.95,121.5,117,119,6300,0
CHEMNODRUG,19960215,119,130.5,120,130.5,4450,0
CHEMNODRUG,19960216,130,135,130,134.15,2850,0
CHEMNODRUG,19960219,130,145,130,141.35,2400,0
CHEMNODRUG,19960220,141.35,145.9,139.05,139.9,3650,0
CHEMNODRUG,19960222,139.9,146,140,142,1350,0
CHEMNODRUG,19960223,142,145,140,140,1750,0
CHEMNODRUG,19960226,140,140,136.15,137,2450,0
CHEMNODRUG,19960227,137,142,130,134,950,0
CHEMNODRUG,19960228,130,130,130,130,300,0
CHEMNODRUG,19960229,128,128,121.05,121.05,150,0
CHEMNODRUG,19960301,120,121.5,120,120,550,0
CHEMNODRUG,19960304,119,121,115.75,118.85,700,0
CHEMNODRUG,19960306,123,125,123,125,300,0
CHEMNODRUG,19960307,121.5,125.95,121.5,125,1800,0
CHEMNODRUG,19960308,125,126,123,124.05,2600,0
CHEMNODRUG,19960311,123.1,123.1,119.25,119.25,350,0
CHEMNODRUG,19960312,115.1,120,115,117.3,900,0
CHEMNODRUG,19960313,119,119,119,119,100,0
CHEMNODRUG,19960314,121.6,125,121.6,124.4,750,0
CHEMNODRUG,19960315,126,126,121,121,3950,0
CHEMNODRUG,19960318,120,123.25,120,122.3,2200,0
CHEMNODRUG,19960319,119.5,126.45,119.5,125.1,4950,0
CHEMNODRUG,19960321,125,131,125,131,1350,0
CHEMNODRUG,19960322,131,131,130,130.7,1850,0
