SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CHEMPLASTS,20210824,550,550,510,535.6,14253757,0
CHEMPLASTS,20210825,533.2,539.5,521.6,527.7,1755654,0
CHEMPLASTS,20210826,537,543,528.9,535.35,1246235,0
CHEMPLASTS,20210827,530.25,545,530.25,543.1,2158412,0
CHEMPLASTS,20210830,541,580.9,535.45,569,3787288,0
CHEMPLASTS,20210831,564,616.85,564,576.15,2850914,0
CHEMPLASTS,20210901,582,611,576,600.15,1671131,0
CHEMPLASTS,20210902,604.5,621.45,599,614.8,2092554,0
CHEMPLASTS,20210903,617.7,618.5,590,606.95,810355,0
CHEMPLASTS,20210906,603.25,609.95,581.5,584.4,380937,0
CHEMPLASTS,20210907,583.3,603.85,556.25,582.55,1299310,0
CHEMPLASTS,20210908,586,592.45,571.1,578.45,471547,0
CHEMPLASTS,20210909,578,584.15,571.55,577.05,425608,0
CHEMPLASTS,20210913,576,584.65,558,560.85,485625,0
CHEMPLASTS,20210914,569.85,574.2,555,558,495418,0
CHEMPLASTS,20210915,558,591.4,558,571.6,633790,0
CHEMPLASTS,20210916,576.9,582.45,553.6,555.45,550244,0
CHEMPLASTS,20210917,550,553,533.9,542.05,1866836,0
CHEMPLASTS,20210920,539.4,566.85,531.1,536.75,1066081,0
CHEMPLASTS,20210921,540,553,532.05,546.4,887685,0
CHEMPLASTS,20210922,548,564.4,544,552.15,1506950,0
CHEMPLASTS,20210923,559.65,621.4,555.35,602.2,3502031,0
CHEMPLASTS,20210924,596.1,611.85,585.1,607.9,1205300,0
CHEMPLASTS,20210927,609,641.5,600.2,610.3,1997058,0
CHEMPLASTS,20210928,613.9,635,607.2,617.45,1003595,0
CHEMPLASTS,20210929,609,616,597.6,610.25,666830,0
CHEMPLASTS,20210930,610.25,626.9,606,612.45,773608,0
CHEMPLASTS,20211001,610.4,619,596.75,601,829902,0
CHEMPLASTS,20211004,605,684.35,605,675.15,2729456,0
CHEMPLASTS,20211005,678,732.8,676,698.2,3582316,0
CHEMPLASTS,20211006,718,743.15,705.05,716.75,3839813,0
CHEMPLASTS,20211007,730,749.8,716.75,743.7,1381841,0
CHEMPLASTS,20211008,752.8,810,751.1,801.75,3103236,0
CHEMPLASTS,20211011,804.95,826,766.15,775.1,1212750,0
CHEMPLASTS,20211012,770.9,798.2,755,771.1,568093,0
CHEMPLASTS,20211013,765,795,746,764.55,899091,0
CHEMPLASTS,20211014,788,794,749,763.55,719597,0
CHEMPLASTS,20211018,765.5,810,765.2,802.5,952441,0
CHEMPLASTS,20211019,811,817.25,756.6,777.9,479369,0
CHEMPLASTS,20211020,775,775,656.6,689.8,1321018,0
CHEMPLASTS,20211021,700,715.35,671,675.95,453398,0
CHEMPLASTS,20211022,671.3,708,671.3,677.05,382729,0
CHEMPLASTS,20211025,681.5,698,650.1,661.4,357113,0
CHEMPLASTS,20211026,660.15,704.45,660.15,683.65,926345,0
CHEMPLASTS,20211027,690,722.05,686,688.5,830764,0
CHEMPLASTS,20211028,688.3,703,661.7,667.1,345885,0
CHEMPLASTS,20211029,657.6,667.65,630.5,650.6,501489,0
CHEMPLASTS,20211101,715,715,642,651.75,998332,0
CHEMPLASTS,20211102,664,674.95,655.5,661.6,440474,0
CHEMPLASTS,20211103,666,668.15,657.8,660.75,308097,0
CHEMPLASTS,20211104,666.7,674,657.05,671.25,122758,0
CHEMPLASTS,20211108,670,670,653,656.55,391016,0
CHEMPLASTS,20211109,660,662.5,600.9,622.1,571610,0
CHEMPLASTS,20211110,619.55,636.95,612.8,624.9,632294,0
CHEMPLASTS,20211111,624.9,649.6,624.9,642.5,417271,0
CHEMPLASTS,20211112,648.3,657.8,643.3,653.85,339502,0
CHEMPLASTS,20211115,660.1,672.5,636.4,663,396343,0
CHEMPLASTS,20211116,664.9,672.5,648.25,653,1080626,0
CHEMPLASTS,20211117,652,657.9,638,640.7,300727,0
CHEMPLASTS,20211118,640.75,649.4,605.2,609.6,429497,0
CHEMPLASTS,20211122,612,613.4,574,579.95,869487,0
CHEMPLASTS,20211123,577.95,597.95,574,594.3,617461,0
CHEMPLASTS,20211124,596,606.65,585,599.2,478261,0
CHEMPLASTS,20211125,603,643.95,602,619.8,525375,0
CHEMPLASTS,20211126,610.05,618.9,597.1,614.65,403100,0
CHEMPLASTS,20211129,612.9,612.9,562.1,568.45,206962,0
CHEMPLASTS,20211130,569.8,594,563.1,572.6,1001223,0
CHEMPLASTS,20211201,573.9,583.95,565,570.3,197644,0
CHEMPLASTS,20211202,567.5,593.4,567.5,586.85,225886,0
CHEMPLASTS,20211203,586.85,591.4,578.1,583.9,362919,0
CHEMPLASTS,20211206,583.05,597.85,577.4,583,384199,0
CHEMPLASTS,20211207,583.25,608.15,571.5,600.55,289252,0
CHEMPLASTS,20211208,602.05,615.5,596.3,599.55,411570,0
CHEMPLASTS,20211209,597.1,602.45,588,589.95,252766,0
CHEMPLASTS,20211210,592.5,603.45,581,587.5,193043,0
CHEMPLASTS,20211213,589.95,595.5,577.85,579.6,395458,0
CHEMPLASTS,20211214,579.7,585.55,564,569.15,184755,0
CHEMPLASTS,20211215,572,572.75,554,561.65,342749,0
CHEMPLASTS,20211216,564.5,570.75,556.95,558.95,195831,0
CHEMPLASTS,20211217,558.95,562.75,534,538.4,356931,0
CHEMPLASTS,20211220,538.25,538.4,510,519.3,464351,0
CHEMPLASTS,20211221,522.5,542.95,522.5,537.55,120234,0
CHEMPLASTS,20211222,540,565.95,539.6,562.8,169964,0
CHEMPLASTS,20211223,562.8,568,545,550.7,624072,0
CHEMPLASTS,20211224,550.7,558.05,541.55,549.3,106631,0
CHEMPLASTS,20211227,538.2,549.25,523,531.65,370905,0
CHEMPLASTS,20211228,539.4,561.4,536,558.05,227869,0
CHEMPLASTS,20211229,558,582.7,553,578.3,198967,0
CHEMPLASTS,20211230,588,588,552.1,560.05,312950,0
CHEMPLASTS,20211231,558.25,565.9,550.05,552.5,82364,0
CHEMPLASTS,20220103,543.1,582.25,543.1,575.05,233520,0
CHEMPLASTS,20220104,584.8,605.95,575.1,578.8,506593,0
CHEMPLASTS,20220105,582,600,577.1,587.55,910987,0
CHEMPLASTS,20220106,581.5,618,581.5,608.15,1123155,0
CHEMPLASTS,20220107,607.9,609.75,589,593.35,384451,0
CHEMPLASTS,20220110,594,601.95,586,598.65,217729,0
CHEMPLASTS,20220111,599.9,601.85,584,588.5,175041,0
CHEMPLASTS,20220112,584,617.9,584,603.65,671738,0
CHEMPLASTS,20220113,610.7,624.05,596,599.9,433174,0
CHEMPLASTS,20220114,601,616.05,600,609.4,316531,0
CHEMPLASTS,20220117,614.2,623,604.1,605.45,369075,0
CHEMPLASTS,20220118,605,629,603.95,614.5,611536,0
CHEMPLASTS,20220119,618.95,625.25,611,619.8,319020,0
CHEMPLASTS,20220120,623.8,624,607.1,614.6,237191,0
CHEMPLASTS,20220121,610,617.05,599.1,604.45,255530,0
CHEMPLASTS,20220124,600,604.25,539,544.15,462739,0
CHEMPLASTS,20220125,543,565,524.3,549.3,141228,0
CHEMPLASTS,20220127,548,558.2,514,521.05,541419,0
CHEMPLASTS,20220128,524.6,544.05,499.2,505.25,654054,0
CHEMPLASTS,20220131,564.75,593,546.5,554.1,2021706,0
CHEMPLASTS,20220201,560,570.2,549,567.4,398719,0
CHEMPLASTS,20220202,569.9,582.65,560.25,565.35,408079,0
CHEMPLASTS,20220203,567,567.45,552.95,560.55,240642,0
CHEMPLASTS,20220204,554.5,570,554.2,558.6,242011,0
CHEMPLASTS,20220207,557,559.35,547.8,550.7,150462,0
CHEMPLASTS,20220208,553.9,560,541.3,547.6,217316,0
CHEMPLASTS,20220209,550,559.9,548.35,551.05,169028,0
CHEMPLASTS,20220210,555.4,558,535.25,542,238722,0
CHEMPLASTS,20220211,541,545.65,533.25,539.85,142442,0
CHEMPLASTS,20220214,525,529.05,492,497.55,406949,0
CHEMPLASTS,20220215,499,522,499,509.4,453972,0
CHEMPLASTS,20220216,522,531.95,513.05,516.4,353798,0
CHEMPLASTS,20220217,525.9,525.9,511.85,517.05,189784,0
CHEMPLASTS,20220218,514.45,526.7,512.05,523.15,110651,0
CHEMPLASTS,20220221,518,520.5,495.05,500.25,537362,0
CHEMPLASTS,20220222,496,496,470.5,477.05,691282,0
CHEMPLASTS,20220223,482,488.45,463.15,470.9,570742,0
CHEMPLASTS,20220224,455,462,444.25,448.95,414630,0
CHEMPLASTS,20220225,454.85,484.2,454.85,481.2,229591,0
CHEMPLASTS,20220228,476.2,479,465.1,472.05,208194,0
CHEMPLASTS,20220302,472.95,523.1,472.95,510.55,798382,0
CHEMPLASTS,20220303,522.9,558,522.9,540.35,830770,0
CHEMPLASTS,20220304,537.5,551.95,530,532.6,324573,0
CHEMPLASTS,20220307,524,545,521.4,542.65,263380,0
CHEMPLASTS,20220308,536.2,547,527.45,532.55,235380,0
CHEMPLASTS,20220309,542.5,550.95,529.2,538.2,253342,0
CHEMPLASTS,20220310,546,552.05,528.05,531.75,387112,0
CHEMPLASTS,20220311,531.75,545,524.75,534.1,272913,0
CHEMPLASTS,20220314,550,573,545.05,567.15,1456086,0
CHEMPLASTS,20220315,571,577.6,556.55,562.55,385108,0
CHEMPLASTS,20220316,566,596.9,565.1,592.65,854074,0
CHEMPLASTS,20220317,598,618.7,565.55,589.9,2304392,0
CHEMPLASTS,20220321,615,615,587,595.45,316464,0
CHEMPLASTS,20220322,598,624.9,587.4,620.1,495672,0
CHEMPLASTS,20220323,625.95,627.9,610,615.7,232943,0
CHEMPLASTS,20220324,611,634,611,622.2,304457,0
CHEMPLASTS,20220325,624.9,634,622.45,629,346440,0
CHEMPLASTS,20220328,633,636.85,615,618.1,137632,0
CHEMPLASTS,20220329,623.5,641.9,613.95,636.7,327926,0
CHEMPLASTS,20220330,638,675,635.55,669.15,522021,0
CHEMPLASTS,20220331,669.15,685,661,665.15,396662,0
CHEMPLASTS,20220401,666,677.85,645.25,650.45,219759,0
CHEMPLASTS,20220404,656.8,669.85,635.3,639.2,217087,0
CHEMPLASTS,20220405,643.2,645.5,625,635.55,297591,0
CHEMPLASTS,20220406,636,654.6,631.9,636.6,344925,0
CHEMPLASTS,20220407,639,644.8,629,633.2,128692,0
CHEMPLASTS,20220408,625.1,645.9,625.1,631.55,80361,0
CHEMPLASTS,20220411,640,640,618,621.25,102906,0
CHEMPLASTS,20220412,618,630,609,615.8,94114,0
CHEMPLASTS,20220413,615.8,646.45,615.8,640.8,627624,0
CHEMPLASTS,20220418,640.8,651.85,632,637.45,125451,0
CHEMPLASTS,20220419,635,644.4,588.1,603.1,152952,0
CHEMPLASTS,20220420,608,629,605,616.35,323787,0
CHEMPLASTS,20220421,621.8,626.05,615,617.1,67825,0
CHEMPLASTS,20220422,619,639,617.1,631.45,177630,0
CHEMPLASTS,20220425,624.2,624.95,607.5,610.25,82864,0
CHEMPLASTS,20220426,615.05,638,615.05,617.85,372830,0
CHEMPLASTS,20220427,617,617.25,599.9,611.25,79163,0
CHEMPLASTS,20220428,601.55,623.5,601.25,605.4,80979,0
CHEMPLASTS,20220429,606,608.85,591.1,594.4,141859,0
CHEMPLASTS,20220502,587,591.5,561,573.95,147901,0
CHEMPLASTS,20220504,575.25,595.4,550,553.65,139840,0
CHEMPLASTS,20220505,560,568.65,553,556.65,65597,0
CHEMPLASTS,20220506,549,559.7,534.85,552.95,100688,0
CHEMPLASTS,20220509,560,569.05,536.9,557.1,105798,0
CHEMPLASTS,20220510,552,560,514.15,518.65,182016,0
CHEMPLASTS,20220511,510,541,490.55,508.85,238508,0
CHEMPLASTS,20220512,495,501.2,475.85,483.65,172793,0
CHEMPLASTS,20220513,499,533.45,492.9,515.5,308592,0
CHEMPLASTS,20220516,516,533.4,500.75,522.55,247684,0
CHEMPLASTS,20220517,535.5,538.1,523.65,528.8,163270,0
CHEMPLASTS,20220518,538.8,538.8,518,523.1,109770,0
CHEMPLASTS,20220519,512,512.6,488,493.05,192326,0
