SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CHLORIDIND,19950102,90,90,90,90,200,0
CHLORIDIND,19950105,92,92,92,92,100,0
CHLORIDIND,19950111,97.5,97.5,97.5,97.5,100,0
CHLORIDIND,19950116,93,93,93,93,100,0
CHLORIDIND,19950119,94,94,94,94,200,0
CHLORIDIND,19950120,90,90,90,90,1000,0
CHLORIDIND,19950124,90,90,90,90,100,0
CHLORIDIND,19950131,87,87,87,87,500,0
CHLORIDIND,19950206,87,87.5,87,87,2100,0
CHLORIDIND,19950207,84,86.5,84,85.25,200,0
CHLORIDIND,19950208,85,89.7,85,89.55,700,0
CHLORIDIND,19950214,87,87,87,87,1000,0
CHLORIDIND,19950216,85,85,85,85,1000,0
CHLORIDIND,19950223,80,80,80,80,500,0
CHLORIDIND,19950224,80,80,80,80,500,0
CHLORIDIND,19950306,75.1,75.1,75.1,75.1,100,0
CHLORIDIND,19950307,75,76,74.5,74.75,1900,0
CHLORIDIND,19950308,75.05,75.05,70,70,1300,0
CHLORIDIND,19950313,70.05,70.05,70,70.05,200,0
CHLORIDIND,19950314,72.5,72.5,71,71,500,0
CHLORIDIND,19950315,74,75,74,74,900,0
CHLORIDIND,19950322,66.1,66.1,66.1,66.1,100,0
CHLORIDIND,19950327,74.8,74.8,74.8,74.8,100,0
CHLORIDIND,19950328,74,74,74,74,500,0
CHLORIDIND,19950329,74.05,74.05,74,74,200,0
CHLORIDIND,19950404,72,72,72,72,200,0
CHLORIDIND,19950407,73,73,73,73,200,0
CHLORIDIND,19950410,66.05,70.05,66.05,70.05,200,0
CHLORIDIND,19950417,73,73.2,73,73.2,600,0
CHLORIDIND,19950418,72,74,72,74,300,0
CHLORIDIND,19950419,70,70,70,70,200,0
CHLORIDIND,19950421,71.1,71.1,71.1,71.1,200,0
CHLORIDIND,19950424,68,68,67.3,67.3,400,0
CHLORIDIND,19950503,66,66,66,66,100,0
CHLORIDIND,19950504,66,66,66,66,200,0
CHLORIDIND,19950505,62.25,62.25,62.25,62.25,200,0
CHLORIDIND,19950508,62.5,62.5,62.5,62.5,100,0
CHLORIDIND,19950516,65,65,65,65,400,0
CHLORIDIND,19950529,65,65,65,65,200,0
CHLORIDIND,19950530,59,60,59,60,400,0
CHLORIDIND,19950531,66,66,66,66,100,0
CHLORIDIND,19950601,62.05,62.05,62,62,700,0
