SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CIMCOBIRLA,19950510,51,51,51,51,100,0
CIMCOBIRLA,19950512,46,47,46,47,200,0
CIMCOBIRLA,19950516,46,46,45,45.35,1200,0
CIMCOBIRLA,19950517,43,43,42.9,42.9,1100,0
CIMCOBIRLA,19950518,42.55,42.55,42.5,42.5,200,0
CIMCOBIRLA,19950519,46,46,42.95,43,2000,0
CIMCOBIRLA,19950522,44,44.75,43,43,1400,0
CIMCOBIRLA,19950523,43.25,43.25,42,43,1300,0
CIMCOBIRLA,19950524,43.5,43.5,43,43,400,0
CIMCOBIRLA,19950525,43,43,43,43,100,0
CIMCOBIRLA,19950526,44,44,42,42,400,0
CIMCOBIRLA,19950531,43,44,43,44,1000,0
CIMCOBIRLA,19950601,42.75,42.75,42.75,42.75,2200,0
CIMCOBIRLA,19950602,43,43,43,43,300,0
CIMCOBIRLA,19950605,43,44.5,43,44.5,200,0
CIMCOBIRLA,19950606,44,44,40.05,42,2300,0
CIMCOBIRLA,19950607,43,43,43,43,500,0
CIMCOBIRLA,19950609,43,44.75,43,44.2,300,0
CIMCOBIRLA,19950613,42,42,42,42,200,0
CIMCOBIRLA,19950616,40,40,40,40,200,0
CIMCOBIRLA,19950619,40.05,40.3,40,40.3,400,0
CIMCOBIRLA,19950620,40.25,42.95,40.25,41.95,700,0
CIMCOBIRLA,19950621,43.5,43.5,43.5,43.5,100,0
CIMCOBIRLA,19950622,42.5,42.5,42.5,42.5,400,0
CIMCOBIRLA,19950623,42,42.5,42,42,600,0
CIMCOBIRLA,19950626,42,42,40.95,41,700,0
CIMCOBIRLA,19950627,39.95,42,39.95,42,1200,0
CIMCOBIRLA,19950628,39.05,41,39,39.6,1900,0
CIMCOBIRLA,19950703,40.05,40.05,40.05,40.05,100,0
CIMCOBIRLA,19950704,40.05,40.25,40.05,40.25,2000,0
CIMCOBIRLA,19950705,40,40,40,40,600,0
CIMCOBIRLA,19950707,41,41,41,41,500,0
CIMCOBIRLA,19950710,41.5,41.85,41.5,41.7,400,0
CIMCOBIRLA,19950711,41.5,41.5,40,40,1200,0
CIMCOBIRLA,19950712,41.75,41.8,41.75,41.8,300,0
CIMCOBIRLA,19950713,42.95,44.5,42.25,44.5,1700,0
CIMCOBIRLA,19950714,45.95,47,45.95,46,500,0
CIMCOBIRLA,19950717,45,45.2,45,45.2,400,0
CIMCOBIRLA,19950718,45.25,45.25,45.25,45.25,300,0
CIMCOBIRLA,19950720,46,46,46,46,200,0
CIMCOBIRLA,19950721,47.25,47.5,47.25,47.5,300,0
CIMCOBIRLA,19950724,45,45,45,45,200,0
CIMCOBIRLA,19950725,46,46.5,46,46.5,200,0
CIMCOBIRLA,19950726,48,48,48,48,2100,0
CIMCOBIRLA,19950727,47,47,46,47,500,0
CIMCOBIRLA,19950728,46,46,46,46,300,0
CIMCOBIRLA,19950731,43.05,43.05,43.05,43.05,100,0
CIMCOBIRLA,19950801,43.25,44.5,43,44.5,1000,0
CIMCOBIRLA,19950802,44,45.4,44,45.4,600,0
CIMCOBIRLA,19950803,44.5,44.75,44.5,44.75,2000,0
CIMCOBIRLA,19950808,42,42,41,41,800,0
CIMCOBIRLA,19950821,40,42.5,40,41.1,1000,0
CIMCOBIRLA,19950822,41,41,41,41,600,0
CIMCOBIRLA,19950823,42.45,43,42.45,42.65,300,0
CIMCOBIRLA,19950824,39.75,39.75,39.75,39.75,100,0
CIMCOBIRLA,19950901,39,40.5,39,40.5,1000,0
CIMCOBIRLA,19950906,39.5,39.5,39.5,39.5,600,0
CIMCOBIRLA,19950908,40,42,40,42,600,0
CIMCOBIRLA,19950911,40,40.1,40,40,300,0
CIMCOBIRLA,19950912,40.1,40.1,40.1,40.1,100,0
CIMCOBIRLA,19950913,40,40,40,40,500,0
CIMCOBIRLA,19950915,40.5,40.5,40.5,40.5,200,0
CIMCOBIRLA,19950918,40,40.3,40,40.3,2600,0
CIMCOBIRLA,19950919,39.75,39.9,39.75,39.85,1500,0
CIMCOBIRLA,19950922,36.5,36.5,36.5,36.5,100,0
CIMCOBIRLA,19950926,38.5,38.7,38.5,38.7,300,0
CIMCOBIRLA,19950927,41.75,41.8,41.75,41.8,200,0
CIMCOBIRLA,19950928,41,44.9,41,44.9,900,0
CIMCOBIRLA,19950929,40.85,42,40.85,42,600,0
CIMCOBIRLA,19951004,41.5,41.5,41,41.15,500,0
CIMCOBIRLA,19951005,41.15,44.3,42.25,44.3,200,0
CIMCOBIRLA,19951006,44.3,42,42,42,1000,0
CIMCOBIRLA,19951009,42,42.9,42,42.9,2300,0
CIMCOBIRLA,19951010,42,42.5,41.5,41.5,600,0
CIMCOBIRLA,19951011,41.5,42,40.75,40.75,600,0
CIMCOBIRLA,19951016,40.75,41,40.3,40.65,800,0
CIMCOBIRLA,19951017,44.75,44.75,39.75,39.75,1600,0
CIMCOBIRLA,19951018,40,40,40,40,300,0
CIMCOBIRLA,19951019,39,39,38.25,38.25,1100,0
CIMCOBIRLA,19951020,41,41,36.25,36.25,1500,0
CIMCOBIRLA,19951030,36.25,36.25,36.25,36.25,200,0
CIMCOBIRLA,19951101,36,36,36,36,100,0
CIMCOBIRLA,19951102,35,35,34,34,500,0
CIMCOBIRLA,19951103,33.25,36,33.25,36,400,0
CIMCOBIRLA,19951106,36,34.95,34.05,34.05,200,0
CIMCOBIRLA,19951108,34.05,32.25,31,32.25,1000,0
CIMCOBIRLA,19951109,32.25,33,31,31,2100,0
CIMCOBIRLA,19951110,32,32,32,32,500,0
CIMCOBIRLA,19951113,32,32,31.95,31.95,300,0
CIMCOBIRLA,19951114,29.5,31,29.5,29.55,700,0
CIMCOBIRLA,19951115,29.55,30.25,29.5,29.5,600,0
CIMCOBIRLA,19951116,30,30,30,30,300,0
CIMCOBIRLA,19951117,30,30,30,30,600,0
CIMCOBIRLA,19951120,30,30,29,30,900,0
CIMCOBIRLA,19951121,27,29.5,26.75,26.75,2200,0
CIMCOBIRLA,19951122,26.75,27.95,27,27.95,300,0
CIMCOBIRLA,19951123,27,27,26.85,26.85,400,0
CIMCOBIRLA,19951124,26.85,26.5,26.45,26.5,400,0
CIMCOBIRLA,19951127,27,27,26.5,26.5,200,0
CIMCOBIRLA,19951128,26.5,27,27,27,400,0
CIMCOBIRLA,19951129,27,27.5,27,27.35,400,0
CIMCOBIRLA,19951204,25.05,25.1,25,25,700,0
CIMCOBIRLA,19951205,25,24,22.75,23.5,2400,0
CIMCOBIRLA,19951206,23.4,24,23.4,23.45,1100,0
CIMCOBIRLA,19951207,24.75,25,24.75,24.95,500,0
CIMCOBIRLA,19951211,24,26,24,26,400,0
CIMCOBIRLA,19951212,25.9,26,25.9,26,200,0
CIMCOBIRLA,19951213,25,25,25,25,200,0
CIMCOBIRLA,19951214,25,25,23.6,23.6,200,0
CIMCOBIRLA,19951215,25,25.5,25,25.5,200,0
CIMCOBIRLA,19951218,25.5,25.95,25.5,25.8,1000,0
CIMCOBIRLA,19951219,25.5,25.6,25.5,25.6,500,0
CIMCOBIRLA,19951220,25.5,25.5,25.5,25.5,100,0
CIMCOBIRLA,19951222,25.5,28,25.55,28,800,0
CIMCOBIRLA,19951226,28,30.75,28,30.75,1700,0
CIMCOBIRLA,19951227,30.75,31.1,30.75,30.85,1200,0
CIMCOBIRLA,19951228,31,31,30.75,30.75,400,0
CIMCOBIRLA,19951229,31.5,32.9,31.5,32.9,400,0
CIMCOBIRLA,19960101,32.9,32.95,31.5,32,500,0
CIMCOBIRLA,19960102,31.5,31.5,30,30.1,3700,0
CIMCOBIRLA,19960103,31.4,31.4,30.5,30.5,900,0
CIMCOBIRLA,19960104,28.25,29,28.25,29,600,0
CIMCOBIRLA,19960108,27.05,27.05,27,27.05,800,0
CIMCOBIRLA,19960109,26.75,26.75,26,26,400,0
CIMCOBIRLA,19960111,26,26.45,25.5,26.45,300,0
CIMCOBIRLA,19960115,26.5,26.5,26.5,26.5,300,0
CIMCOBIRLA,19960116,26.5,25.8,25.5,25.75,800,0
CIMCOBIRLA,19960117,25.5,25.5,24.6,25.5,900,0
CIMCOBIRLA,19960118,25.5,24.5,23,24.5,1100,0
CIMCOBIRLA,19960119,24.5,23.25,22.75,22.8,2900,0
CIMCOBIRLA,19960122,22.8,22.75,22.75,22.75,100,0
CIMCOBIRLA,19960123,23,23,22.5,22.5,700,0
CIMCOBIRLA,19960124,21.5,22.75,21.5,22,900,0
CIMCOBIRLA,19960125,23,23,22.75,22.75,800,0
CIMCOBIRLA,19960129,22,22,22,22,100,0
CIMCOBIRLA,19960130,22,22,22,22,100,0
CIMCOBIRLA,19960131,22,21.25,21.2,21.25,200,0
CIMCOBIRLA,19960201,21.25,23.25,22,23,400,0
CIMCOBIRLA,19960202,23,25,25,25,100,0
CIMCOBIRLA,19960205,25,25.5,24.9,25,1600,0
CIMCOBIRLA,19960206,25,26.95,25.75,25.75,300,0
CIMCOBIRLA,19960207,24.5,25.5,24.5,25.25,700,0
CIMCOBIRLA,19960208,25.25,25.95,25,25.6,900,0
CIMCOBIRLA,19960209,25.6,25.5,25.1,25.5,300,0
CIMCOBIRLA,19960212,26,27,26,26,400,0
CIMCOBIRLA,19960213,26,28,27.5,28,300,0
CIMCOBIRLA,19960214,29,29,29,29,200,0
CIMCOBIRLA,19960215,29,31.8,29,31.25,2400,0
CIMCOBIRLA,19960216,31.25,30.5,28.5,28.5,1200,0
CIMCOBIRLA,19960219,28.5,28,26.1,28,600,0
CIMCOBIRLA,19960220,28,28.75,27.5,27.65,800,0
CIMCOBIRLA,19960222,28.25,28.25,27.25,27.25,300,0
CIMCOBIRLA,19960223,27.25,27.5,27.25,27.3,600,0
CIMCOBIRLA,19960226,27.5,27.95,27.5,27.75,1400,0
CIMCOBIRLA,19960227,27.75,27.25,26.4,26.4,1400,0
CIMCOBIRLA,19960228,26.4,26.5,26.5,26.5,400,0
CIMCOBIRLA,19960229,26,26,26,26,2100,0
CIMCOBIRLA,19960301,25.5,25.5,25.5,25.5,500,0
CIMCOBIRLA,19960304,25.5,25.5,24,24,2900,0
CIMCOBIRLA,19960306,24,25,24.25,25,600,0
CIMCOBIRLA,19960307,25,24.25,24.25,24.25,500,0
CIMCOBIRLA,19960308,24.25,25.75,24.1,24.1,1600,0
CIMCOBIRLA,19960311,23.7,24.5,23.7,24,1000,0
CIMCOBIRLA,19960312,24,25,23.5,23.5,500,0
CIMCOBIRLA,19960313,24,24,24,24,100,0
CIMCOBIRLA,19960315,24.25,24.75,24.25,24.75,400,0
CIMCOBIRLA,19960318,24.75,23.75,23.5,23.5,1100,0
CIMCOBIRLA,19960319,23.5,23.75,23.5,23.5,2800,0
CIMCOBIRLA,19960321,23.5,24,23,23.8,2900,0
CIMCOBIRLA,19960322,23.5,24,23.5,24,700,0
CIMCOBIRLA,19960325,24,24.05,24,24.05,200,0
CIMCOBIRLA,19960326,24,24,23.75,23.75,300,0
CIMCOBIRLA,19960327,24.5,24.5,24.5,24.5,100,0
CIMCOBIRLA,19960328,24.5,24.5,23.55,23.6,500,0
CIMCOBIRLA,19960329,25,25,25,25,100,0
CIMCOBIRLA,19960402,25.5,25.5,25.5,25.5,100,0
CIMCOBIRLA,19960403,23.55,23.65,23.5,23.65,400,0
CIMCOBIRLA,19960404,23.65,24,24,24,100,0
CIMCOBIRLA,19960408,24,25,23.5,25,400,0
CIMCOBIRLA,19960409,25,25,24.5,24.5,200,0
CIMCOBIRLA,19960410,24.5,24.5,24.5,24.5,100,0
CIMCOBIRLA,19960411,24.5,25,24.05,24.05,200,0
CIMCOBIRLA,19960412,24.05,23.85,23.8,23.8,200,0
CIMCOBIRLA,19960415,23.8,26.2,25,26,300,0
CIMCOBIRLA,19960416,26,28.75,26,28.75,2100,0
CIMCOBIRLA,19960417,30.05,31.75,30.05,31.75,1100,0
CIMCOBIRLA,19960418,31.75,34.9,32.75,33.25,5300,0
CIMCOBIRLA,19960419,32.5,32.8,32.25,32.35,1000,0
CIMCOBIRLA,19960423,30.25,30.25,28,28.85,2100,0
CIMCOBIRLA,19960424,28.95,29.5,28.95,29.5,600,0
CIMCOBIRLA,19960425,29.5,28.5,28.5,28.5,100,0
CIMCOBIRLA,19960426,28,28.5,28,28.1,700,0
CIMCOBIRLA,19960429,27.5,27.8,27.5,27.8,400,0
CIMCOBIRLA,19960430,27.8,28.75,26,26.85,2700,0
CIMCOBIRLA,19960501,26.85,29.7,29.5,29.7,1000,0
CIMCOBIRLA,19960502,29.7,32.5,30.75,30.8,5600,0
CIMCOBIRLA,19960503,30.8,31,29.5,30.65,4400,0
CIMCOBIRLA,19960506,30.65,31.05,28,29.1,1000,0
CIMCOBIRLA,19960507,29.1,30.95,30.15,30.95,3200,0
CIMCOBIRLA,19960508,30.95,31.9,30,31.7,2200,0
CIMCOBIRLA,19960509,31,31.5,30.5,30.5,1400,0
CIMCOBIRLA,19960510,29,30,29,29.5,1300,0
CIMCOBIRLA,19960513,29.5,31,30.15,30.15,500,0
CIMCOBIRLA,19960514,29.8,29.8,29.55,29.55,600,0
CIMCOBIRLA,19960515,31.5,31.5,29.55,29.55,1300,0
CIMCOBIRLA,19960516,30.55,30.95,30.1,30.1,1200,0
CIMCOBIRLA,19960517,30.1,30.7,29.6,30,1800,0
CIMCOBIRLA,19960520,30,29.95,28.55,29.95,600,0
CIMCOBIRLA,19960521,29.95,30,29.3,29.3,1300,0
CIMCOBIRLA,19960522,28.25,28.25,28.25,28.25,100,0
CIMCOBIRLA,19960523,28.25,28.55,28.5,28.55,200,0
CIMCOBIRLA,19960524,28.55,29,28.5,29,1000,0
CIMCOBIRLA,19960527,29,29.75,28.5,28.5,300,0
CIMCOBIRLA,19960528,28.5,28.75,27.25,27.55,2700,0
CIMCOBIRLA,19960530,28.3,28.3,28.3,28.3,200,0
CIMCOBIRLA,19960531,28,28,28,28,100,0
CIMCOBIRLA,19960603,28,30,28.75,29.95,3200,0
CIMCOBIRLA,19960604,30,33,30,33,2400,0
CIMCOBIRLA,19960605,33,36.5,33,36.5,7000,0
CIMCOBIRLA,19960606,37,40.25,37,37.85,9900,0
CIMCOBIRLA,19960607,38.5,38.5,35.25,36,5100,0
CIMCOBIRLA,19960610,35.85,36.25,34.5,34.65,2400,0
CIMCOBIRLA,19960611,35.15,36.05,33,33.75,4700,0
CIMCOBIRLA,19960612,34.5,34.5,33.1,33.25,1800,0
CIMCOBIRLA,19960613,35.95,35.95,34,34,1900,0
CIMCOBIRLA,19960614,34.05,35.2,34.05,35,800,0
CIMCOBIRLA,19960617,34,34.95,34,34.9,800,0
CIMCOBIRLA,19960618,35,35,33.25,33.25,3300,0
CIMCOBIRLA,19960619,33.6,34,32.5,33.1,1400,0
CIMCOBIRLA,19960620,33,33,32.8,32.8,200,0
CIMCOBIRLA,19960621,32.8,34,32.5,32.5,1200,0
CIMCOBIRLA,19960624,30.55,31.15,30.55,31.15,200,0
CIMCOBIRLA,19960625,33,33,30.55,31.65,1300,0
CIMCOBIRLA,19960626,30.6,30.65,30.6,30.65,200,0
CIMCOBIRLA,19960627,30.6,30.6,30.6,30.6,200,0
CIMCOBIRLA,19960628,28.5,30,28.5,30,200,0
CIMCOBIRLA,19960701,28,28.05,28,28,1200,0
CIMCOBIRLA,19960702,27.5,28.5,26.5,28.5,2400,0
CIMCOBIRLA,19960703,27,27,26.75,26.75,700,0
CIMCOBIRLA,19960704,26,27.4,26,27.4,300,0
CIMCOBIRLA,19960705,28,28,27.5,27.5,300,0
CIMCOBIRLA,19960708,28.25,28.25,27,27,1900,0
CIMCOBIRLA,19960709,26.5,27,26,27,1600,0
CIMCOBIRLA,19960710,26.5,26.5,26,26,200,0
CIMCOBIRLA,19960711,26.8,27.3,26.75,27.3,2400,0
CIMCOBIRLA,19960712,28,28.4,28,28.4,300,0
CIMCOBIRLA,19960715,28.9,28.9,27.05,27.05,500,0
CIMCOBIRLA,19960716,27,27,26,26,200,0
CIMCOBIRLA,19960717,27,27.5,26.7,27,1000,0
CIMCOBIRLA,19960718,27,27.4,26.5,27.4,1300,0
CIMCOBIRLA,19960719,26.5,27.35,26,27.35,400,0
CIMCOBIRLA,19960722,27,27,26,26.05,700,0
CIMCOBIRLA,19960723,26,26,25,25,1200,0
CIMCOBIRLA,19960724,25.2,25.2,25.1,25.1,400,0
CIMCOBIRLA,19960729,26,27,26,26.85,400,0
CIMCOBIRLA,19960730,27,27,25.5,25.5,500,0
CIMCOBIRLA,19960731,24.2,24.45,24.2,24.45,200,0
CIMCOBIRLA,19960801,23.75,24.75,23.75,24.75,600,0
CIMCOBIRLA,19960802,24,24,24,24,100,0
CIMCOBIRLA,19960805,24.05,24.05,24,24,200,0
CIMCOBIRLA,19960806,22.75,23.5,22.75,23.5,1400,0
CIMCOBIRLA,19960807,24.65,24.65,22.5,22.5,600,0
CIMCOBIRLA,19960808,23.4,23.45,23,23.2,1200,0
CIMCOBIRLA,19960809,21.5,22,21.5,21.9,500,0
CIMCOBIRLA,19960812,21.75,21.75,21.05,21.05,400,0
CIMCOBIRLA,19960813,21.05,22.95,21,22.3,2000,0
CIMCOBIRLA,19960814,22.1,22.1,22.1,22.1,200,0
CIMCOBIRLA,19960816,22.85,22.85,22.5,22.5,700,0
CIMCOBIRLA,19960819,22.15,22.15,22,22,1500,0
CIMCOBIRLA,19960820,21.9,21.9,20.8,21,1800,0
CIMCOBIRLA,19960821,21.95,22,21.5,22,1700,0
CIMCOBIRLA,19960822,22.75,23.75,22.75,23.75,1700,0
CIMCOBIRLA,19960823,24.3,24.65,23.05,23.05,2000,0
CIMCOBIRLA,19960826,23.05,23.95,23.05,23.5,400,0
CIMCOBIRLA,19960827,22.5,22.5,21.4,22.1,400,0
CIMCOBIRLA,19960828,23.25,23.3,22.8,22.8,400,0
CIMCOBIRLA,19960829,23.9,23.9,23.6,23.6,200,0
CIMCOBIRLA,19960830,23,23.9,22.75,23.1,1300,0
CIMCOBIRLA,19960902,23.75,25,23.75,25,1700,0
CIMCOBIRLA,19960903,24.55,24.55,23.9,24,600,0
CIMCOBIRLA,19960905,24.05,24.5,24.05,24.5,200,0
CIMCOBIRLA,19960906,24.4,24.95,24.4,24.95,700,0
CIMCOBIRLA,19960909,24.25,24.5,23.75,24,2400,0
CIMCOBIRLA,19960910,24.25,24.75,24.25,24.3,400,0
CIMCOBIRLA,19960911,23.6,23.75,23.6,23.75,200,0
CIMCOBIRLA,19960912,23.25,23.9,23.25,23.75,300,0
CIMCOBIRLA,19960913,24,24.25,24,24.25,300,0
CIMCOBIRLA,19960916,24,24,24,24,600,0
CIMCOBIRLA,19960917,22,23.95,22,23.55,1100,0
CIMCOBIRLA,19960918,24.25,24.25,24,24,700,0
CIMCOBIRLA,19960919,24,24,24,24,600,0
CIMCOBIRLA,19960920,24,24,24,24,100,0
CIMCOBIRLA,19960923,24.25,24.25,24.25,24.25,600,0
CIMCOBIRLA,19960924,24.9,24.9,24.1,24.1,700,0
CIMCOBIRLA,19960925,22.3,22.3,22,22.05,17100,0
CIMCOBIRLA,19960926,22,22.5,21.05,21.05,1100,0
CIMCOBIRLA,19960927,21.9,22,21.5,22,900,0
CIMCOBIRLA,19960930,21.6,21.6,21.5,21.55,200,0
CIMCOBIRLA,19961001,19.5,19.5,19.4,19.4,500,0
CIMCOBIRLA,19961003,19.4,19.5,19.2,19.2,500,0
CIMCOBIRLA,19961004,19,19,19,19,200,0
CIMCOBIRLA,19961007,19.95,19.95,18,18.25,1200,0
CIMCOBIRLA,19961008,17.15,17.15,16.5,16.5,400,0
CIMCOBIRLA,19961009,17.3,17.3,16,16.3,800,0
CIMCOBIRLA,19961010,16.5,16.5,16.3,16.5,1500,0
CIMCOBIRLA,19961011,16.35,16.75,16.35,16.75,500,0
CIMCOBIRLA,19961014,16.75,16.85,16.75,16.85,1200,0
CIMCOBIRLA,19961015,17.15,17.15,16.55,16.85,1700,0
CIMCOBIRLA,19961016,17,17.25,17,17.25,1100,0
CIMCOBIRLA,19961017,17.1,17.15,16.25,16.6,3100,0
CIMCOBIRLA,19961018,17.95,17.95,16.7,16.85,2000,0
CIMCOBIRLA,19961022,17.25,17.25,16.8,16.8,600,0
CIMCOBIRLA,19961023,18.25,18.25,17.25,17.3,2500,0
CIMCOBIRLA,19961024,17.5,17.75,16.95,17,2900,0
CIMCOBIRLA,19961025,17.5,18.25,17.4,18.25,8900,0
CIMCOBIRLA,19961028,18.1,19.45,18,18,2200,0
CIMCOBIRLA,19961029,17.95,18,17.85,17.85,3800,0
CIMCOBIRLA,19961031,17.1,19.65,17.1,17.2,2400,0
CIMCOBIRLA,19961101,17.1,17.35,16.85,17.35,1700,0
CIMCOBIRLA,19961104,16.5,16.75,15.75,16.75,1000,0
CIMCOBIRLA,19961105,17.15,17.15,16.1,16.6,1700,0
CIMCOBIRLA,19961106,16.75,16.75,15.9,15.9,1900,0
CIMCOBIRLA,19961107,17.2,17.2,16,16,400,0
CIMCOBIRLA,19961108,16.75,16.75,16.6,16.6,200,0
CIMCOBIRLA,19961110,16.9,17.25,16.9,17.25,2200,0
CIMCOBIRLA,19961111,16.75,16.75,16.55,16.55,600,0
CIMCOBIRLA,19961113,17,17,16.95,16.95,300,0
CIMCOBIRLA,19961114,17,17,16.75,16.75,300,0
CIMCOBIRLA,19961115,17.2,17.2,16.75,16.75,300,0
CIMCOBIRLA,19961118,16.95,16.95,16.9,16.9,200,0
CIMCOBIRLA,19961119,17,17.25,17,17.25,1200,0
CIMCOBIRLA,19961121,16.6,16.6,16.6,16.6,100,0
CIMCOBIRLA,19961122,16.3,16.3,16,16,800,0
CIMCOBIRLA,19961125,15.75,16.2,15.05,16,400,0
CIMCOBIRLA,19961126,16.45,16.45,16,16,1200,0
CIMCOBIRLA,19961127,15.75,15.75,15.75,15.75,100,0
CIMCOBIRLA,19961128,15.75,15.75,15.75,15.75,100,0
CIMCOBIRLA,19961129,15.25,15.25,15.25,15.25,1300,0
CIMCOBIRLA,19961202,15.05,15.05,14.5,14.5,800,0
CIMCOBIRLA,19961203,15,15,14.05,14.05,1100,0
CIMCOBIRLA,19961204,13.75,13.9,13.5,13.8,600,0
CIMCOBIRLA,19961205,13.75,14.25,13.75,14.1,300,0
CIMCOBIRLA,19961206,14,14,14,14,100,0
CIMCOBIRLA,19961209,14.8,14.8,14.3,14.3,600,0
CIMCOBIRLA,19961210,14.5,14.5,14.2,14.5,600,0
CIMCOBIRLA,19961211,14.95,15,14.95,15,700,0
CIMCOBIRLA,19961212,15,16.1,15,16.1,1200,0
CIMCOBIRLA,19961213,15.5,16,15.5,16,400,0
CIMCOBIRLA,19961216,16.25,16.55,16.25,16.5,600,0
CIMCOBIRLA,19961217,16.5,17.95,16.1,17.05,1500,0
CIMCOBIRLA,19961218,17.3,18.5,17.25,18.1,1400,0
CIMCOBIRLA,19961219,17.6,17.6,17.25,17.5,1100,0
CIMCOBIRLA,19961220,18.4,18.4,18,18,800,0
CIMCOBIRLA,19961223,18,19.3,17.95,19.3,600,0
CIMCOBIRLA,19961224,19.25,19.25,17.5,18.5,900,0
CIMCOBIRLA,19961226,19.4,19.5,19.05,19.45,1500,0
CIMCOBIRLA,19961231,19.5,20.5,18.55,20.25,3400,0
CIMCOBIRLA,19970101,22,22.15,22,22.15,700,0
CIMCOBIRLA,19970102,22.15,22.15,21,21,1400,0
CIMCOBIRLA,19970103,21.9,22,21.25,21.3,600,0
CIMCOBIRLA,19970106,21.5,21.5,20.5,20.5,400,0
CIMCOBIRLA,19970107,21.5,22,21,22,1600,0
CIMCOBIRLA,19970108,21.25,21.6,21.25,21.55,1400,0
CIMCOBIRLA,19970109,21.5,21.5,21.25,21.25,1500,0
CIMCOBIRLA,19970110,21.1,22,21.05,21.05,2000,0
CIMCOBIRLA,19970113,22,22.7,20.6,21.4,2400,0
CIMCOBIRLA,19970114,21.9,21.9,21,21.85,1100,0
CIMCOBIRLA,19970115,21,22,20.5,22,2900,0
CIMCOBIRLA,19970116,23,23,21,21.5,1800,0
CIMCOBIRLA,19970117,21,21,20.25,20.5,1000,0
CIMCOBIRLA,19970120,19.5,19.5,19,19,900,0
CIMCOBIRLA,19970121,17.5,18.05,17.5,17.75,900,0
CIMCOBIRLA,19970122,18,18,18,18,1000,0
CIMCOBIRLA,19970124,18.3,18.5,18.25,18.5,700,0
CIMCOBIRLA,19970127,18.95,18.95,18.75,18.75,300,0
CIMCOBIRLA,19970128,19.45,19.45,18.8,18.8,500,0
