SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CINEMAXIN,20121018,55.35,58.1,55.35,58.1,88904,0
CINEMAXIN,20121019,61,61,61,61,27439,0
CINEMAXIN,20121022,64.05,64.05,64.05,64.05,28349,0
CINEMAXIN,20121023,67.25,67.25,67.25,67.25,25756,0
CINEMAXIN,20121025,70.6,70.6,70.6,70.6,77897,0
CINEMAXIN,20121026,74.1,74.1,74.1,74.1,29123,0
CINEMAXIN,20121029,77.8,77.8,77.8,77.8,189097,0
CINEMAXIN,20121030,81.65,81.65,81.65,81.65,54840,0
CINEMAXIN,20121031,85.7,85.7,78,79.25,573605,0
CINEMAXIN,20121101,78.25,83.2,78.25,83.2,120717,0
CINEMAXIN,20121102,84,99.8,84,99.8,210696,93779
CINEMAXIN,20121105,107.2,119.75,102.6,117.75,1769977,316348
CINEMAXIN,20121106,117.75,129.5,113.75,129.5,1378944,0
CINEMAXIN,20121107,129.5,139,126.65,129,965863,0
CINEMAXIN,20121108,126.35,135.45,126.35,130.05,548909,0
CINEMAXIN,20121109,131.9,139.95,129.55,137.05,699423,0
CINEMAXIN,20121112,138.4,150.75,138,150.75,550240,0
CINEMAXIN,20121113,158,158.25,152.9,158.25,135747,68722
CINEMAXIN,20121115,160.5,163.9,152.3,156.8,377379,200364
CINEMAXIN,20121116,157.1,160.7,152.05,154.3,244713,110363
CINEMAXIN,20121119,154.2,157.7,150,152.4,201912,0
CINEMAXIN,20121120,147.85,153,144.8,144.8,159961,0
CINEMAXIN,20121121,140.6,152,137.6,152,554626,253108
CINEMAXIN,20121122,155.5,159.6,155.1,159.6,64416,42766
CINEMAXIN,20121123,167.55,167.55,162.1,167.55,358103,0
CINEMAXIN,20121126,174.8,175.9,168.9,172.25,555095,310698
CINEMAXIN,20121127,169.4,177.9,163.65,175.65,718802,259183
CINEMAXIN,20121129,179,184.4,178.25,184.4,759880,347103
CINEMAXIN,20121130,193.6,193.6,188.1,190.55,1657445,1176609
CINEMAXIN,20121203,190.9,191.75,188.4,190.7,415121,0
CINEMAXIN,20121204,190.05,191.5,190,190.85,151595,0
CINEMAXIN,20121205,191.25,193.5,190.7,190.7,86264,0
CINEMAXIN,20121206,190.05,191.15,190.05,190.75,89004,0
CINEMAXIN,20121207,190.2,191,190.2,190.65,199219,0
CINEMAXIN,20121210,190.7,190.9,190.35,190.65,133271,0
CINEMAXIN,20121211,190.7,191,190.7,190.8,53769,0
CINEMAXIN,20121212,190.5,191,190.05,190.8,38216,0
CINEMAXIN,20121213,190.1,191.5,190.1,190.85,48013,0
CINEMAXIN,20121214,190.75,191.25,190.75,190.8,12089,0
CINEMAXIN,20121217,190.2,191.9,190.2,191.05,57244,0
CINEMAXIN,20121218,191,191.55,190.75,191.15,17738,0
CINEMAXIN,20121219,191,192,191,191.75,19998,0
CINEMAXIN,20121220,191.1,192.15,191.1,192.05,12133,0
CINEMAXIN,20121221,193.3,193.3,191.2,192.55,57447,0
CINEMAXIN,20121224,192.25,192.85,191.25,192.55,23388,0
CINEMAXIN,20121226,192.2,193.5,192.2,193.5,52473,0
CINEMAXIN,20121227,193.8,195,192.25,194.55,180755,0
CINEMAXIN,20121228,193.6,194.8,193.6,194.45,25807,0
CINEMAXIN,20121231,194.1,194.85,193.2,194.55,59159,0
CINEMAXIN,20130101,194.55,194.9,194.5,194.5,44116,0
CINEMAXIN,20130102,194.55,196,194.55,195.95,92035,0
CINEMAXIN,20130103,195.15,197.5,194.5,196.9,236688,0
CINEMAXIN,20130104,197.9,199.15,197,199,164924,0
CINEMAXIN,20130107,199,200.7,197.5,200.65,695555,0
CINEMAXIN,20130108,201.4,201.45,198,198.4,119766,0
CINEMAXIN,20130109,199.5,199.5,198.05,198.4,20750,0
CINEMAXIN,20130110,198.15,199.35,197.25,197.45,66788,0
CINEMAXIN,20130111,197.15,197.95,196.25,196.85,67384,0
CINEMAXIN,20130114,196.5,197.5,196.5,197,25854,0
CINEMAXIN,20130115,196.6,197.6,196.6,196.95,18124,0
CINEMAXIN,20130116,196.6,197,195.15,195.6,40019,0
CINEMAXIN,20130117,195.25,197.5,195.25,197.5,35286,0
CINEMAXIN,20130118,197.5,198.05,197.5,198,16282,0
CINEMAXIN,20130121,197.5,198.45,197.5,198,8487,0
CINEMAXIN,20130122,198.1,198.85,198.1,198.25,4926,0
CINEMAXIN,20130123,198,199.7,198,199.55,34975,0
CINEMAXIN,20130124,199.1,200.25,199.1,200.05,111386,0
CINEMAXIN,20130125,200.05,200.1,199.6,199.75,237061,0
CINEMAXIN,20130128,199.7,199.8,199.6,199.8,110872,0
CINEMAXIN,20130129,199.25,200.25,199.25,200.15,129234,0
CINEMAXIN,20130130,200.1,200.6,200.1,200.25,58941,0
CINEMAXIN,20130131,200.15,201,200.15,200.9,126631,0
CINEMAXIN,20130201,200.25,200.9,200.25,200.85,37369,0
CINEMAXIN,20130204,200.6,201.25,200.6,201,86557,0
CINEMAXIN,20130205,200.9,201.15,200.9,201.05,24249,0
CINEMAXIN,20130206,201,201.2,201,201.2,13007,0
CINEMAXIN,20130207,201.05,201.35,201.05,201.2,14652,0
CINEMAXIN,20130208,201.15,201.5,201.15,201.2,60610,0
CINEMAXIN,20130211,201.3,201.75,201.3,201.65,42130,0
CINEMAXIN,20130212,201.5,202.25,201.5,202,127113,0
CINEMAXIN,20130213,201.8,202,201.8,201.9,181220,0
CINEMAXIN,20130214,191.85,191.9,191.85,191.85,370,0
CINEMAXIN,20130215,182.3,182.3,182.3,182.3,3375,0
CINEMAXIN,20130218,182,182,173.2,173.2,478,0
CINEMAXIN,20130219,164.55,164.55,164.55,164.55,46,0
CINEMAXIN,20130220,156.35,156.35,156.35,156.35,536,0
CINEMAXIN,20130221,148.55,148.55,148.55,148.55,124,0
CINEMAXIN,20130222,141.15,141.15,141.15,141.15,5152,0
CINEMAXIN,20130225,134.1,141.15,134.1,134.1,5983,0
CINEMAXIN,20130226,127.4,127.4,127.4,127.4,2442,0
CINEMAXIN,20130227,121.05,125,121.05,121.1,2553,0
CINEMAXIN,20130228,115.05,125,115.05,116.7,3066,0
CINEMAXIN,20130301,116,122.5,116,122.5,366,0
CINEMAXIN,20130304,125,128,120.05,125.05,2063,0
CINEMAXIN,20130305,126.1,131.3,125,131.1,1610,0
CINEMAXIN,20130306,131.3,137.65,128.4,137.65,3462,0
CINEMAXIN,20130307,144.4,144.5,141.5,144.5,1583,0
CINEMAXIN,20130308,151.7,151.7,151.7,151.7,1334,0
CINEMAXIN,20130311,159.25,159.25,159.25,159.25,842,0
CINEMAXIN,20130312,167.2,167.2,151.3,151.3,6964,0
CINEMAXIN,20130313,151.3,151.3,143.75,143.8,1123,0
CINEMAXIN,20130314,138,143,136.65,136.65,1217,0
CINEMAXIN,20130315,139.3,139.3,129.85,129.85,15976,0
CINEMAXIN,20130318,124,124.6,123.4,123.4,9803,0
CINEMAXIN,20130319,117.35,127,117.25,119.55,1837,0
CINEMAXIN,20130320,122.6,124.9,117.25,117.3,1634,0
CINEMAXIN,20130321,118.75,122.25,111.45,116.3,3737,0
CINEMAXIN,20130322,118,122,111,115.65,1785,0
CINEMAXIN,20130325,115,116,109.9,110.15,2087,0
CINEMAXIN,20130326,109.95,109.95,105,105.95,444,0
CINEMAXIN,20130328,105,111,105,108.4,1395,0
CINEMAXIN,20130401,107.5,112,105,106.25,495,457
CINEMAXIN,20130402,111,111,106,107.15,537,0
CINEMAXIN,20130403,111,111,108.1,108.15,611,0
CINEMAXIN,20130404,108.1,108.1,104.5,106.45,720,0
CINEMAXIN,20130405,107,107,105,106,291,0
CINEMAXIN,20130408,105,105,101.25,101.7,447,0
CINEMAXIN,20130409,100,100,98.1,99.25,1558,0
CINEMAXIN,20130410,95.4,100,95.4,97.75,759,0
CINEMAXIN,20130411,98.5,101,94.4,94.45,687,0
CINEMAXIN,20130412,91.5,95,89.8,89.8,882,705
CINEMAXIN,20130415,89,89.9,85.35,88,908,0
CINEMAXIN,20130416,86,86.5,84,84.5,969,0
CINEMAXIN,20130417,83,86,83,84.2,779,0
CINEMAXIN,20130418,84,88.4,84,88.4,631,0
CINEMAXIN,20130422,88.4,92.8,88.4,92.8,2647,0
CINEMAXIN,20130423,97,97.4,94,97.4,3966,0
CINEMAXIN,20130425,100,102.25,98,102.25,5455,0
CINEMAXIN,20130426,107.35,107.35,102.55,106,2770,0
CINEMAXIN,20130429,108,108.05,101.15,105.1,4461,0
CINEMAXIN,20130430,104,104,100,100,1426,0
CINEMAXIN,20130502,95,100,95,96.15,2216,0
CINEMAXIN,20130503,96.5,96.5,92.5,94.6,1203,0
CINEMAXIN,20130506,92,93.95,90,91.4,2018,0
CINEMAXIN,20130507,90.5,93.95,90.5,90.9,957,0
CINEMAXIN,20130508,92,98.6,91.5,92.4,1912,0
CINEMAXIN,20130509,93,96,90.5,91.3,1118,0
CINEMAXIN,20130510,94.5,100.4,92.25,100.4,3729,2841
CINEMAXIN,20130511,95.45,101.2,95.45,101.1,111,0
CINEMAXIN,20130513,102,106,101.15,103.7,922,0
CINEMAXIN,20130514,103,107.5,102,105.3,2855,0
CINEMAXIN,20130515,100.6,112,100.6,110,3611,0
CINEMAXIN,20130516,100.1,111,100.1,108.35,1614,0
CINEMAXIN,20130517,107.5,108.95,102.55,106.35,1004,0
CINEMAXIN,20130520,107,112,104,108.35,937,0
CINEMAXIN,20130521,102.55,112,102.55,110.45,2278,1645
CINEMAXIN,20130522,110,111,109.75,110,530,0
CINEMAXIN,20130523,110,110,108.5,110,796,0
CINEMAXIN,20130524,110,111,106.65,111,4335,3891
CINEMAXIN,20130527,100.55,111,100.55,110.1,678,0
CINEMAXIN,20130528,106.65,115.95,103.05,110.5,1825,0
CINEMAXIN,20130529,110,111.6,103,105.05,901,0
CINEMAXIN,20130530,106,106,102.55,103,249,0
CINEMAXIN,20130531,103.9,103.9,102,102.1,743,0
CINEMAXIN,20130603,103,108,102.25,107.2,918,0
CINEMAXIN,20130604,102.2,113,102.2,108.05,566,0
CINEMAXIN,20130605,107.5,110,107,109,643,0
CINEMAXIN,20130606,108.05,113.15,108.05,110.3,568,0
CINEMAXIN,20130607,109.5,118.75,109.5,114.35,2357,0
CINEMAXIN,20130610,120.1,125.75,120,125.75,3888,0
CINEMAXIN,20130611,136.7,138.3,136,138.3,4613,3951
CINEMAXIN,20130612,145.2,145.2,131.4,141.45,17849,0
CINEMAXIN,20130613,147.5,147.5,134.4,140.6,6407,3245
CINEMAXIN,20130614,144.95,146.6,140.6,144.2,5137,4894
CINEMAXIN,20130617,151.4,151.4,151.4,151.4,3585,0
CINEMAXIN,20130618,158.95,158.95,158.95,158.95,717,0
CINEMAXIN,20130619,166.85,166.85,166.85,166.85,1519,0
CINEMAXIN,20130620,175.15,175.15,170.5,174.7,39612,0
CINEMAXIN,20130621,182.9,182.9,170,170.4,11891,0
CINEMAXIN,20130624,170,170.4,161.9,163.7,5377,0
CINEMAXIN,20130625,157.15,160.85,156.1,158.5,6953,0
CINEMAXIN,20130626,152,159.95,152,158.9,1331,0
CINEMAXIN,20130627,158,161.75,155.2,156.65,1464,0
CINEMAXIN,20130628,156,157.75,153,155.1,550,0
CINEMAXIN,20130701,148.15,162.85,148.15,162.85,1463,0
CINEMAXIN,20130702,169.95,169.95,160,162.65,1805,0
CINEMAXIN,20130703,159.95,161.35,157.3,157.35,465,0
CINEMAXIN,20130704,160,163.2,158,161.4,289,0
CINEMAXIN,20130705,170,174.75,155,159,2250,0
CINEMAXIN,20130708,159.8,163.55,155.05,155.55,222,0
CINEMAXIN,20130709,165.8,165.8,143.15,159.55,1012,0
CINEMAXIN,20130710,159.4,163.5,153.1,155.7,420,0
CINEMAXIN,20130711,154,159.9,154,155.9,1069,0
CINEMAXIN,20130712,156,157,153,155.55,1447,1024
CINEMAXIN,20130715,155,156,152.15,154,2090,0
CINEMAXIN,20130716,157.8,157.8,153.25,153.25,534,449
CINEMAXIN,20130717,153.2,156.95,138.5,156.9,1106,0
CINEMAXIN,20130718,150.1,162.4,150.1,160.15,2762,0
CINEMAXIN,20130719,160.15,165,157,161.25,2311,1532
CINEMAXIN,20130722,160.5,162.2,157,158.6,1298,0
CINEMAXIN,20130723,158,160,156,157.85,1044,0
CINEMAXIN,20130724,157,157,154,154.1,1317,0
CINEMAXIN,20130725,151.1,155,151.1,154.2,1473,0
CINEMAXIN,20130726,155,158,154.9,156,1368,1310
CINEMAXIN,20130729,155,155,153,153.8,1186,0
CINEMAXIN,20130730,156,165.2,155,160.7,3895,0
CINEMAXIN,20130731,161.5,169.7,155,160.7,3569,0
CINEMAXIN,20130801,160,164.95,160,161.25,2299,0
CINEMAXIN,20130802,160.5,160.55,155.75,160.5,6702,0
CINEMAXIN,20130805,152.35,166,152.35,163.65,4012,0
CINEMAXIN,20130806,161,168,161,161.1,3118,2890
CINEMAXIN,20130807,160.5,166,160,162.6,939,0
CINEMAXIN,20130808,160.5,166.5,160.5,164.2,4710,0
CINEMAXIN,20130812,163.5,165.15,161.5,164.55,1461,0
CINEMAXIN,20130813,169.5,169.5,161,161.4,730,0
CINEMAXIN,20130814,165,170,162.3,165.65,4466,0
CINEMAXIN,20130816,169.95,170,164.2,168,2135,0
CINEMAXIN,20130819,168,170,165,166.15,1885,0
CINEMAXIN,20130820,151.35,168.9,151.35,166.8,415,0
CINEMAXIN,20130821,168.4,170,165.15,168.55,1518,0
CINEMAXIN,20130822,168.55,168.55,163.4,167.55,571,0
CINEMAXIN,20130823,162.4,167,162.35,166.55,1276,1060
CINEMAXIN,20130827,175.4,176.3,170,173.9,1203,0
CINEMAXIN,20130828,165.1,176.05,165.1,173.35,1868,0
CINEMAXIN,20130829,175.9,179.95,174,178.75,1258,0
CINEMAXIN,20130830,178,182,175,177.2,1102,0
CINEMAXIN,20130902,170,183.8,170,178,2507,0
CINEMAXIN,20130903,178.9,179.95,174.1,175.35,4576,0
CINEMAXIN,20130904,175,177.3,173.05,174.1,806,0
CINEMAXIN,20130905,173.5,174.5,170,172.3,664,0
CINEMAXIN,20130906,172,173,170.15,170.25,1231,0
CINEMAXIN,20130910,172,180,171.1,177.3,4142,0
CINEMAXIN,20130911,184.95,194.9,177.3,191.6,15633,0
CINEMAXIN,20130912,190,196,190,194,4434,0
CINEMAXIN,20130913,188.1,218,188.1,206.5,16951,0
CINEMAXIN,20130916,215,222.6,205.65,209.35,19267,17931
CINEMAXIN,20130917,206.1,216,200,204.8,3784,3103
CINEMAXIN,20130918,203.55,206,198.9,202.85,4519,0
CINEMAXIN,20130919,202,205.75,197.8,201.1,2833,0
CINEMAXIN,20130920,198,205,198,202.95,3833,0
CINEMAXIN,20130923,215,215,197,198.5,3444,2828
CINEMAXIN,20130924,200,204,194.35,196.3,1864,1785
CINEMAXIN,20130925,198,198.8,196.1,197.4,1682,0
CINEMAXIN,20130926,195,200.1,191.05,200,4017,0
CINEMAXIN,20130927,199.85,208.5,199.85,204.2,2804,0
CINEMAXIN,20130930,204,214.85,201,209.85,5126,0
CINEMAXIN,20131001,209,222,206,219.15,3472,2574
CINEMAXIN,20131003,211,232.9,211,227.65,12411,0
CINEMAXIN,20131004,230.25,273.15,230.25,273.15,129277,0
CINEMAXIN,20131007,301,305,265.1,271.4,71981,17369
CINEMAXIN,20131008,273.7,280,255.5,258.9,19629,0
CINEMAXIN,20131009,258.9,274.65,250,264.7,28913,0
CINEMAXIN,20131010,271,271,256.05,265.65,7587,0
CINEMAXIN,20131011,267,273,220.25,264.75,32824,0
CINEMAXIN,20131014,264.85,273.9,264,270.1,5608,0
CINEMAXIN,20131015,279.95,279.95,252,257.05,4153,1903
CINEMAXIN,20131017,260,260,250.05,255.15,4329,2578
CINEMAXIN,20131018,255.5,264,252.05,256.3,3739,2516
CINEMAXIN,20131021,255,273.4,244.65,269.15,9272,6066
CINEMAXIN,20131022,269.15,277,265.1,274.6,8776,6180
CINEMAXIN,20131023,273,273,265.05,267.05,2566,0
CINEMAXIN,20131024,274.85,274.85,250,257.4,4482,0
CINEMAXIN,20131025,254.35,262.85,254.35,256.6,4561,2734
CINEMAXIN,20131028,254.3,265,250.5,260.15,2801,0
CINEMAXIN,20131029,255,261.2,250.75,259.95,1393,0
CINEMAXIN,20131030,258.55,277.4,252.05,275.4,45973,20045
CINEMAXIN,20131031,278.8,283.7,270,278.35,10525,6236
CINEMAXIN,20131101,285,292.1,276,288.8,18963,12662
CINEMAXIN,20131103,290,302,289.2,297.95,14308,11355
CINEMAXIN,20131105,270,302.95,270,288.05,15336,5348
CINEMAXIN,20131106,289.8,289.8,275.5,283.85,6652,0
CINEMAXIN,20131107,283,283,270.1,274.3,3118,0
CINEMAXIN,20131108,270.1,280.75,261.1,265.3,4453,0
CINEMAXIN,20131111,259,285,253.05,270.4,6304,0
CINEMAXIN,20131112,269.55,274.9,266.7,268.3,3832,1834
CINEMAXIN,20131113,273.75,273.8,265.1,265.7,5594,0
CINEMAXIN,20131114,270,278,270,274.05,2785,1884
CINEMAXIN,20131118,266,282.95,266,281.05,7757,0
CINEMAXIN,20131119,278.05,286.6,274,275.8,3098,0
CINEMAXIN,20131120,276,282.5,267.1,276.4,2713,0
CINEMAXIN,20131121,276,280.5,270.25,278.35,4673,0
CINEMAXIN,20131122,268.3,286,268.2,278.35,1696,0
CINEMAXIN,20131125,283.2,288.25,280.5,283.9,4003,2745
CINEMAXIN,20131126,287.9,287.9,280.1,283.75,1186,819
CINEMAXIN,20131127,283.95,287,280,280.8,2646,0
CINEMAXIN,20131128,284.95,303,281.7,296.3,39498,0
CINEMAXIN,20131129,291,303,291,298.05,7388,0
CINEMAXIN,20131202,300,325,292.35,319.5,39044,0
CINEMAXIN,20131203,316,334,308.5,311.15,27286,0
CINEMAXIN,20131204,307.55,324,307.55,312.85,14407,0
CINEMAXIN,20131205,314.05,315.05,299.9,308.8,6093,0
CINEMAXIN,20131206,309,313.85,306,310.8,3063,0
CINEMAXIN,20131209,302,316,296,311.55,7156,3293
CINEMAXIN,20131210,310.1,312.2,302.95,306.8,3417,0
CINEMAXIN,20131211,302,314.9,297,300.55,6623,0
CINEMAXIN,20131212,300.55,304,292,293.75,3097,0
CINEMAXIN,20131213,295.5,301.5,279.6,286.4,7862,0
CINEMAXIN,20131216,288,292.9,282.4,288.95,1909,0
CINEMAXIN,20131217,290,296.8,288.05,290.7,2126,0
CINEMAXIN,20131218,289.35,294.9,284.85,291.35,2806,1409
CINEMAXIN,20131219,292,303.45,288.1,299.9,4083,0
CINEMAXIN,20131220,305,313,301.25,304.85,3327,1776
CINEMAXIN,20131223,295.25,317.95,295.25,306.6,6650,0
CINEMAXIN,20131224,309.8,310,296,297.7,2934,0
CINEMAXIN,20131226,299,304.9,299,300.6,2289,0
CINEMAXIN,20131227,300,308.9,297.25,301.35,6135,0
CINEMAXIN,20131230,301,314.5,299.5,309.65,9585,0
CINEMAXIN,20131231,309.65,312.5,305,311.05,10222,0
CINEMAXIN,20140101,311.6,314.15,308.45,312,2196,0
CINEMAXIN,20140102,311,315,307,308.9,10035,7389
CINEMAXIN,20140103,309,329,309,326.05,19979,12983
CINEMAXIN,20140106,327.5,330,320,324.4,5351,0
CINEMAXIN,20140107,322.05,332.5,317.25,323.05,8821,0
CINEMAXIN,20140108,320,329.2,315.1,318,2692,1810
CINEMAXIN,20140109,314.05,329.8,314,321.95,2585,1964
CINEMAXIN,20140110,325,326,315.35,323.1,5235,3138
CINEMAXIN,20140113,320,325,315.3,317.5,1885,1402
CINEMAXIN,20140114,324.65,324.65,316,319.4,1493,0
CINEMAXIN,20140115,320,320,312,315.85,2042,1384
CINEMAXIN,20140116,309,319,307.4,307.95,4026,3463
CINEMAXIN,20140117,304,313.55,296.55,298,2930,0
CINEMAXIN,20140120,308.75,309.75,296.6,300.95,1789,0
CINEMAXIN,20140121,302.05,302.05,295,298.05,961,742
CINEMAXIN,20140122,306,306,298.1,302.5,1772,0
CINEMAXIN,20140123,305,310,303,307.05,3601,2384
CINEMAXIN,20140124,310,317.85,307,308.85,4730,0
CINEMAXIN,20140127,303,311.3,300,301.65,1373,1239
