SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CIPL,20020717,3.25,3.25,3.25,3.25,5,5
CIPL,20020718,3.9,3.9,3.9,3.9,5,5
CIPL,20020719,4.7,4.7,4.7,4.7,1760,1760
CIPL,20020722,5.65,5.65,5.65,5.65,29440,27355
CIPL,20020723,6.25,6.75,5.6,6.05,54766,47617
CIPL,20020724,6.2,6.2,5.25,5.8,29651,26400
CIPL,20020725,6,6,5.45,5.55,21121,17669
CIPL,20020726,5.1,5.25,4.8,4.8,12100,11550
CIPL,20020729,4.75,5,4.45,5,5401,5401
CIPL,20020730,5,5.15,4.75,4.75,5855,5055
CIPL,20020731,4.5,5.05,4.5,5,6550,6050
CIPL,20020801,5,5.25,4.85,4.95,3850,3525
CIPL,20020802,4.7,4.95,4.7,4.9,4451,4451
CIPL,20020805,4.8,5.05,4.75,4.85,2425,2025
CIPL,20020806,4.9,5,4.7,4.8,6078,5353
CIPL,20020807,4.9,5,4.85,4.85,2026,2026
CIPL,20020808,4.3,5,4.3,4.65,12583,8683
CIPL,20020809,4.8,4.8,4.8,4.8,2000,2000
CIPL,20020812,5,5,4.85,5,5050,4000
CIPL,20020813,5,5,5,5,3300,3200
CIPL,20020814,4.95,4.95,4.85,4.9,5301,3775
CIPL,20020816,4.7,4.75,4.4,4.7,16470,15705
CIPL,20020819,4.75,4.8,4.6,4.6,8000,8000
CIPL,20020820,4.7,4.85,4.7,4.75,6421,6421
CIPL,20020821,4.6,4.6,4.55,4.55,6000,6000
CIPL,20020822,4.7,4.7,4.55,4.55,5270,5268
CIPL,20020823,4.6,4.6,4.55,4.55,4490,4490
CIPL,20020826,4.6,4.6,4.55,4.55,5351,5351
CIPL,20020827,4.8,4.8,4.5,4.5,7002,6551
CIPL,20020828,4.5,4.6,4.5,4.5,4700,4700
CIPL,20020829,4.55,4.7,4.55,4.6,6400,6000
CIPL,20020830,4.85,4.85,4.5,4.5,6400,5900
CIPL,20020902,4.55,4.7,4.55,4.55,3902,3902
CIPL,20020903,4.55,4.55,4.55,4.55,3000,3000
CIPL,20020904,4.4,4.5,4.35,4.35,3650,3650
CIPL,20020905,4.4,4.55,4.4,4.4,6136,6136
CIPL,20020906,4.35,4.4,4.35,4.35,1650,1650
CIPL,20020909,4.35,4.35,4,4.05,16200,16200
CIPL,20020911,4.35,4.35,4,4,19651,19651
CIPL,20020912,4.2,4.2,4,4,16100,16100
CIPL,20020913,4.1,4.1,3.85,3.85,1918,1828
CIPL,20020916,3.65,4.15,3.65,3.95,3302,3300
CIPL,20020917,4,4,3.85,4,5500,4500
CIPL,20020918,3.9,3.95,3.9,3.95,1000,1000
CIPL,20020919,4,4,3.25,3.3,31101,29000
CIPL,20020920,3.55,3.55,3.45,3.5,6775,6775
CIPL,20020923,3.4,3.4,3.4,3.4,150,150
CIPL,20020924,3.3,3.7,3.3,3.5,1451,1450
CIPL,20020925,3.45,3.55,3.3,3.4,4050,4050
CIPL,20020926,3.45,3.7,3.45,3.7,1090,1090
CIPL,20020927,3.75,3.75,3.5,3.5,325,0
CIPL,20020930,3.5,3.5,3.45,3.5,6200,4325
CIPL,20021001,3.4,3.55,3.4,3.55,6485,6484
CIPL,20021003,3.35,3.45,3.35,3.45,875,875
CIPL,20021004,3.6,3.6,3,3.25,24696,21945
CIPL,20021007,3.1,3.3,3.1,3.2,4275,3875
CIPL,20021008,3.2,3.2,3,3.05,41724,40575
