SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CIPLA,19941107,770,800,770,800,250,0
CIPLA,19941108,800,800,800,800,200,0
CIPLA,19941109,810,810,810,810,100,0
CIPLA,19941110,805,805,760,800,400,0
CIPLA,19941114,760,760,760,760,100,0
CIPLA,19941115,760,760,760,760,50,0
CIPLA,19941117,760,765,760,765,250,0
CIPLA,19941121,760,763,760,763,150,0
CIPLA,19941122,750,750,750,750,100,0
CIPLA,19941123,800,800,800,800,100,0
CIPLA,19941124,795,805,793,805,350,0
CIPLA,19941125,800,800,800,800,50,0
CIPLA,19941129,790,790,790,790,150,0
CIPLA,19941201,760,760,760,760,50,0
CIPLA,19941206,731,731,730,730,200,0
CIPLA,19941207,725,725,725,725,50,0
CIPLA,19941208,701,701,701,701,50,0
CIPLA,19941212,685,685,685,685,50,0
CIPLA,19941213,650,650,650,650,50,0
CIPLA,19941214,650,650,650,650,50,0
CIPLA,19941216,675,700,675,697.5,500,0
CIPLA,19941219,710,725,705,725,250,0
CIPLA,19941220,710,710,708.75,710,400,0
CIPLA,19941221,710,710,700,705,450,0
CIPLA,19941222,709,709,701,705,200,0
CIPLA,19941223,690,695,685,685,150,0
CIPLA,19941226,690,695,690,695,150,0
CIPLA,19941227,695,695,695,695,200,0
CIPLA,19941229,690,690,690,690,50,0
CIPLA,19941230,690,695,690,695,150,0
CIPLA,19950102,700,700,695,695,200,0
CIPLA,19950103,695,695,685,690,250,0
CIPLA,19950104,695,697.5,695,697.5,150,0
CIPLA,19950105,665,665,665,665,100,0
CIPLA,19950106,675,675,672.5,672.5,150,0
CIPLA,19950109,680,680,670,670,300,0
CIPLA,19950110,645,645,625,625,250,0
CIPLA,19950111,620,630,620,630,400,0
CIPLA,19950112,620,625,617.5,625,550,0
CIPLA,19950113,620,625,620,625,500,0
CIPLA,19950116,625,630,620,620,350,0
CIPLA,19950117,625,630,615,615,450,0
CIPLA,19950118,650,650,630.05,640,800,0
CIPLA,19950119,633,635,633,635,200,0
CIPLA,19950120,645,645,635,640,350,0
CIPLA,19950123,623,629.5,623,629.5,400,0
