SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
COCHINREFN,19941114,259.75,260,259.75,260,300,0
COCHINREFN,19941123,271,271,271,271,50,0
COCHINREFN,19941124,257.5,265,257.5,261.25,100,0
COCHINREFN,19941129,272.5,274,272.5,273.25,1200,0
COCHINREFN,19941130,275,275,275,275,500,0
COCHINREFN,19941201,269,269,269,269,100,0
COCHINREFN,19941202,272.5,272.5,272.5,272.5,100,0
COCHINREFN,19941207,268.75,268.75,265,265,600,0
COCHINREFN,19941208,252,260,252,260,150,0
COCHINREFN,19941212,250,250,250,250,200,0
COCHINREFN,19941213,235,235,235,235,100,0
COCHINREFN,19941215,255,255,255,255,400,0
COCHINREFN,19941219,250,258,250,258,1850,0
COCHINREFN,19941220,253.5,255,253.5,254.5,600,0
COCHINREFN,19941221,260,261,260,261,3300,0
COCHINREFN,19941222,261,262.75,261,262.75,1600,0
COCHINREFN,19941223,262.5,265,262.5,265,600,0
COCHINREFN,19941227,258.1,260,258.05,259,400,0
COCHINREFN,19941230,259,260,259,260,300,0
COCHINREFN,19950102,255,260,255,260,200,0
COCHINREFN,19950103,260,260,260,260,200,0
COCHINREFN,19950104,255,255,255,255,150,0
COCHINREFN,19950106,248.5,248.5,248.5,248.5,100,0
COCHINREFN,19950109,248,250,245,250,1200,0
COCHINREFN,19950110,252,252,252,252,350,0
COCHINREFN,19950111,248,248,243,244,750,0
COCHINREFN,19950112,244,245,244,244.5,200,0
COCHINREFN,19950113,244,244.6,244,244.6,550,0
COCHINREFN,19950116,247.5,248.5,247.5,248,400,0
COCHINREFN,19950117,249,251,249,250,600,0
COCHINREFN,19950118,250,250,250,250,200,0
COCHINREFN,19950119,255,255,250,251.25,650,0
COCHINREFN,19950120,252,254,252,253,500,0
COCHINREFN,19950123,249,249,245,245,350,0
COCHINREFN,19950124,245,247.75,243,247.5,2550,0
COCHINREFN,19950125,250,255,250,255,500,0
COCHINREFN,19950127,250,254,247,254,400,0
COCHINREFN,19950130,255,262,255,262,1250,0
COCHINREFN,19950131,265,266.5,265,266.5,350,0
COCHINREFN,19950201,267,275,267,272.5,2500,0
COCHINREFN,19950202,269,275,269,273.75,1550,0
COCHINREFN,19950203,269,271,269,271,1050,0
COCHINREFN,19950206,265,265,265,265,500,0
COCHINREFN,19950207,268.75,275,267.45,271,2300,0
COCHINREFN,19950208,262,262,262,262,100,0
COCHINREFN,19950209,262,265,262,265,600,0
COCHINREFN,19950210,270,270,260,266,1200,0
COCHINREFN,19950214,270,270,260,262.5,650,0
COCHINREFN,19950215,260,263.5,260,263.5,30250,0
COCHINREFN,19950216,255,255,255,255,100,0
COCHINREFN,19950217,245,245,240,240,600,0
COCHINREFN,19950220,248,248,242,242,100,0
COCHINREFN,19950221,237,237,225,225,800,0
COCHINREFN,19950222,221,225,220.75,220.75,1100,0
COCHINREFN,19950223,232,240,232,240,2700,0
COCHINREFN,19950224,240,255,240,245,750,0
COCHINREFN,19950228,240,242.25,238,242.25,1050,0
COCHINREFN,19950301,245,245,240,240,1700,0
COCHINREFN,19950302,250,250,240,240,2000,0
COCHINREFN,19950303,240,240,240,240,5000,0
COCHINREFN,19950306,240,240,238,238,150,0
COCHINREFN,19950307,235,235,233.5,233.5,600,0
COCHINREFN,19950308,240,240,235,235,150,0
COCHINREFN,19950309,234,240,234,240,650,0
COCHINREFN,19950310,247,247,247,247,100,0
COCHINREFN,19950314,240,242,239,242,1300,0
COCHINREFN,19950315,247.5,250,247,247,1100,0
COCHINREFN,19950320,239.75,240,235,235,250,0
COCHINREFN,19950321,242,242,220,235,800,0
COCHINREFN,19950322,227.5,227.5,226.25,226.9,150,0
COCHINREFN,19950323,230,234.5,226.25,226.5,550,0
COCHINREFN,19950324,228,234,228,230,20300,0
COCHINREFN,19950327,232.5,232.5,228.1,228.5,250,0
COCHINREFN,19950328,231.5,234,230,230,200,0
COCHINREFN,19950329,227,227,227,227,50,0
COCHINREFN,19950331,225.25,227.5,225,227.5,450,0
