SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CONFIPET,20190613,41.4,41.4,38.65,39.4,101635,0
CONFIPET,20190614,40,40,38.75,38.9,68377,0
CONFIPET,20190617,38.5,39.65,37.85,38,62689,0
CONFIPET,20190618,38.8,38.8,37.35,37.75,103909,0
CONFIPET,20190619,37.55,39.4,36.55,36.8,100566,0
CONFIPET,20190620,36.4,37.7,35.75,37.15,113010,0
CONFIPET,20190621,37.35,37.5,36.4,36.9,22557,0
CONFIPET,20190624,37.2,37.25,36.4,36.55,68986,0
CONFIPET,20190625,36.15,36.45,33.3,35,213650,0
CONFIPET,20190626,35,36.25,34.8,35.3,60938,0
CONFIPET,20190627,35.7,36.95,35.55,36.3,119669,0
CONFIPET,20190628,37.3,37.3,35.5,36.05,69536,0
CONFIPET,20190701,36.65,36.65,35,35.4,62513,0
CONFIPET,20190702,35.1,35.7,33.1,33.7,131591,0
CONFIPET,20190703,33.7,34.4,32.8,32.95,189484,0
CONFIPET,20190704,33.25,33.25,32.6,32.9,109762,0
CONFIPET,20190705,32.55,35.8,32.55,34.75,222643,0
CONFIPET,20190708,35.4,35.4,32.8,33.3,125321,0
CONFIPET,20190709,33.05,34.9,33.05,34.45,72339,0
CONFIPET,20190710,35,35.45,34.35,35.15,89806,0
CONFIPET,20190711,33.6,35.95,33.6,34.75,41502,0
CONFIPET,20190712,34.3,35.4,34,34.35,46482,0
CONFIPET,20190715,35,35.4,32.75,33.15,75963,0
CONFIPET,20190716,32.9,34,32.4,32.85,72478,0
CONFIPET,20190717,33.5,33.5,32.15,32.25,56625,0
CONFIPET,20190718,32.05,32.4,31.5,31.7,73061,0
CONFIPET,20190719,33,33,30.5,31.15,102365,0
CONFIPET,20190722,30.5,31.5,29.65,29.85,101735,0
CONFIPET,20190723,30.25,30.55,29.35,30,63832,0
CONFIPET,20190724,30.2,30.2,28.95,29.95,250882,0
CONFIPET,20190725,29.95,30.3,29.45,29.9,86109,0
CONFIPET,20190726,29.6,30.3,29.5,29.85,62564,0
CONFIPET,20190729,29,29.95,25.7,28.6,364264,0
CONFIPET,20190730,28,28.8,26,26.55,134663,0
CONFIPET,20190731,26,27.45,25.25,27,151176,0
CONFIPET,20190801,26.1,26.95,25.55,26,110879,0
CONFIPET,20190802,25.75,26.15,25.45,25.95,77619,0
CONFIPET,20190805,27.2,27.2,24.95,25.35,110483,0
CONFIPET,20190806,25.4,26,25.15,25.65,118859,0
CONFIPET,20190807,26.4,26.4,25.4,25.5,69214,0
CONFIPET,20190808,25.3,27.4,25.25,26.6,132108,0
CONFIPET,20190809,27.4,29,27.4,28.45,199194,0
CONFIPET,20190813,29.65,29.65,26.1,26.8,103316,0
CONFIPET,20190814,26.55,27.65,26.2,26.35,50869,0
CONFIPET,20190816,26.5,26.55,25.7,25.8,148416,0
CONFIPET,20190819,25.8,26.95,25.25,25.75,54944,0
CONFIPET,20190820,25.3,25.95,24,24.15,159242,0
CONFIPET,20190821,24,24.3,19.8,21.25,721686,0
CONFIPET,20190822,22,23,20.25,20.7,288350,0
CONFIPET,20190823,21,21.9,19.3,21.6,251943,0
CONFIPET,20190826,23,23.75,22,23.15,234439,0
CONFIPET,20190827,22.95,24.55,22.25,23.9,219950,0
CONFIPET,20190828,24.85,24.85,23.55,24.45,150427,0
CONFIPET,20190829,23.9,24.9,23.5,23.8,101412,0
CONFIPET,20190830,24.95,24.95,23.7,24.75,207004,0
CONFIPET,20190903,24.8,24.8,23.7,23.85,90596,0
CONFIPET,20190904,23.7,23.9,20.3,23.45,156491,0
CONFIPET,20190905,23.7,24.1,23.5,23.8,49818,0
CONFIPET,20190906,23.55,24.7,23.55,24.25,187845,0
CONFIPET,20190909,24,24.8,23.45,24.1,125858,0
CONFIPET,20190911,24.1,24.85,24.1,24.5,138502,0
CONFIPET,20190912,24.55,25,24.1,24.2,72229,0
CONFIPET,20190913,24.45,29,24.1,28.95,588886,0
CONFIPET,20190916,29,34.7,28.9,33,2091060,0
CONFIPET,20190917,33.2,33.2,29.5,30.2,382473,0
CONFIPET,20190918,30.1,33.1,30.1,32,284510,0
CONFIPET,20190919,33,33.25,31.7,32.6,474553,0
CONFIPET,20190920,33.15,34.7,30.3,34.05,303990,0
CONFIPET,20190923,35.4,35.8,33.2,34.15,205463,0
CONFIPET,20190924,34.95,35.2,32,33.3,254039,0
CONFIPET,20190925,33.95,33.95,31.55,31.65,164405,0
CONFIPET,20190926,31.5,32.5,30.55,31.1,152392,0
CONFIPET,20190927,30.55,32,30.55,31.4,69291,0
CONFIPET,20190930,32.3,32.3,29.6,29.85,97013,0
CONFIPET,20191001,30.9,31.5,28.3,29.45,94215,0
CONFIPET,20191003,28.85,30.35,28.15,30,178002,0
