SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
COREBIO,19960529,36,36,36,36,100,0
COREBIO,19960605,37,37,37,37,100,0
COREBIO,19960606,38,38,38,38,100,0
COREBIO,19960617,40,40,40,40,350,0
COREBIO,19960618,42,43,40,43,550,0
COREBIO,19960619,39,39,38.5,38.5,400,0
COREBIO,19960620,37.5,37.5,37.5,37.5,100,0
COREBIO,19960621,35,35,35,35,250,0
COREBIO,19960624,35,35,35,35,200,0
COREBIO,19960703,35,35,35,35,50,0
COREBIO,19960705,34,34,34,34,1000,0
COREBIO,19960708,31,34.5,31,33,3000,0
COREBIO,19960709,33,35,33,35,1250,0
COREBIO,19960710,35,35,35,35,1000,0
COREBIO,19960711,35,35,35,35,1850,0
COREBIO,19960712,35,35,33,33,1400,0
COREBIO,19960715,33,35,33,35,2000,0
COREBIO,19960716,33.5,34.5,33.5,34.3,1000,0
COREBIO,19960717,34.5,34.9,33.25,33.8,1000,0
COREBIO,19960718,32,32.5,32,32.5,350,0
COREBIO,19960719,29.5,32,29.5,32,850,0
COREBIO,19960722,30.75,31,30.75,31,700,0
COREBIO,19960723,30,30,30,30,650,0
COREBIO,19960724,30,32,29,32,1500,0
COREBIO,19960725,30,31,29,30.55,4000,0
COREBIO,19960726,30,30.5,30,30,1000,0
COREBIO,19960729,29.9,29.95,29.9,29.95,400,0
COREBIO,19960730,28,28,27,27,500,0
COREBIO,19960731,29.5,29.5,28,29.5,700,0
COREBIO,19960801,29,29,29,29,500,0
COREBIO,19960802,27.5,28,27.5,28,200,0
COREBIO,19960805,28,28,28,28,100,0
COREBIO,19960806,27.1,27.1,27.1,27.1,150,0
COREBIO,19960807,28.5,28.5,28.5,28.5,100,0
COREBIO,19960808,29.5,29.5,29.5,29.5,100,0
COREBIO,19960820,26.5,27,26.5,27,300,0
COREBIO,19960902,27.5,27.5,27.5,27.5,100,0
COREBIO,19960903,28,28,28,28,200,0
COREBIO,19960916,25.5,25.5,25.5,25.5,50,0
COREBIO,19960920,25,28,24,27.2,2100,0
COREBIO,19961007,27.2,27.2,24.5,24.5,100,0
COREBIO,19961008,22.5,22.5,22.5,22.5,50,0
COREBIO,19961016,21,21,21,21,300,0
COREBIO,19961031,19,19,19,19,1000,0
COREBIO,19961205,19,19,19,19,100,0
COREBIO,19961226,20,20,18,18,650,0
COREBIO,19961231,18,18,16.5,16.5,850,0
COREBIO,19970101,18,18,18,18,200,0
COREBIO,19970103,19.8,19.8,19.8,19.8,450,0
COREBIO,19970107,19.85,19.85,19.85,19.85,500,0
COREBIO,19970108,21.8,21.8,21.8,21.8,500,0
COREBIO,19970109,24,24,24,24,700,0
COREBIO,19970120,26.4,26.4,26.4,26.4,200,0
COREBIO,19970121,28,28,28,28,900,0
COREBIO,19970128,27,28,27,28,750,0
COREBIO,19970129,28,30,28,30,250,0
COREBIO,19970131,30,30,30,30,850,0
COREBIO,19970211,27,27,27,27,100,0
COREBIO,19970214,25,25,25,25,100,0
COREBIO,19970217,23,23,23,23,50,0
COREBIO,19970218,23,23,22.75,22.75,450,0
COREBIO,19970219,23,23.5,23,23.5,200,0
COREBIO,19970220,23,23,23,23,100,0
COREBIO,19970221,23,23.5,22.5,22.5,1500,0
COREBIO,19970225,22.5,22.5,22.5,22.5,150,0
COREBIO,19970227,23,23,23,23,100,0
COREBIO,19970306,23,23,23,23,50,0
COREBIO,19970310,22,22,22,22,100,0
COREBIO,19970311,22,22,21,21,400,0
COREBIO,19970314,21.4,21.4,18.95,18.95,10000,0
COREBIO,19970401,19.5,19.5,19.5,19.5,100,0
COREBIO,19970521,19,19,19,19,100,0
COREBIO,19970522,17.7,17.7,17.7,17.7,500,0
COREBIO,19970523,16.45,16.45,16.45,16.45,100,0
COREBIO,19970602,15,15,15,15,100,0
COREBIO,19970820,14,14,14,14,100,0
COREBIO,19980223,14,14,14,14,800,0
COREBIO,19980324,14,14,14,14,750,0
COREBIO,19980417,17.4,17.4,17.4,17.4,50,0
COREBIO,19980420,16,17,16,17,500,0
COREBIO,19990320,10.5,10.5,10.5,10.5,300,0
COREBIO,19990323,10,10,10,10,1250,0
COREBIO,19990901,11.25,12,11.25,12,700,0
COREBIO,19990902,9.1,10,9.1,10,600,0
COREBIO,19990903,9.5,10,9.5,10,600,0
COREBIO,19990909,7.5,7.5,7.5,7.5,350,0
COREBIO,19990910,7.9,7.9,6.9,7.8,1900,0
COREBIO,19990914,8,8,8,8,350,0
COREBIO,19990915,9.9,9.9,9.9,9.9,200,0
COREBIO,19990920,7,7,7,7,200,0
COREBIO,19990922,4.6,7,4.5,7,300,0
COREBIO,19990924,7,7,7,7,500,0
COREBIO,19990927,7,7,7,7,800,0
COREBIO,19991020,6.35,6.35,6.35,6.35,300,0
COREBIO,19991021,7.8,7.8,7.8,7.8,300,0
COREBIO,19991022,7.55,7.55,7.55,7.55,100,0
COREBIO,19991023,10.45,10.45,10.45,10.45,100,0
COREBIO,19991025,10.5,10.5,10.5,10.5,500,0
COREBIO,19991026,8.25,8.5,8.25,8.5,500,0
COREBIO,19991028,9,9,9,9,50,0
COREBIO,19991101,8,8,8,8,50,0
COREBIO,19991104,7,7,7,7,100,0
COREBIO,19991109,8,8,8,8,50,0
COREBIO,19991111,6.1,6.1,6.1,6.1,100,0
COREBIO,19991122,9,9,9,9,200,0
COREBIO,19991124,6,6,6,6,100,0
COREBIO,19991130,8,8,8,8,1000,0
COREBIO,19991201,8,8,8,8,1000,0
COREBIO,19991206,6.5,6.5,6.5,6.5,100,0
COREBIO,19991221,4,4,4,4,500,0
COREBIO,19991229,7,7.5,7,7.5,1000,0
COREBIO,19991230,11.25,11.25,11.25,11.25,500,0
COREBIO,20000105,11,11.5,11,11.5,1900,0
COREBIO,20000106,12,14.35,11.5,14.35,3950,0
COREBIO,20000107,13,13.1,12.2,12.25,2700,0
